City,Zip Code,County,Latitude,Longitude,,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Clayton,8312,Gloucester,39.655964,-75.08736,,NA,"8,686",NA,"8,185",NA,6.10%,"8,179",3.90%,20.90%,15.60%,49.60%,75.20%,14.80%,0.40%,1.90%,0.00%,7.20%,3.10%,73.30%,698,2.50%,X,78.90%,"$197,400 ","$1,868 ",$738 ,"$1,186 ",X,"3,135",2.72,93.90%,5.50%,90.20%,88.60%,88.30%,29.30%,10.80%,8.40%,68.90%,57.90%,"4,107","4,858",X,"1,751","37,354","$4,569 ",35.2,"$66,766 ","$37,196 ",5.70%,X,X,X,X,X,302,125,108,97,186,F,255,"1,145.50",7.14,"""3413360"""
Cliffside Park,7010,Bergen,40.82154,-73.98949,,NA,"25,935",NA,"23,620",NA,9.80%,"23,594",4.90%,15.00%,21.70%,53.00%,67.20%,3.40%,0.10%,16.20%,0.00%,3.60%,31.80%,45.50%,524,47.70%,X,47.10%,"$443,300 ","$2,785 ","$1,365 ","$1,392 ",X,"10,535",2.36,88.10%,61.80%,87.90%,83.30%,89.50%,42.70%,4.40%,22.30%,64.10%,54.50%,"17,443","48,798","2,449","26,978","67,242","$2,817 ",37.1,"$66,952 ","$42,405 ",12.30%,X,X,X,X,X,"2,956","1,775",893,"1,316","1,623",175,"2,769","24,500.50",0.96,"""3413570"""
Clifton,7011,Passaic,40.879699,-74.14263,,NA,"85,273",NA,"84,117",NA,1.40%,"84,136",5.60%,20.40%,15.20%,51.80%,66.10%,6.40%,0.50%,9.70%,0.10%,2.30%,37.70%,45.30%,"2,356",35.00%,X,58.90%,"$337,200 ","$2,592 ","$1,133 ","$1,375 ",X,"29,169",2.9,90.80%,54.10%,86.70%,81.40%,88.20%,33.00%,5.00%,11.80%,66.40%,61.10%,"125,105","400,232","1,781,692","1,275,255","1,260,516","$14,878 ",28.6,"$74,307 ","$33,355 ",9.70%,X,X,X,X,X,"9,338","5,812","2,594","3,316","5,674",487,"8,423","7,472.10",11.26,"""3413690"""
Clinton,8809,Hunterdon,40.639546,-74.91292,,NA,"12,877",NA,"13,505",NA,-4.70%,"13,478",2.90%,20.10%,12.00%,41.30%,77.10%,12.80%,0.30%,5.60%,0.00%,1.60%,8.90%,72.00%,376,8.40%,X,87.70%,"$431,100 ","$2,642 ","$1,246 ","$1,811 ",X,"3,905",2.66,86.10%,11.00%,95.00%,93.70%,94.80%,57.90%,4.80%,1.90%,11.00%,67.40%,"17,236",D,D,"52,887","150,906","$11,499 ",33.1,"$140,125 ","$51,340 ",3.10%,X,X,X,X,X,"1,302",742,394,91,"1,149",160,"1,068",451.1,29.88,"""3401913750"""
Closter,7624,Bergen,40.971956,-73.96166,,NA,"8,582",NA,"8,415",NA,2.00%,"8,373",5.20%,24.00%,15.40%,49.60%,58.90%,1.60%,0.00%,38.40%,0.00%,1.00%,4.00%,54.90%,205,37.00%,X,83.00%,"$658,000 ","$3,512 ","$1,471 ","$2,081 ",X,"2,764",3.08,91.40%,45.10%,96.00%,94.00%,95.60%,62.80%,4.60%,7.70%,63.40%,56.50%,"20,053","39,377","4,090","161,520","107,230","$12,618 ",35.5,"$132,544 ","$57,999 ",2.60%,X,X,X,X,X,"1,308",599,550,313,944,78,"1,151","2,646.30",3.16,"""3413810"""
Collingswood,8108,Camden,39.915263,-75.06401,,NA,"13,916",NA,"13,939",NA,-0.20%,"13,926",5.10%,19.50%,16.90%,50.80%,82.00%,12.00%,0.00%,2.00%,0.00%,2.20%,6.70%,78.40%,614,4.80%,X,50.40%,"$259,900 ","$2,137 ","$1,090 ","$1,109 ",X,"5,966",2.32,86.10%,10.60%,92.90%,84.40%,94.40%,44.90%,8.00%,6.50%,73.50%,69.20%,"27,660","94,740",D,"38,175","60,546","$4,366 ",27.7,"$70,024 ","$42,418 ",6.00%,X,X,X,X,X,"1,198",671,398,163,976,169,999,"7,639.10",1.82,"""3414260"""
Cresskill,7626,Bergen,40.942074,-73.96504,,NA,"8,775",NA,"8,551",NA,2.60%,"8,573",5.90%,27.50%,16.20%,51.50%,66.20%,0.40%,0.00%,31.90%,0.00%,1.10%,6.60%,60.50%,113,34.90%,X,83.30%,"$656,300 ","$4,000+","$1,387 ","$2,500 ",X,"2,890",3,93.00%,40.90%,94.30%,93.10%,94.80%,63.40%,4.10%,4.30%,61.80%,52.90%,"8,099","41,980",X,"86,053","71,073","$8,217 ",39.1,"$138,256 ","$63,585 ",4.10%,X,X,X,X,X,"1,122",583,353,348,764,56,"1,008","4,153.60",2.06,"""3415820"""
Dover,7801,Morris,40.889166,-74.55462,,NA,"17,961",NA,"18,157",NA,-1.10%,"18,157",4.90%,23.00%,10.20%,49.10%,61.30%,8.80%,0.20%,2.70%,0.00%,2.90%,67.60%,20.10%,589,47.00%,X,46.40%,"$265,200 ","$2,109 ",$811 ,"$1,350 ",X,"5,445",3.28,94.60%,69.50%,88.50%,83.80%,78.70%,16.70%,6.10%,26.10%,75.80%,67.40%,"20,311","90,337",D,"252,601","214,377","$11,710 ",24.6,"$70,412 ","$26,300 ",12.70%,X,X,X,X,X,"1,426",919,356,815,529,137,"1,233","6,764.90",2.68,"""3418070"""
Dumont,7628,Bergen,40.945173,-73.99342,,NA,"17,697",NA,"17,404",NA,1.70%,"17,479",5.20%,20.00%,18.00%,51.60%,73.20%,5.20%,0.10%,16.40%,0.00%,1.80%,18.70%,60.60%,741,27.60%,X,71.80%,"$365,900 ","$2,910 ","$1,216 ","$1,203 ",X,"6,373",2.77,93.70%,37.20%,88.60%,86.20%,92.40%,43.80%,4.10%,6.60%,68.80%,64.40%,"12,880","16,061",D,"8,927","73,229","$4,150 ",33.1,"$96,017 ","$44,922 ",5.20%,X,X,X,X,X,"1,397",914,359,468,878,37,"1,310","8,814.40",1.98,"""3418400"""
Dunellen,8812,Middlesex,40.594502,-74.47166,,NA,"7,272",NA,"7,227",NA,0.60%,"7,227",8.70%,25.80%,10.50%,49.80%,64.60%,11.50%,0.30%,5.90%,0.00%,1.60%,29.60%,52.20%,217,22.60%,X,68.90%,"$280,200 ","$2,604 ","$1,105 ","$1,267 ",X,"2,540",2.86,85.30%,34.80%,94.20%,92.80%,91.40%,30.90%,5.70%,13.40%,72.90%,66.10%,"5,979",D,D,D,D,NA,32.7,"$69,868 ","$33,610 ",10.20%,X,X,X,X,X,692,377,222,245,435,F,666,"6,896.00",1.05,"""3418490"""
East Orange,7017,Essex,40.770933,-74.20589,,NA,"64,457",NA,"64,169",NA,0.40%,"64,270",6.60%,23.60%,12.60%,53.90%,3.30%,85.30%,0.40%,1.10%,0.00%,1.30%,11.30%,2.10%,"1,702",26.90%,X,25.90%,"$213,700 ","$2,259 ","$1,057 ","$1,075 ",X,"23,608",2.68,84.00%,20.40%,87.20%,73.70%,86.60%,18.40%,9.70%,15.70%,66.50%,64.90%,"35,237","688,542",D,"350,190","310,051","$4,824 ",33.9,"$44,809 ","$23,724 ",19.10%,X,X,X,X,X,"4,579","1,921","2,364","4,000",486,421,"4,034","16,378.70",3.92,"""3419390"""
East Rutherford,7073,Bergen,40.830158,-74.09707,,NA,"9,764",NA,"8,913",NA,9.50%,"8,913",5.90%,18.10%,16.40%,51.20%,69.30%,6.40%,0.50%,16.70%,0.20%,2.50%,23.40%,51.90%,350,32.90%,X,36.30%,"$389,300 ","$2,413 ","$1,053 ","$1,444 ",X,"3,800",2.49,91.40%,49.20%,88.90%,82.80%,93.00%,42.70%,5.80%,11.00%,64.70%,58.80%,"118,506","35,304","267,090","449,492","296,926","$33,073 ",28.8,"$78,429 ","$36,901 ",10.70%,X,X,X,X,X,"1,089",681,300,248,761,100,906,"2,403.10",3.71,"""3419510"""
Eatontown,7724,Monmouth,40.301979,-74.06889,,NA,"12,242",NA,"12,685",NA,-3.50%,"12,709",4.60%,18.10%,16.20%,51.00%,73.40%,12.50%,0.20%,7.60%,0.00%,4.40%,14.30%,63.90%,705,20.00%,X,52.70%,"$333,500 ","$2,184 ",$939 ,"$1,184 ",X,"5,406",2.23,88.10%,23.40%,91.10%,84.90%,92.40%,34.40%,9.50%,7.40%,67.50%,65.10%,"73,248","188,587","683,732","439,374","955,164","$76,837 ",24.1,"$66,040 ","$40,979 ",9.50%,X,X,X,X,X,"1,570",938,316,363,"1,029",93,"1,294","2,181.40",5.83,"""3419840"""
Edgewater,7020,Bergen,40.830733,-73.97334,,NA,"12,720",NA,"11,516",NA,10.50%,"11,513",8.80%,19.00%,12.80%,53.20%,55.00%,4.60%,0.10%,35.10%,0.50%,2.60%,13.80%,44.00%,139,42.80%,X,32.90%,"$563,800 ","$3,107 ","$1,483 ","$2,365 ",X,"5,746",2.12,80.50%,50.90%,92.60%,89.10%,96.40%,68.90%,2.50%,8.80%,70.50%,60.30%,D,"78,700","1,704","79,233","346,406","$28,935 ",40.8,"$107,143 ","$62,427 ",8.50%,X,X,X,X,X,"1,603",780,514,609,881,68,"1,471","12,313.40",0.94,"""3420020"""
Egg Harbor City,8215,Atlantic,39.548049,-74.62171,,NA,"42,578",NA,"43,307",NA,-1.70%,"43,323",6.70%,25.20%,13.60%,53.20%,67.90%,8.50%,0.20%,11.60%,0.00%,5.00%,18.20%,59.40%,"1,755",16.40%,X,86.80%,"$213,800 ","$2,115 ",$817 ,"$1,001 ",X,"14,353",2.99,93.30%,30.70%,94.90%,86.30%,88.90%,31.80%,8.10%,8.30%,30.70%,66.60%,"81,807","225,292","69,794","184,302","1,037,875","$23,789 ",22.3,"$78,772 ","$32,515 ",10.00%,X,X,X,X,X,"3,546","1,708","1,295",939,"2,450",199,"3,196",650.5,66.6,"""3400120290"""
Elizabeth,7201,Union,40.669502,-74.19889,,NA,"128,885",NA,"124,972",NA,3.10%,"124,969",7.60%,26.60%,9.90%,49.70%,45.00%,18.60%,0.50%,2.00%,0.00%,3.70%,64.50%,13.30%,"1,680",46.20%,X,24.40%,"$273,700 ","$2,511 ","$1,139 ","$1,146 ",X,"40,394",3.12,87.40%,74.80%,83.50%,73.10%,73.90%,13.20%,6.70%,23.90%,69.10%,62.20%,"206,476","554,858","935,403","2,824,024","1,489,177","$11,776 ",26.6,"$46,975 ","$20,459 ",18.40%,X,X,X,X,X,"11,483","6,524","4,105","7,727","3,319",592,"10,518","10,144.40",12.32,"""3421000"""
Elmwood Park,7407,Bergen,40.905639,-74.1199,,NA,"20,120",NA,"19,488",NA,3.20%,"19,403",5.80%,21.90%,15.10%,52.20%,73.50%,7.50%,0.20%,8.70%,0.10%,3.80%,26.50%,54.40%,506,31.00%,X,56.00%,"$353,100 ","$2,660 ","$1,017 ","$1,572 ",X,"6,890",2.91,93.90%,49.50%,89.50%,85.50%,90.30%,28.60%,5.60%,7.70%,67.90%,64.90%,"25,072",D,"450,806","337,641","168,659","$8,480 ",25.1,"$77,887 ","$31,390 ",7.90%,X,X,X,X,X,"1,992","1,282",512,582,"1,356",116,"1,809","7,327.40",2.65,"""3421300"""
Emerson,7630,Bergen,40.97514,-74.02725,,NA,"7,643",NA,"7,386",NA,3.50%,"7,401",5.80%,23.50%,18.70%,54.30%,84.00%,0.60%,0.00%,10.50%,0.00%,4.60%,18.90%,69.30%,344,20.90%,X,83.20%,"$486,100 ","$3,065 ","$1,325 ","$1,896 ",X,"2,509",2.94,90.60%,27.30%,95.20%,93.00%,91.60%,40.80%,6.70%,5.00%,62.70%,58.70%,"6,357","87,301",D,"19,721","132,282","$17,166 ",30.6,"$123,808 ","$45,446 ",4.50%,X,X,X,X,X,989,578,371,247,725,34,938,"3,359.50",2.2,"""3421450"""
Englewood,7631,Bergen,40.893343,-73.9758,,NA,"28,624",NA,"27,111",NA,5.60%,"27,147",5.50%,21.20%,15.90%,52.20%,52.60%,29.40%,0.40%,8.40%,0.00%,3.80%,27.40%,33.60%,845,35.10%,X,52.80%,"$393,600 ","$2,759 ","$1,134 ","$1,423 ",X,"10,648",2.64,91.30%,36.00%,93.20%,85.40%,90.20%,43.90%,4.40%,15.40%,69.10%,62.80%,"54,189","777,446","667,674","577,939","1,036,965","$37,564 ",33.9,"$84,342 ","$48,732 ",11.80%,X,X,X,X,X,"4,360","2,459","1,360","1,505","2,603",287,"3,794","5,524.40",4.91,"""3421480"""
Englewood Cliffs,7632,Bergen,40.883749,-73.95173,,NA,"5,385",NA,"5,307",NA,1.50%,"5,281",4.10%,23.90%,25.10%,50.70%,52.60%,1.40%,0.20%,42.00%,0.40%,3.40%,7.60%,46.80%,141,44.20%,X,86.50%,"$1,041,200 ","$3,984 ","$1,473 ","$3,259 ",X,"1,779",2.99,93.10%,56.70%,96.40%,90.60%,94.80%,65.60%,2.00%,6.90%,55.40%,43.30%,"17,722",D,"31,921","8,335,269","268,554","$50,319 ",37.8,"$145,729 ","$71,710 ",1.70%,X,X,X,X,X,"1,407",727,415,439,798,123,"1,116","2,528.00",2.09,"""3421510"""
Fair Haven,7704,Monmouth,40.360581,-74.03738,,NA,"5,820",NA,"6,112",NA,-4.80%,"6,121",6.30%,34.20%,11.50%,51.70%,95.30%,3.00%,0.00%,0.90%,0.00%,0.50%,2.50%,93.10%,162,3.50%,X,90.20%,"$708,100 ","$3,539 ","$1,500+","$2,625 ",X,"1,864",3.19,85.80%,5.60%,98.10%,97.30%,98.20%,72.10%,3.20%,2.20%,68.10%,57.30%,"6,025","6,766",X,D,"24,271","$3,987 ",44.5,"$170,625 ","$70,488 ",3.70%,X,X,X,X,X,543,316,183,82,453,F,516,"3,832.80",1.6,"""3422440"""
Fair Lawn,7410,Bergen,40.933943,-74.11671,,NA,"33,128",NA,"32,388",NA,2.30%,"32,457",4.70%,22.20%,16.40%,52.40%,82.90%,1.90%,0.10%,12.50%,0.00%,1.70%,13.80%,71.50%,834,29.50%,X,80.10%,"$409,700 ","$2,776 ","$1,180 ","$1,629 ",X,"11,463",2.87,91.40%,41.20%,94.50%,91.60%,94.70%,54.20%,4.40%,5.20%,69.20%,63.60%,"49,378","243,988","529,091","180,031","482,439","$14,687 ",32.7,"$115,512 ","$47,509 ",3.50%,X,X,X,X,X,"3,752","2,290","1,092",505,"3,144",215,"3,414","6,315.80",5.14,"""3422470"""
Fairview,7022,Bergen,40.816737,-74.00082,,NA,"14,295",NA,"13,830",NA,3.40%,"13,835",7.50%,17.40%,14.50%,52.60%,75.50%,3.90%,0.50%,5.70%,0.00%,2.70%,61.60%,27.90%,239,53.00%,X,33.80%,"$354,300 ","$2,551 ","$1,060 ","$1,384 ",X,"5,393",2.64,93.80%,72.80%,84.00%,78.20%,71.50%,20.00%,3.40%,28.20%,67.90%,56.20%,"18,317","7,537","26,350","132,823","124,134","$8,731 ",32.9,"$57,706 ","$27,560 ",12.90%,X,X,X,X,X,"1,727",880,739,909,797,66,"1,606","16,431.10",0.84,"""3422560"""
Fanwood,7023,Union,40.641852,-74.38533,,NA,"7,704",NA,"7,307",NA,5.40%,"7,318",5.80%,28.00%,15.90%,53.50%,86.20%,3.60%,0.00%,6.20%,0.00%,4.10%,8.00%,80.30%,264,13.20%,X,87.60%,"$450,200 ","$2,912 ","$1,298 ","$2,811 ",X,"2,544",2.94,89.60%,13.90%,94.10%,92.30%,99.00%,63.70%,2.40%,4.20%,66.90%,61.90%,D,D,X,D,"34,346","$4,635 ",39.4,"$133,452 ","$54,436 ",2.50%,X,X,X,X,X,629,340,231,88,522,39,546,"5,453.10",1.34,"""3422860"""
Florham Park,7932,Morris,40.77835,-74.39009,,NA,"11,594",NA,"11,736",NA,-1.20%,"11,696",5.90%,16.50%,19.70%,51.40%,82.80%,4.40%,0.20%,11.00%,0.00%,1.20%,7.00%,76.30%,505,14.00%,X,69.70%,"$632,600 ","$3,196 ","$1,178 ","$2,347 ",X,"4,021",2.52,88.90%,17.80%,93.40%,92.10%,96.20%,69.20%,4.80%,2.30%,64.80%,60.90%,"44,918","86,359","314,925","453,889","123,153","$10,384 ",27.6,"$127,695 ","$59,940 ",7.40%,X,X,X,X,X,"1,559",854,505,184,"1,237",111,"1,303","1,604.80",7.29,"""3423910"""
Fort Lee,7024,Bergen,40.849879,-73.97501,,NA,"37,921",NA,"35,402",NA,7.10%,"35,345",5.40%,16.60%,24.70%,53.00%,49.80%,2.50%,0.20%,42.50%,0.10%,2.70%,14.30%,39.60%,801,51.50%,X,58.40%,"$323,800 ","$2,637 ","$1,051 ","$1,800 ",X,"17,004",2.17,90.60%,58.80%,91.00%,84.60%,94.00%,58.90%,2.70%,12.20%,60.20%,51.50%,"88,235","216,123",D,"13,212,025","350,420","$9,807 ",38.8,"$78,093 ","$48,550 ",11.40%,X,X,X,X,X,"5,539","2,879","2,075","2,218","3,114",315,"5,046","13,909.90",2.54,"""3424420"""
Franklin Lakes,7417,Bergen,41.010433,-74.20847,,NA,"11,096",NA,"10,582",NA,4.90%,"10,590",3.50%,22.30%,20.90%,50.10%,85.00%,2.40%,0.00%,8.60%,0.20%,1.60%,8.30%,78.90%,437,19.50%,X,87.90%,"$955,000 ","$4,000+","$1,500+","$2,564 ",X,"3,758",2.89,92.50%,30.60%,96.20%,96.30%,98.30%,65.90%,3.80%,2.40%,61.30%,54.60%,"17,305",D,D,"572,703",D,NA,32.4,"$159,883 ","$80,051 ",1.20%,X,X,X,X,X,"1,405",751,428,237,"1,131",159,"1,093","1,129.10",9.38,"""3424990"""
Freehold,7728,Monmouth,40.241036,-74.27629,,NA,"11,767",NA,"12,049",NA,-2.30%,"12,052",7.20%,25.60%,12.10%,48.90%,67.70%,11.50%,1.20%,2.80%,0.00%,2.10%,46.20%,39.00%,443,30.80%,X,47.60%,"$293,800 ","$2,147 ",$892 ,"$1,417 ",X,"4,108",2.87,91.40%,47.40%,85.20%,76.60%,71.50%,20.70%,5.30%,23.50%,72.10%,63.80%,"29,403","37,019",D,"98,269","364,336","$30,118 ",24.8,"$56,466 ","$27,880 ",16.10%,X,X,X,X,X,843,541,173,204,589,38,756,"6,180.50",1.95,"""3425200"""
Garfield,7026,Bergen,40.879858,-74.10807,,NA,"31,866",NA,"30,494",NA,4.50%,"30,487",6.50%,22.80%,11.20%,52.20%,83.20%,4.20%,0.10%,2.70%,0.10%,3.40%,36.50%,55.40%,692,41.70%,X,38.20%,"$333,900 ","$2,339 ",$982 ,"$1,283 ",X,"11,293",2.79,93.20%,60.60%,89.50%,82.00%,85.80%,20.00%,6.60%,18.10%,63.70%,56.90%,"28,926","20,267","145,957","222,991","213,119","$6,903 ",27.2,"$57,161 ","$27,484 ",16.60%,X,X,X,X,X,"2,755","1,615",911,758,"1,945",200,"2,488","14,524.50",2.1,"""3425770"""
Glen Ridge,7028,Essex,40.80495,-74.2047,,NA,"7,598",NA,"7,509",NA,1.20%,"7,527",3.90%,32.50%,10.00%,49.50%,80.90%,5.70%,0.00%,5.70%,0.00%,7.30%,8.70%,73.70%,250,13.40%,X,94.30%,"$644,900 ","$4,000+","$1,500+","$1,627 ",X,"2,423",3.11,92.80%,15.00%,96.40%,94.70%,97.60%,73.00%,3.30%,1.90%,71.00%,61.10%,D,D,X,D,D,NA,41.7,"$213,801 ","$87,791 ",3.90%,X,X,X,X,X,971,486,439,142,792,41,919,"5,871.30",1.28,"""3426610"""
Glen Rock,7452,Bergen,40.961109,-74.12576,,NA,"11,829",NA,"11,584",NA,2.10%,"11,601",7.60%,29.60%,13.60%,49.70%,84.30%,1.40%,0.40%,9.70%,0.20%,3.60%,7.20%,77.90%,361,12.10%,X,94.80%,"$631,900 ","$3,746 ","$1,500+","$1,705 ",X,"3,781",3.12,89.90%,16.00%,95.20%,93.60%,98.00%,73.70%,2.70%,1.40%,67.50%,56.30%,"12,489","31,673",D,"399,729","90,994","$7,712 ",39.9,"$166,450 ","$66,702 ",3.10%,X,X,X,X,X,"1,514",878,504,173,"1,294",98,"1,357","4,274.50",2.71,"""3426640"""
Gloucester City,8030,Camden,39.891113,-75.11836,,NA,"11,244",NA,"11,453",NA,-1.80%,"11,456",8.60%,26.60%,11.00%,54.60%,78.30%,4.30%,0.20%,4.70%,0.00%,1.40%,12.20%,77.30%,535,5.40%,X,67.30%,"$122,300 ","$1,402 ",$726 ,"$1,171 ",X,"3,981",2.82,85.40%,12.40%,86.40%,79.40%,88.20%,18.50%,13.70%,9.20%,64.90%,59.90%,"8,206","5,149","22,008",D,"64,866","$5,670 ",23.3,"$55,554 ","$24,479 ",11.80%,X,X,X,X,X,400,224,140,28,351,28,336,"4,937.90",2.32,"""3426820"""
Hackensack,7601,Bergen,40.888678,-74.0488,,NA,"44,522",NA,"43,014",NA,3.50%,"43,010",7.10%,17.90%,14.20%,51.60%,48.30%,25.00%,0.30%,10.80%,0.00%,3.50%,38.10%,26.70%,"1,310",39.30%,X,33.50%,"$298,500 ","$2,362 ","$1,101 ","$1,390 ",X,"18,732",2.3,84.20%,48.00%,89.90%,86.40%,87.40%,36.30%,6.30%,17.80%,68.90%,63.40%,D,"2,250,344","233,221","1,878,332","1,208,698","$27,568 ",31.4,"$67,188 ","$34,728 ",12.90%,X,X,X,X,X,"5,912","3,525","1,854","1,902","3,678",525,"4,990","10,289.50",4.18,"""3428680"""
Hackettstown,7840,Warren,40.861748,-74.83054,,NA,"9,463",NA,"9,718",NA,-2.60%,"9,724",5.80%,20.40%,16.80%,51.60%,84.10%,3.30%,0.10%,4.30%,0.10%,1.70%,17.70%,73.60%,536,17.50%,X,54.80%,"$273,600 ","$2,384 ",$987 ,"$1,143 ",X,"3,432",2.55,87.80%,23.60%,90.30%,84.90%,91.10%,34.70%,7.90%,12.70%,69.20%,62.70%,D,D,D,D,"263,169","$26,939 ",29,"$67,273 ","$34,829 ",12.20%,X,X,X,X,X,827,457,257,124,644,77,690,"2,695.90",3.61,"""3428710"""
Haddon Heights,8035,Camden,39.87913,-75.06599,,NA,"7,541",NA,"7,465",NA,1.00%,"7,473",6.10%,20.80%,20.20%,53.20%,94.40%,1.20%,0.00%,1.40%,0.00%,1.40%,2.70%,93.40%,442,2.60%,X,81.40%,"$287,600 ","$2,392 ","$1,055 ",$885 ,X,"2,969",2.52,91.10%,4.30%,90.60%,87.40%,95.40%,54.60%,6.20%,4.70%,67.70%,61.20%,"3,949","106,856",X,D,"30,316","$3,983 ",27.3,"$95,230 ","$46,939 ",5.50%,X,X,X,X,X,681,228,289,F,605,56,551,"4,762.90",1.57,"""3428800"""
Haddonfield,8033,Camden,39.895213,-75.04019,,NA,"11,345",NA,"11,616",NA,-2.30%,"11,593",5.90%,28.00%,17.20%,50.20%,94.70%,0.60%,0.00%,2.40%,0.00%,1.90%,3.90%,91.70%,480,4.10%,X,86.10%,"$508,100 ","$3,398 ","$1,500+","$1,296 ",X,"4,200",2.7,90.10%,4.10%,95.20%,93.60%,99.30%,76.50%,3.10%,1.60%,66.60%,57.80%,"15,015","57,044",D,"23,567","45,645","$3,943 ",28.1,"$145,850 ","$73,469 ",1.70%,X,X,X,X,X,"1,624","1,065",464,128,"1,457",129,"1,433","4,105.20",2.82,"""3428770"""
Haledon,7508,Passaic,40.945198,-74.18286,,NA,"8,316",NA,"8,322",NA,-0.10%,"8,318",5.00%,22.10%,11.90%,53.30%,70.10%,12.90%,0.10%,1.90%,0.00%,2.30%,44.80%,37.30%,176,33.60%,X,46.00%,"$268,800 ","$2,404 ","$1,137 ","$1,383 ",X,"2,722",3.05,92.80%,55.60%,91.40%,84.80%,88.60%,27.50%,5.60%,13.90%,66.10%,61.30%,"9,125","5,817",D,D,"45,269","$5,297 ",26.5,"$64,057 ","$29,145 ",16.00%,X,X,X,X,X,630,401,196,220,373,91,527,"7,201.70",1.16,"""3429070"""
Hammonton,8037,Atlantic,39.625291,-74.77705,,NA,"14,085",NA,"14,767",NA,-4.60%,"14,791",3.00%,23.20%,18.30%,51.10%,82.10%,3.10%,0.10%,1.00%,0.10%,3.90%,21.40%,74.10%,780,10.50%,X,71.00%,"$246,600 ","$2,066 ",$921 ,"$1,182 ",X,"5,127",2.66,92.70%,24.30%,87.50%,80.80%,85.80%,25.20%,9.10%,12.80%,64.70%,59.00%,"19,977","56,433",D,"351,956","283,742","$19,235 ",28.5,"$71,313 ","$34,096 ",11.30%,X,X,X,X,X,"1,317",860,304,194,"1,055",70,"1,100",361.8,40.89,"""3429430"""
Harrison,7029,Hudson,40.745951,-74.15509,,NA,"17,836",NA,"13,541",NA,31.70%,"13,620",7.10%,21.50%,9.20%,49.90%,51.30%,3.70%,0.40%,21.20%,0.00%,2.80%,45.80%,30.10%,235,53.60%,X,27.40%,"$330,200 ","$2,577 ","$1,119 ","$1,398 ",X,"5,873",2.75,84.10%,73.80%,93.30%,85.90%,82.80%,37.80%,5.70%,17.90%,70.80%,64.00%,D,D,"63,356","285,390","145,264","$10,470 ",34.9,"$65,550 ","$31,352 ",15.80%,X,X,X,X,X,"1,336",763,443,622,676,43,"1,262","11,321.70",1.2,"""3430210"""
Hasbrouck Heights,7604,Bergen,40.86289,-74.07506,,NA,"12,080",NA,"11,865",NA,1.80%,"11,842",3.70%,20.30%,17.10%,50.40%,74.00%,5.80%,0.30%,15.90%,0.00%,1.10%,13.90%,64.10%,393,26.70%,X,64.70%,"$416,800 ","$2,884 ","$1,268 ","$1,396 ",X,"4,239",2.85,95.00%,35.40%,91.20%,89.10%,93.00%,42.20%,6.40%,9.90%,66.70%,61.40%,D,"29,382","6,361","305,421","147,816","$12,384 ",28.3,"$91,911 ","$41,359 ",8.40%,X,X,X,X,X,"1,308",815,360,302,937,72,"1,139","7,863.20",1.51,"""3430420"""
