City,Zip Code,County,Latitude,Longitude,,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
,,,,,,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Englewood Cliffs,7632,Bergen,40.883749,-73.95173,,5281,5307,5321,5350,5354,5369,5368,5363,5348,5367,5385
Fair Haven,7704,Monmouth,40.360581,-74.03738,,6121,6112,6114,6090,6071,6052,6020,5980,5954,5911,5820
Fair Lawn,7410,Bergen,40.933943,-74.11671,,32457,32388,32428,32621,32761,32856,32907,33111,33074,33154,33128
Fairview,7022,Bergen,40.816737,-74.00082,,13835,13830,13857,13984,14023,14129,14251,14266,14256,14298,14295
Fanwood,7023,Union,40.641852,-74.38533,,7318,7307,7318,7346,7370,7416,7428,7563,7659,7679,7704
Florham Park,7932,Morris,40.77835,-74.39009,,11696,11736,11740,11764,11781,11770,11695,11731,11673,11653,11594
Fort Lee,7024,Bergen,40.849879,-73.97501,,35345,35402,35477,35696,35843,36179,36222,36283,37187,37329,37921
Franklin Lakes,7417,Bergen,41.010433,-74.20847,,10590,10582,10597,10674,10700,10735,10768,10755,10732,11074,11096
Freehold,7728,Monmouth,40.241036,-74.27629,,12052,12049,12042,12009,11968,11953,11927,11877,11849,11818,11767
Garfield,7026,Bergen,40.879858,-74.10807,,30487,30494,30543,30714,30891,31054,31242,31413,31530,31886,31866
Glen Ridge,7028,Essex,40.80495,-74.2047,,7527,7509,7509,7533,7527,7537,7567,7573,7588,7578,7598
Glen Rock,7452,Bergen,40.961109,-74.12576,,11601,11584,11600,11666,11697,11744,11808,11832,11805,11846,11829
Gloucester City,8030,Camden,39.891113,-75.11836,,11456,11453,11444,11418,11387,11321,11273,11253,11257,11237,11244
Hackensack,7601,Bergen,40.888678,-74.0488,,43010,43014,43059,43293,43402,43511,44185,44297,44283,44559,44522
Hackettstown,7840,Warren,40.861748,-74.83054,,9724,9718,9722,9676,9610,9543,9539,9567,9506,9479,9463
Haddon Heights,8035,Camden,39.87913,-75.06599,,7473,7465,7476,7470,7481,7456,7455,7458,7498,7522,7541
Haddonfield,8033,Camden,39.895213,-75.04019,,11593,11616,11605,11578,11529,11459,11404,11364,11380,11360,11345
Haledon,7508,Passaic,40.945198,-74.18286,,8318,8322,8327,8362,8351,8349,8347,8341,8323,8318,8316
Hammonton,8037,Atlantic,39.625291,-74.77705,,14791,14767,14756,14713,14669,14639,14538,14396,14246,14155,14085
Harrison,7029,Hudson,40.745951,-74.15509,,13620,13541,13566,13742,13790,14633,14719,15160,16055,17150,17836
Hasbrouck Heights,7604,Bergen,40.86289,-74.07506,,11842,11865,11879,11956,11991,12035,12068,12099,12076,12107,12080
Hawthorne,7506,Passaic,40.957498,-74.15627,,18791,18786,18794,18877,18856,18844,18840,18829,18782,18774,18786
Highland Park,8904,Middlesex,40.500254,-74.4257,,13982,13982,13981,14011,14120,14122,14140,14082,14000,13902,13869
Hightstown,8520,Mercer,40.262809,-74.53246,,5494,5523,5532,5534,5531,5535,5516,5483,5469,5307,5315
Hillsdale,7642,Bergen,41.007389,-74.04247,,10219,10202,10211,10265,10336,10364,10377,10403,10393,10412,10405
Hoboken,7030,Hudson,40.744851,-74.03294,,50005,50015,50054,50764,51486,52187,52480,52856,53673,53668,53455
Hopatcong,7843,Sussex,40.937206,-74.66147,,15147,15140,15128,15048,14911,14759,14628,14430,14323,14251,14203
Hopewell,8525,Mercer,40.386902,-74.78112,,1922,1928,1933,1936,1933,1929,1921,1913,1905,1910,1916
Jersey City,7097,Hudson,40.73276,-74.075485,,247597,247639,248363,252910,256148,257243,258794,260332,260626,263401,265549
Keansburg,7734,Monmouth,40.444407,-74.13298,,10105,10097,10091,10039,9995,9975,9825,9801,9791,9745,9719
Kearny,7032,Hudson,40.763051,-74.13718,,40684,40714,40718,41219,41430,41603,41681,41574,41589,41571,41422
