City,Municipality,Muni Code,"Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","Foreign born persons, percent, 2014-2018","Owner-occupied housing unit rate, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Persons per household, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Persons in poverty, percent","All firms, 2012","Population per square mile, 2010"
River Edge,River Edge Borough,252.0,13.30%,51.30%,69.90%,2.10%,26.10%,74.70%,"$3,351 ","$1,260 ","$1,588 ",2.92,33.70%,95.30%,93.70%,59.90%,2.60%,65.10%,37.6,"$123,409 ",4.80%,"1,532","6,116.50"
Tenafly,Tenafly Borough,261.0,13.30%,51.00%,65.00%,3.20%,36.00%,77.70%,"$3,932 ","$1,500+","$1,807 ",3.16,44.00%,97.50%,97.00%,81.50%,1.60%,52.60%,43.9,"$159,722 ",3.70%,"2,270","3,148.90"
Waldwick,Waldwick Borough,264.0,17.20%,50.30%,88.60%,1.40%,13.30%,89.80%,"$2,855 ","$1,199 ","$2,006 ",2.78,15.40%,94.00%,94.90%,52.50%,3.50%,65.60%,28.2,"$119,434 ",4.40%,"1,075","4,656.50"
Wallington,Wallington Borough,265.0,15.00%,52.20%,87.30%,4.00%,44.60%,41.40%,"$2,756 ","$1,053 ","$1,232 ",2.47,61.80%,90.20%,90.90%,30.50%,5.10%,58.00%,28.9,"$65,212 ",10.60%,"1,191","11,531.00"
Westwood,Westwood Borough,267.0,19.00%,52.20%,82.00%,3.00%,21.20%,59.20%,"$2,900 ","$1,131 ","$1,748 ",2.52,26.70%,92.60%,93.00%,51.00%,5.20%,63.10%,35.6,"$102,938 ",6.30%,"1,346","4,813.80"
Wood Ridge,Wood-Ridge Borough,269.0,14.50%,52.40%,78.40%,3.10%,19.50%,69.00%,"$2,696 ","$1,054 ","$1,670 ",2.62,25.90%,93.10%,95.50%,41.60%,4.40%,64.40%,29.8,"$92,989 ",5.50%,653,"6,951.70"
Woodcliff Lake,Woodcliff Lake Borough,268.0,17.20%,53.40%,89.00%,3.20%,11.30%,89.10%,"$4,000+","$1,500+","$1,772 ",2.84,16.20%,94.70%,99.30%,72.10%,1.50%,59.00%,32.5,"$167,344 ",2.70%,905,"1,682.80"
Bordentown,Bordentown,303.0,14.20%,52.10%,76.50%,8.90%,14.90%,77.00%,"$2,319 ",$891 ,"$1,142 ",2.6,24.40%,94.00%,95.90%,41.40%,8.80%,62.30%,29.8,"$87,837 ",6.40%,959,"1,334.90"
Burlington,Burlington,305.0,13.70%,51.70%,54.40%,29.70%,14.10%,78.90%,"$2,259 ",$861 ,"$1,083 ",2.76,20.00%,92.20%,92.50%,33.20%,7.40%,69.60%,31.9,"$88,135 ",5.80%,"1,644","1,684.20"
Medford,Medford Township,320.0,20.10%,50.60%,92.90%,1.50%,5.50%,85.20%,"$2,759 ","$1,169 ","$1,318 ",2.71,5.40%,97.00%,97.60%,57.20%,6.60%,58.80%,32.9,"$120,541 ",2.30%,"2,687",591.8
Palmyra,Palmyra Borough,327.0,15.50%,51.20%,70.90%,17.50%,7.60%,70.10%,"$1,765 ",$821 ,"$1,351 ",2.45,12.30%,91.40%,94.00%,28.00%,7.40%,64.00%,26.9,"$70,714 ",10.30%,429,"3,968.90"
Pemberton,Pemberton Borough,328.0,13.90%,50.50%,62.70%,21.70%,7.80%,69.00%,"$1,586 ",$646 ,"$1,247 ",2.77,12.70%,89.60%,90.70%,15.80%,11.20%,58.60%,30.4,"$62,345 ",11.90%,884,455.5
Audubon,Audubon Borough,401.0,16.40%,51.90%,94.50%,3.90%,2.40%,71.90%,"$1,892 ",$991 ,$985 ,2.48,4.60%,91.40%,96.60%,35.80%,8.60%,69.40%,25.3,"$81,884 ",4.70%,688,"5,926.70"
Barrington,Barrington Borough,403.0,15.10%,51.10%,92.80%,2.10%,6.10%,62.60%,"$1,819 ",$986 ,$970 ,2.43,9.00%,87.20%,92.20%,36.80%,6.90%,66.50%,30.1,"$75,720 ",7.80%,578,"4,345.40"
Bellmawr,Bellmawr Borough,404.0,18.50%,49.40%,78.10%,2.00%,18.20%,61.00%,"$1,706 ",$816 ,$889 ,2.6,22.30%,86.00%,84.80%,18.00%,9.70%,57.90%,25.6,"$54,447 ",18.50%,644,"3,888.20"
Berlin,Berlin Borough,405.0,18.60%,53.00%,87.30%,4.10%,2.60%,86.30%,"$1,965 ",$891 ,"$1,183 ",2.67,5.50%,83.70%,91.10%,37.50%,8.60%,59.70%,31.0,"$93,261 ",5.80%,603,"2,114.80"
Camden,Camden,408.0,9.40%,52.10%,21.90%,42.40%,15.20%,39.00%,"$1,091 ",$469 ,$899 ,2.91,46.60%,76.20%,67.10%,9.10%,14.20%,54.20%,24.3,"$27,070 ",36.80%,"3,052","8,669.90"
Collingswood,Collingswood Borough,412.0,16.90%,50.80%,82.00%,12.00%,4.80%,50.40%,"$2,137 ","$1,090 ","$1,109 ",2.32,10.60%,92.90%,94.40%,44.90%,8.00%,69.20%,27.7,"$70,024 ",6.00%,"1,198","7,639.10"
Gloucester City,Gloucester City,414.0,11.00%,54.60%,78.30%,4.30%,5.40%,67.30%,"$1,402 ",$726 ,"$1,171 ",2.82,12.40%,86.40%,88.20%,18.50%,13.70%,59.90%,23.3,"$55,554 ",11.80%,400,"4,937.90"
Haddon Heights,Haddon Heights Borough,418.0,20.20%,53.20%,94.40%,1.20%,2.60%,81.40%,"$2,392 ","$1,055 ",$885 ,2.52,4.30%,90.60%,95.40%,54.60%,6.20%,61.20%,27.3,"$95,230 ",5.50%,681,"4,762.90"
