City,Municipality,Muni Code,"Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","Foreign born persons, percent, 2014-2018","Owner-occupied housing unit rate, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Persons per household, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Persons in poverty, percent","All firms, 2012","Population per square mile, 2010"
Long Branch,Long Branch,1327.0,15.10%,49.90%,67.00%,14.90%,30.70%,43.90%,"$2,282 ","$1,139 ","$1,290 ",2.56,43.60%,88.30%,83.00%,28.90%,7.90%,59.70%,29.2,"$58,232 ",19.10%,"2,802","5,824.60"
Matawan,Matawan Borough,1331.0,14.30%,50.80%,82.20%,7.80%,13.20%,65.20%,"$2,551 ","$1,139 ","$1,450 ",2.55,16.00%,93.80%,94.10%,44.20%,7.40%,64.40%,37.0,"$94,375 ",6.80%,912,"3,896.50"
Millstone Township,Millstone Township,1333.0,12.30%,50.20%,88.50%,1.80%,9.30%,95.00%,"$3,428 ","$1,500+","$1,489 ",3.19,12.00%,96.50%,95.10%,49.60%,5.30%,64.60%,45.6,"$162,449 ",4.60%,"1,103",288.8
Neptune,Neptune Township,1335.0,18.90%,51.20%,55.20%,34.40%,12.40%,64.40%,"$2,206 ",$876 ,"$1,293 ",2.45,15.30%,88.90%,90.30%,32.20%,10.40%,58.00%,24.9,"$72,925 ",10.90%,"2,491","3,414.20"
Oceanport,Oceanport Borough,1338.0,17.70%,49.00%,96.60%,0.40%,4.90%,85.20%,"$2,534 ","$1,113 ","$1,392 ",2.69,8.20%,91.70%,96.30%,52.50%,3.70%,54.10%,27.7,"$104,688 ",7.10%,693,"1,834.00"
Red Bank,Red Bank Borough,1339.0,13.20%,50.30%,68.30%,9.10%,26.00%,48.10%,"$2,498 ","$1,173 ","$1,493 ",2.33,35.60%,92.60%,81.60%,40.60%,5.70%,67.70%,29.6,"$69,620 ",14.10%,"2,233","7,019.00"
Rumson,Rumson Borough,1341.0,11.40%,50.80%,95.70%,0.80%,5.40%,91.90%,"$4,000+","$1,500+","$2,107 ",3.11,6.80%,95.90%,98.70%,71.00%,3.50%,46.10%,45.2,"$177,857 ",2.90%,814,"1,408.10"
West Long Branch,West Long Branch Borough,1353.0,14.40%,55.70%,91.30%,4.60%,7.00%,76.70%,"$2,757 ","$1,124 ","$1,586 ",2.73,11.70%,92.40%,92.10%,42.30%,3.50%,57.10%,24.3,"$104,566 ",6.20%,848,"2,833.10"
Boonton,Boonton,1401.0,13.10%,49.40%,78.30%,5.30%,20.60%,62.40%,"$2,692 ","$1,236 ","$1,354 ",2.62,26.40%,93.00%,91.90%,47.10%,5.20%,72.90%,27.5,"$88,633 ",5.30%,929,"3,574.70"
Butler,Butler Borough,1403.0,16.50%,49.40%,91.70%,0.60%,19.00%,64.60%,"$2,566 ","$1,114 ","$1,312 ",2.62,25.80%,95.50%,95.70%,36.70%,5.00%,69.20%,30.1,"$95,917 ",3.80%,886,"3,702.80"
Chester,Chester Borough,1406.0,13.90%,49.40%,89.60%,1.50%,10.90%,95.00%,"$3,652 ","$1,500+","$2,680 ",2.86,13.80%,95.50%,98.60%,71.40%,4.60%,58.10%,39.1,"$160,625 ",1.60%,"1,097",266.8
Dover,Dover,1409.0,10.20%,49.10%,61.30%,8.80%,47.00%,46.40%,"$2,109 ",$811 ,"$1,350 ",3.28,69.50%,88.50%,78.70%,16.70%,6.10%,67.40%,24.6,"$70,412 ",12.70%,"1,426","6,764.90"
Florham Park,Florham Park Borough,1411.0,19.70%,51.40%,82.80%,4.40%,14.00%,69.70%,"$3,196 ","$1,178 ","$2,347 ",2.52,17.80%,93.40%,96.20%,69.20%,4.80%,60.90%,27.6,"$127,695 ",7.40%,"1,559","1,604.80"
Lincoln Park,Lincoln Park Borough,1416.0,18.10%,51.70%,90.80%,2.40%,14.20%,76.20%,"$2,401 ","$1,170 ","$1,651 ",2.68,21.90%,94.50%,93.40%,37.00%,6.30%,61.60%,28.6,"$92,346 ",3.40%,"1,061","1,649.10"
Madison,Madison Borough,1417.0,13.80%,52.30%,85.60%,4.10%,15.60%,68.20%,"$3,583 ","$1,349 ","$1,674 ",2.68,19.20%,92.60%,96.10%,68.60%,3.60%,61.60%,29.5,"$133,125 ",6.00%,"2,287","3,768.10"
Mendham,Mendham Borough,1418.0,12.60%,50.60%,91.80%,1.20%,9.30%,93.10%,"$4,000+","$1,500+","$1,821 ",2.97,8.10%,93.80%,98.60%,74.20%,3.40%,53.30%,31.6,"$182,022 ",2.50%,729,328.4
Morris Plains,Morris Plains Borough,1423.0,17.80%,49.60%,92.50%,1.60%,9.60%,85.60%,"$2,778 ","$1,108 ","$2,165 ",2.67,11.80%,94.20%,97.10%,61.30%,4.60%,65.50%,30.2,"$125,333 ",1.10%,698,"2,163.50"
Morristown,Morristown,1424.0,13.70%,50.30%,76.30%,8.80%,30.50%,37.20%,"$2,694 ","$1,180 ","$1,770 ",2.24,36.10%,91.10%,89.20%,55.40%,4.80%,70.80%,24.0,"$95,885 ",5.90%,"2,864","6,285.80"
Mount Arlington,Mount Arlington Borough,1426.0,23.00%,52.10%,88.60%,6.70%,11.30%,70.20%,"$2,355 ","$1,124 ","$1,885 ",2.32,12.80%,94.90%,97.00%,42.40%,1.60%,62.70%,39.1,"$89,063 ",0.90%,326,"2,325.00"
Pompton Plains,Pequannock Township,1431.0,13.20%,49.00%,86.90%,1.60%,22.20%,72.50%,"$2,707 ","$1,208 ","$1,512 ",2.79,30.10%,91.30%,94.00%,36.50%,5.70%,71.30%,29.0,"$97,782 ",5.90%,"1,235","3,809.50"
Rockaway,Rockaway Borough,1434.0,19.00%,49.70%,85.40%,4.10%,23.20%,69.80%,"$2,408 ","$1,059 ","$1,348 ",2.62,27.70%,91.80%,92.50%,35.30%,3.50%,65.40%,27.6,"$87,083 ",4.70%,943,"3,107.10"
Wharton,Wharton Borough,1439.0,13.40%,50.90%,55.80%,1.30%,33.70%,51.00%,"$2,270 ",$941 ,"$1,431 ",2.78,55.60%,88.80%,86.00%,27.00%,6.50%,60.80%,26.4,"$69,271 ",4.50%,498,"3,039.10"
Barnegat,Barnegat Township,1501.0,27.10%,51.70%,89.90%,7.40%,6.70%,87.30%,"$1,988 ",$853 ,"$1,570 ",2.62,10.50%,91.00%,93.50%,24.00%,6.10%,48.80%,35.8,"$72,665 ",7.00%,"1,047",609
Point Pleasant Beach,Point Pleasant Beach Borough,1526.0,16.40%,52.20%,98.30%,0.30%,4.70%,79.60%,"$2,338 ",$946 ,"$1,452 ",2.48,6.30%,94.90%,96.60%,42.10%,5.80%,66.50%,30.8,"$92,278 ",5.00%,"2,113","5,271.40"
Bloomingdale,Bloomingdale Borough,1601.0,16.10%,54.20%,89.20%,2.50%,12.00%,66.00%,"$2,402 ","$1,178 ","$1,612 ",2.74,18.70%,90.80%,93.80%,37.90%,6.20%,65.10%,29.0,"$89,471 ",8.80%,554,878.6
Clifton,Clifton,1602.0,15.20%,51.80%,66.10%,6.40%,35.00%,58.90%,"$2,592 ","$1,133 ","$1,375 ",2.9,54.10%,86.70%,88.20%,33.00%,5.00%,61.10%,28.6,"$74,307 ",9.70%,"9,338","7,472.10"
Haledon,Haledon Borough,1603.0,11.90%,53.30%,70.10%,12.90%,33.60%,46.00%,"$2,404 ","$1,137 ","$1,383 ",3.05,55.60%,91.40%,88.60%,27.50%,5.60%,61.30%,26.5,"$64,057 ",16.00%,630,"7,201.70"
Hawthorne,Hawthorne Borough,1604.0,15.50%,49.20%,88.40%,3.40%,15.60%,60.40%,"$2,667 ","$1,178 ","$1,478 ",2.7,27.30%,92.40%,90.70%,36.80%,4.80%,64.90%,26.0,"$96,250 ",4.30%,"2,092","5,636.20"
Passaic,Passaic,1607.0,9.30%,48.80%,57.80%,8.20%,38.50%,22.80%,"$2,592 ","$1,225 ","$1,177 ",3.55,76.00%,74.60%,66.10%,15.90%,5.70%,48.60%,26.3,"$36,226 ",31.90%,"4,682","22,180.90"
Paterson,Paterson,1608.0,10.70%,51.80%,29.30%,26.50%,38.50%,26.30%,"$2,348 ","$1,075 ","$1,175 ",3.21,62.80%,77.60%,73.40%,10.80%,5.00%,52.70%,24.1,"$39,282 ",28.10%,"10,323","17,346.80"
Ringwood,Ringwood Borough,1611.0,16.70%,50.50%,88.50%,2.20%,9.80%,95.40%,"$2,733 ","$1,210 ","$1,801 ",3.04,14.60%,97.40%,93.30%,46.10%,6.00%,62.50%,35.9,"$128,093 ",1.60%,"1,223",485
Totowa,Totowa Borough,1612.0,19.90%,53.90%,85.20%,3.50%,20.90%,83.20%,"$2,749 ","$1,024 ","$1,596 ",3.02,32.40%,91.10%,91.50%,33.20%,9.80%,59.10%,27.0,"$101,321 ",5.00%,"1,797","2,705.10"
Wanaque,Wanaque Borough,1613.0,22.40%,49.50%,86.40%,3.80%,17.30%,85.30%,"$2,548 ","$1,299 ","$1,542 ",2.74,20.90%,94.40%,92.60%,34.20%,6.60%,53.90%,33.7,"$90,091 ",5.60%,874,"1,391.20"
Bernardsville,Bernardsville Borough,1803.0,12.60%,46.60%,87.60%,0.00%,18.10%,85.80%,"$3,843 ","$1,500+","$1,848 ",2.88,18.30%,95.70%,97.90%,73.40%,2.20%,60.60%,33.3,"$159,909 ",3.60%,"1,166",597.2
Bound Brook,Bound Brook Borough,1804.0,9.50%,50.50%,83.60%,4.70%,31.50%,50.00%,"$2,286 ",$958 ,"$1,384 ",2.92,53.20%,89.00%,82.80%,18.50%,4.90%,64.90%,25.2,"$69,467 ",6.40%,671,"6,270.00"
Manville,Manville Borough,1811.0,15.20%,53.10%,87.90%,3.60%,19.00%,66.20%,"$2,027 ",$944 ,"$1,351 ",2.72,24.10%,82.80%,91.10%,15.60%,8.30%,63.90%,24.6,"$69,654 ",9.00%,587,"4,381.20"
Raritan,Raritan Borough,1816.0,15.10%,53.20%,74.60%,1.80%,28.90%,57.00%,"$2,228 ","$1,007 ","$1,667 ",2.65,34.60%,86.20%,91.60%,36.30%,5.40%,64.00%,26.6,"$78,404 ",5.70%,834,"3,452.60"
Somerville,Somerville Borough,1818.0,12.90%,49.30%,66.10%,9.70%,28.00%,49.00%,"$2,350 ","$1,079 ","$1,378 ",2.68,30.40%,90.30%,90.50%,44.20%,5.40%,61.50%,23.7,"$75,718 ",6.00%,"1,304","5,190.00"
Watchung,Watchung Borough,1821.0,22.10%,54.70%,80.60%,1.00%,17.30%,77.50%,"$3,646 ","$1,500+","$1,534 ",3.08,26.90%,90.60%,97.80%,55.20%,5.00%,50.70%,38.7,"$153,341 ",3.80%,822,962.7
Hopatcong,Hopatcong Borough,1912.0,13.70%,50.70%,89.10%,3.90%,12.50%,83.30%,"$2,126 ",$930 ,"$1,382 ",2.57,18.00%,94.40%,95.30%,28.40%,8.70%,65.70%,37.5,"$84,213 ",3.60%,"1,099","1,395.50"
Newton,Newton,1915.0,17.90%,49.20%,87.60%,5.00%,13.80%,47.50%,"$2,091 ",$989 ,"$1,137 ",2.27,16.20%,85.70%,89.50%,24.10%,12.90%,56.20%,27.9,"$59,661 ",13.60%,738,"2,542.00"
Elizabeth,Elizabeth,2004.0,9.90%,49.70%,45.00%,18.60%,46.20%,24.40%,"$2,511 ","$1,139 ","$1,146 ",3.12,74.80%,83.50%,73.90%,13.20%,6.70%,62.20%,26.6,"$46,975 ",18.40%,"11,483","10,144.40"
Fanwood,Fanwood Borough,2005.0,15.90%,53.50%,86.20%,3.60%,13.20%,87.60%,"$2,912 ","$1,298 ","$2,811 ",2.94,13.90%,94.10%,99.00%,63.70%,2.40%,61.90%,39.4,"$133,452 ",2.50%,629,"5,453.10"
Kenilworth,Kenilworth Borough,2008.0,17.40%,50.20%,80.10%,2.10%,19.60%,79.70%,"$2,440 ","$1,055 ","$1,415 ",2.88,35.00%,92.90%,88.80%,28.70%,3.90%,57.10%,29.0,"$98,624 ",7.10%,907,"3,669.00"
Linden,Linden,2009.0,14.10%,52.20%,52.70%,31.20%,34.00%,56.90%,"$2,393 ","$1,066 ","$1,262 ",2.89,50.90%,87.40%,86.00%,22.50%,7.40%,62.50%,30.1,"$68,870 ",9.20%,"4,384","3,793.80"
Mountainside,Mountainside Borough,2010.0,25.80%,52.40%,87.70%,1.90%,13.70%,89.90%,"$3,248 ","$1,500+","$1,858 ",2.74,17.00%,92.90%,95.90%,53.80%,2.90%,52.50%,32.3,"$125,694 ",1.80%,"1,383","1,667.90"
New Providence,New Providence Borough,2011.0,14.80%,51.00%,80.60%,1.00%,16.60%,77.70%,"$3,433 ","$1,500+","$1,634 ",2.86,21.30%,95.30%,97.50%,69.40%,2.80%,58.70%,36.2,"$134,141 ",3.30%,"1,133","3,343.70"
Plainfield,Plainfield,2012.0,11.60%,50.30%,24.00%,42.30%,37.70%,46.20%,"$2,391 ","$1,113 ","$1,167 ",3.22,48.80%,82.00%,74.10%,17.70%,5.50%,61.60%,31.3,"$57,334 ",19.60%,"2,949","8,269.60"
Rahway,Rahway,2013.0,12.90%,51.10%,51.20%,29.40%,26.00%,58.50%,"$2,344 ","$1,082 ","$1,322 ",2.61,38.70%,89.60%,88.40%,28.40%,8.80%,64.60%,31.9,"$74,164 ",7.60%,"2,113","7,017.20"
Roselle,Roselle Borough,2014.0,15.20%,52.50%,22.30%,53.10%,29.80%,55.60%,"$2,314 ","$1,121 ","$1,136 ",2.86,42.40%,83.60%,87.10%,20.40%,6.60%,65.00%,31.0,"$61,804 ",10.00%,"1,404","7,953.60"
Roselle Park,Roselle Park Borough,2015.0,11.60%,50.70%,62.50%,7.60%,27.20%,58.40%,"$2,569 ","$1,107 ","$1,227 ",2.67,44.20%,89.80%,89.70%,37.40%,6.10%,65.30%,30.2,"$71,846 ",6.40%,855,"10,793.00"
Summit,Summit,2018.0,12.90%,51.40%,80.10%,3.90%,25.60%,70.70%,"$4,000+","$1,500+","$1,816 ",2.83,30.50%,93.50%,95.20%,71.00%,3.00%,58.70%,36.2,"$146,755 ",4.80%,"2,559","3,579.10"
Westfield,Westfield,2020.0,14.10%,52.30%,84.70%,3.00%,11.10%,83.20%,"$3,768 ","$1,500+","$1,663 ",2.87,14.00%,93.90%,97.60%,73.40%,3.20%,58.50%,40.5,"$168,721 ",2.90%,"3,135","4,512.00"
Hackettstown,Hackettstown,2108.0,16.80%,51.60%,84.10%,3.30%,17.50%,54.80%,"$2,384 ",$987 ,"$1,143 ",2.55,23.60%,90.30%,91.10%,34.70%,7.90%,62.70%,29.0,"$67,273 ",12.20%,827,"2,695.90"
Phillipsburg,Phillipsburg,2119.0,13.60%,52.00%,77.30%,11.50%,10.60%,54.50%,"$1,568 ",$625 ,$958 ,2.47,15.30%,85.80%,83.00%,18.20%,12.20%,61.20%,30.8,"$53,514 ",17.40%,837,"4,682.10"
Washington,Washington Borough,2121.0,11.10%,51.20%,85.00%,6.40%,10.40%,51.40%,"$1,899 ",$962 ,"$1,122 ",2.45,14.40%,91.00%,86.90%,21.40%,6.30%,71.30%,35.9,"$64,754 ",7.40%,647,"3,327.00"
