City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,
Wood Ridge,07075,Bergen,40.847638,-74.08754,Wood-Ridge Borough,0269,2.7,2.75,2.8,2.89,3.08,2.02,2.08,2.12,2.44,2.67,2.86,3.037,3.201,3.349,3.438,3.515,3.6,3.691,3.768,3.833,2.62,2.683,2.774,,-5.0%
Woodcliff Lake,07677,Bergen,41.025101,-74.059762,Woodcliff Lake Borough,0268,2.03,2.11,2.2,2.24,2.35,2.4,1.48,1.61,1.75,1.87,1.98,2.049,2.059,2.159,2.237,2.081,2.132,2.209,2.123,2.144,2.092,2.073,2.089,,-1.1%
Wyckoff,07481,Bergen,40.998583,-74.1671,Wyckoff Township,0270,1.94,1.96,2.02,2.1,2.14,2.25,2.31,2.43,2.58,1.26,1.34,1.391,1.428,1.474,1.518,1.534,1.555,1.587,1.713,1.732,1.76,1.782,1.81,,2.8%
Beverly,08010,Burlington,40.058211,-74.91404,Beverly,0302,3.088,2.988,2.923,2.913,3.05,3.585,4.025,4.357,4.658,4.963,5.15,5.226,5.341,5.488,5.587,3.841,4.004,4.065,4.262,4.301,4.364,4.417,4.526,,2.3%
Birmingham,08011,Burlington,39.978635,-74.71323,Pemberton Township,0329,2.518,2.524,2.629,2.703,2.706,2.717,2.923,2.982,3.244,3.319,3.41,3.445,3.506,3.465,3.476,3.503,3.54,3.545,3.708,3.738,2.226,2.273,2.353,,-6.7%
Bordentown,08505,Burlington,40.132784,-74.71778,Bordentown,0303,3.049,3.188,3.284,3.488,3.521,3.583,3.898,4.083,4.302,4.934,5.051,2.3,2.383,2.484,2.526,2.567,3.025,3.149,3.307,3.331,3.363,3.464,3.516,,2.3%
Browns Mills,08015,Burlington,39.960596,-74.5606,Pemberton Township,0329,2.518,2.524,2.629,2.703,2.706,2.717,2.923,2.982,3.244,3.319,3.41,3.445,3.506,3.465,3.476,3.503,3.54,3.545,3.708,3.738,2.226,2.273,2.353,,-6.7%
Burlington,08016,Burlington,40.06834,-74.84463,Burlington,0305,2.285,2.412,2.476,2.577,2.638,2.832,3.04,3.159,3.257,3.416,3.64,3.843,4.027,4.285,4.533,3.089,3.174,3.26,3.371,3.496,3.633,3.748,3.813,,3.4%
Chatsworth,08019,Burlington,39.777314,-74.5354,Woodland Township,0339,2.128,2.265,2.718,2.683,2.738,2.354,2.435,2.66,2.829,2.989,1.65,1.652,1.599,1.724,1.708,1.69,1.638,1.707,1.961,2.092,2.188,2.271,2.514,,9.5%
Chesterfield,08515,Burlington,40.14821,-74.65125,Chesterfield Township,0307,2.16,2.188,2.269,2.399,2.55,2.837,3.086,3.134,3.104,3.25,1.56,1.638,1.739,1.835,2.079,2.408,2.238,2.418,2.575,2.704,2.812,2.84,2.904,,4.0%
Columbus,08022,Burlington,40.079952,-74.70684,Mansfield Township,0318,2.182,2.134,2.275,2.273,2.313,2.769,2.913,3.243,3.365,3.52,1.82,1.857,1.922,1.939,1.925,2.007,2.927,2.958,3.086,3.118,3.116,3.118,3.252,,2.0%
Cookstown,08511,Burlington,40.050128,-74.55611,New Hanover Township,0325,1.902,2.108,2.152,2.079,2.064,2.103,2.029,1.859,2.14,2.293,2.34,2.4,2.3,2.369,2.24,2.369,2.136,2.087,2.432,2.453,2.594,2.524,2.464,,3.6%
Florence,08518,Burlington,40.11791,-74.8047,Florence Township,0315,2.903,2.876,2.884,2.902,2.876,2.927,3.061,3.28,3.557,3.764,3.83,3.922,3.945,2.106,2.177,2.246,2.28,2.218,2.28,2.319,2.356,2.37,2.39,,1.6%
Fort Dix,08640,Burlington,40.003861,-74.61775,New Hanover Township,0325,1.902,2.108,2.152,2.079,2.064,2.103,2.029,1.859,2.14,2.293,2.34,2.4,2.3,2.369,2.24,2.369,2.136,2.087,2.432,2.453,2.594,2.524,2.464,,3.6%
Hainesport,08036,Burlington,39.985662,-74.83044,Hainesport Township,0316,2.36,2.317,2.373,2.448,2.494,2.655,2.759,2.946,3.103,3.255,3.41,3.39,3.461,3.486,3.548,3.531,2.076,2.127,2.25,2.3,2.351,2.377,2.447,,3.0%
Jobstown,08041,Burlington,40.038339,-74.6806,Springfield Township,0334,2.461,2.466,2.59,2.657,2.869,3.216,3.474,3.53,1.999,2.163,2.28,2.217,2.209,2.211,2.246,2.265,2.334,2.686,2.846,2.954,2.968,2.979,2.981,,2.2%
Juliustown,08042,Burlington,40.018503,-74.66656,Springfield Township,0334,2.461,2.466,2.59,2.657,2.869,3.216,3.474,3.53,1.999,2.163,2.28,2.217,2.209,2.211,2.246,2.265,2.334,2.686,2.846,2.954,2.968,2.979,2.981,,2.2%
Lumberton,08048,Burlington,39.967013,-74.80666,Lumberton Township,0317,2.751,2.735,2.469,2.503,2.525,2.717,2.82,3.415,3.388,3.551,1.92,1.971,1.985,2.041,2.048,2.145,2.159,2.158,2.243,2.26,2.31,2.354,2.39,,2.2%
Maple Shade,08052,Burlington,39.952212,-74.99464,Maple Shade Township,0319,2.9,2.971,2.937,2.698,2.814,2.976,3.15,3.312,3.748,2.007,2.14,2.223,2.259,2.394,2.481,2.552,2.583,3.151,3.25,3.322,3.372,3.412,3.472,,2.0%
Marlton,08053,Burlington,39.88488,-74.90416,Evesham Township,0313,2.531,2.648,2.756,2.882,2.98,3.178,3.439,3.725,3.885,4.148,4.31,4.48,2.376,2.431,2.463,2.483,2.493,2.525,2.602,2.65,2.722,2.756,2.781,,2.0%
Medford,08055,Burlington,39.865272,-74.8185,Medford Township,0320,2.531,2.663,2.84,2.915,2.987,3.281,3.528,3.809,3.949,4.161,4.31,4.277,4.308,4.407,4.47,2.758,2.856,2.953,3.046,3.092,3.103,3.125,3.169,,1.5%
Moorestown,08057,Burlington,39.968962,-74.9489,Moorestown Township,0322,2.819,2.877,2.927,3.055,3.19,3.342,3.59,3.832,4.02,4.227,4.379,1.842,1.897,1.925,1.942,1.949,2.295,2.339,2.466,2.498,2.508,2.486,2.56,,1.9%
Mount Holly,08060,Burlington,39.991562,-74.79747,Mount Holly Township,0323,3.326,3.138,3.041,3.094,3.164,3.298,3.404,3.647,3.9,4.308,4.7,4.875,4.886,4.878,2.421,2.468,2.509,2.546,2.642,2.701,2.767,2.842,2.895,,2.7%
Mount Laurel,08054,Burlington,39.949446,-74.90342,Mount Laurel Township,0324,2.395,2.487,2.542,2.53,2.64,2.85,3.132,3.213,3.407,3.532,3.694,3.768,3.846,4.017,4.029,4.095,4.302,2.543,2.57,2.601,2.627,2.694,2.706,,1.3%
New Gretna,08224,Burlington,39.595957,-74.45628,Bass River Township,0301,2.747,2.643,2.616,2.529,2.608,2.826,3.187,3.179,3.26,3.254,3.47,1.337,1.375,1.526,1.512,1.559,1.646,2.036,2.203,2.186,2.145,2.133,2.444,,4.0%
New Lisbon,08064,Burlington,39.961921,-74.63687,Pemberton Township,0329,2.518,2.524,2.629,2.703,2.706,2.717,2.923,2.982,3.244,3.319,3.41,3.445,3.506,3.465,3.476,3.503,3.54,3.545,3.708,3.738,2.226,2.273,2.353,,-6.7%
Palmyra,08065,Burlington,40.00278,-75.02626,Palmyra Borough,0327,2.888,3.018,3.076,3.308,3.345,3.367,3.39,3.503,3.687,4.002,4.33,4.453,4.625,4.968,5.028,5.021,3.34,3.487,3.648,3.701,3.775,3.824,3.879,,2.2%
Pemberton,08068,Burlington,39.961183,-74.66266,Pemberton Borough,0328,2.643,3.237,2.782,3.301,3.612,3.58,3.743,3.612,3.799,3.911,3.29,3,2.904,2.78,2.711,2.772,2.691,2.751,2.914,1.803,1.832,1.872,2.085,,-4.8%
Rancocas,08073,Burlington,40.010461,-74.86762,Westampton Township,0337,2.466,2.38,2.369,2.394,2.436,2.546,2.65,2.779,2.852,3.034,3.09,3.104,3.189,3.348,2.039,2.067,2.121,2.175,2.232,2.276,2.319,2.382,2.413,,2.2%
Riverside,08075,Burlington,40.029361,-74.9541,Riverside Township,0330,2.549,2.581,2.575,2.599,2.683,2.741,2.969,3.153,2.334,2.551,2.72,2.809,2.848,2.872,2.937,3.037,3.085,3.168,3.318,3.385,3.518,3.618,3.64,,3.0%
Riverton,08076,Burlington,39.862433,-74.725079,Riverton Borough,0331,3.146,3.281,3.447,3.545,3.719,3.861,4.114,4.486,4.8,5.019,5.19,5.226,2.451,2.572,2.59,2.621,3.137,3.192,3.272,3.338,3.478,3.549,3.59,,2.5%
Roebling,08554,Burlington,40.113883,-74.77977,Florence Township,0315,2.903,2.876,2.884,2.902,2.876,2.927,3.061,3.28,3.557,3.764,3.83,3.922,3.945,2.106,2.177,2.246,2.28,2.218,2.28,2.319,2.356,2.37,2.39,,1.6%
Vincentown,08088,Burlington,39.871699,-74.70528,Southampton Township,0333,2.237,2.456,2.583,2.724,2.796,2.988,2.568,2.78,3.005,3.189,3.239,3.27,3.304,3.366,3.351,2.5,2.506,2.571,2.665,2.752,2.812,2.802,2.869,,2.3%
Willingboro,08046,Burlington,40.029011,-74.88257,Willingboro Township,0338,3.106,3.237,3.396,3.598,3.624,3.665,3.947,4.153,4.37,5.18,5.18,5.277,5.264,3.201,3.244,3.251,3.338,3.451,3.625,3.754,3.792,3.901,3.975,,3.0%
Wrightstown,08562,Burlington,40.062215,-74.58893,Wrightstown Borough,0340,1.988,2.496,2.408,2.337,2.307,2.045,2.329,2.204,2.15,1.989,2.14,2.088,3.282,3.3,3.72,3.43,3.787,3.933,3.674,3.748,2.493,2.778,2.913,,-5.2%
Atco,08004,Camden,39.769357,-74.87264,Waterford Township,0435,2.99,3.087,3.27,3.42,3.51,3.84,4.035,4.018,4.18,4.484,4.76,4.771,4.925,5.111,5.198,5.406,5.453,5.523,3.779,3.881,3.938,4,4.004,,-5.5%
Audubon,08106,Camden,39.892213,-75.07212,Audubon Borough,0401,3.26,3.23,3.34,3.46,3.73,4.09,4.248,4.334,4.597,5.029,5.208,5.319,2.61,2.758,2.904,3.01,3.005,3.211,3.242,3.351,3.441,3.514,3.558,,2.2%
Barrington,08007,Camden,39.868013,-75.05424,Barrington Borough,0403,3.38,3.53,3.52,3.52,3.61,3.87,4.288,4.673,4.984,5.336,5.705,6.07,6.178,3.015,3.152,3.244,3.329,3.475,3.628,3.751,4.189,4.296,4.381,,5.2%
Bellmawr,08031,Camden,39.867013,-75.09162,Bellmawr Borough,0404,3.27,3.34,3.49,3.58,3.73,4.035,4.268,4.425,4.651,5.02,5.251,5.416,2.795,2.982,3.095,3.252,3.37,3.455,3.559,3.629,3.701,3.745,3.805,,2.0%
Berlin,08009,Camden,39.779582,-74.9365,Berlin Borough,0405,2.95,3.05,3.19,3.24,3.33,3.43,3.629,3.668,3.924,4.192,4.328,4.393,4.627,4.838,2.63,2.793,2.848,2.922,2.988,3.054,3.134,3.256,3.317,,2.7%
Blackwood,08012,Camden,39.784614,-75.05678,Gloucester Township,0415,2.87,2.838,2.98,3.12,3.33,3.569,3.84,4.255,4.658,4.88,5.035,5.004,5.242,2.99,3.037,3.082,3.135,3.304,3.322,3.583,3.666,3.789,3.804,,3.0%
Camden,08101,Camden,39.80237,-74.938259,Camden,0408,4.62,4.407,4.412,4.5,4.5,4.581,4.578,4.608,4.473,4.638,4.597,4.635,4.703,4.593,2.482,2.489,2.667,2.688,2.754,2.861,2.955,3.029,3.045,,2.7%
Cedar Brook,08018,Camden,39.80237,-74.938259,Cherry Hill Township,0409,2.96,3,3.07,3.18,3.309,3.54,3.81,4.093,4.479,4.88,5.008,5.203,5.319,5.45,5.756,5.874,3.452,3.536,3.577,3.64,3.693,3.739,3.748,,1.2%
Cherry Hill,08002,Camden,39.932279,-75.02266,Chesilhurst Borough,0410,2.57,2.321,2.74,2.72,2.46,3,3.2,3.225,3.463,3.837,4.047,2.24,2.419,2.631,2.846,2.907,2.999,3.021,3.162,3.206,3.318,3.397,3.413,,2.6%
Clementon,08021,Camden,39.810485,-74.99574,Clementon Borough,0411,3.41,3.323,3.35,3.46,3.65,3.74,3.91,4.075,4.251,4.49,4.829,4.883,4.985,5.174,3.239,3.346,3.496,3.612,3.64,3.737,3.878,4.296,4.243,,3.5%
Collingswood,08108,Camden,39.915263,-75.06401,Collingswood Borough,0412,6.2,6.368,3.33,3.49,3.54,3.757,3.949,4.158,4.516,5.081,5.335,2.459,2.621,2.852,2.979,3.016,3.089,3.15,3.24,3.339,3.428,3.474,3.508,,2.3%
Gibbsboro,08026,Camden,39.833847,-74.96899,Gibbsboro Borough,0413,4.28,4.312,4.38,4.32,4.41,4.82,2.807,3.073,3.345,3.665,3.9,4.099,4.049,4.249,4.4,4.449,4.495,4.723,4.867,5.032,5.059,5.118,3.599,,-4.8%
Glendora,08029,Camden,39.840463,-75.0687,Gloucester Township,0415,2.87,2.838,2.98,3.12,3.33,3.569,3.84,4.255,4.658,4.88,5.035,5.004,5.242,2.99,3.037,3.082,3.135,3.304,3.322,3.583,3.666,3.789,3.804,,3.0%
Gloucester City,08030,Camden,39.891113,-75.11836,Gloucester City,0414,2.92,2.833,2.86,2.94,2.942,3.148,3.35,3.498,3.632,3.923,4.125,4.467,4.741,5.004,5.224,5.144,5.175,5.246,3.666,4.07,4.231,4.32,4.406,,-3.2%
Haddon Heights,08035,Camden,39.87913,-75.06599,Haddon Heights Borough,0418,3.01,3.145,3.38,3.54,3.68,3.96,4.231,4.322,4.574,5.02,2.569,2.603,2.553,2.543,2.586,2.692,2.851,2.928,3.024,3.088,3.137,3.222,3.274,,2.4%
Haddon Township,08104,Camden,39.918663,-75.10976,Haddon Township,0416,3.04,3.02,3.12,3.18,3.25,3.49,3.841,4.073,4.373,4.842,5.129,5.28,5.393,5.543,3.044,3.148,3.271,3.339,3.399,3.512,3.579,3.633,3.652,,1.9%
Haddonfield,08033,Camden,39.895213,-75.04019,Haddonfield Borough,0417,2.84,2.95,3.17,3.32,3.5,3.76,4,4.202,4.45,4.762,4.892,2.31,2.338,2.451,2.57,2.642,2.747,2.779,2.842,2.923,2.99,3.063,3.1,,2.3%
Lawnside,08045,Camden,39.866513,-75.03197,Gloucester Township,0415,2.87,2.838,2.98,3.12,3.33,3.569,3.84,4.255,4.658,4.88,5.035,5.004,5.242,2.99,3.037,3.082,3.135,3.304,3.322,3.583,3.666,3.789,3.804,,3.0%
Magnolia,08049,Camden,39.85478,-75.03671,Magnolia Borough,0423,3.61,3.447,3.46,3.63,3.89,4.16,4.36,4.546,4.636,5.128,5.481,5.501,5.642,5.717,5.822,3.653,3.725,3.826,3.881,4.02,4.136,4.26,4.348,,2.7%
Merchantville,08109,Camden,39.949979,-75.05024,Merchantville Borough,0424,3.27,3.33,3.5,3.67,3.74,4.02,4.17,4.225,4.408,4.65,4.784,5.046,5.049,5.273,5.238,3.448,3.58,3.698,3.838,4.041,4.235,4.422,4.643,,5.1%
Mount Ephraim,08059,Camden,39.884263,-75.0923,Mount Ephraim Borough,0425,3.26,3.41,3.6,3.59,3.616,3.747,3.851,3.994,4.456,5.008,5.372,5.61,5.837,6.055,6.227,6.512,6.596,6.743,4.255,4.407,4.55,4.618,4.659,,-6.2%
Oaklyn,08107,Camden,39.908163,-75.08618,Oaklyn Borough,0426,3.12,3.12,3.2,3.32,3.47,3.63,3.802,3.96,4.531,4.963,5.195,5.318,5.532,5.737,5.915,6.124,3.87,4.069,4.227,4.307,4.357,4.449,4.52,,2.2%
Pennsauken,08110,Camden,39.966812,-75.05681,Pennsauken Township,0427,2.71,2.74,2.87,2.97,3.07,3.2,3.38,3.557,3.739,4.032,4.271,4.451,4.571,4.75,4.931,5.04,5.216,5.3,3.488,3.552,3.617,3.61,3.591,,-6.4%
Runnemede,08078,Camden,39.850013,-75.0767,Runnemede Borough,0430,3.07,3.07,3.19,3.31,3.42,3.66,3.995,4.305,4.491,4.742,4.87,4.978,5.047,5.104,5.351,5.502,3.66,3.75,3.799,3.788,3.836,3.937,4.014,,1.4%
Sicklerville,08081,Camden,39.741385,-74.99035,Winslow Township,0436,3.09,3.111,3.17,3.19,3.42,3.64,3.81,3.911,4.224,4.445,4.549,4.688,4.731,4.911,5.055,3.024,3.128,3.173,3.246,3.292,3.336,3.392,3.429,,1.6%
Somerdale,08083,Camden,39.842613,-75.02496,Somerdale Borough,0431,3.51,3.528,3.714,3.74,3.771,4.09,4.46,4.591,4.811,5.196,5.447,5.486,3.071,3.211,3.274,3.318,3.376,3.912,4.082,4.141,4.259,4.305,4.202,,1.5%
Stratford,08084,Camden,39.829014,-75.01371,Stratford Borough,0432,3.02,3.146,3.32,3.47,3.553,3.79,4.137,4.347,4.594,4.991,5.225,5.386,5.317,5.47,5.536,5.735,5.832,3.929,4.041,4.108,4.238,4.291,4.424,,2.5%
Voorhees,08043,Camden,39.851969,-74.96128,Voorhees Township,0434,3.82,3.89,3.91,4.052,4.28,4.6,4.86,5.134,5.321,2.31,2.375,2.456,2.478,2.595,2.708,2.754,3.415,3.523,3.565,3.676,3.853,3.92,3.946,,2.4%
Waterford Works,08089,Camden,39.722622,-74.8503,Waterford Township,0435,2.99,3.087,3.27,3.42,3.51,3.84,4.035,4.018,4.18,4.484,4.76,4.771,4.925,5.111,5.198,5.406,5.453,5.523,3.779,3.881,3.938,4,4.004,,-5.5%
West Berlin,08091,Camden,39.807695,-74.93392,Berlin Township,0406,2.75,2.785,2.85,3.06,3.32,3.481,3.65,3.986,4.111,4.381,4.499,4.593,4.664,4.794,5.182,5.344,5.449,5.556,5.647,3.578,3.602,3.643,3.623,,-7.0%
Winslow,08095,Camden,39.656976,-74.86043,Winslow Township,0436,3.09,3.111,3.17,3.19,3.42,3.64,3.81,3.911,4.224,4.445,4.549,4.688,4.731,4.911,5.055,3.024,3.128,3.173,3.246,3.292,3.336,3.392,3.429,,1.6%
Avalon,08202,Cape May,39.092928,-74.72688,Avalon Borough,0501,0.96,0.98,0.99,0.99,0.88,0.87,0.86,0.45,0.46,0.32,0.35,0.368,0.393,0.409,0.5,0.509,0.526,0.535,0.541,0.55,0.556,0.488,0.51,,-0.9%
Cape May,08204,Cape May,38.963652,-74.92319,Cape May,0502,1.64,1.6,1.63,1.69,1.62,1.78,1.84,0.76,0.76,0.77,0.77,0.833,0.853,0.74,0.784,0.827,0.838,0.865,0.865,0.832,0.884,0.931,0.987,,2.8%
Cape May Court House,08210,Cape May,39.081754,-74.83658,Middle Township,0506,2.29,2.32,2.33,2.38,2.36,2.49,2.72,2.73,2.81,2.91,1.15,1.185,1.238,1.306,1.365,1.41,1.65,1.651,1.663,1.676,1.722,1.759,1.781,,1.6%
Cape May Point,08212,Cape May,38.936896,-74.96526,Cape May Point Borough,0503,0.92,0.98,1.04,1.05,1.03,0.61,0.69,0.7,0.75,0.75,0.76,0.791,0.465,0.464,0.486,0.504,0.509,0.498,0.498,0.574,0.586,0.592,0.614,,4.7%
Dennisville,08214,Cape May,39.056521,-74.816619,Dennis Township,0504,1.82,1.81,1.82,1.8,1.81,2,2.08,2.26,2.27,1.02,1.06,1.096,1.135,1.164,1.172,1.217,1.244,1.262,1.519,1.543,1.592,1.645,1.716,,7.2%
Goshen,08218,Cape May,39.056521,-74.816619,Middle Township,0506,2.29,2.32,2.33,2.38,2.36,2.49,2.72,2.73,2.81,2.91,1.15,1.185,1.238,1.306,1.365,1.41,1.65,1.651,1.663,1.676,1.722,1.759,1.781,,1.6%
Green Creek,08219,Cape May,39.056521,-74.816619,Middle Township,0506,2.29,2.32,2.33,2.38,2.36,2.49,2.72,2.73,2.81,2.91,1.15,1.185,1.238,1.306,1.365,1.41,1.65,1.651,1.663,1.676,1.722,1.759,1.781,,1.6%
Marmora,08223,Cape May,39.264412,-74.64986,Upper Township,0511,1.46,1.5,1.63,1.59,1.76,1.87,2.16,2.23,2.55,1.05,1.12,1.158,1.172,1.207,1.289,1.325,1.361,1.408,1.725,1.772,1.744,1.764,1.811,,5.7%
Ocean City,08226,Cape May,39.265371,-74.59381,Ocean City,0508,1.65,1.7,1.72,1.78,1.79,1.85,0.97,0.97,0.96,0.97,1,0.676,0.706,0.733,0.752,0.783,0.842,0.882,0.895,0.907,0.943,0.958,0.967,,1.9%
Ocean View,08230,Cape May,39.20877,-74.70438,Dennis Township,0504,1.82,1.81,1.82,1.8,1.81,2,2.08,2.26,2.27,1.02,1.06,1.096,1.135,1.164,1.172,1.217,1.244,1.262,1.519,1.543,1.592,1.645,1.716,,7.2%
Rio Grande,08242,Cape May,39.017837,-74.87515,Middle Township,0506,2.29,2.32,2.33,2.38,2.36,2.49,2.72,2.73,2.81,2.91,1.15,1.185,1.238,1.306,1.365,1.41,1.65,1.651,1.663,1.676,1.722,1.759,1.781,,1.6%
Sea Isle City,08243,Cape May,39.145755,-74.69865,Sea Isle City,0509,1.54,1.54,1.58,1.61,1.58,1.68,1.69,0.56,0.57,0.61,0.64,0.518,0.546,0.572,0.575,0.579,0.583,0.584,0.589,0.672,0.695,0.71,0.718,,4.6%
South Dennis,08245,Cape May,39.176208,-74.81723,Dennis Township,0504,1.82,1.81,1.82,1.8,1.81,2,2.08,2.26,2.27,1.02,1.06,1.096,1.135,1.164,1.172,1.217,1.244,1.262,1.519,1.543,1.592,1.645,1.716,,7.2%
South Seaville,08246,Cape May,39.056521,-74.816619,Dennis Township,0504,1.82,1.81,1.82,1.8,1.81,2,2.08,2.26,2.27,1.02,1.06,1.096,1.135,1.164,1.172,1.217,1.244,1.262,1.519,1.543,1.592,1.645,1.716,,7.2%
Stone Harbor,08247,Cape May,39.051289,-74.76204,Stone Harbor Borough,0510,1.21,0.99,1.03,1.08,0.74,0.77,0.78,0.79,0.45,0.48,0.51,0.529,0.463,0.472,0.479,0.502,0.509,0.518,0.525,0.535,0.555,0.552,0.573,,2.1%
Strathmere,08248,Cape May,39.197394,-74.65699,Upper Township,0511,1.46,1.5,1.63,1.59,1.76,1.87,2.16,2.23,2.55,1.05,1.12,1.158,1.172,1.207,1.289,1.325,1.361,1.408,1.725,1.772,1.744,1.764,1.811,,5.7%
Tuckahoe,08250,Cape May,39.056521,-74.816619,Upper Township,0511,1.46,1.5,1.63,1.59,1.76,1.87,2.16,2.23,2.55,1.05,1.12,1.158,1.172,1.207,1.289,1.325,1.361,1.408,1.725,1.772,1.744,1.764,1.811,,5.7%
Villas,08251,Cape May,39.022256,-74.93616,Lower Township,0505,2.35,2.36,2.38,2.37,2.44,2.54,2.61,2.64,2.73,2.88,1.02,1.061,1.112,1.299,1.306,1.307,1.362,1.563,1.618,1.673,1.697,1.696,1.738,,2.2%
Whitesboro,08252,Cape May,39.037404,-74.85749,Middle Township,0506,2.29,2.32,2.33,2.38,2.36,2.49,2.72,2.73,2.81,2.91,1.15,1.185,1.238,1.306,1.365,1.41,1.65,1.651,1.663,1.676,1.722,1.759,1.781,,1.6%
Wildwood,08260,Cape May,38.987556,-74.822,Wildwood,0514,2.89,2.92,3,3.09,3.16,3.2,3.38,3.43,1.42,1.51,1.55,1.657,1.831,1.834,1.895,1.936,1.971,2.26,2.287,2.324,2.394,2.499,2.594,,3.0%
Woodbine,08270,Cape May,39.275059,-74.80041,Woodbine Borough,0516,2.13,2.13,2.12,2.13,2.16,2.17,2.26,2.35,2.4,2.51,1,1.099,1.146,1.156,1.173,1.292,1.359,1.35,1.369,1.446,1.54,1.577,1.607,,3.8%
Bridgeton,08302,Cumberland,39.445164,-75.24215,Bridgeton,0601,3.17,3.14,3.33,3.211,3.181,3.191,3.303,3.771,4.082,4.272,4.487,4.888,4.955,5.27,5.503,5.661,5.763,5.665,4.31,4.387,4.522,4.657,4.871,,-2.8%
Cedarville,08311,Cumberland,39.337205,-75.18577,Lawrence Township,0608,2.57,2.54,2.64,2.611,2.623,2.731,2.876,2.941,3.397,3.683,3.806,4.013,4.015,2.038,2.149,2.178,2.213,2.272,2.37,2.448,2.563,2.696,2.815,,4.8%
Deerfield Street,08313,Cumberland,39.530314,-75.22901,Deerfield Township,0603,2.75,2.77,2.98,3.084,3.425,3.7,3.922,2.636,2.866,2.968,2.931,3.223,2.948,2.98,3.075,2.971,2.992,3.093,3.187,3.306,3.346,3.397,3.573,,3.1%
Delmont,08314,Cumberland,39.219301,-74.94016,Maurice River Township,0609,2.33,2.44,2.35,2.497,2.561,2.709,2.976,3.091,3.329,3.633,3.886,4.068,4.153,2.056,2.244,2.366,2.385,2.442,2.488,2.504,2.57,2.576,2.638,,1.6%
Dividing Creek,08315,Cumberland,39.273214,-75.095025,Downe Township,0604,2.36,2.34,2.77,2.796,3.063,3.107,3.164,3.099,3.367,3.475,3.543,3.688,1.536,1.554,1.733,1.69,1.803,1.851,2.008,2.139,2.137,2.229,2.186,,3.6%
Dorchester,08316,Cumberland,39.274714,-74.97546,Maurice River Township,0609,2.33,2.44,2.35,2.497,2.561,2.709,2.976,3.091,3.329,3.633,3.886,4.068,4.153,2.056,2.244,2.366,2.385,2.442,2.488,2.504,2.57,2.576,2.638,,1.6%
Fairton,08320,Cumberland,39.379906,-75.221681,Fairfield Township,0605,2.84,2.72,2.99,3.077,2.164,2.16,2.227,2.51,2.676,3.007,3.421,3.608,3.741,3.978,2.083,2.203,2.212,2.275,2.312,2.375,2.504,2.49,2.493,,1.9%
Fortescue,08321,Cumberland,39.239649,-75.17225,Downe Township,0604,2.36,2.34,2.77,2.796,3.063,3.107,3.164,3.099,3.367,3.475,3.543,3.688,1.536,1.554,1.733,1.69,1.803,1.851,2.008,2.139,2.137,2.229,2.186,,3.6%
Greenwich,08323,Cumberland,39.402763,-75.3574,Greenwich Township,0606,2.65,2.78,2.88,3.368,3.373,3.915,4.359,2.635,2.809,3.03,3.344,3.257,3.228,3.341,3.27,3.592,3.585,3.701,4.077,4.068,4.243,3.46,3.545,,-0.8%
Heislerville,08324,Cumberland,39.218484,-74.99001,Maurice River Township,0609,2.33,2.44,2.35,2.497,2.561,2.709,2.976,3.091,3.329,3.633,3.886,4.068,4.153,2.056,2.244,2.366,2.385,2.442,2.488,2.504,2.57,2.576,2.638,,1.6%
Leesburg,08327,Cumberland,39.254836,-74.97767,Maurice River Township,0609,2.33,2.44,2.35,2.497,2.561,2.709,2.976,3.091,3.329,3.633,3.886,4.068,4.153,2.056,2.244,2.366,2.385,2.442,2.488,2.504,2.57,2.576,2.638,,1.6%
Mauricetown,08329,Cumberland,39.285464,-74.99687,Commercial Township,0602,2.89,2.57,2.59,2.543,2.513,2.725,2.895,3.08,3.545,3.825,3.926,4.225,1.794,2.036,2.12,2.065,2.07,2.076,2.164,2.133,2.215,2.302,2.28,,2.0%
Millville,08332,Cumberland,39.379382,-75.03923,Millville,0610,3.61,3.68,3.82,3.757,3.784,3.847,4.106,4.257,2.34,2.826,2.993,3.025,3.047,3.216,3.16,3.135,3.183,3.228,3.222,3.296,3.338,3.369,3.44,,1.3%
Newport,08345,Cumberland,39.28341,-75.15464,Downe Township,0604,2.36,2.34,2.77,2.796,3.063,3.107,3.164,3.099,3.367,3.475,3.543,3.688,1.536,1.554,1.733,1.69,1.803,1.851,2.008,2.139,2.137,2.229,2.186,,3.6%
Port Elizabeth,08348,Cumberland,39.314084,-74.97889,Maurice River Township,0609,2.33,2.44,2.35,2.497,2.561,2.709,2.976,3.091,3.329,3.633,3.886,4.068,4.153,2.056,2.244,2.366,2.385,2.442,2.488,2.504,2.57,2.576,2.638,,1.6%
Port Norris,08349,Cumberland,39.25682,-75.06683,Commercial Township,0602,2.89,2.57,2.59,2.543,2.513,2.725,2.895,3.08,3.545,3.825,3.926,4.225,1.794,2.036,2.12,2.065,2.07,2.076,2.164,2.133,2.215,2.302,2.28,,2.0%
