Municipality,MUNID,Price,Fair Value,Price Difference,Price Category
Red Bank Borough,1339,428448.0,863456.5740230505,-1.015312416029601,Overpriced
Rumson Borough,1341,1470482.0,854893.5238840831,0.4186304056193254,Overpriced
Chester Borough,1406,543000.0,672416.2605231319,-0.23833565473873283,Overpriced
Florham Park Borough,1411,661833.0,706878.4327247328,-0.06806162993494248,Overpriced
Lincoln Park Borough,1416,332407.0,683607.2590704848,-1.0565368932377621,Overpriced
Madison Borough,1417,827039.0,693479.5544083909,0.16149110935712718,Overpriced
Mendham Borough,1418,675194.0,685446.5798139652,-0.015184642952936854,Overpriced
Morris Plains Borough,1423,474675.0,346159.6510372129,0.2707438752046918,Overpriced
Mount Arlington Borough,1426,348519.0,342285.71489104454,0.01788506540233233,Overpriced
Rockaway Borough,1434,326221.0,352117.8881153747,-0.07938449123561855,Overpriced
Wharton Borough,1439,287521.0,355752.58345033356,-0.23730991284230912,Overpriced
Point Pleasant Beach Borough,1526,616091.0,741099.8259343118,-0.20290643092386002,Overpriced
Bloomingdale Borough,1601,289994.0,349482.2242204419,-0.2051360518508724,Overpriced
Haledon Borough,1603,298085.0,345417.34941112576,-0.15878809537925678,Overpriced
Hawthorne Borough,1604,371738.0,372389.8909005247,-0.0017536299773622346,Overpriced
Ringwood Borough,1611,357962.0,383711.45784247865,-0.07193349529413358,Overpriced
Totowa Borough,1612,407973.0,389807.94748205703,0.044525134060202434,Overpriced
Wanaque Borough,1613,310493.0,391709.4801997319,-0.2615726608964836,Overpriced
Bound Brook Borough,1804,252904.0,451612.45910235075,-0.7857070631636935,Overpriced
Manville Borough,1811,257089.0,453137.24709683063,-0.7625695657800631,Overpriced
Raritan Borough,1816,358261.0,477080.21173471934,-0.3316554459869183,Overpriced
Somerville Borough,1818,312433.0,642856.2016245034,-1.0575809905627873,Overpriced
Watchung Borough,1821,669491.0,618159.5643843092,0.07667233109286126,Overpriced
Hopatcong Borough,1912,262403.0,674689.3762028303,-1.5711953605821212,Overpriced
Fanwood Borough,2005,455116.0,495149.4215048412,-0.08796311600743807,Overpriced
Kenilworth Borough,2008,352237.0,581742.6510645093,-0.6515659941020089,Overpriced
Mountainside Borough,2010,624589.0,571594.9117094906,0.0848463362155104,Overpriced
Roselle Borough,2014,223068.0,549433.9056073617,-1.4630780999845863,Overpriced
Roselle Park Borough,2015,268059.0,544687.1304985051,-1.0319673299479035,Overpriced
