,city,latlng,radius,activityScore
102,Pequannock,"40.946748,-74.29575",3757.0866449031437,312
103,Pompton Lakes,"40.99948,-74.28806999999998",2997.43180111973,325
104,Pompton Plains,"40.964548,-74.29813",3249.908302744399,312
105,Ramsey,"41.058819,-74.14238",3327.104886220528,234
106,Ridgewood,"40.983997,-74.11438000000003",4194.720368043969,390
107,Glen Rock,"40.961109,-74.12576",2375.678839624651,364
108,Ringwood,"41.096095,-74.26012",8358.074868681257,357
109,Riverdale,"40.990032,-74.31023",2037.6653979359642,260
110,Saddle River,"41.054568,-74.09616",3233.2348179945725,234
111,Stockholm,"41.091254,-74.52081",7805.229589862373,318
112,Sussex,"41.229754,-74.60203",1063.0320573813597,6
113,Vernon,"41.193708,-74.5089",13406.818532873258,435
114,Waldwick,"41.013109,-74.12231",2623.4913728467136,266
115,Wanaque,"41.052958,-74.28236",4617.623919926242,286
116,Wayne,"40.94360800000001,-74.25004",8295.742368780036,435
117,West Milford,"41.102569,-74.37047",14184.108971380323,422
118,Wyckoff,"40.998583,-74.1671",3805.0436428597195,344
119,Paterson,"40.912198,-74.16863000000002",4376.238492773174,422
120,Hawthorne,"40.957498,-74.15626999999998",3041.31347575714,383
121,Haledon,"40.945198,-74.18285999999998",1780.6053238681695,234
122,Totowa,"41.011428,-74.304793",3273.8482989045465,351
123,Hackensack,"40.88867800000001,-74.0488",3550.306439928613,396
124,Bogota,"40.873876,-74.02769",1328.6624085078913,253
125,Hasbrouck Heights,"40.86289,-74.07506",2039.3722082624886,286
126,Leonia,"40.862685,-73.98550999999998",1925.4634297678858,370
127,South Hackensack,"40.863699,-74.04643",3915.93962266638,390
128,Maywood,"40.90503,-74.06279",1928.1308381886765,370
129,Teterboro,"40.853723,-74.05986999999998",1785.2780010250817,227
130,Alpine,"40.952814,-73.93064",5566.054580528382,409
131,Bergenfield,"40.923748,-73.99879",2300.160085109864,338
132,Closter,"40.971956,-73.96166",3206.594291987553,247
133,Cresskill,"40.942074,-73.96504",2434.3865330217727,273
134,Demarest,"40.955603,-73.96044",2264.351825918051,234
135,Dumont,"40.945173,-73.99342",1864.20713524027,260
136,Emerson,"40.97514,-74.02725",3008.551876409301,292
137,Englewood,"40.893343,-73.9758",3278.0016696711787,357
138,Englewood Cliffs,"40.883749,-73.95173",3134.78419892584,416
139,Harrington Park,"40.989357,-73.97958",2317.0273714748487,234
140,Haworth,"40.958573,-73.98659",2397.5909408428433,260
141,Hillsdale,"41.007389,-74.04247",2862.140421739061,292
142,Little Ferry,"40.850621,-74.04111999999998",2016.6773276281854,273
143,Lodi,"40.877999,-74.08265",2368.523110352118,383
144,Montvale,"41.048997,-74.04052",3445.9031118668527,286
145,New Milford,"40.936211,-74.0188",2513.1520442542023,344
146,Northvale,"41.009414,-73.94849",1890.501190383023,201
147,Norwood,"40.994442,-73.95586",2693.156272833689,247
148,Oradell,"40.953126,-74.03379",2694.6903307288753,299
149,Palisades Park,"40.845742,-73.99479000000002",1722.37223736268,338
150,Paramus,"40.947107,-74.07047",4797.711222909297,396
151,Park Ridge,"41.034672,-74.04065",2675.674307483712,299
152,Ridgefield,"40.832421,-74.00399",2735.943288217407,357
153,Ridgefield Park,"40.856749,-74.02278000000003",2119.3811870181926,377
154,River Edge,"40.927579,-74.03739",2202.638178236608,318
155,Rochelle Park,"40.906553,-74.07797",1813.5984893323805,318
156,Saddle Brook,"40.904131,-74.09474",2502.8718677079532,370
157,Teaneck,"40.890964,-74.01115",3815.124605814995,403
158,Tenafly,"40.92169000000001,-73.96481999999997",3597.1496267624093,390
159,Westwood,"40.99904,-74.03291",2608.405416036077,292
160,Township Of Washington,"40.989508,-74.061302",2520.836980715193,279
161,Woodcliff Lake,"41.025101,-74.059762",3309.567268459167,240
162,Red Bank,"40.352953,-74.07703000000002",2306.21144215033,292
163,Shrewsbury,"40.329128,-74.06315",2080.1210739834482,240
164,Fort Monmouth,"40.30912100000001,-74.0486",1333.271308792792,156
165,Fair Haven,"40.360581,-74.03738",2275.183377350494,214
166,Adelphia,"40.302718,-74.24928",2223.043910841976,136
167,Allenhurst,"40.236916,-74.0069",807.8595492210965,65
168,Asbury Park,"40.232713,-74.03143",1712.0664946099125,260
169,Belmar,"40.302718,-74.24928",2167.8974593961802,130
170,Atlantic Highlands,"40.407958,-74.03483",3244.4003340011964,240
171,Avon By The Sea,"40.191809,-74.01688",1139.5105290292533,247
172,Belford,"40.415902,-74.08689",1701.7670634081642,117
173,Bradley Beach,"40.202113,-74.01353",1081.0672247758332,201
174,Cliffwood,"40.435961,-74.23734",1545.454978655645,162
175,Colts Neck,"40.300226,-74.18306",7609.374392862674,338
176,Deal,"40.250104,-74.00153",1755.8480036935468,136
177,Eatontown,"40.301979,-74.06889",3338.3679855527084,338
178,Englishtown,"40.294244,-74.34213000000003",1156.7483600027704,58
179,Farmingdale,"40.205367,-74.15767",1125.22635523024,45
180,Freehold,"40.241036,-74.27629",10548.036574333744,409
181,Hazlet,"40.423298,-74.179",4202.2931001798315,409
182,Howell,"40.146597,-74.20815",10833.354998763107,422
183,Highlands,"40.404474,-73.9904",2193.471940756984,247
184,Holmdel,"40.384832,-74.17194",6537.539931524104,416
185,Keansburg,"40.444407,-74.13298",6104.9049620663445,403
186,Keyport,"40.439714,-74.19374",2010.2403216180103,299
187,Leonardo,"40.416772,-74.06058",1249.1725037753176,32
188,Lincroft,"40.337374,-74.12059",3927.1554769769655,292
189,Little Silver,"40.33517,-74.04059000000002",3135.3568722920236,370
190,Long Branch,"40.297932,-73.99096999999998",4244.147154856065,370
191,Marlboro,"40.316876,-74.26111999999998",8601.454234297835,416
192,Matawan,"40.411102,-74.23767",2505.344593827039,305
193,Middletown,"40.410213,-74.11718",12063.431115078962,461
194,Monmouth Beach,"40.332877,-73.97986",2048.2600995394478,182
195,Morganville,"40.361014,-74.26595",4027.922132123581,253
196,Navesink,"40.40227700000001,-74.02728499999998",1724.1850121941,195
