,city,latlng,radius,activityScore
449,Newfield,"39.562763,-75.00955",1878.4940022110425,0
450,Newport,"39.28341,-75.15464",864.9185386098592,0
451,Newtonville,"39.562719,-74.85853",1965.9154871880878,13
452,Norma,"39.499765,-75.082022",306.35549694043635,0
453,Port Elizabeth,"39.314084,-74.97889",760.1908650089648,6
454,Port Norris,"39.25682000000001,-75.06683000000002",4443.917977250997,52
455,Richland,"39.490774,-74.87045",2370.207174274165,39
456,Rosenhayn,"39.475565,-75.12933000000002",2892.8333010684646,13
457,Shiloh,"39.458114,-75.29760999999998",1537.3182541423444,26
458,Vineland,"39.492265,-75.01886999999998",13413.673158139149,409
459,Atlantic City,"39.364966,-74.43903",6205.634196385493,468
460,Margate City,"39.329416,-74.50661",2081.4118557109446,221
461,Longport,"39.314766,-74.52675",2074.276686037283,188
462,Ventnor City,"39.342299,-74.48192",2850.343103608781,331
463,Allentown,"40.164556,-74.57785",1178.4061756449232,13
464,Belle Mead,"40.460137,-74.63592",1447.116697459418,19
465,Blawenburg,"40.425369,-74.66875300000002",381.9888912574448,0
466,Bordentown,"40.132784,-74.71778",1459.4982027760725,162
467,Millstone Township,"40.18238,-74.42134",11110.18936099366,429
468,Cookstown,"40.050128,-74.55611",1131.2524656637129,19
469,Cranbury,"40.306286,-74.52627",5200.52743152698,351
470,Cream Ridge,"40.134892,-74.48688",1451.486614808346,6
471,Chesterfield,"40.14821,-74.65125",7601.340510667541,390
472,Florence,"40.11791,-74.8047",4840.003214561601,403
473,Hightstown,"40.262809,-74.53246",1538.7367680043335,214
474,Hopewell,"40.386902,-74.78112",1408.0910982321338,19
475,Imlaystown,"40.162275,-74.475936",4800.0,208
476,Jackson,"40.11597,-74.32251",13687.12636354653,422
477,Kingston,"40.377173,-74.61538",1643.8455372500466,136
478,Lambertville,"40.375039,-74.93184000000002",1997.7019452060242,325
479,New Egypt,"40.075185,-74.48433",3335.861830891425,84
480,Pennington,"40.32315,-74.78364",1548.1796600861694,149
481,Perrineville,"40.228497,-74.45064",377.605207579862,0
482,Plainsboro,"40.33371,-74.58511999999997",5183.727165175147,318
483,Princeton,"40.357439,-74.64922",6565.022653584458,416
484,Princeton Junction,"40.292358,-74.60902",2384.5401386821623,149
485,Ringoes,"40.449171,-74.84979",7527.791723925252,318
486,Rocky Hill,"40.400406,-74.63895",1168.3637799413925,130
487,Roebling,"40.113883,-74.77977",1745.8635377195862,65
488,Roosevelt,"40.22142,-74.47378",2142.927467841638,19
489,Rosemont,"40.41996500000001,-74.988619",4800.0,169
490,Sergeantsville,"40.563654,-74.949409",509.46358548386235,6
491,Skillman,"40.410155,-74.70725999999998",2528.127919072477,26
492,Stockton,"40.435878,-74.96511",1269.241384259359,6
493,Titusville,"40.31049,-74.85947",1298.865611866215,32
494,Windsor,"40.242009,-74.58006",2890.2505534675206,130
495,Wrightstown,"40.062215,-74.58893",3549.6317713205435,201
496,Trenton,"40.280531,-74.712018",5264.337231257623,396
497,Fort Dix,"40.003861,-74.61775",5931.363617649081,273
498,Lakewood,"40.082782,-74.2094",7068.413895803968,357
499,Allenwood,"40.14386,-74.10285999999998",3004.606767404734,117
500,Bayville,"39.902851,-74.16037",1498.639847510785,97
501,Beachwood,"39.931068,-74.19618",2790.69307037423,253
502,Brick,"40.042479,-74.123",8881.580034851457,448
503,Brielle,"40.10843300000001,-74.06226",2668.8496423300576,377
504,Forked River,"39.848035,-74.21297",5637.29443333973,299
505,Island Heights,"39.942616,-74.14689",1520.6467565495952,208
506,Lakehurst,"40.017117,-74.30490999999998",1724.561644384015,143
507,Lanoka Harbor,"39.862864,-74.16624",2385.7871123189047,175
508,Lavallette,"39.982101,-74.06768000000002",1564.3575363154084,130
509,Manasquan,"40.120261,-74.05765",3037.9079878980883,383
510,Mantoloking,"40.025258,-74.05579",1888.7843655233708,58
511,Normandy Beach,"40.000759,-74.24928",949.4933087221353,19
512,Ocean Gate,"39.925301,-74.13488000000002",1087.8393798777176,32
513,Pine Beach,"39.934318,-74.16773",1306.228391682312,117
514,Point Pleasant Beach,"40.08116500000001,-74.06003",2179.9045957026356,312
515,Sea Girt,"40.133754,-74.04123",1676.733884263171,253
516,Seaside Heights,"39.948518,-74.0759",1394.447932339728,247
517,Seaside Park,"39.920268,-74.07967",1520.5369462141448,104
518,Toms River,"39.974584,-74.15141",11433.859200487823,474
519,Waretown,"39.784513,-74.22376",1671.4496424448914,104
520,Manchester Township,"39.943541,-74.36949",15870.633474648133,370
521,Annandale,"40.624538,-74.89118",2007.035017153583,195
522,Asbury,"40.661172,-75.0321",1343.1842123875324,26
523,Baptistown,"40.563654,-74.949409",267.9827832341705,6
524,Bloomsbury,"40.652484,-75.08959",2283.931725847195,45
525,Bound Brook,"40.567953,-74.54034",2060.0007680483936,253
526,Bridgewater,"40.588097,-74.62253",9499.888279749865,409
527,Broadway,"40.737213,-75.046926",2048.1124725998843,39
528,Clinton,"40.639546,-74.91292",1687.6292383551956,156
529,Dayton,"40.372881,-74.51363",2344.970954012596,123
530,Dunellen,"40.594502,-74.47166",1499.5394172391493,227
531,East Brunswick,"40.434239,-74.40504",8491.908381110605,409
532,Edison,"40.516104,-74.39754",9149.012629618543,435
533,Flagtown,"40.51857800000001,-74.68545",793.5880909915372,13
534,Flemington,"40.515645,-74.85319",1434.4468523679748,188
535,Franklin Park,"40.439412,-74.55565",3140.6925356257966,208
536,Kendall Park,"40.423055,-74.55351999999998",2874.835484651511,201
537,Frenchtown,"40.509998,-75.03239",1456.9674382092248,32
538,Glen Gardner,"40.716332,-74.91405",1781.0175568801737,6
539,Hampton,"40.677404,-74.96875",1873.99570066997,0
540,Helmetta,"40.37594,-74.41955",1651.24059438085,39
541,High Bridge,"40.668594,-74.89241",2138.6085601145724,130
542,Iselin,"40.571504,-74.3183",2613.938346214178,344
543,Monroe Township,"40.336508,-74.43302",9413.998816394178,383
544,Keasbey,"40.517855,-74.30325",1801.653459228056,156
545,Lebanon,"40.643314,-74.82345",1406.2812821876712,84
546,Little York,"40.563654,-74.949409",2591.1641166485038,32
547,Manville,"40.53890300000001,-74.59222",2496.5556499204886,208
548,Martinsville,"40.59555200000001,-74.55174",6894.208685039694,409
549,Metuchen,"40.543354,-74.3587",2174.747281525374,318
550,Hillsborough,"40.502477,-74.650023",12098.579357163264,435
551,Middlesex,"40.574552,-74.50187",3226.5017242338176,344
552,Milford,"40.587606,-75.10401999999998",1594.1769306745994,32
553,Milltown,"40.451105,-74.43938",1953.7513619493297,240
554,Monmouth Junction,"40.389428,-74.54329",2606.840544829449,169
555,Neshanic Station,"40.51057,-74.72471999999998",885.6565092360428,19
556,Piscataway,"40.555355,-74.46094000000002",6908.0738769466425,429
557,Old Bridge,"40.397507,-74.3298",11431.735931301826,442
558,Oldwick,"40.681694,-74.73624000000002",1235.28526891883,6
559,Parlin,"40.461851,-74.30343",1328.6306223044867,175
560,Perth Amboy,"40.520105,-74.27708",3404.0696986484704,357
561,Fords,"40.535304,-74.31104",2593.5380889252388,318
562,Phillipsburg,"40.689123,-75.17243",2905.4534533865954,344
563,Pittstown,"40.583035,-74.96224000000002",3420.602306405298,45
564,Quakertown,"40.565493,-74.93893100000003",360.2020362956634,6
565,Raritan,"40.571302,-74.6374",2328.997511142978,331
566,Readington,"40.563654,-74.949409",11576.510411037916,396
567,Sayreville,"40.430006,-74.417344",7940.1605180604865,390
568,Somerset,"40.505253,-74.50723",3528.500620144594,266
569,Somerville,"40.545853,-74.63592",2218.1167624044906,162
570,South Amboy,"40.469606,-74.27669",2470.4033911347224,292
571,South Bound Brook,"40.553803,-74.52976",1437.8880776408937,253
572,South River,"40.445006,-74.38179000000002",2873.72468260433,325
573,Spotswood,"40.39159,-74.39329000000002",2532.6668398337815,195
574,Stanton,"40.576372,-74.83110500000002",148.79682651222979,0
575,Stewartsville,"40.694938,-75.11180999999998",6408.271171250758,299
576,Three Bridges,"40.525361,-74.79632",2746.5253033809972,32
577,Whitehouse,"40.619412,-74.740597",2432.847511029196,123
578,Whitehouse Station,"40.612851,-74.76682",1812.494584788741,162
579,Zarephath,"40.536069,-74.578872",1414.7794589024572,143
580,New Brunswick,"40.488304,-74.44775",4737.694438985878,422
581,North Brunswick,"40.453131,-74.48286999999998",6116.069182305925,422
582,Highland Park,"40.500254,-74.4257",2113.167933138056,338
