Municipal ID,Rank,Zip,Latitude,Longitude,EduScore
1107,171,8648,40.2648678,-74.7297736,276
1108,290,8534,40.30113953,-74.78510433,291
1111,370.5,8631.75,40.2283476,-74.73920275,184
1112,322,8691,40.2381163,-74.6182663,427
1113,399,8550,40.305586,-74.618714,400
1114,314,8540,40.3572615,-74.6555009,409
1201,49,7008,40.58031,-74.2273786,124
1203,73,8812,40.5922364,-74.4680411,172
1204,75,8816,40.4256649,-74.39008823,186
1205,83,8824.666667,40.53306973,-74.37245247,443
1207,135,8904,40.5025008,-74.4255851,245
1209,202,8840,40.5536644,-74.3544671,408
1210,203,8846,40.5824689,-74.4946344,379
1213,224,8901,40.4807916,-74.482053,72
1214,252,8902,40.45293,-74.4692317,191
1216,296,8861,40.51960267,-74.26962,132
1217,300.5,8854,40.5353254,-74.44958235,213
1218,308,8536,40.3224272,-74.6006964,430
1219,269,8859,40.4630356,-74.3172733,180
1220,349,8879,40.4814528,-74.2741291,111
1221,209,8852,40.3738104,-74.5640925,359
1222,350,7080,40.5891604,-74.4124407,279
1223,351,8882,40.4395491,-74.3804649,160
1224,354,8884,40.3985818,-74.3884155,320
1225,256.25,7521.75,40.56892278,-74.2971516,283
1301,1,7747,40.4112981,-74.2224919,404
1303,3,8501,40.1732018,-74.5868772,392
1304,6,7712,40.2284978,-74.0131736,101
1310,62,7722,40.2762786,-74.2089446,356
1313,97,7726,40.290075,-74.3351859,266
1315,102,7727,40.1862284,-74.1790427,209
1316,109,7728,40.2496891,-74.26734673,369
1318,134,7730,40.4275234,-74.1513146,274
1319,136.5,7732,40.42632485,-73.99249155,406
1320,144,7733,40.3813183,-74.1787577,439
1323,162,7734,40.4399536,-74.1238641,65
1324,165,7735,40.428409,-74.1961956,135
1325,179,7739,40.3496858,-74.0388763,401
1327,182,7740,40.2902774,-73.9901132,149
1329,188,8736,40.1276872,-74.0491983,395
1330,193,7746,40.329545,-74.2470946,434
1331,195,7747,40.4069153,-74.2720614,227
1332,194,7744.666667,40.3639896,-74.11463363,360
1334,222.5,7753,40.2136625,-74.03703675,282
1337,258,7755,40.2671832,-74.0293352,226
1341,327,7760,40.3692353,-74.0019122,435
1346,167,7719,40.1712029,-74.0278548,78
1349,364,7724,40.303775,-74.091048,269
1352,381.5,7719,40.1692235,-74.06153785,421
1353,395,7764,40.2992882,-74.0262591,285
1401,23,7005,40.903221,-74.403031,345
1403,36,7405,40.9977954,-74.3396392,362
1404,51,7928,40.7315069,-74.4006307,450
1406,54,7930,40.8122949,-74.7292699,476
1408,68.5,7834,40.88210755,-74.49385235,441
1409,71,7801,40.8979444,-74.559693,244
1410,77,7936,40.8041642,-74.3730725,416
1412,403,7981,40.8142162,-74.4237087,464
1415,166,7405,40.9963753,-74.377956,440
1417,184,7940,40.76975,-74.4087761,451
1418,201,7945,40.7761621,-74.5920761,472
1421,213,7045,40.8933696,-74.3604198,459
1423,215,7950,40.86156,-74.4564095,424
1424,216,7960,40.8011472,-74.4864486,291
1425,219.5,7046,40.8952526,-74.4271898,462
1427,103,7836,40.858616,-74.713984,376
1429,270,7054,40.8697257,-74.3919421,406
1431,313,7444,40.9605569,-74.3056796,448
1432,317,7869,40.8464632,-74.5666272,394
1434,323.5,7866,40.890836,-74.52918,420
1436,357,7876,40.8619227,-74.6407752,341
1501,10,8005,39.7729881,-74.2346316,189
1505,13,8721,39.8894224,-74.2105845,183
1507,26.5,8723.5,40.088797,-74.14114105,283
1508,366,8753,39.96772417,-74.17634593,220
1512,148.5,8527,40.0982453,-74.30359675,227
1513,170,8734,39.8606743,-74.1948641,184
1515,168,8701,40.0992708,-74.1931363,66
1517,177,8087,39.6098794,-74.3596761,298
1519,189,8759,40.0055734,-74.3101712,173
1524,225,8533,40.0802066,-74.529223,366
1525,312,7442,41.0045131,-74.2886286,380
1526,310.5,8742,40.08401275,-74.06199425,362
1531,186.5,8050,39.71405075,-74.254774,364
1602,59,7013,40.8696445,-74.1633561,187
1603,125,7508,40.9415722,-74.1785841,84
1604,133,7506,40.9533911,-74.1596865,240
1605,178,7424,40.879005,-74.21701,253
1607,271.5,7055,40.8579076,-74.12542415,104
1608,279.5,7502.928571,40.9131845,-74.17093077,43
1613,384,7465,41.059251,-74.282753,396
1614,389,7470,40.94331367,-74.22402743,409
1615,303,7452,41.0374062,-74.4958531,339
1702,48,8069,39.7158329,-75.4580026,99
1704,94,7407,40.9095873,-74.1295931,185
1709,294,8070,39.6510907,-75.5178918,120
1711,303,8318,39.5288419,-75.1631113,139
1713,331,8079,39.5607665,-75.4836415,88
1715,412.5,8098,39.63968175,-75.34415685,301
1801,346.5,8873,40.51693605,-74.55896065,354
1802,11,7920,40.6943602,-74.5468722,475
1803,18,7924,40.7213623,-74.5671292,349
1804,25,8805,40.5676296,-74.5363497,77
1806,30.5,8807,40.59047715,-74.61894985,426
1810,139,8844,40.4961069,-74.6559624,437
1811,190,8835,40.5445655,-74.5982255,219
1813,343,8558,40.4174592,-74.7064384,468
1814,254,7060,40.62277,-74.438452,143
1818,348,8876,40.578621,-74.611487,238
1820,385,7059,40.6525753,-74.4754909,346
1909,126,7419,41.154101,-74.590924,207
1912,145,7843,40.9266352,-74.6708538,114
1915,248.5,7860,41.06937965,-74.75201065,320
1918,352.5,7871,41.0758591,-74.6384299,312
1919,356,7874,40.91974,-74.700322,370
