Rank,School,Address,City,Municipal ID,Zip,District,Full_Address,Latitude,Longitude,EduScore
94,Memorial Senior High School,375 River Dr,Elmwood Park,1704,7407,Elmwood Park School District,"375 River Dr, Elmwood Park, NJ 07407",40.9095873,-74.1295931,180
95,Emerson Junior Senior High,131 Main Street,Emerson,214,7630,Emerson Public School District,"131 Main Street, Emerson, NJ 07630",40.9726428,-74.0175265,313
96,Dwight Morrow High School/Academies@Englewood,274 Knickerbocker Rd,Englewood,215,7631,Englewood Public School District,"274 Knickerbocker Rd, Englewood, NJ 07631",40.9073806,-73.9832784,205
97,Manalapan High School,20 Church Lane,Englishtown,1313,7726,Freehold Regional High School District,"20 Church Lane, Englishtown, NJ 07726",40.290075,-74.3351859,258
98,Timber Creek Regional High School,501 Jarvis Road,Erial,414,8081,Black Horse Pike Regional School District,"501 Jarvis Road, Erial, NJ 08081",39.7616794,-75.0178513,232
99,Ewing High School,900 Parkway Ave,Ewing,1102,8618,Ewing Township School District,"900 Parkway Ave, Ewing, NJ 08618",40.25495,-74.7906435,105
100,Trenton Stem-to-Civics Charter School,1555 Pennington Raod,Ewing,1102,8618,Trenton Stem-to-Civics Charter School,"1555 Pennington Raod, Ewing, NJ 08618",40.2519224,-74.7778907,34
101,Fair Lawn High School,14 00 Berdan Avenue,Fair Lawn,217,7410,Fair Lawn Public School District,"14 00 Berdan Avenue, Fair Lawn, NJ 07410",40.9325867,-74.1245849,443
102,Howell High School,405 Squankum Yellowbrook Road,Farmingdale,1315,7727,Freehold Regional High School District,"405 Squankum Yellowbrook Road, Farmingdale, NJ 07727",40.1862284,-74.1790427,203
103,Mount Olive High School,18 Corey Road,Flanders,1427,7836,Mount Olive Township School District,"18 Corey Road, Flanders, NJ 07836",40.858616,-74.713984,364
104,Hunterdon Central Regional High School District,84 Route 31,Flemington,1009,8822,Hunterdon Central Regional High School District,"84 Route 31, Flemington, NJ 08822",40.5171201,-74.851901,441
105,Fort Lee High School,3000 Lemoine Ave,Fort Lee,219,7024,Fort Lee School District,"3000 Lemoine Ave, Fort Lee, NJ 07024",40.858348,-73.964789,327
106,Ramapo High School,331 George Street,Franklin Lakes,220,7417,Ramapo Indian Hills Regional High School District,"331 George Street, Franklin Lakes, NJ 07417",40.9981332,-74.1926112,447
107,Delsea Regional High School,242 Fries Mill Rd,Franklinville,805,8322,Delsea Regional High School District,"242 Fries Mill Rd, Franklinville, NJ 08322",39.6083488,-75.0653126,192
108,Biotechnology High School,5000 Kozloski Road,Freehold,1316,7728,Monmouth County Vocational School District,"5000 Kozloski Road, Freehold, NJ 07728",40.2611895,-74.2510375,492
109,Freehold Township High School,281 Elton Adelphia Road,Freehold,1316,7728,Freehold Regional High School District,"281 Elton Adelphia Road, Freehold, NJ 07728",40.2201507,-74.2826357,300
110,Freehold Borough High School,2 Robertsville Road,Freehold,1316,7728,Freehold Regional High School District,"2 Robertsville Road, Freehold, NJ 07728",40.2677271,-74.268367,280
111,Delaware Valley Regional High School,19 Senator Stout Rd,Frenchtown,1011,8825,Delaware Valley Regional High School District,"19 Senator Stout Rd, Frenchtown, NJ 08825",40.5626984,-75.0057424,373
112,Absegami High School,201 S Wrangleboro Road,Galloway,111,8205,Greater Egg Harbor Regional High School District,"201 S Wrangleboro Road, Galloway, NJ 08205",39.4807236,-74.5161163,225
113,Bergen Arts and Sciences Charter School,200 MacArthur Avenue,Garfield,221,7026,Bergen Arts and Science Charter School,"200 MacArthur Avenue, Garfield, NJ 07026",40.8741284,-74.0985314,379
114,Garfield High School,500 Palisade Ave,Garfield,221,7026,Garfield Public School District,"500 Palisade Ave, Garfield, NJ 07026",40.8826883,-74.1125259,114
115,Glassboro High School,560 Joseph L Bowe Blvd,Glassboro,806,8028,Glassboro School District,"560 Joseph L Bowe Blvd, Glassboro, NJ 08028",39.715868,-75.121398,149
116,Voorhees High School,256 County Route 513,Glen Gardner,1012,8826,North Hunterdon-Voorhees Regional High School District,"256 County Route 513, Glen Gardner, NJ 08826",40.6957702,-74.8868766,401
117,Glen Ridge High School,200 Ridgewood Ave,Glen Ridge,708,7028,Glen Ridge Public School District,"200 Ridgewood Ave, Glen Ridge, NJ 07028",40.7993268,-74.2064682,470
118,Glen Rock High School,400 Hamilton Avenue,Glen Rock,222,7452,Glen Rock Public School District,"400 Hamilton Avenue, Glen Rock, NJ 07452",40.955201,-74.1226189,400
119,Gloucester City Junior Senior High School,1300 Market Street,Gloucester City,414,8030,Gloucester City Public School District,"1300 Market Street, Gloucester City, NJ 08030",39.8851676,-75.1109651,244
120,Bergen County Academies,200 Hackensack Avenue,Hackensack,223,7601,Bergen County Vocational Technical School District,"200 Hackensack Avenue, Hackensack, NJ 07601",40.9017414,-74.0335932,493
121,Hackensack High School,First & Beech Streets,Hackensack,223,7601,Hackensack School District,"First & Beech Streets, Hackensack, NJ 07601",36.321633,-95.848855,215
122,Hackettstown High School,599 Warren Street,Hackettstown,2108,7840,Hackettstown Public School District,"599 Warren Street, Hackettstown, NJ 07840",40.843186,-74.830174,339
123,Haddon Heights Junior/Senior High School,301 Second Avenue,Haddon Heights,418,8035,HADDON HEIGHTS School District,"301 Second Avenue, Haddon Heights, NJ 08035",39.88413,-75.0502024,222
124,Haddonfield Memorial High School,401 Kings Highway East,Haddonfield,417,8033,Haddonfield School District,"401 Kings Highway East, Haddonfield, NJ 08033",39.9019489,-75.0264294,459
125,Passaic County-Manchester Regional High School,70 Church Street,Haledon,1603,7508,Passaic County Manchester Regional High School District,"70 Church Street, Haledon, NJ 07508",40.9415722,-74.1785841,83
126,Wallkill Valley Regional High School,10 Grumm Road,Hamburg,1909,7419,Wallkill Valley Regional High School,"10 Grumm Road, Hamburg, NJ 07419",41.154101,-74.590924,202
127,Hamilton East - Steinert,2900 Klockner Road,Hamilton,1103,8690,Hamilton Township Public School District,"2900 Klockner Road, Hamilton, NJ 08690",40.2162325,-74.6618173,173
128,Hamilton North - Nottingham,1055 Klockner Road,Hamilton,1103,8619,Hamilton Township Public School District,"1055 Klockner Road, Hamilton, NJ 08619",40.2297455,-74.7092898,139
129,Hamilton West-Watson,2720 South Clinton Avenue,Hamilton,1103,8610,Hamilton Township Public School District,"2720 South Clinton Avenue, Hamilton, NJ 08610",40.199059,-74.723361,121
130,Hammonton High School,566 Old Forks Road,Hammonton,113,8037,Hammonton School District,"566 Old Forks Road, Hammonton, NJ 08037",39.6565046,-74.8073024,284
131,Harrison High School,401 Kingsland Avenue,Harrison,904,7029,Harrison Public Schools,"401 Kingsland Avenue, Harrison, NJ 07029",40.7497787,-74.1476681,111
132,Hasbrouck Heights High School,365 Boulevard,Hasbrouck Heights,225,7604,Hasbrouck Heights School District,"365 Boulevard, Hasbrouck Heights, NJ 07604",40.8667137,-74.0738908,349
133,Hawthorne High School,160 Parmelee Avenue,Hawthorne,1604,7506,Hawthorne Public School District,"160 Parmelee Avenue, Hawthorne, NJ 07506",40.9533911,-74.1596865,233
134,Raritan High School,419 Middle Road,Hazlet,1318,7730,Hazlet Township Public School District,"419 Middle Road, Hazlet, NJ 07730",40.4275234,-74.1513146,266
135,Highland Park High School,102 North Fifth Avenue,Highland Park,1207,8904,Highland Park Boro School District,"102 North Fifth Avenue, Highland Park, NJ 08904",40.5025008,-74.4255851,238
136,Marine Academy Of Science And Technology,305 Mast Way,Highlands,1319,7732,Monmouth County Vocational School District,"305 Mast Way, Highlands, NJ 07732",40.4602808,-73.9996845,479
137,Henry Hudson Regional School,1 Grand Tour,Highlands,1319,7732,Henry Hudson Regional School District,"1 Grand Tour, Highlands, NJ 07732",40.3923689,-73.9852986,308
138,Hightstown High School,25 Leshin Lane,Hightstown,1104,8520,East Windsor Regional School District,"25 Leshin Lane, Hightstown, NJ 08520",40.2608493,-74.5312858,239
139,Hillsborough High School,466 Raider Boulevard,Hillsborough,1810,8844,Hillsborough Township Public School District,"466 Raider Boulevard, Hillsborough, NJ 08844",40.4961069,-74.6559624,423
140,Pascack Valley High School,200 Piermont Avenue,Hillsdale,227,7642,Pascack Valley Regional High School District,"200 Piermont Avenue, Hillsdale, NJ 07642",41.0090971,-74.0290024,430
141,Hillside High School,1085 Liberty Ave,Hillside,2007,7205,Hillside Public School District,"1085 Liberty Ave, Hillside, NJ 07205",40.6913258,-74.2360149,88
142,Hoboken Charter School,713 Washington St,Hoboken,905,7030,Hoboken Charter School,"713 Washington St, Hoboken, NJ 07030",40.7452277,-74.0281532,145
143,Hoboken High School,Ninth & Clinton Sts,Hoboken,905,7030,Hoboken Public School District,"Ninth & Clinton Sts, Hoboken, NJ 07030",40.7606894,-73.9703853,100
144,Holmdel High School,36 Crawfords Corner Road,Holmdel,1320,7733,Holmdel Township School District,"36 Crawfords Corner Road, Holmdel, NJ 07733",40.3813183,-74.1787577,425
145,Hopatcong High School,2A Windsor Ave,Hopatcong,1912,7843,Hopatcong Borough School District,"2A Windsor Ave, Hopatcong, NJ 07843",40.9266352,-74.6708538,112
146,Irvington High School,1253 Clinton Ave,Irvington,709,7111,Irvington Public School District,"1253 Clinton Ave, Irvington, NJ 07111",40.7297385,-74.234324,29
147,John F. Kennedy Memorial High School,200 Washington Avenue,Iselin,1225,8830,Woodbridge Township School District,"200 Washington Avenue, Iselin, NJ 08830",40.5724891,-74.3036398,291
148,Jackson Memorial High School,101 Don Connor Boulevard,Jackson,1512,8527,Jackson Township School District,"101 Don Connor Boulevard, Jackson, NJ 08527",40.1071828,-74.3457318,272
149,Jackson Liberty High School,125 North Hope Chapel Road,Jackson,1512,8527,Jackson Township School District,"125 North Hope Chapel Road, Jackson, NJ 08527",40.0893078,-74.2614617,170
150,Dr Ronald McNair High School,123 Coles Street,Jersey City,906,7302,Jersey City Public Schools,"123 Coles Street, Jersey City, NJ 07302",40.7268302,-74.0474017,482
151,Infinity Institute,193 Old Bergen Road,Jersey City,906,7305,Jersey City Public Schools,"193 Old Bergen Road, Jersey City, NJ 07305",40.6963392,-74.0941384,466
152,County Prep High School,525 Montgomery Street,Jersey City,906,7306,Hudson County Schools of Technology School District,"525 Montgomery Street, Jersey City, NJ 07306",40.7216797,-74.059479,370
153,Liberty High School,299 Sip Avenue,Jersey City,906,7306,Jersey City Public Schools,"299 Sip Avenue, Jersey City, NJ 07306",40.7324362,-74.0741188,365
154,Innovation High School,239 Bergen Avenue,Jersey City,906,7305,Jersey City Public Schools,"239 Bergen Avenue, Jersey City, NJ 07305",40.7103941,-74.0846276,181
155,Academy of Technology Design,525 Montgomery Street,Jersey City,906,7302,Hudson County Schools of Technology School District,"525 Montgomery Street, Jersey City, NJ 07302",40.7216797,-74.059479,91
156,William L Dickinson High School,2 Palisade Ave,Jersey City,906,7306,Jersey City Public Schools,"2 Palisade Ave, Jersey City, NJ 07306",40.729802,-74.053841,81
157,University Academy Charter High School,275 West Side Avenue,Jersey City,906,7305,University Academy Charter High School,"275 West Side Avenue, Jersey City, NJ 07305",40.712294,-74.0919894,62
158,Henry Snyder High School,239 Bergen Ave,Jersey City,906,7305,Jersey City Public Schools,"239 Bergen Ave, Jersey City, NJ 07305",40.7103941,-74.0846276,60
159,M.E.T.S. Charter School,211 Sherman Ave,Jersey City,906,7307,M.E.T.S. Charter School,"211 Sherman Ave, Jersey City, NJ 07307",40.7479383,-74.0451185,51
160,Lincoln High School,60 Crescent Ave,Jersey City,906,7304,Jersey City Public Schools,"60 Crescent Ave, Jersey City, NJ 07304",40.7174208,-74.0700804,41
161,James J Ferris High School,35 Colgate St,Jersey City,906,7302,Jersey City Public Schools,"35 Colgate St, Jersey City, NJ 07302",40.7217188,-74.0528731,39
162,Keansburg High School,140 Port Monmouth Road,Keansburg,1323,7734,Keansburg School District,"140 Port Monmouth Road, Keansburg, NJ 07734",40.4399536,-74.1238641,65
