Rank (of 368),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
1,Academy For Allied Health Sciences,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
1,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
1,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,No,(n/a),No,No,(201) 343-6000
1,Biotechnology High School,Public,12-Sep,5000 Kozloski Road,Freehold,7728,No,(n/a),No,No,(732) 431-7942
1,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,No,(n/a),No,No,(732) 681-1010
1,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,No,(n/a),No,No,(732) 842-8444
1,Marine Academy Of Science And Technology,Public,12-Sep,305 Mast Way,Highlands,7732,No,(n/a),No,No,(732) 291-0995
1,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,No,(n/a),No,No,(732) 452-2600
1,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,No,(n/a),No,No,(732) 775-0058
1,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,7102,Yes,(n/a),No,Yes,(973) 642-0101
1,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
12,Bergen County Technical High School - Teterboro,Public,12-Sep,504 Route 46 West,Teterboro,7608,No,(n/a),No,No,(201) 343-6000
13,Science Park High School,Public,12-Jul,260 Norfolk Street,Newark,7102,No,(n/a),No,Yes,(973) 733-8689
14,Marine Academy of Technology and Environmental Science,Public,12-Sep,195 Cedar Bridge Road,Manahawkin,8050,No,(n/a),No,No,(609) 978-8439
15,New Providence High School,Public,12-Sep,35 Pioneer Dr,New Providence,7974,No,(n/a),No,Yes,(908) 464-4700
16,Glen Ridge High School,Public,12-Jul,200 Ridgewood Ave,Glen Ridge,7028,No,(n/a),No,No,(973) 429-8303
17,High Technical High School,Public,12-Sep,1 High Tech Way,Secaucus,7094,No,(n/a),No,Yes,(201) 662-6801
18,Hopewell Valley Central High School,Public,12-Sep,259 Pennington Titusville Rd,Pennington,8534,No,(n/a),No,No,(609) 737-4003
19,Millburn High School,Public,12-Sep,462 Millburn Ave,Millburn,7041,No,(n/a),No,No,(973) 564-7130
20,Holmdel High School,Public,12-Sep,36 Crawfords Corner Road,Holmdel,7733,No,(n/a),No,Yes,(732) 946-1832
21,Ridgewood High School,Public,12-Sep,627 East Ridgewood Ave,Ridgewood,7451,No,(n/a),No,No,(201) 670-2800
22,Northern Valley Regional High School At Demarest,Public,12-Sep,150 Knickerbocker Road,Demarest,7627,No,(n/a),No,No,(201) 768-3200
23,Pascack Valley High School,Public,12-Sep,200 Piermont Avenue,Hillsdale,7642,No,(n/a),No,No,(201) 358-7060
24,Chatham High School,Public,12-Sep,255 Lafayette Avenue,Chatham,7928,No,(n/a),No,No,(973) 457-2505
25,Bernards High School,Public,12-Sep,25 Olcott Avenue,Bernardsville,7924,No,(n/a),No,No,(908) 630-3000
26,Tenafly High School,Public,12-Sep,19 Columbus Drive,Tenafly,7670,No,(n/a),No,No,(201) 816-6614
27,Montgomery High School,Public,12-Sep,1016 Route 601,Skillman,8558,No,(n/a),No,Yes,(609) 466-7602
28,Ramsey High School,Public,12-Sep,256 E Main Street,Ramsey,7446,No,(n/a),No,No,(201) 785-2300
29,Pascack Hills High School,Public,12-Sep,225 West Grand Avenue,Montvale,7645,No,(n/a),No,No,(201) 358-7020
30,Ridge High School,Public,12-Sep,268 South Finley Avenue,Basking Ridge,7920,No,(n/a),No,No,(908) 204-2585
31,Shawnee High School,Public,12-Sep,600 Tabernacle Road,Medford,8055,No,(n/a),No,No,(609) 654-7544
32,Morris County School of Technology,Public,12-Sep,400 East Main Street,Denville,7834,No,(n/a),No,No,(973) 627-4600
33,Livingston High School,Public,12-Sep,30 Robert Harp Drive,Livingston,7039,No,(n/a),No,Yes,(973) 535-8000
34,Union County Technical,Public,12-Sep,1776 Raritan Rd,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8288
35,North Hunterdon High School,Public,12-Sep,1445 State Route 31,Annandale,8801,No,(n/a),No,No,(908) 735-5191
36,Rumson-Fair Haven Regional High School,Public,12-Sep,74 Ridge Road,Rumson,7760,No,(n/a),No,Yes,(732) 842-1597
37,Westfield Senior High School,Public,12-Sep,550 Dorian Road,Westfield,7090,No,(n/a),No,No,(908) 789-4500
38,Moorestown High School,Public,12-Sep,350 Bridgeboro Road,Moorestown,8057,No,(n/a),No,Yes,(856) 778-6610
39,Cherry Hill High School East,Public,12-Sep,1750 Kresson Rd.,Cherry Hill,8003,No,(n/a),No,No,(856) 424-2222
40,Pequannock Township High School,Public,12-Sep,85 Sunset Road,Pompton Plains,7444,No,(n/a),No,Yes,(973) 616-6000
41,Wayne Hills High School,Public,12-Sep,272 Berdan Avenue,Wayne,7470,No,(n/a),No,No,(973) 317-2000
42,Bridgewater-Raritan High School,Public,12-Sep,600 Garretson Road,Bridgewater,8807,No,(n/a),No,No,(908) 231-8660
43,Mahwah High School,Public,12-Sep,50 Ridge Road,Mahwah,7430,No,(n/a),No,No,(201) 762-2300
44,West Morris Central High School,Public,12-Sep,259 Bartley Road,Chester,7930,No,(n/a),No,No,(908) 879-5212
45,West Morris Mendham High School,Public,12-Sep,65 East Main Street,Mendham,7945,No,(n/a),No,No,(973) 543-2501
46,Marlboro High School,Public,12-Sep,95 North Main Street,Marlboro,7746,No,(n/a),No,No,(732) 617-8393
47,Haddonfield Memorial High School,Public,12-Sep,401 Kings Highway East,Haddonfield,8033,No,(n/a),No,No,(856) 429-3960
48,Delaware Valley Regional High School,Public,12-Sep,19 Senator Stout Rd,Frenchtown,8825,No,(n/a),No,Yes,(908) 996-2131
49,Middletown High School South,Public,12-Sep,900 Nut Swamp Road,Middletown,7748,No,(n/a),No,No,(732) 706-6111
50,Northern Highlands Regional High School,Public,12-Sep,298 Hillside Ave,Allendale,7401,No,(n/a),No,Yes,(201) 327-8700
51,Northern Valley Regional High School at Old Tappan,Public,12-Sep,140 Central Avenue,Old Tappan,7675,No,(n/a),No,Yes,(201) 784-1600
52,Princeton High School,Public,12-Sep,151 Moore Street,Princeton,8540,No,(n/a),No,No,(609) 806-4280
53,Watchung Hills Regional High School,Public,12-Sep,108 Stirling Rd.,Warren,7059,No,(n/a),No,Yes,(908) 647-4800
54,Cherokee High School,Public,12-Sep,120 Tomlinson Mill Road,Marlton,8053,No,(n/a),No,No,(856) 983-5140
55,West Windsor-Plainsboro High School North,Public,12-Sep,90 Grovers Mill Road,Plainsboro,8536,No,(n/a),No,Yes,(609) 716-5100
56,West Windsor-Plainsboro High School South,Public,12-Sep,346 Clarksville Road,West Windsor,8550,No,(n/a),No,Yes,(609) 716-5050
57,Hillsborough High School,Public,12-Sep,466 Raider Boulevard,Hillsborough,8844,No,(n/a),No,No,(908) 431-6600
58,Freehold Township High School,Public,12-Sep,281 Elton Adelphia Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8460
59,Cherry Hill High School West,Public,12-Sep,2101 Chapel Ave.,Cherry Hill,8034,No,(n/a),No,Yes,(856) 663-8006
60,Madison High School,Public,12-Sep,170 Ridgedale Avenue,Madison,7940,No,(n/a),No,No,(973) 593-3117
61,East Brunswick High School,Public,12-Oct,380 Cranbury Road,E Brunswick,8816,No,(n/a),No,No,(732) 613-6904
62,Hasbrouck Heights High School,Public,12-Sep,365 Boulevard,Hasbrouck Heights,7604,No,(n/a),No,No,(201) 288-6150
63,Whippany Park High School,Public,12-Sep,165 Whippany Road,Whippany,7981,No,(n/a),No,Yes,(973) 887-3004
64,Performing Arts Academy of the Ocean County Vocational Technical,Public,12-Sep,Route 547,Lakehurst,8733,No,(n/a),No,No,(732) 286-5678
65,Howell High School,Public,12-Sep,405 Squankum Yellowbrook Road,Farmingdale,7727,No,(n/a),No,No,(732) 919-2131
66,Voorhees High School,Public,12-Sep,256 County Route 513,Glen Gardner,8826,No,(n/a),No,Yes,(908) 638-6116
67,Ramapo High School,Public,12-Sep,331 George Street,Franklin Lakes,7417,No,(n/a),No,No,(201) 891-1500
68,Point Pleasant Beach High School,Public,12-Sep,700 Trenton Avenue,Point Pleasant Beach,8742,No,(n/a),No,Yes,(732) 899-1817
69,Governor Livingston High School,Public,12-Sep,175 Watchung Boulevard,Berkeley Heights,7922,No,(n/a),No,Yes,(908) 464-3100
70,Cape May County Technical High SChool,Public,12-Sep,188 Crest Haven Rd,Cape May Court House,8210,No,(n/a),No,Yes,(609) 380-0200
71,Park Ridge High School,Public,12-Jul,2 Park Ave,Park Ridge,7656,No,(n/a),No,No,(201) 573-6000
72,John P. Stevens High School,Public,12-Sep,855 Grove Avenue,Edison,8820,No,(n/a),No,No,(732) 452-2800
73,Mountain Lakes High School,Public,12-Sep,96 Powerville Rd.,Mountain Lakes,7046,No,(n/a),No,No,(973) 334-8400
74,Randolph High School,Public,12-Sep,511 Millbrook Avenue,Randolph,7869,No,(n/a),No,No,(973) 361-2400
75,Morris Knolls High School,Public,12-Sep,50 Knoll Drive,Denville,7834,No,(n/a),No,No,(973) 664-2201
76,Cresskill High School,Public,12-Sep,1 Lincoln Dr,Cresskill,7626,No,(n/a),No,No,(201) 227-7791
77,Montville Township High School,Public,12-Sep,100 Horseneck Road,Montville,7045,No,(n/a),No,No,(973) 331-7100
78,Glen Rock High School,Public,12-Sep,400 Hamilton Avenue,Glen Rock,7452,No,(n/a),No,No,(201) 445-7700
79,Summit High School,Public,12-Sep,125 Kent Place Blvd,Summit,7901,No,(n/a),No,Yes,(908) 273-1494
80,Eastern Regional High School,Public,12-Sep,1401 Laurel Oak Road,Voorhees,8043,No,(n/a),No,Yes,(856) 784-4441
81,Kinnelon High School,Public,12-Sep,121 Kinnelon Road,Kinnelon,7405,No,(n/a),No,Yes,(973) 838-5500
82,Ocean City High School,Public,12-Sep,501 Atlantic Avenue,Ocean City,8226,No,(n/a),No,No,(609) 399-1290
83,Morris Hills High School,Public,12-Sep,520 West Main Street,Rockaway,7866,No,(n/a),No,Yes,(973) 664-2301
84,Cinnaminson High School,Public,12-Sep,1197 Riverton Road,Cinnaminson,8077,No,(n/a),No,Yes,(856) 829-7770
85,Manalapan High School,Public,12-Sep,20 Church Lane,Englishtown,7726,No,(n/a),No,No,(732) 792-7200
86,Wayne Valley High School,Public,12-Sep,551 Valley Road,Wayne,7470,No,(n/a),No,Yes,(973) 317-2200
87,Hunterdon Central Regional High School District,Public,12-Sep,84 Route 31,Flemington,8822,No,(n/a),No,Yes,(908) 782-5727
88,Robbinsville High School,Public,12-Sep,155 Robbinsville Edinburg Rd,Robbinsville,8691,No,(n/a),No,No,(609) 632-0950
89,Parsippany Hills High School,Public,12-Sep,20 Rita Drive,Morris Plains,7950,No,(n/a),No,No,(973) 682-2815
90,Clearview Regional High School,Public,12-Sep,625 Breakneck Rd,Mullica Hill,8062,No,(n/a),No,Yes,(856) 223-2790
91,Sparta High School,Public,12-Sep,70 West Mountain Road,Sparta,7871,No,(n/a),No,Yes,(973) 729-6191
92,Parsippany High School,Public,12-Sep,309 Baldwin Rd,Parsippany,7054,No,(n/a),No,Yes,(973) 263-7001
93,Shore Regional High School,Public,12-Sep,132 Monmouth Park Highway 36,West Long Branch,7764,No,(n/a),No,Yes,(732) 222-9300
94,Ridgefield Park Junior Senior High School,Public,12-Jul,1 Ozzie Nelson Drive,Ridgefield Park,7660,No,(n/a),No,Yes,(201) 440-1440
95,Somerville High School,Public,12-Sep,222 Davenport St.,Somerville,8876,No,(n/a),No,No,(908) 218-4108
96,Fair Lawn High School,Public,12-Sep,14 00 Berdan Avenue,Fair Lawn,7410,No,(n/a),No,Yes,(201) 794-5455
96,Waldwick High School,Public,12-Sep,155 Wyckoff Avenue,Waldwick,7463,No,(n/a),No,No,(201) 652-9000
98,Seneca High School,Public,12-Sep,110 Carranza Road,Tabernacle,8088,No,(n/a),No,Yes,(609) 268-4600
99,Scotch Plains-Fanwood High School,Public,12-Sep,667 Westfield Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8600
100,South Brunswick High School,Public,12-Sep,750 Ridge Road,Monmouth Junction,8852,No,(n/a),No,No,(732) 329-4044
101,Allentown High School,Public,12-Sep,27 High Street,Allentown,8501,No,(n/a),No,Yes,(609) 259-7292
102,Midland Park Junior/Senior High School,Public,12-Jul,250 Prospect St,Midland Park,7432,No,(n/a),No,Yes,(201) 444-7400
103,West Essex High School,Public,12-Sep,65 West Greenbrook Rd,North Caldwell,7006,No,(n/a),No,Yes,(973) 228-1200
104,Paramus High School,Public,12-Sep,99 East Century Road,Paramus,7652,No,(n/a),No,Yes,(201) 261-7800
105,James Caldwell High School,Public,12-Sep,265 Westville Ave,West Caldwell,7006,No,(n/a),No,No,(973) 228-6981
106,Woodbridge High School,Public,12-Sep,25 Samuel Lupo Place,Woodbridge,7095,No,(n/a),No,No,(732) 602-8600
107,Colts Neck High School,Public,12-Sep,59 Five Points Road,Colts Neck,7722,No,(n/a),No,No,(732) 761-0190
108,Indian Hills High School,Public,12-Sep,97 Yawpo Ave,Oakland,7436,No,(n/a),No,Yes,(201) 337-0100
109,Dr Ronald McNair High School,Public,12-Sep,123 Coles Street,Jersey City,7302,No,(n/a),No,Yes,(201) 418-7617
110,Wall High School,Public,12-Sep,1630 18th Ave,Wall,7719,No,(n/a),No,Yes,(732) 556-2040
111,Arthur L. Johnson High School,Public,12-Sep,365 Westfield Avenue,Clark,7066,No,(n/a),No,Yes,(732) 382-0910
112,Metuchen High School,Public,12-Sep,400 Grove Ave,Metuchen,8840,No,(n/a),No,Yes,(732) 321-8744
113,Hanover Park High School,Public,12-Sep,63 Mt Pleasant Avenue,East Hanover,7936,No,(n/a),No,No,(973) 887-0300
114,Northern Burlington County Regional High School,Public,12-Sep,160 Mansfield Road East,Columbus,8022,No,(n/a),No,Yes,(609) 298-3900
115,High Point Regional High School District,Public,12-Sep,299 Pidgeon Hill Road,Sussex,7461,No,(n/a),No,Yes,(973) 875-3101
116,Lenape High School,Public,12-Sep,235 Hartford Road,Medford,8055,No,(n/a),No,Yes,(609) 654-5111
117,Rutherford High School,Public,12-Sep,56 Elliott Pl,Rutherford,7070,No,(n/a),No,No,(201) 438-7675
118,Freehold Borough High School,Public,12-Sep,2 Robertsville Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8360
119,Point Pleasant Borough High School,Public,12-Sep,Laura Herbert Dr,Point Pleasant Beach,8742,No,(n/a),No,No,(732) 701-1900
120,Manasquan High School,Public,12-Sep,167 Broad Street,Manasquan,8736,No,(n/a),No,No,(732) 528-8820
121,Raritan High School,Public,12-Sep,419 Middle Road,Hazlet,7730,No,(n/a),No,No,(732) 264-8411
122,Pitman High School,Public,12-Sep,225 Linden Avenue,Pitman,8071,No,(n/a),No,No,(856) 589-2121
123,Ocean Township High School,Public,12-Sep,550 West Park Avenue,Oakhurst,7755,No,(n/a),No,No,(732) 531-5650
124,Pompton Lakes High School,Public,12-Sep,44 Lakeside Avenue,Pompton Lakes,7442,No,(n/a),No,No,(973) 835-7100
125,Haddon Township High School,Public,12-Sep,406 Memorial Avenue,Westmont,8108,No,(n/a),No,No,(856) 869-7750
126,Wallington Junior Senior High School,Public,12-Jul,234 Main Ave,Wallington,7057,No,(n/a),No,No,(973) 777-0808
127,John F. Kennedy Memorial High School,Public,12-Sep,200 Washington Avenue,Iselin,8830,No,(n/a),No,No,(732) 602-8650
128,Red Bank Regional High School,Public,12-Sep,101 Ridge Road,Little Silver,7739,No,(n/a),No,Yes,(732) 842-8000
129,Mount Olive High School,Public,12-Sep,18 Corey Road,Flanders,7836,No,(n/a),No,No,(973) 927-2208
130,Westwood Junior/Senior High School,Public,12-Aug,701 Ridgewood Road,Township Of Washington,7676,No,(n/a),No,No,(201) 664-0880
131,Cranford High School,Public,12-Sep,201 West End Place,Cranford,7016,No,(n/a),No,No,(908) 709-6272
132,Southern Regional High School,Public,12-Sep,90 Cedar Bridge Road,Manahawkin,8050,No,(n/a),No,Yes,(609) 597-9481
133,Washington Township High School,Public,12-Sep,519 Hurffville Crosskeys Rd,Sewell,8080,No,(n/a),No,No,(856) 589-8500
134,Spotswood High School,Public,12-Sep,105 Summerhill Road,Spotswood,8884,No,(n/a),No,No,(732) 723-2200
135,Lawrence High School,Public,12-Sep,2525 Princeton Pike,Lawrenceville,8648,No,(n/a),No,No,(609) 671-5510
136,Edison High School,Public,12-Sep,50 Boulevard Of The Eagles,Edison,8817,No,(n/a),No,Yes,(732) 650-5200
137,Verona High School,Public,12-Sep,151 Fairview Ave,Verona,7044,No,(n/a),No,No,(973) 571-6750
138,River Dell Regional High School,Public,12-Sep,55 Pyle Street,Oradell,7649,No,(n/a),No,Yes,(201) 599-7240
139,North Warren Regional School,Public,12-Jul,10 Noe Rd,Blairstown,7825,No,(n/a),No,Yes,(908) 362-8211
140,Dumont High School,Public,12-Sep,101 New Milford Ave,Dumont,7628,No,(n/a),No,No,(201) 387-3000
