Rank (of 402),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
1,Academy for Mathematics Science and Engineering,Public,9/12,520 West Main Street,Rockaway,7866,No,(n/a),No,No,(973) 664-2301
2,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,9/12,100 Technology Drive,Edison,8837,No,(n/a),No,No,(732) 452-2600
3,Academy For Information Technology,Public,9/12,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
4,Union County Magnet High School,Public,9/12,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
5,Academy For Allied Health Sciences,Public,9/12,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
6,Dr Ronald McNair High School,Public,9/12,123 Coles Street,Jersey City,7302,No,(n/a),No,Yes,(201) 418-7617
7,Marine Academy of Technology and Environmental Science,Public,9/12,195 Cedar Bridge Road,Manahawkin,8050,No,(n/a),No,No,(609) 978-8439
8,Monmouth County Academy of Allied Health and Science,Public,9/12,2325 Heck Avenue,Neptune,7753,No,(n/a),No,No,(732) 775-0058
9,Union County Technical,Public,9/12,1776 Raritan Rd,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8288
10,Middlesex County Vocational Academy Allied Health & Biomedical Science,Public,8/12,1 Convery Boulevard,Woodbridge,7095,No,(n/a),No,No,(732) 634-5858
11,High Technology High School,Public,9/12,765 Newman Springs Road,Lincroft,7738,No,(n/a),No,No,(732) 842-8444
12,Marine Academy Of Science And Technology,Public,9/12,305 Mast Way,Highlands,7732,No,(n/a),No,No,(732) 291-0995
13,Infinity Institute,Public,6/12,193 Old Bergen Road,Jersey City,7305,No,(n/a),No,Yes,(201) 915-1404
14,Communications High School,Public,9/12,1740 New Bedford Road,Wall,7719,No,(n/a),No,No,(732) 681-1010
15,Academy For Performing Arts,Public,9/12,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8288
16,Bergen County Academies,Public,9/12,200 Hackensack Avenue,Hackensack,7601,No,(n/a),No,No,(201) 343-6000
17,Biotechnology High School,Public,9/12,5000 Kozloski Road,Freehold,7728,No,(n/a),No,No,(732) 431-7942
18,Morris County School of Technology,Public,9/12,400 East Main Street,Denville,7834,No,(n/a),No,No,(973) 627-4600
19,Bergen County Technical High School - Teterboro,Public,9/12,504 Route 46 West,Teterboro,7608,No,(n/a),No,No,(201) 343-6000
20,North Hunterdon High School,Public,9/12,1445 State Route 31,Annandale,8801,No,(n/a),No,No,(908) 735-5191
21,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,8873,Yes,(n/a),No,Yes,(732) 649-3954
22,Summit High School,Public,9/12,125 Kent Place Blvd,Summit,7901,No,(n/a),No,Yes,(908) 273-1494
23,Kinnelon High School,Public,9/12,121 Kinnelon Road,Kinnelon,7405,No,(n/a),No,Yes,(973) 838-5500
24,Mahwah High School,Public,9/12,50 Ridge Road,Mahwah,7430,No,(n/a),No,No,(201) 762-2300
25,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,7102,Yes,(n/a),No,Yes,(973) 642-0101
26,Science Park High School,Public,7/12,260 Norfolk Street,Newark,7102,No,(n/a),No,Yes,(973) 733-8689
