Rank,School,Address,City,Zip,Latitude,Longitude,EduScore
105,Cedar Grove High School,90 Rugby Road,Cedar Grove,7009,40.855854,-74.22898,364
106,Governor Livingston High School,175 Watchung Boulevard,Berkeley Heights,7922,40.675112,-74.43459,362
107,Wayne Valley High School,551 Valley Road,Wayne,7470,40.943608000000005,-74.25004,361
108,Glen Ridge High School,200 Ridgewood Ave,Glen Ridge,7028,40.80495,-74.2047,360
109,Gloucester County Institute of Technology,1360 Tanyard Road,Sewell,8080,39.74953,-75.10637,358
110,Waldwick High School,155 Wyckoff Avenue,Waldwick,7463,41.013109,-74.12231,357
111,Dover High School,100 Grace Street,Dover,7801,40.889165999999996,-74.55462,356
112,Middletown High School North,63 Tindall Road,Middletown,7748,40.410213,-74.11718,354
113,Montville Township High School,100 Horseneck Road,Montville,7045,40.906152,-74.36742,353
114,Howell High School,405 Squankum Yellowbrook Road,Farmingdale,7727,40.205366999999995,-74.15767,352
115,Union County TEAMS Charter School,515 517 West Fourth Street,Plainfield,7060,40.620102,-74.42481,350
116,Westwood Junior/Senior High School,701 Ridgewood Road,Township Of Washington,7676,40.989508,-74.061302,349
117,Colts Neck High School,59 Five Points Road,Colts Neck,7722,40.300226,-74.18306,348
118,Lakeland Regional High School,205 Conklintown Road,Wanaque,7465,41.052958000000004,-74.28236,346
119,Somerville High School,222 Davenport St.,Somerville,8876,40.545853,-74.63592,345
120,Essex County Donald M. Payne Senior School of Technology,498-544 West Market St,Newark,7107,40.736101,-74.22509000000001,344
121,Morris Hills High School,520 West Main Street,Rockaway,7866,40.926798,-74.50624,343
122,South Brunswick High School,750 Ridge Road,Monmouth Junction,8852,40.389428,-74.54329,341
123,Nutley High School,300 Franklin Ave,Nutley,7110,40.8196,-74.15876999999999,340
124,High Point Regional High School District,299 Pidgeon Hill Road,Sussex,7461,41.229754,-74.60203,339
125,James Caldwell High School,265 Westville Ave,West Caldwell,7006,40.848999,-74.27917,337
126,Paramus High School,99 East Century Road,Paramus,7652,40.947107,-74.07047,336
127,Jefferson Township High School,1010 Weldon Rd Rd2,Oak Ridge,7438,41.029555,-74.5071,335
128,Dumont High School,101 New Milford Ave,Dumont,7628,40.945173,-73.99342,333
129,Hanover Park High School,63 Mt Pleasant Avenue,East Hanover,7936,40.820012,-74.36474,332
130,Timber Creek Regional High School,501 Jarvis Road,Erial,8081,39.741385,-74.99035,331
131,East Brunswick High School,380 Cranbury Road,E Brunswick,8816,40.434239,-74.40504,329
132,John F. Kennedy Memorial High School,200 Washington Avenue,Iselin,8830,40.571504,-74.3183,328
133,Delaware Valley Regional High School,19 Senator Stout Rd,Frenchtown,8825,40.509997999999996,-75.03239,327
134,Metuchen High School,400 Grove Ave,Metuchen,8840,40.543354,-74.3587,325
135,Mainland Regional High School,1301 Oak Avenue,Linwood,8221,39.348616,-74.57387,324
136,Emerson Junior Senior High,131 Main Street,Emerson,7630,40.97514,-74.02725,323
137,Roselle Park High School,185 W Webster Ave,Roselle Park,7204,40.665552000000005,-74.26768,322
138,Lenape High School,235 Hartford Road,Medford,8055,39.865272,-74.8185,320
139,Parsippany Hills High School,20 Rita Drive,Morris Plains,7950,40.842399,-74.48223,319
140,Red Bank Regional High School,101 Ridge Road,Little Silver,7739,40.33517,-74.04059000000001,318
141,Ocean City High School,501 Atlantic Avenue,Ocean City,8226,39.265371,-74.59380999999999,316
142,Raritan High School,419 Middle Road,Hazlet,7730,40.423297999999996,-74.179,315
143,Manasquan High School,167 Broad Street,Manasquan,8736,40.120261,-74.05765,314
144,Kittatinny Regional High School,77 Halsey Road,Newton,7860,41.0714,-74.80199,312
145,Cherokee High School,120 Tomlinson Mill Road,Marlton,8053,39.884879999999995,-74.90416,311
146,Seneca High School,110 Carranza Road,Tabernacle,8088,39.871699,-74.70528,310
147,Toms River High School East,1225 Raider Way,Toms River,8753,39.974584,-74.15141,308
148,Vernon Township High School,1832 Route 565,Vernon,7462,41.193708,-74.5089,307
149,Belvidere High School,809 Oxford Street,Belvidere,7823,40.82383,-75.04585,306
150,West Deptford High School,1600 Old Crown Point Rd,West Deptford,8093,39.861413,-75.13284,304
151,Monroe Township High School,200 Schoolhouse Road,Monroe Township,8831,40.336508,-74.43302,303
152,South Hunterdon Regional High School,301 Mt Airy Harbourton Road,Lambertville,8530,40.375039,-74.93184000000001,302
153,Pompton Lakes High School,44 Lakeside Avenue,Pompton Lakes,7442,40.99948,-74.28806999999999,301
154,County Prep High School,525 Montgomery Street,Jersey City,7306,40.695552,-74.22856,299
155,Cherry Hill High School West,2101 Chapel Ave.,Cherry Hill,8034,39.895213,-75.04019,298
156,Haddon Township High School,406 Memorial Avenue,Westmont,8108,39.915263,-75.06401,297
157,Lyndhurst High School,400 Weart Avenue,Lyndhurst,7071,40.808415999999994,-74.12111,295
158,Lenape Valley Regional High School,28 Sparta Road,Stanhope,7874,40.917054,-74.71053,294
159,Leonia High School,100 Christie Heights Street,Leonia,7605,40.862685,-73.98550999999999,293
160,Fort Lee High School,3000 Lemoine Ave,Fort Lee,7024,40.849879,-73.97501,291
161,Weehawken High School,53 Liberty Place,Weehawken,7086,40.769796,-74.022351,290
162,Point Pleasant Borough High School,Laura Herbert Dr,Point Pleasant Beach,8742,40.081165000000006,-74.06003,289
163,West Milford High School,67 Highlander Drive,West Milford,7480,41.102569,-74.37047,287
164,Delsea Regional High School,242 Fries Mill Rd,Franklinville,8322,39.618221999999996,-75.0618,286
165,Ridgefield Park Junior Senior High School,1 Ozzie Nelson Drive,Ridgefield Park,7660,40.856749,-74.02278000000001,285
166,Somerset County Vocational Technical High School,14 Vogt Drive,Bridgewater,8807,40.588097,-74.62253,283
167,Roxbury High School,One Bryant Drive,Succasunna,7876,40.855548999999996,-74.65250999999999,282
168,Central Jersey College Prep Charter School,101 Mettlers Road,Somerset,8873,40.505253,-74.50723,281
169,Hightstown High School,25 Leshin Lane,Hightstown,8520,40.262809000000004,-74.53246,280
170,Gateway Regional High School,775 Tanyard Rd,Woodbury Hts,8096,39.830313000000004,-75.13221,278
171,Southern Regional High School,90 Cedar Bridge Road,Manahawkin,8050,39.707575,-74.25933,277
172,Wall High School,1630 18th Ave,Wall,7719,40.415902,-74.08689,276
173,Piscataway Township High School,100 Behmer Road,Piscataway,8854,40.555355,-74.46094000000001,274
174,Ocean Township High School,550 West Park Avenue,Oakhurst,7755,40.263575,-74.02176,273
175,Jackson Liberty High School,125 North Hope Chapel Road,Jackson,8527,40.115970000000004,-74.32251,272
175,Secaucus High School,11 Mill Ridge Road,Secaucus,7094,40.7885,-74.06,272
177,Toms River High School North,1245 Old Freehold Road,Toms River,8753,39.974584,-74.15141,269
178,Alexander Hamilton Preparatory Academy,310 Cherry St,Elizabeth,7208,40.695552,-74.22856,268
179,Barnegat High School,180 Bengal Blvd,Barnegat,8005,39.759581,-74.27398000000001,266
180,Allentown High School,27 High Street,Allentown,8501,40.164556,-74.57785,265
181,Wood-Ridge Junior/Senior High School,258 Hackensack St,Wood Ridge,7075,40.847638,-74.08754,264
182,Passaic County Technical Institute,45 Reinhardt Road,Wayne,7470,40.943608000000005,-74.25004,262
183,Middlesex County Vocational School East Brunswick,112 Rues Lane,East Brunswick,8816,40.434239,-74.40504,261
184,Haddon Heights Junior/Senior High School,301 Second Avenue,Haddon Heights,8035,39.879129999999996,-75.06599,260
185,Cinnaminson High School,1197 Riverton Road,Cinnaminson,8077,39.862433,-74.72507900000001,259
186,North Warren Regional School,10 Noe Rd,Blairstown,7825,40.96035,-74.96243,257
187,New Egypt High School,117 Evergreen Road,New Egypt,8533,40.075185,-74.48433,256
188,Wallington Junior Senior High School,234 Main Ave,Wallington,7057,40.852931,-74.10925,255
189,North Brunswick Township High School,98 Raider Road,North Brunswick,8902,40.453131,-74.48286999999999,253
190,Dr. Charles E. Brimm Medical Arts High School,1626 Copewood Street,Camden,8103,39.80237,-74.938259,252
191,Spotswood High School,105 Summerhill Road,Spotswood,8884,40.39159,-74.39329000000001,251
192,Montclair High School,100 Chestnut St,Montclair,7042,40.81315,-74.21576,249
193,Columbia High School,17 Parker Ave,Maplewood,7040,40.728901,-74.26821,248
194,South Plainfield High School,200 Lake Street,South Plainfield,7080,40.580703,-74.41401,247
195,Old Bridge High School,4209 Route 516,Matawan,7747,40.411102,-74.23767,245
196,Rancocas Valley Regional High School,520 Jacksonville Road,Mount Holly,8060,39.991562,-74.79746999999999,244
197,Northern Burlington County Regional High School,160 Mansfield Road East,Columbus,8022,40.079952,-74.70684,243
198,Edison High School,50 Boulevard Of The Eagles,Edison,8817,40.516104,-74.39754,241
199,Willliamstown High School,700 N Tuckahoe Rd,Williamstown,8094,39.647597999999995,-74.95926999999999,240
200,Matawan Regional High School,450 Atlantic Avenue,Aberdeen,7747,40.411102,-74.23767,239
201,Morristown High School,50 Early Street,Morristown,7960,40.79215,-74.48559,238
202,Liberty High School,299 Sip Avenue,Jersey City,7306,40.695552,-74.22856,236
203,Absegami High School,201 S Wrangleboro Road,Galloway,8205,38.963652,-74.92319,235
204,Woodstown High School,140 East Avenue,Woodstown,8098,39.637838,-75.32396,234
205,Henry Hudson Regional School,1 Grand Tour,Highlands,7732,40.404474,-73.9904,232
206,Sayreville War Memorial High School,820 Washington Road,Parlin,8859,40.461851,-74.30343,231
207,North Bergen High School,7417 Kennedy Blvd,North Bergen,7047,40.7946,-74.01963,230
208,Midland Park Junior/Senior High School,250 Prospect St,Midland Park,7432,40.993120000000005,-74.14286,228
209,Highland Regional High School,450 Erial Road,Blackwood,8012,39.784614000000005,-75.05678,227
210,Bordentown Regional High School,318 Ward Ave,Bordentown,8505,40.132784,-74.71778,226
211,Kingsway Regional High School,201 Kings Highway,Woolwich Twp,8085,39.753088,-75.32687,224
212,Sterling High School,501 South Warwick Road,Somerdale,8083,39.842613,-75.02496,223
213,Essex County Newark Technical,91 West Market Street,Newark,7103,40.736101,-74.22509000000001,222
214,Lawrence High School,2525 Princeton Pike,Lawrenceville,8648,40.003861,-74.61775,220
215,Middle Township High School,300 East Atlantic Avenue,Cape May Court House,8210,39.081754,-74.83658,219
216,Warren Hills Regional High School,41 Jackson Valley Road,Washington,7882,40.753753,-74.99616999999999,218
217,Salem County Career and Technical High School,880 Route 45,Woodstown,8098,39.637838,-75.32396,217
218,Warren County Vocational Technical School,1500 Route 57,Washington,7882,40.753753,-74.99616999999999,215
219,School of Health Science,5-7 Colt St,Paterson,7505,40.912198,-74.16863000000001,214
220,Jonathan Dayton High School,139 Mountain Ave.,Springfield,7081,40.701801,-74.32216,213
221,Parsippany High School,309 Baldwin Rd,Parsippany,7054,40.860149,-74.4171,211
222,Jackson Memorial High School,101 Don Connor Boulevard,Jackson,8527,40.115970000000004,-74.32251,210
223,Saddle Brook Middle/High School,355 Mayhill Street,Saddle Brook,7663,40.904131,-74.09474,209
224,Wallkill Valley Regional High School,10 Grumm Road,Hamburg,7419,41.156187,-74.57094000000001,207
225,Bayonne High School,669 Avenue A,Bayonne,7002,40.666552,-74.11768000000001,206
226,Passaic Valley Regional High School,170 East Main Street,Little Falls,7424,40.886628,-74.21405,205
227,South Amboy Middle/High School,200 Governor Harold G Hoffman,South Amboy,8879,40.469606,-74.27669,203
228,Kearny High School,336 Devon St,Kearny,7032,40.763051000000004,-74.13718,202
229,Newton High School,44 Ryerson Avenue,Newton,7860,41.0714,-74.80199,201
230,Arts High School,550 M L King Blvd,Newark,7102,40.736101,-74.22509000000001,199
231,American History High School,74 Montgomery St,Newark,7103,40.736101,-74.22509000000001,198
232,North Arlington High School,222 Ridge Road,North Arlington,7031,40.791895000000004,-74.13254,197
233,Arthur P. Schalick High School,718 Centerton Road,Pittsgrove,8318,39.553504,-75.16843,196
234,Toms River High School South,55 Hyers Street,Toms River,8753,39.974584,-74.15141,194
235,Manchester Township High School,101 S Colonial Dr,Manchester,8759,39.943540999999996,-74.36949,193
236,Brick Township Memorial High School,2001 Lanes Mill Rd,Brick,8724,40.042479,-74.123,192
237,Audubon Junior/Senior High School,350 Edgewood Avenue,Audubon,8106,39.892213,-75.07212,190
238,Delran High School,50 Hartford Road,Delran,8075,40.029361,-74.9541,189
239,Monmouth Regional High School,One Norman J Field Way,Tinton Falls,7724,40.301978999999996,-74.06889,188
240,International High School,200 Grand Street,Paterson,7501,40.912198,-74.16863000000001,186
241,Teaneck High School,100 Elizabeth Ave,Teaneck,7666,40.890964000000004,-74.01115,185
242,Central Regional High School,509 Forest Hills Parkway,Bayville,8721,39.902851,-74.16037,184
243,Triton Regional High School,250 Schubert Ave,Runnemede,8078,39.850013,-75.0767,182
244,Burlington Township High School,610 Fountain Avenue,Burlington,8016,40.06834,-74.84463000000001,181
245,Hamilton East - Steinert,2900 Klockner Road,Hamilton,8690,40.003861,-74.61775,180
246,South River High School,11 Montgomery Street,South River,8882,40.445006,-74.38179000000001,178
247,Bloomfield High School,160 Broad Street,Bloomfield,7003,40.803000000000004,-74.18895,177
248,New Milford High School,330 River Road,New Milford,7646,40.936211,-74.0188,176
249,Collingswood High School,424 Collings Ave,Collingswood,8108,39.915263,-75.06401,175
250,Lacey Township High School,73 Haines Street,Lanoka Harbor,8734,39.862864,-74.16624,173
251,Bogota Junior/Senior High School,2 Henry C Luthin Place,Bogota,7603,40.873876,-74.02769,172
252,Maple Shade High School,180 Frederick Ave,Maple Shade,8052,39.952212,-74.99464,171
253,Brick Township High School,346 Chambers Bridge Rd,Brick,8723,40.042479,-74.123,169
254,Phillipsburg High School,1 Stateliner Blvd.,Phillipsburg,8865,40.689122999999995,-75.17243,168
255,Chartertech High School for the Performing Arts,413 New Road,Somers Point,8244,39.319901,-74.5999,167
256,Henry P. Becton Regional High School,120 Paterson Avenue,East Rutherford,7073,40.830158000000004,-74.09707,165
257,Camden County Technical School-Pennsauken,6008 Browning Road,Pennsauken,8109,39.949979,-75.05024,164
258,Hammonton High School,566 Old Forks Road,Hammonton,8037,39.625291,-74.77705,163
259,Pitman High School,225 Linden Avenue,Pitman,8071,39.730964,-75.13009,161
260,Boonton High School,306 Lathrop Avenue,Boonton,7005,40.912797999999995,-74.41516,160
261,West Orange High School,51 Conforti Ave,West Orange,7052,40.78865,-74.25541,159
262,Cicely L. Tyson Community Middle/High School,35 Winans Street,East Orange,7017,40.770933,-74.20589,157
263,Deptford Township High School,575 S Fox Run Rd,Deptford,8096,39.830313000000004,-75.13221,156
264,Cedar Creek High School,1701 New York Ave.,Egg Harbor City,8215,39.548049,-74.62171,155
265,Franklin High School,500 Elizabeth Avenue,Somerset,8873,40.505253,-74.50723,154
266,Carteret High School,199 Washington Avenue,Carteret,7008,40.582504,-74.22997,152
267,Sussex County Technical School,105 North Church Road,Sparta,7871,41.035384,-74.63557,151
268,Keansburg High School,140 Port Monmouth Road,Keansburg,7734,40.444407,-74.13298,150
269,Butler High School,38 Bartholdi Avenue,Butler,7405,40.99313,-74.35893,148
270,Egg Harbor Township High School,24 High School Drive,Egg Harbor Township,8234,39.398171999999995,-74.59666999999999,147
271,Pennsville Memorial High School,110 S Broadway,Pennsville,8070,39.645377,-75.51923000000001,146
272,Manville High School,1100 Brooks Boulevard,Manville,8835,40.538903000000005,-74.59222,144
273,Harrison High School,401 Kingsland Avenue,Harrison,7029,40.745951,-74.15509,143
274,Keyport High School,351 Broad Street,Keyport,7735,40.439714,-74.19374,142
275,Clayton High School,55 Pop Kramer Blvd,Clayton,8312,39.655964000000004,-75.08736,140
276,Oakcrest High School,1824 Dr Dennis Foreman Drive,Mays Landing,8330,39.478771,-74.7581,139
277,Lower Cape May Regional High School,687 Rt 9,Cape May,8204,38.963652,-74.92319,138
278,Highland Park High School,102 North Fifth Avenue,Highland Park,8904,40.500254,-74.4257,136
279,Hamilton North - Nottingham,1055 Klockner Road,Hamilton,8619,40.280530999999996,-74.712018,135
280,Palisades Park Junior-Senior High School,Veterans Plaza,Palisades Park,7650,40.845742,-73.99479000000001,134
281,Clifton High School,333 Colfax Avenue,Clifton,7013,40.879699,-74.14263000000001,133
282,Ridgefield Memorial High School,555 Walnut St,Ridgefield,7657,40.832421000000004,-74.00399,131
283,Burlington County Institute of Technology - Westampton,695 Woodlane Road,Westampton,8060,39.991562,-74.79746999999999,130
284,Hackensack High School,First & Beech Streets,Hackensack,7601,40.888678000000006,-74.0488,129
285,Passaic County-Manchester Regional High School,70 Church Street,Haledon,7508,40.945198,-74.18285999999999,127
286,Florence Township Memorial High School,1050 Cedar Lane,Burlington,8016,40.06834,-74.84463000000001,126
287,Cliffside Park High School,64 Riverview Avenue,Cliffside Park,7010,40.82154,-73.98949,125
288,TEAM Academy Charter School,60 Park Place,Newark,7102,40.736101,-74.22509000000001,123
289,Pinelands Regional High School,565 Nugentown Road,Little Egg Harbor,8087,39.59899,-74.36573,122
290,Ewing High School,900 Parkway Ave,Ewing,8618,40.280530999999996,-74.712018,121
291,William L Dickinson High School,2 Palisade Ave,Jersey City,7306,40.695552,-74.22856,119
292,Woodbury Junior-Senior High School,25 N. Broad Street,Woodbury,8096,39.830313000000004,-75.13221,118
293,Buena Regional High School,125 Weymouth Road,Buena,8310,39.522686,-74.89684,117
294,David Brearley Middle/High School,401 Monroe Avenue,Kenilworth,7033,40.674652,-74.2908,115
295,Memorial High School,5501 Park Ave,West New York,7093,40.7895,-74.01223,114
296,Garfield High School,500 Palisade Ave,Garfield,7026,40.879858,-74.10807,113
297,Union High School,2350 North Third Street,Union,7083,40.695401000000004,-74.26933000000001,112
298,Overbrook Senior High School,1200 Turnersville Road,Pine Hill,8021,39.810485,-74.99574,110
299,Belleville High School,100 Passaic Ave,Belleville,7109,40.7935,-74.16144,109
300,Middlesex County Vocational School Perth Amboy,457 High Street,Perth Amboy,8861,40.520105,-74.27708,108
301,Bound Brook High School,111 West Union Avenue,Bound Brook,8805,40.567953,-74.54034,106
302,Gloucester City Junior Senior High School,1300 Market Street,Gloucester City,8030,39.891113,-75.11836,105
303,Essex County West Caldwell Technical,620 Passaic Ave,West Caldwell,7006,40.848999,-74.27917,104
304,Hamilton West-Watson,2720 South Clinton Avenue,Hamilton,8610,40.280530999999996,-74.712018,102
305,Memorial Senior High School,375 River Dr,Elmwood Park,7407,40.905639,-74.1199,101
