Rank,School,Address,City,Zip,Latitude,Longitude,EduScore
1,Academy For Allied Health Sciences,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Academy For Information Technology,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Academy for Mathematics Science and Engineering,520 West Main Street,Rockaway,7866,40.926798,-74.50624,500
1,Academy For Performing Arts,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Bergen County Academies,200 Hackensack Avenue,Hackensack,7601,40.888678000000006,-74.0488,500
1,Biotechnology High School,5000 Kozloski Road,Freehold,7728,40.241036,-74.27629,500
1,Communications High School,1740 New Bedford Road,Wall,7719,40.415902,-74.08689,500
1,Dr Ronald McNair High School,123 Coles Street,Jersey City,7302,40.695552,-74.22856,500
1,High Technology High School,765 Newman Springs Road,Lincroft,7738,40.337374,-74.12059,500
1,Marine Academy Of Science And Technology,305 Mast Way,Highlands,7732,40.404474,-73.9904,500
1,Middlesex County Vocational Academy Allied Health & Biomedical Science,1 Convery Boulevard,Woodbridge,7095,40.557103999999995,-74.28316,500
1,Middlesex County Vocational Academy Math Science &Engineering Techn,100 Technology Drive,Edison,8837,40.595552000000005,-74.55174,500
1,Monmouth County Academy of Allied Health and Science,2325 Heck Avenue,Neptune,7753,40.208945,-74.05261,500
1,North Star Academy Charter School,10 Washington Place,Newark,7102,40.736101,-74.22509000000001,500
1,Performing Arts Academy of the Ocean County Vocational Technical,Route 547,Lakehurst,8733,40.017117,-74.30490999999999,500
1,Union County Magnet High School,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Union County Technical,1776 Raritan Rd,Scotch Plains,7076,40.637152,-74.37493,500
18,Science Park High School,260 Norfolk Street,Newark,7102,40.736101,-74.22509000000001,478
19,Bergen County Technical High School - Teterboro,504 Route 46 West,Teterboro,7608,40.853722999999995,-74.05986999999999,476
20,Elizabeth High School - Frank J Cicarell Academy,40 Morrell Street,Elizabeth,7202,40.669502,-74.19889,475
21,Morris County School of Technology,400 East Main Street,Denville,7834,40.886148999999996,-74.48704000000001,474
21,Rumson-Fair Haven Regional High School,74 Ridge Road,Rumson,7760,40.369145,-73.99576,474
23,Marine Academy of Technology and Environmental Science,195 Cedar Bridge Road,Manahawkin,8050,39.707575,-74.25933,471
24,West Windsor-Plainsboro High School North,90 Grovers Mill Road,Plainsboro,8536,40.333709999999996,-74.58511999999999,470
25,High Technical High School,1 High Tech Way,Secaucus,7094,40.7885,-74.06,469
26,Northern Valley Regional High School At Demarest,150 Knickerbocker Road,Demarest,7627,40.955603,-73.96044,467
27,Northern Highlands Regional High School,298 Hillside Ave,Allendale,7401,41.031504999999996,-74.13409,466
28,Colonia High School,East Street,Colonia,7067,40.591653,-74.31341,465
29,Woodbridge High School,25 Samuel Lupo Place,Woodbridge,7095,40.557103999999995,-74.28316,463
30,Marlboro High School,95 North Main Street,Marlboro,7746,40.316876,-74.26111999999999,462
31,Mountain Lakes High School,96 Powerville Rd.,Mountain Lakes,7046,40.892021,-74.44022,461
32,Cresskill High School,1 Lincoln Dr,Cresskill,7626,40.942074,-73.96504,459
33,Pequannock Township High School,85 Sunset Road,Pompton Plains,7444,40.964548,-74.29813,458
34,Atlantic County Institute of Technology,5080 Atlantic Avenue,Mays Landing,8330,39.478771,-74.7581,457
35,Chatham High School,255 Lafayette Avenue,Chatham,7928,40.7332,-74.39735999999999,455
36,Cherry Hill High School East,1750 Kresson Rd.,Cherry Hill,8003,39.932279,-75.02266,454
37,Tenafly High School,19 Columbus Drive,Tenafly,7670,40.921690000000005,-73.96481999999999,453
38,Technology High School,223 Broadway,Newark,7102,40.736101,-74.22509000000001,451
39,Hunterdon Central Regional High School District,84 Route 31,Flemington,8822,40.515645,-74.85319,450
40,West Morris Mendham High School,65 East Main Street,Mendham,7945,40.782767,-74.59529,449
41,Haddonfield Memorial High School,401 Kings Highway East,Haddonfield,8033,39.895213,-75.04019,448
42,Madison High School,170 Ridgedale Avenue,Madison,7940,40.75875,-74.41609,446
43,Millburn High School,462 Millburn Ave,Millburn,7041,40.724168,-74.29913,445
44,Northern Valley Regional High School at Old Tappan,140 Central Avenue,Old Tappan,7675,40.99904,-74.03291,444
45,Robbinsville High School,155 Robbinsville Edinburg Rd,Robbinsville,8691,40.003861,-74.61775,442
46,Ridge High School,268 South Finley Avenue,Basking Ridge,7920,40.6789,-74.57039,441
47,Montgomery High School,1016 Route 601,Skillman,8558,40.410154999999996,-74.70725999999999,440
48,North Hunterdon High School,1445 State Route 31,Annandale,8801,40.624538,-74.89118,438
49,Pascack Hills High School,225 West Grand Avenue,Montvale,7645,41.048997,-74.04052,437
49,Ramsey High School,256 E Main Street,Ramsey,7446,41.058819,-74.14238,437
51,Livingston High School,30 Robert Harp Drive,Livingston,7039,40.788733,-74.32134,434
52,West Windsor-Plainsboro High School South,346 Clarksville Road,West Windsor,8550,40.292358,-74.60902,433
53,Bridgewater-Raritan High School,600 Garretson Road,Bridgewater,8807,40.588097,-74.62253,432
54,Mahwah High School,50 Ridge Road,Mahwah,7430,41.077102000000004,-74.16147,430
55,Voorhees High School,256 County Route 513,Glen Gardner,8826,40.716332,-74.91405,429
56,Princeton High School,151 Moore Street,Princeton,8540,40.357439,-74.64922,428
57,Moorestown High School,350 Bridgeboro Road,Moorestown,8057,39.968962,-74.9489,427
58,Ramapo High School,331 George Street,Franklin Lakes,7417,41.010433,-74.20846999999999,425
59,John P. Stevens High School,855 Grove Avenue,Edison,8820,40.516104,-74.39754,424
60,Cranford High School,201 West End Place,Cranford,7016,40.656302000000004,-74.30371,423
61,New Providence High School,35 Pioneer Dr,New Providence,7974,40.698268,-74.40225,421
62,Bernards High School,25 Olcott Avenue,Bernardsville,7924,40.723440000000004,-74.57753000000001,420
63,University High School,55 Clinton Pl,Newark,7108,40.736101,-74.22509000000001,419
63,Wayne Hills High School,272 Berdan Avenue,Wayne,7470,40.943608000000005,-74.25004,419
65,Hopewell Valley Central High School,259 Pennington Titusville Rd,Pennington,8534,40.32315,-74.78364,416
66,West Morris Central High School,259 Bartley Road,Chester,7930,40.786549,-74.68799,415
67,Manalapan High School,20 Church Lane,Englishtown,7726,40.294244,-74.34213000000001,413
68,Cape May County Technical High SChool,188 Crest Haven Rd,Cape May Court House,8210,39.081754,-74.83658,412
69,Westfield Senior High School,550 Dorian Road,Westfield,7090,40.649202,-74.34567,411
70,Holmdel High School,36 Crawfords Corner Road,Holmdel,7733,40.384832,-74.17194,409
71,Hackettstown High School,599 Warren Street,Hackettstown,7840,40.861748,-74.83054,408
72,Hillsborough High School,466 Raider Boulevard,Hillsborough,8844,40.502477,-74.650023,407
73,Shore Regional High School,132 Monmouth Park Highway 36,West Long Branch,7764,40.289984999999994,-74.01671,406
74,Indian Hills High School,97 Yawpo Ave,Oakland,7436,41.028884000000005,-74.23727,404
75,Watchung Hills Regional High School,108 Stirling Rd.,Warren,7059,40.633652000000005,-74.5008,403
76,Shawnee High School,600 Tabernacle Road,Medford,8055,39.865272,-74.8185,402
77,Whippany Park High School,165 Whippany Road,Whippany,7981,40.821482,-74.42648,400
78,Fair Lawn High School,14 00 Berdan Avenue,Fair Lawn,7410,40.933943,-74.11671,399
79,Ridgewood High School,627 East Ridgewood Ave,Ridgewood,7451,40.983996999999995,-74.11438000000001,398
80,Verona High School,151 Fairview Ave,Verona,7044,40.832449,-74.24226999999999,396
81,Pascack Valley High School,200 Piermont Avenue,Hillsdale,7642,41.007389,-74.04247,395
82,Kinnelon High School,121 Kinnelon Road,Kinnelon,7405,40.99313,-74.35893,394
83,Summit High School,125 Kent Place Blvd,Summit,7901,40.714501,-74.3633,392
84,Freehold Township High School,281 Elton Adelphia Road,Freehold,7728,40.241036,-74.27629,391
85,West Essex High School,65 West Greenbrook Rd,North Caldwell,7006,40.848999,-74.27917,390
86,Mount Olive High School,18 Corey Road,Flanders,7836,40.84405,-74.70134,388
87,Scotch Plains-Fanwood High School,667 Westfield Road,Scotch Plains,7076,40.637152,-74.37493,387
88,River Dell Regional High School,55 Pyle Street,Oradell,7649,40.953126,-74.03379,386
89,Middlesex High School,300 John F. Kennedy Drive,Middlesex,8846,40.574552000000004,-74.50187,385
90,Randolph High School,511 Millbrook Avenue,Randolph,7869,40.847649,-74.5748,383
91,Arthur L. Johnson High School,365 Westfield Avenue,Clark,7066,40.620336,-74.30934,382
92,Morris Knolls High School,50 Knoll Drive,Denville,7834,40.886148999999996,-74.48704000000001,381
93,Dunellen High School,411 First Street,Dunellen,8812,40.594502,-74.47166,379
94,Clearview Regional High School,625 Breakneck Rd,Mullica Hill,8062,39.716939,-75.21987,378
95,Eastern Regional High School,1401 Laurel Oak Road,Voorhees,8043,39.851969,-74.96128,377
96,Point Pleasant Beach High School,700 Trenton Avenue,Point Pleasant Beach,8742,40.081165000000006,-74.06003,375
97,Park Ridge High School,2 Park Ave,Park Ridge,7656,41.034672,-74.04065,374
98,Washington Township High School,519 Hurffville Crosskeys Rd,Sewell,8080,39.74953,-75.10637,373
99,Hasbrouck Heights High School,365 Boulevard,Hasbrouck Heights,7604,40.86289,-74.07506,371
100,Freehold Borough High School,2 Robertsville Road,Freehold,7728,40.241036,-74.27629,370
101,Sparta High School,70 West Mountain Road,Sparta,7871,41.035384,-74.63557,369
102,Middletown High School South,900 Nut Swamp Road,Middletown,7748,40.410213,-74.11718,367
103,Glen Rock High School,400 Hamilton Avenue,Glen Rock,7452,40.961109,-74.12576,366
104,Rutherford High School,56 Elliott Pl,Rutherford,7070,40.828922,-74.11064,365
