Rank,School,Address,City,Zip,Latitude,Longitude,EduScore
68,Kinnelon High School,121 Kinnelon Road,Kinnelon,7405,40.99313,-74.35893,414
69,Howell High School,405 Squankum Yellowbrook Road,Farmingdale,7727,40.205366999999995,-74.15767,413
70,Cranford High School,201 West End Place,Cranford,7016,40.656302000000004,-74.30371,411
71,North Hunterdon High School,1445 State Route 31,Annandale,8801,40.624538,-74.89118,410
72,Governor Livingston High School,175 Watchung Boulevard,Berkeley Heights,7922,40.675112,-74.43459,409
73,Verona High School,151 Fairview Ave,Verona,7044,40.832449,-74.24226999999999,407
74,Randolph High School,511 Millbrook Avenue,Randolph,7869,40.847649,-74.5748,406
75,Cedar Grove High School,90 Rugby Road,Cedar Grove,7009,40.855854,-74.22898,405
76,Gloucester County Institute of Technology,1360 Tanyard Road,Sewell,8080,39.74953,-75.10637,404
77,Spotswood High School,105 Summerhill Road,Spotswood,8884,40.39159,-74.39329000000001,402
77,Summit High School,125 Kent Place Blvd,Summit,7901,40.714501,-74.3633,402
79,Metuchen High School,400 Grove Ave,Metuchen,8840,40.543354,-74.3587,400
80,Rumson-Fair Haven Regional High School,74 Ridge Road,Rumson,7760,40.369145,-73.99576,398
81,Ramsey High School,256 E Main Street,Ramsey,7446,41.058819,-74.14238,397
82,James Caldwell High School,265 Westville Ave,West Caldwell,7006,40.848999,-74.27917,396
83,Hopewell Valley Central High School,259 Pennington Titusville Rd,Pennington,8534,40.32315,-74.78364,395
84,Moorestown High School,350 Bridgeboro Road,Moorestown,8057,39.968962,-74.9489,393
85,Cresskill High School,1 Lincoln Dr,Cresskill,7626,40.942074,-73.96504,392
86,Freehold Township High School,281 Elton Adelphia Road,Freehold,7728,40.241036,-74.27629,391
87,Essex County West Caldwell Technical,620 Passaic Ave,West Caldwell,7006,40.848999,-74.27917,389
88,Shawnee High School,600 Tabernacle Road,Medford,8055,39.865272,-74.8185,388
89,Hillsborough High School,466 Raider Boulevard,Hillsborough,8844,40.502477,-74.650023,387
90,Westwood Junior/Senior High School,701 Ridgewood Road,Township Of Washington,7676,40.989508,-74.061302,386
91,Montville Township High School,100 Horseneck Road,Montville,7045,40.906152,-74.36742,384
92,Morris Knolls High School,50 Knoll Drive,Denville,7834,40.886148999999996,-74.48704000000001,383
93,Bernards High School,25 Olcott Avenue,Bernardsville,7924,40.723440000000004,-74.57753000000001,382
94,Seneca High School,110 Carranza Road,Tabernacle,8088,39.871699,-74.70528,380
95,Belvidere High School,809 Oxford Street,Belvidere,7823,40.82383,-75.04585,379
96,Fair Lawn High School,14 00 Berdan Avenue,Fair Lawn,7410,40.933943,-74.11671,378
97,Lakeland Regional High School,205 Conklintown Road,Wanaque,7465,41.052958000000004,-74.28236,377
98,Pascack Valley High School,200 Piermont Avenue,Hillsdale,7642,41.007389,-74.04247,375
99,Wayne Valley High School,551 Valley Road,Wayne,7470,40.943608000000005,-74.25004,374
100,Pompton Lakes High School,44 Lakeside Avenue,Pompton Lakes,7442,40.99948,-74.28806999999999,373
101,John P. Stevens High School,855 Grove Avenue,Edison,8820,40.516104,-74.39754,371
102,Wayne Hills High School,272 Berdan Avenue,Wayne,7470,40.943608000000005,-74.25004,370
103,Midland Park Junior/Senior High School,250 Prospect St,Midland Park,7432,40.993120000000005,-74.14286,369
104,Watchung Hills Regional High School,108 Stirling Rd.,Warren,7059,40.633652000000005,-74.5008,368
105,Colts Neck High School,59 Five Points Road,Colts Neck,7722,40.300226,-74.18306,366
106,Wall High School,1630 18th Ave,Wall,7719,40.415902,-74.08689,365
107,Point Pleasant Borough High School,Laura Herbert Dr,Point Pleasant Beach,8742,40.081165000000006,-74.06003,364
108,Kittatinny Regional High School,77 Halsey Road,Newton,7860,41.0714,-74.80199,362
109,North Warren Regional School,10 Noe Rd,Blairstown,7825,40.96035,-74.96243,361
110,Whippany Park High School,165 Whippany Road,Whippany,7981,40.821482,-74.42648,360
111,Hanover Park High School,63 Mt Pleasant Avenue,East Hanover,7936,40.820012,-74.36474,359
112,Dumont High School,101 New Milford Ave,Dumont,7628,40.945173,-73.99342,357
113,Hasbrouck Heights High School,365 Boulevard,Hasbrouck Heights,7604,40.86289,-74.07506,356
114,Cherry Hill High School West,2101 Chapel Ave.,Cherry Hill,8034,39.895213,-75.04019,355
115,Eastern Regional High School,1401 Laurel Oak Road,Voorhees,8043,39.851969,-74.96128,353
116,Arthur L. Johnson High School,365 Westfield Avenue,Clark,7066,40.620336,-74.30934,352
117,Ocean Township High School,550 West Park Avenue,Oakhurst,7755,40.263575,-74.02176,351
118,Clearview Regional High School,625 Breakneck Rd,Mullica Hill,8062,39.716939,-75.21987,350
119,John F. Kennedy Memorial High School,200 Washington Avenue,Iselin,8830,40.571504,-74.3183,348
120,Scotch Plains-Fanwood High School,667 Westfield Road,Scotch Plains,7076,40.637152,-74.37493,347
121,Paramus High School,99 East Century Road,Paramus,7652,40.947107,-74.07047,346
122,River Dell Regional High School,55 Pyle Street,Oradell,7649,40.953126,-74.03379,344
123,Rutherford High School,56 Elliott Pl,Rutherford,7070,40.828922,-74.11064,343
124,Waldwick High School,155 Wyckoff Avenue,Waldwick,7463,41.013109,-74.12231,342
125,Washington Township High School,519 Hurffville Crosskeys Rd,Sewell,8080,39.74953,-75.10637,341
126,West Deptford High School,1600 Old Crown Point Rd,West Deptford,8093,39.861413,-75.13284,339
127,Lenape High School,235 Hartford Road,Medford,8055,39.865272,-74.8185,338
128,Park Ridge High School,2 Park Ave,Park Ridge,7656,41.034672,-74.04065,337
129,Somerville High School,222 Davenport St.,Somerville,8876,40.545853,-74.63592,335
130,Allentown High School,27 High Street,Allentown,8501,40.164556,-74.57785,334
131,Manasquan High School,167 Broad Street,Manasquan,8736,40.120261,-74.05765,333
132,Cinnaminson High School,1197 Riverton Road,Cinnaminson,8077,39.862433,-74.72507900000001,332
133,South Brunswick High School,750 Ridge Road,Monmouth Junction,8852,40.389428,-74.54329,330
134,Middle Township High School,300 East Atlantic Avenue,Cape May Court House,8210,39.081754,-74.83658,329
135,Parsippany Hills High School,20 Rita Drive,Morris Plains,7950,40.842399,-74.48223,328
136,Roxbury High School,One Bryant Drive,Succasunna,7876,40.855548999999996,-74.65250999999999,326
137,Warren Hills Regional High School,41 Jackson Valley Road,Washington,7882,40.753753,-74.99616999999999,325
138,Middletown High School South,900 Nut Swamp Road,Middletown,7748,40.410213,-74.11718,324
139,Matawan Regional High School,450 Atlantic Avenue,Aberdeen,7747,40.411102,-74.23767,323
140,Essex County Newark Technical,91 West Market Street,Newark,7103,40.736101,-74.22509000000001,321
141,Cherokee High School,120 Tomlinson Mill Road,Marlton,8053,39.884879999999995,-74.90416,320
142,Emerson Junior Senior High,131 Main Street,Emerson,7630,40.97514,-74.02725,319
143,Columbia High School,17 Parker Ave,Maplewood,7040,40.728901,-74.26821,317
144,Lenape Valley Regional High School,28 Sparta Road,Stanhope,7874,40.917054,-74.71053,316
145,Warren County Vocational Technical School,1500 Route 57,Washington,7882,40.753753,-74.99616999999999,315
146,Edison High School,50 Boulevard Of The Eagles,Edison,8817,40.516104,-74.39754,314
147,East Brunswick High School,380 Cranbury Road,E Brunswick,8816,40.434239,-74.40504,312
148,Middletown High School North,63 Tindall Road,Middletown,7748,40.410213,-74.11718,311
149,Freehold Borough High School,2 Robertsville Road,Freehold,7728,40.241036,-74.27629,310
150,Indian Hills High School,97 Yawpo Ave,Oakland,7436,41.028884000000005,-74.23727,308
151,South Plainfield High School,200 Lake Street,South Plainfield,7080,40.580703,-74.41401,307
152,North Arlington High School,222 Ridge Road,North Arlington,7031,40.791895000000004,-74.13254,306
153,American History High School,74 Montgomery St,Newark,7103,40.736101,-74.22509000000001,305
154,Northern Burlington County Regional High School,160 Mansfield Road East,Columbus,8022,40.079952,-74.70684,303
155,Salem County Career and Technical High School,880 Route 45,Woodstown,8098,39.637838,-75.32396,302
156,Delaware Valley Regional High School,19 Senator Stout Rd,Frenchtown,8825,40.509997999999996,-75.03239,301
157,Dover High School,100 Grace Street,Dover,7801,40.889165999999996,-74.55462,299
158,Roselle Park High School,185 W Webster Ave,Roselle Park,7204,40.665552000000005,-74.26768,298
159,Timber Creek Regional High School,501 Jarvis Road,Erial,8081,39.741385,-74.99035,297
160,Parsippany High School,309 Baldwin Rd,Parsippany,7054,40.860149,-74.4171,296
161,Highland Park High School,102 North Fifth Avenue,Highland Park,8904,40.500254,-74.4257,294
162,High Point Regional High School District,299 Pidgeon Hill Road,Sussex,7461,41.229754,-74.60203,293
163,Middlesex High School,300 John F. Kennedy Drive,Middlesex,8846,40.574552000000004,-74.50187,292
164,Lyndhurst High School,400 Weart Avenue,Lyndhurst,7071,40.808415999999994,-74.12111,290
165,Jackson Liberty High School,125 North Hope Chapel Road,Jackson,8527,40.115970000000004,-74.32251,289
166,Mainland Regional High School,1301 Oak Avenue,Linwood,8221,39.348616,-74.57387,288
167,Delsea Regional High School,242 Fries Mill Rd,Franklinville,8322,39.618221999999996,-75.0618,287
168,East Orange STEM Academy High School,129 Renshaw Avenue,East Orange,7017,40.770933,-74.20589,285
169,Middlesex County Vocational School East Brunswick,112 Rues Lane,East Brunswick,8816,40.434239,-74.40504,284
170,Monroe Township High School,200 Schoolhouse Road,Monroe Township,8831,40.336508,-74.43302,283
171,Raritan High School,419 Middle Road,Hazlet,7730,40.423297999999996,-74.179,281
172,Haddon Heights Junior/Senior High School,301 Second Avenue,Haddon Heights,8035,39.879129999999996,-75.06599,280
173,Burlington Township High School,610 Fountain Avenue,Burlington,8016,40.06834,-74.84463000000001,279
174,Ocean City High School,501 Atlantic Avenue,Ocean City,8226,39.265371,-74.59380999999999,278
175,Hammonton High School,566 Old Forks Road,Hammonton,8037,39.625291,-74.77705,276
176,Hackettstown High School,599 Warren Street,Hackettstown,7840,40.861748,-74.83054,275
176,Montclair High School,100 Chestnut St,Montclair,7042,40.81315,-74.21576,275
178,Newton High School,44 Ryerson Avenue,Newton,7860,41.0714,-74.80199,272
179,Leonia High School,100 Christie Heights Street,Leonia,7605,40.862685,-73.98550999999999,271
180,Secaucus High School,11 Mill Ridge Road,Secaucus,7094,40.7885,-74.06,270
181,Jefferson Township High School,1010 Weldon Rd Rd2,Oak Ridge,7438,41.029555,-74.5071,269
182,University High School,55 Clinton Pl,Newark,7108,40.736101,-74.22509000000001,267
183,Vernon Township High School,1832 Route 565,Vernon,7462,41.193708,-74.5089,266
184,School of Health Science,5-7 Colt St,Paterson,7505,40.912198,-74.16863000000001,265
185,Toms River High School North,1245 Old Freehold Road,Toms River,8753,39.974584,-74.15141,263
186,Somerset County Vocational Technical High School,14 Vogt Drive,Bridgewater,8807,40.588097,-74.62253,262
187,Old Bridge High School,4209 Route 516,Matawan,7747,40.411102,-74.23767,261
188,Southern Regional High School,90 Cedar Bridge Road,Manahawkin,8050,39.707575,-74.25933,260
189,Point Pleasant Beach High School,700 Trenton Avenue,Point Pleasant Beach,8742,40.081165000000006,-74.06003,258
190,Highland Regional High School,450 Erial Road,Blackwood,8012,39.784614000000005,-75.05678,257
191,North Brunswick Township High School,98 Raider Road,North Brunswick,8902,40.453131,-74.48286999999999,256
192,Lawrence High School,2525 Princeton Pike,Lawrenceville,8648,40.003861,-74.61775,254
193,Kingsway Regional High School,201 Kings Highway,Woolwich Twp,8085,39.753088,-75.32687,253
194,Piscataway Township High School,100 Behmer Road,Piscataway,8854,40.555355,-74.46094000000001,252
195,Morris Hills High School,520 West Main Street,Rockaway,7866,40.926798,-74.50624,251
196,West Milford High School,67 Highlander Drive,West Milford,7480,41.102569,-74.37047,249
197,Dunellen High School,411 First Street,Dunellen,8812,40.594502,-74.47166,248
198,Jackson Memorial High School,101 Don Connor Boulevard,Jackson,8527,40.115970000000004,-74.32251,247
199,Alexander Hamilton Preparatory Academy,310 Cherry St,Elizabeth,7208,40.695552,-74.22856,246
