Rank (of 411),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
1,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,No,(n/a),No,No,(732) 452-2600
2,Biotechnology High School,Public,12-Sep,5000 Kozloski Road,Freehold,7728,No,(n/a),No,No,(732) 431-7942
3,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,No,(n/a),No,No,(732) 842-8444
4,Middlesex County Vocational Academy Allied Health & Biomedical Science,Public,12-Aug,1 Convery Boulevard,Woodbridge,7095,No,(n/a),No,No,(732) 634-5858
5,Academy For Allied Health Sciences,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
6,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
7,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
8,Marine Academy of Technology and Environmental Science,Public,12-Sep,195 Cedar Bridge Road,Manahawkin,8050,No,(n/a),No,No,(609) 978-8439
9,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,No,(n/a),No,No,(732) 681-1010
10,Academy for Mathematics Science and Engineering,Public,12-Sep,520 West Main Street,Rockaway,7866,No,(n/a),No,No,(973) 664-2301
11,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,No,(n/a),No,No,(732) 775-0058
12,Dr Ronald McNair High School,Public,12-Sep,123 Coles Street,Jersey City,7302,No,(n/a),No,Yes,(201) 418-7617
13,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,No,(n/a),No,No,(201) 343-6000
14,Marine Academy Of Science And Technology,Public,12-Sep,305 Mast Way,Highlands,7732,No,(n/a),No,No,(732) 291-0995
15,Union County Technical,Public,12-Sep,1776 Raritan Rd,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8288
16,Bergen County Technical High School - Teterboro,Public,12-Sep,504 Route 46 West,Teterboro,7608,No,(n/a),No,No,(201) 343-6000
17,Infinity Institute,Public,12-Jun,193 Old Bergen Road,Jersey City,7305,No,(n/a),No,Yes,(201) 915-1404
18,Academy For Performing Arts,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8288
19,Morris County School of Technology,Public,12-Sep,400 East Main Street,Denville,7834,No,(n/a),No,No,(973) 627-4600
20,Science Park High School,Public,12-Jul,260 Norfolk Street,Newark,7102,No,(n/a),No,Yes,(973) 733-8689
21,Summit High School,Public,12-Sep,125 Kent Place Blvd,Summit,7901,No,(n/a),No,Yes,(908) 273-1494
22,Millburn High School,Public,12-Sep,462 Millburn Ave,Millburn,7041,No,(n/a),No,No,(973) 564-7130
23,Northern Valley Regional High School at Old Tappan,Public,12-Sep,140 Central Avenue,Old Tappan,7675,No,(n/a),No,Yes,(201) 784-1600
24,Ridge High School,Public,12-Sep,268 South Finley Avenue,Basking Ridge,7920,No,(n/a),No,No,(908) 204-2585
25,Technology High School,Public,12-Sep,223 Broadway,Newark,7102,No,(n/a),No,Yes,(973) 481-5962
26,Glen Ridge High School,Public,12-Jul,200 Ridgewood Ave,Glen Ridge,7028,No,(n/a),No,No,(973) 429-8303
27,Northern Valley Regional High School At Demarest,Public,12-Sep,150 Knickerbocker Road,Demarest,7627,No,(n/a),No,No,(201) 768-3200
28,West Morris Central High School,Public,12-Sep,259 Bartley Road,Chester,7930,No,(n/a),No,No,(908) 879-5212
29,New Providence High School,Public,12-Sep,35 Pioneer Dr,New Providence,7974,No,(n/a),No,Yes,(908) 464-4700
30,John P. Stevens High School,Public,12-Sep,855 Grove Avenue,Edison,8820,No,(n/a),No,No,(732) 452-2800
31,Montgomery High School,Public,12-Sep,1016 Route 601,Skillman,8558,No,(n/a),No,Yes,(609) 466-7602
32,Ridgewood High School,Public,12-Sep,627 East Ridgewood Ave,Ridgewood,7451,No,(n/a),No,No,(201) 670-2800
33,Kinnelon High School,Public,12-Sep,121 Kinnelon Road,Kinnelon,7405,No,(n/a),No,Yes,(973) 838-5500
34,West Windsor-Plainsboro High School South,Public,12-Sep,346 Clarksville Road,West Windsor,8550,No,(n/a),No,Yes,(609) 716-5050
35,Westfield Senior High School,Public,12-Sep,550 Dorian Road,Westfield,7090,No,(n/a),No,No,(908) 789-4500
36,Madison High School,Public,12-Sep,170 Ridgedale Avenue,Madison,7940,No,(n/a),No,No,(973) 593-3117
37,Tenafly High School,Public,12-Sep,19 Columbus Drive,Tenafly,7670,No,(n/a),No,No,(201) 816-6614
