Rank (of 411),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
38,John F. Scarpa Technical Education Center of Cumberland Coun,Public,12-Sep,3400 College Drive,Vineland,8360,No,(n/a),No,Yes,(856) 451-9000
39,West Windsor-Plainsboro High School North,Public,12-Sep,90 Grovers Mill Road,Plainsboro,8536,No,(n/a),No,Yes,(609) 716-5100
40,Pascack Hills High School,Public,12-Sep,225 West Grand Avenue,Montvale,7645,No,(n/a),No,No,(201) 358-7020
41,Haddonfield Memorial High School,Public,12-Sep,401 Kings Highway East,Haddonfield,8033,No,(n/a),No,No,(856) 429-3960
42,Performing Arts Academy of the Ocean County Vocational Technical,Public,12-Sep,Route 547,Lakehurst,8733,No,(n/a),No,No,(732) 286-5678
43,West Morris Mendham High School,Public,12-Sep,65 East Main Street,Mendham,7945,No,(n/a),No,No,(973) 543-2501
44,County Prep High School,Public,12-Sep,525 Montgomery Street,Jersey City,7306,No,(n/a),No,Yes,(201) 631-6302
45,Northern Highlands Regional High School,Public,12-Sep,298 Hillside Ave,Allendale,7401,No,(n/a),No,Yes,(201) 327-8700
46,Livingston High School,Public,12-Sep,30 Robert Harp Drive,Livingston,7039,No,(n/a),No,Yes,(973) 535-8000
47,River Dell Regional High School,Public,12-Sep,55 Pyle Street,Oradell,7649,No,(n/a),No,Yes,(201) 599-7240
48,Fair Lawn High School,Public,12-Sep,14 00 Berdan Avenue,Fair Lawn,7410,No,(n/a),No,Yes,(201) 794-5455
49,Applied Technology High School,Public,12-Sep,400 Paramus Road,Paramus,7652,No,(n/a),No,No,(201) 343-6000
50,Pequannock Township High School,Public,12-Sep,85 Sunset Road,Pompton Plains,7444,No,(n/a),No,Yes,(973) 616-6000
51,Whippany Park High School,Public,12-Sep,165 Whippany Road,Whippany,7981,No,(n/a),No,Yes,(973) 887-3004
52,Ramapo High School,Public,12-Sep,331 George Street,Franklin Lakes,7417,No,(n/a),No,No,(201) 891-1500
53,Mountain Lakes High School,Public,12-Sep,96 Powerville Rd.,Mountain Lakes,7046,No,(n/a),No,No,(973) 334-8400
54,Ramsey High School,Public,12-Sep,256 E Main Street,Ramsey,7446,No,(n/a),No,No,(201) 785-2300
55,Holmdel High School,Public,12-Sep,36 Crawfords Corner Road,Holmdel,7733,No,(n/a),No,Yes,(732) 946-1832
56,Mahwah High School,Public,12-Sep,50 Ridge Road,Mahwah,7430,No,(n/a),No,No,(201) 762-2300
57,Mount Olive High School,Public,12-Sep,18 Corey Road,Flanders,7836,No,(n/a),No,No,(973) 927-2208
58,North Hunterdon High School,Public,12-Sep,1445 State Route 31,Annandale,8801,No,(n/a),No,No,(908) 735-5191
59,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,8873,Yes,(n/a),No,Yes,(732) 649-3954
60,High Technical High School,Public,12-Sep,1 High Tech Way,Secaucus,7094,No,(n/a),No,Yes,(201) 662-6801
61,Bridgewater-Raritan High School,Public,12-Sep,600 Garretson Road,Bridgewater,8807,No,(n/a),No,No,(908) 231-8660
62,Park Ridge High School,Public,12-Jul,2 Park Ave,Park Ridge,7656,No,(n/a),No,No,(201) 573-6000
63,Glen Rock High School,Public,12-Sep,400 Hamilton Avenue,Glen Rock,7452,No,(n/a),No,No,(201) 445-7700
64,Metuchen High School,Public,12-Sep,400 Grove Ave,Metuchen,8840,No,(n/a),No,Yes,(732) 321-8744
65,Cresskill High School,Public,12-Sep,1 Lincoln Dr,Cresskill,7626,No,(n/a),No,No,(201) 227-7791
66,Scotch Plains-Fanwood High School,Public,12-Sep,667 Westfield Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8600
67,Voorhees High School,Public,12-Sep,256 County Route 513,Glen Gardner,8826,No,(n/a),No,Yes,(908) 638-6116
68,Indian Hills High School,Public,12-Sep,97 Yawpo Ave,Oakland,7436,No,(n/a),No,Yes,(201) 337-0100
69,Hillsborough High School,Public,12-Sep,466 Raider Boulevard,Hillsborough,8844,No,(n/a),No,No,(908) 431-6600
70,Dumont High School,Public,12-Sep,101 New Milford Ave,Dumont,7628,No,(n/a),No,No,(201) 387-3000
71,Hunterdon Central Regional High School District,Public,12-Sep,84 Route 31,Flemington,8822,No,(n/a),No,Yes,(908) 782-5727
72,Westwood Junior/Senior High School,Public,12-Aug,701 Ridgewood Road,Township Of Washington,7676,No,(n/a),No,No,(201) 664-0880
73,Randolph High School,Public,12-Sep,511 Millbrook Avenue,Randolph,7869,No,(n/a),No,No,(973) 361-2400
74,Verona High School,Public,12-Sep,151 Fairview Ave,Verona,7044,No,(n/a),No,No,(973) 571-6750
75,Parsippany High School,Public,12-Sep,309 Baldwin Rd,Parsippany,7054,No,(n/a),No,Yes,(973) 263-7001
76,Liberty High School,Public,12-Sep,299 Sip Avenue,Jersey City,7306,No,(n/a),No,Yes,(201) 714-4373
77,Princeton High School,Public,12-Sep,151 Moore Street,Princeton,8540,No,(n/a),No,No,(609) 806-4280
78,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,7102,Yes,(n/a),No,Yes,(973) 642-0101
79,Elizabeth High School - Frank J Cicarell Academy,Public,12-Sep,40 Morrell Street,Elizabeth,7202,No,(n/a),No,Yes,(908) 436-5870
80,Pascack Valley High School,Public,12-Sep,200 Piermont Avenue,Hillsdale,7642,No,(n/a),No,No,(201) 358-7060
81,Clearview Regional High School,Public,12-Sep,625 Breakneck Rd,Mullica Hill,8062,No,(n/a),No,Yes,(856) 223-2790
82,Leonia High School,Public,12-Sep,100 Christie Heights Street,Leonia,7605,No,(n/a),No,Yes,(201) 302-5200
83,Moorestown High School,Public,12-Sep,350 Bridgeboro Road,Moorestown,8057,No,(n/a),No,Yes,(856) 778-6610
84,Wayne Valley High School,Public,12-Sep,551 Valley Road,Wayne,7470,No,(n/a),No,Yes,(973) 317-2200
85,Montville Township High School,Public,12-Sep,100 Horseneck Road,Montville,7045,No,(n/a),No,No,(973) 331-7100
86,Monroe Township High School,Public,12-Sep,200 Schoolhouse Road,Monroe Township,8831,No,(n/a),No,Yes,(732) 521-2882
87,Matawan Regional High School,Public,12-Sep,450 Atlantic Avenue,Aberdeen,7747,No,(n/a),No,No,(732) 705-5200
88,Wayne Hills High School,Public,12-Sep,272 Berdan Avenue,Wayne,7470,No,(n/a),No,No,(973) 317-2000
89,Cherry Hill High School East,Public,12-Sep,1750 Kresson Rd.,Cherry Hill,8003,No,(n/a),No,No,(856) 424-2222
90,Parsippany Hills High School,Public,12-Sep,20 Rita Drive,Morris Plains,7950,No,(n/a),No,No,(973) 682-2815
91,Bergen Arts and Sciences Charter School,"Public, Charter, Alternative",K-12,200 MacArthur Avenue,Garfield,7026,Yes,(n/a),No,Yes,(201) 773-9140
92,Point Pleasant Borough High School,Public,12-Sep,Laura Herbert Dr,Point Pleasant Beach,8742,No,(n/a),No,No,(732) 701-1900
93,Cranford High School,Public,12-Sep,201 West End Place,Cranford,7016,No,(n/a),No,No,(908) 709-6272
94,Morris Knolls High School,Public,12-Sep,50 Knoll Drive,Denville,7834,No,(n/a),No,No,(973) 664-2201
95,Pompton Lakes High School,Public,12-Sep,44 Lakeside Avenue,Pompton Lakes,7442,No,(n/a),No,No,(973) 835-7100
96,Allentown High School,Public,12-Sep,27 High Street,Allentown,8501,No,(n/a),No,Yes,(609) 259-7292
97,Fort Lee High School,Public,12-Sep,3000 Lemoine Ave,Fort Lee,7024,No,(n/a),No,Yes,(201) 585-4675
98,Morris Hills High School,Public,12-Sep,520 West Main Street,Rockaway,7866,No,(n/a),No,Yes,(973) 664-2301
99,Ridgefield Memorial High School,Public,12-Sep,555 Walnut St,Ridgefield,7657,No,(n/a),No,No,(201) 945-4455
100,Paramus High School,Public,12-Sep,99 East Century Road,Paramus,7652,No,(n/a),No,Yes,(201) 261-7800
101,Lakeland Regional High School,Public,12-Sep,205 Conklintown Road,Wanaque,7465,No,(n/a),No,Yes,(973) 835-1900
102,Passaic County Technical Institute,Public,12-Sep,45 Reinhardt Road,Wayne,7470,No,(n/a),No,Yes,(973) 790-6000
103,Somerset County Vocational Technical High School,Public,12-Sep,14 Vogt Drive,Bridgewater,8807,No,(n/a),No,Yes,(908) 526-8900
104,Gloucester County Institute of Technology,Public,12-Sep,1360 Tanyard Road,Sewell,8080,No,(n/a),No,Yes,(856) 468-1445
105,James Caldwell High School,Public,12-Sep,265 Westville Ave,West Caldwell,7006,No,(n/a),No,No,(973) 228-6981
106,Manasquan High School,Public,12-Sep,167 Broad Street,Manasquan,8736,No,(n/a),No,No,(732) 528-8820
107,West Essex High School,Public,12-Sep,65 West Greenbrook Rd,North Caldwell,7006,No,(n/a),No,Yes,(973) 228-1200
108,Midland Park Junior/Senior High School,Public,12-Jul,250 Prospect St,Midland Park,7432,No,(n/a),No,Yes,(201) 444-7400
109,Hasbrouck Heights High School,Public,12-Sep,365 Boulevard,Hasbrouck Heights,7604,No,(n/a),No,No,(201) 288-6150
110,Red Bank Regional High School,Public,12-Sep,101 Ridge Road,Little Silver,7739,No,(n/a),No,Yes,(732) 842-8000
111,Chatham High School,Public,12-Sep,255 Lafayette Avenue,Chatham,7928,No,(n/a),No,No,(973) 457-2505
112,Hopewell Valley Central High School,Public,12-Sep,259 Pennington Titusville Rd,Pennington,8534,No,(n/a),No,No,(609) 737-4003
113,East Brunswick High School,Public,12-Oct,380 Cranbury Road,E Brunswick,8816,No,(n/a),No,No,(732) 613-6904
114,Emerson Junior Senior High,Public,12-Jul,131 Main Street,Emerson,7630,No,(n/a),No,Yes,(201) 262-4447
115,East Orange STEM Academy High School,Public,12-Jun,129 Renshaw Avenue,East Orange,7017,No,(n/a),No,Yes,(973) 266-5900
116,Marlboro High School,Public,12-Sep,95 North Main Street,Marlboro,7746,No,(n/a),No,No,(732) 617-8393
117,Columbia High School,Public,12-Sep,17 Parker Ave,Maplewood,7040,No,(n/a),No,No,(973) 762-5600
118,Rumson-Fair Haven Regional High School,Public,12-Sep,74 Ridge Road,Rumson,7760,No,(n/a),No,Yes,(732) 842-1597
119,Hackettstown High School,Public,12-Sep,599 Warren Street,Hackettstown,7840,No,(n/a),No,No,(908) 852-8150
120,Cinnaminson High School,Public,12-Sep,1197 Riverton Road,Cinnaminson,8077,No,(n/a),No,Yes,(856) 829-7770
121,Lodi High School,Public,12-Sep,99 Putnam Street,Lodi,7644,No,(n/a),No,Yes,(973) 478-6100
122,New Milford High School,Public,12-Sep,330 River Road,New Milford,7646,No,(n/a),No,No,(201) 262-0172
123,South Brunswick High School,Public,12-Sep,750 Ridge Road,Monmouth Junction,8852,No,(n/a),No,No,(732) 329-4044
124,Middlesex High School,Public,12-Sep,300 John F. Kennedy Drive,Middlesex,8846,No,(n/a),No,No,(732) 317-6000
125,Hanover Park High School,Public,12-Sep,63 Mt Pleasant Avenue,East Hanover,7936,No,(n/a),No,No,(973) 887-0300
126,Robbinsville High School,Public,12-Sep,155 Robbinsville Edinburg Rd,Robbinsville,8691,No,(n/a),No,No,(609) 632-0950
127,Hammonton High School,Public,12-Sep,566 Old Forks Road,Hammonton,8037,No,(n/a),No,Yes,(609) 567-7000
128,Point Pleasant Beach High School,Public,12-Sep,700 Trenton Avenue,Point Pleasant Beach,8742,No,(n/a),No,Yes,(732) 899-1817
129,South Plainfield High School,Public,12-Sep,200 Lake Street,South Plainfield,7080,No,(n/a),No,No,(908) 754-4620
130,Foundation Academy Charter School,"Public, Charter, Alternative",K-12,363 West State Street,Trenton,8608,Yes,(n/a),No,Yes,(609) 920-9200
131,Henry Hudson Regional School,Public,12-Jul,1 Grand Tour,Highlands,7732,No,(n/a),No,Yes,(732) 872-0900
132,Middletown High School South,Public,12-Sep,900 Nut Swamp Road,Middletown,7748,No,(n/a),No,No,(732) 706-6111
133,Rancocas Valley Regional High School,Public,12-Sep,520 Jacksonville Road,Mount Holly,8060,No,(n/a),No,Yes,(609) 267-0830
134,Montclair High School,Public,12-Sep,100 Chestnut St,Montclair,7042,No,(n/a),No,No,(973) 509-4100
135,Bernards High School,Public,12-Sep,25 Olcott Avenue,Bernardsville,7924,No,(n/a),No,No,(908) 630-3000
136,Sparta High School,Public,12-Sep,70 West Mountain Road,Sparta,7871,No,(n/a),No,Yes,(973) 729-6191
137,Shawnee High School,Public,12-Sep,600 Tabernacle Road,Medford,8055,No,(n/a),No,No,(609) 654-7544
138,Governor Livingston High School,Public,12-Sep,175 Watchung Boulevard,Berkeley Heights,7922,No,(n/a),No,Yes,(908) 464-3100
139,Kingsway Regional High School,Public,12-Sep,201 Kings Highway,Woolwich Twp,8085,No,(n/a),No,Yes,(856) 467-3300
140,Bergenfield High School,Public,12-Sep,80 S Prospect Ave,Bergenfield,7621,No,(n/a),No,Yes,(201) 385-8600
141,Kittatinny Regional High School,Public,12-Jul,77 Halsey Road,Newton,7860,No,(n/a),No,Yes,(973) 383-1800
142,Spotswood High School,Public,12-Sep,105 Summerhill Road,Spotswood,8884,No,(n/a),No,No,(732) 723-2200
143,Waldwick High School,Public,12-Sep,155 Wyckoff Avenue,Waldwick,7463,No,(n/a),No,No,(201) 652-9000
144,Secaucus High School,Public,12-Sep,11 Mill Ridge Road,Secaucus,7094,No,(n/a),No,Yes,(201) 974-2033
145,Essex County Newark Technical,Public,12-Sep,91 West Market Street,Newark,7103,No,(n/a),No,Yes,(973) 412-2204
146,Union County TEAMS Charter School,"Public, Charter, Alternative",K-12,515 517 West Fourth Street,Plainfield,7060,Yes,(n/a),No,Yes,(908) 754-9043
147,John F. Kennedy Memorial High School,Public,12-Sep,200 Washington Avenue,Iselin,8830,No,(n/a),No,No,(732) 602-8650
148,Lenape Valley Regional High School,Public,12-Sep,28 Sparta Road,Stanhope,7874,No,(n/a),No,Yes,(973) 347-7600
149,Nutley High School,Public,12-Sep,300 Franklin Ave,Nutley,7110,No,(n/a),No,Yes,(973) 661-8824
150,Rutherford High School,Public,12-Sep,56 Elliott Pl,Rutherford,7070,No,(n/a),No,No,(201) 438-7675
151,Vernon Township High School,Public,12-Sep,1832 Route 565,Vernon,7462,No,(n/a),No,No,(973) 764-2960
152,Mainland Regional High School,Public,12-Sep,1301 Oak Avenue,Linwood,8221,No,(n/a),No,Yes,(609) 927-4151
153,Teaneck High School,Public,12-Sep,100 Elizabeth Ave,Teaneck,7666,No,(n/a),No,No,(201) 833-5400
154,Jonathan Dayton High School,Public,12-Sep,139 Mountain Ave.,Springfield,7081,No,(n/a),No,Yes,(973) 376-1025
155,Bard Early College High School,Public,12-Sep,321 Bergen Street,Newark,7103,No,(n/a),No,Yes,(212) 995-8479
156,Bogota Junior/Senior High School,Public,12-Jul,2 Henry C Luthin Place,Bogota,7603,No,(n/a),No,No,(201) 441-4808
157,Colts Neck High School,Public,12-Sep,59 Five Points Road,Colts Neck,7722,No,(n/a),No,No,(732) 761-0190
158,Lawrence High School,Public,12-Sep,2525 Princeton Pike,Lawrenceville,8648,No,(n/a),No,No,(609) 671-5510
159,New Egypt High School,Public,12-Sep,117 Evergreen Road,New Egypt,8533,No,(n/a),No,Yes,(609) 758-6800
160,Eastern Regional High School,Public,12-Sep,1401 Laurel Oak Road,Voorhees,8043,No,(n/a),No,Yes,(856) 784-4441
161,Wall High School,Public,12-Sep,1630 18th Ave,Wall,7719,No,(n/a),No,Yes,(732) 556-2040
162,Jefferson Township High School,Public,12-Sep,1010 Weldon Rd Rd2,Oak Ridge,7438,No,(n/a),No,No,(973) 697-3535
163,Freehold Borough High School,Public,12-Sep,2 Robertsville Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8360
164,North Warren Regional School,Public,12-Jul,10 Noe Rd,Blairstown,7825,No,(n/a),No,Yes,(908) 362-8211
165,Phillipsburg High School,Public,12-Sep,1 Stateliner Blvd.,Phillipsburg,8865,No,(n/a),No,No,(908) 454-3400
166,Boonton High School,Public,12-Sep,306 Lathrop Avenue,Boonton,7005,No,(n/a),No,Yes,(973) 335-9700
167,Watchung Hills Regional High School,Public,12-Sep,108 Stirling Rd.,Warren,7059,No,(n/a),No,Yes,(908) 647-4800
168,Edison High School,Public,12-Sep,50 Boulevard Of The Eagles,Edison,8817,No,(n/a),No,Yes,(732) 650-5200
169,Essex County Donald M. Payne Senior School of Technology,Public,12-Sep,498-544 West Market St,Newark,7107,No,(n/a),No,Yes,(973) 412-2203
170,Monmouth Regional High School,Public,12-Sep,One Norman J Field Way,Tinton Falls,7724,No,(n/a),No,Yes,(732) 542-1170
171,Bayonne High School,Public,12-Sep,669 Avenue A,Bayonne,7002,No,(n/a),No,No,(201) 858-5900
172,Warren Hills Regional High School,Public,12-Sep,41 Jackson Valley Road,Washington,7882,No,(n/a),No,No,(908) 689-3050
173,Egg Harbor Township High School,Public,12-Sep,24 High School Drive,Egg Harbor Township,8234,No,(n/a),No,No,(609) 653-0100
174,Alexander Hamilton Preparatory Academy,Public,12-Sep,310 Cherry St,Elizabeth,7208,No,(n/a),No,Yes,(908) 436-6100
175,Ocean City High School,Public,12-Sep,501 Atlantic Avenue,Ocean City,8226,No,(n/a),No,No,(609) 399-1290
176,Cicely L. Tyson Community Middle/High School,Public,12-Jun,35 Winans Street,East Orange,7017,No,(n/a),No,Yes,(973) 414-8600
177,Roxbury High School,Public,12-Sep,One Bryant Drive,Succasunna,7876,No,(n/a),No,No,(973) 584-1200
178,Highland Park High School,Public,12-Sep,102 North Fifth Avenue,Highland Park,8904,No,(n/a),No,Yes,(732) 572-2400
179,South Hunterdon Regional High School,Public,12-Jul,301 Mt Airy Harbourton Rd,Lambertville,8530,No,(n/a),No,Yes,(609) 397-2060
180,Lenape High School,Public,12-Sep,235 Hartford Road,Medford,8055,No,(n/a),No,Yes,(609) 654-5111
181,Hightstown High School,Public,12-Sep,25 Leshin Lane,Hightstown,8520,No,(n/a),No,Yes,(609) 443-7738
182,Haddon Township High School,Public,12-Sep,406 Memorial Avenue,Westmont,8108,No,(n/a),No,No,(856) 869-7750
183,Saddle Brook Middle/High School,Public,12-Jul,355 Mayhill Street,Saddle Brook,7663,No,(n/a),No,Yes,(201) 843-2880
184,Collingswood High School,Public,12-Sep,424 Collings Ave,Collingswood,8108,No,(n/a),No,Yes,(856) 962-5701
185,Union City High School,Public,12-Sep,2500 Kennedy Blvd,Union City,7087,No,(n/a),No,Yes,(201) 330-8678
186,Pitman High School,Public,12-Sep,225 Linden Avenue,Pitman,8071,No,(n/a),No,No,(856) 589-2121
187,Atlantic County Institute of Technology,Public,12-Sep,5080 Atlantic Avenue,Mays Landing,8330,No,(n/a),No,Yes,(609) 625-2249
188,Somerville High School,Public,12-Sep,222 Davenport St.,Somerville,8876,No,(n/a),No,No,(908) 218-4108
189,Hackensack High School,Public,12-Sep,First & Beech Streets,Hackensack,7601,No,(n/a),No,Yes,(201) 646-7900
190,Toms River High School North,Public,12-Sep,1245 Old Freehold Road,Toms River,8753,No,(n/a),No,No,(732) 505-5702
191,Piscataway Township High School,Public,12-Sep,100 Behmer Road,Piscataway,8854,No,(n/a),No,Yes,(732) 981-0700
192,Butler High School,Public,12-Sep,38 Bartholdi Avenue,Butler,7405,No,(n/a),No,Yes,(973) 492-2000
193,Pinelands Regional High School,Public,12-Oct,565 Nugentown Road,Little Egg Harbor,8087,No,(n/a),No,No,(609) 296-3106
194,Shore Regional High School,Public,12-Sep,132 Monmouth Park Highway 36,West Long Branch,7764,No,(n/a),No,Yes,(732) 222-9300
195,Delaware Valley Regional High School,Public,12-Sep,19 Senator Stout Rd,Frenchtown,8825,No,(n/a),No,Yes,(908) 996-2131
196,Cherokee High School,Public,12-Sep,120 Tomlinson Mill Road,Marlton,8053,No,(n/a),No,No,(856) 983-5140
197,TEAM Academy Charter School,"Public, Charter, Alternative",K-12,60 Park Place,Newark,7102,Yes,(n/a),No,Yes,(973) 622-0905
198,Northern Burlington County Regional High School,Public,12-Sep,160 Mansfield Road East,Columbus,8022,No,(n/a),No,Yes,(609) 298-3900
199,Wallington Junior Senior High School,Public,12-Jul,234 Main Ave,Wallington,7057,No,(n/a),No,No,(973) 777-0808
200,Freehold Township High School,Public,12-Sep,281 Elton Adelphia Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8460
201,Ocean Township High School,Public,12-Sep,550 West Park Avenue,Oakhurst,7755,No,(n/a),No,No,(732) 531-5650
202,Hoboken Charter School,"Public, Charter, Alternative",K-12,713 Washington St,Hoboken,7030,Yes,(n/a),No,Yes,(201) 963-0222
203,Arts High School,Public,12-Jul,550 M L King Blvd,Newark,7102,No,(n/a),No,Yes,(973) 733-7391
204,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",24 Maiden Lane,Newark,7102,Yes,(n/a),No,Yes,(973) 565-9170
205,Toms River High School East,Public,12-Sep,1225 Raider Way,Toms River,8753,No,(n/a),No,No,(732) 505-5665
206,West Orange High School,Public,12-Sep,51 Conforti Ave,West Orange,7052,No,(n/a),No,No,(973) 669-5301
207,Brick Township High School,Public,12-Sep,346 Chambers Bridge Rd,Brick,8723,No,(n/a),No,No,(732) 785-3000
208,Absegami High School,Public,12-Sep,201 S Wrangleboro Road,Galloway,8205,No,(n/a),No,Yes,(609) 652-1372
209,Cliffside Park High School,Public,12-Sep,64 Riverview Avenue,Cliffside Park,7010,No,(n/a),No,No,(201) 313-2370
210,Old Bridge High School,Public,12-Sep,4209 Route 516,Matawan,7747,No,(n/a),No,No,(732) 290-3900
211,Ridgefield Park Junior Senior High School,Public,12-Jul,1 Ozzie Nelson Drive,Ridgefield Park,7660,No,(n/a),No,Yes,(201) 440-1440
212,Cedar Grove High School,Public,12-Sep,90 Rugby Road,Cedar Grove,7009,No,(n/a),No,No,(973) 239-6400
213,Manalapan High School,Public,12-Sep,20 Church Lane,Englishtown,7726,No,(n/a),No,No,(732) 792-7200
214,Gloucester City Junior Senior High School,Public,12-Jul,1300 Market Street,Gloucester City,8030,No,(n/a),No,Yes,(856) 456-7000
215,West Deptford High School,Public,12-Sep,1600 Old Crown Point Rd,West Deptford,8093,No,(n/a),No,No,(856) 848-6110
216,Franklin High School,Public,12-Sep,500 Elizabeth Avenue,Somerset,8873,No,(n/a),No,No,(732) 302-4200
217,Camden County Technical School-GTC,Public,12-Sep,343 Berlin Cross Keys Road,Sicklerville,8081,No,(n/a),No,Yes,(856) 767-7000
218,Union High School,Public,12-Sep,2350 North Third Street,Union,7083,No,(n/a),No,Yes,(908) 851-6500
219,Wood-Ridge Junior/Senior High School,Public,12-Jul,258 Hackensack St,Wood Ridge,7075,No,(n/a),No,Yes,(201) 933-6777
220,Lyndhurst High School,Public,12-Sep,400 Weart Avenue,Lyndhurst,7071,No,(n/a),No,No,(201) 896-2100
221,Morristown High School,Public,12-Sep,50 Early Street,Morristown,7960,No,(n/a),No,No,(973) 292-2000
222,Woodstown High School,Public,12-Sep,140 East Avenue,Woodstown,8098,No,(n/a),No,Yes,(856) 769-0144
223,Belvidere High School,Public,12-Sep,809 Oxford Street,Belvidere,7823,No,(n/a),No,Yes,(908) 475-4025
