Rank,School,Address,City,Zip,Latitude,Longitude,EduScore
1,Academy for Mathematics Science and Engineering,520 West Main Street,Rockaway,7866,40.890836,-74.52918,500
1,Communications High School,1740 New Bedford Road,Wall,7719,40.1699009,-74.0620491,500
1,Dr Ronald McNair High School,123 Coles Street,Jersey City,7302,40.7268302,-74.0474017,500
1,High Technology High School,765 Newman Springs Road,Lincroft,7738,40.3263561,-74.1311317,500
1,Marine Academy Of Science And Technology,305 Mast Way,Highlands,7732,40.4602808,-73.9996845,500
1,Middlesex County Vocational Academy Math Science &Engineering Techn,100 Technology Drive,Edison,8837,40.5045558,-74.3695502,500
1,Monmouth County Academy of Allied Health and Science,2325 Heck Avenue,Neptune,7753,40.2146818,-74.0378187,500
1,Union County Magnet High School,1776 Raritan Road,Scotch Plains,7076,40.6180513,-74.3570355,500
9,Bergen County Academies,200 Hackensack Avenue,Hackensack,7601,40.9017414,-74.0335932,488
10,High Technical High School,1 High Tech Way,Secaucus,7094,40.7611192,-74.0828525,487
11,Millburn High School,462 Millburn Ave,Millburn,7041,40.7204896,-74.3156957,486
12,Haddonfield Memorial High School,401 Kings Highway East,Haddonfield,8033,39.9019489,-75.0264294,484
13,Montgomery High School,1016 Route 601,Skillman,8558,40.4174592,-74.7064384,483
14,Cranford High School,201 West End Place,Cranford,7016,40.6620994,-74.3132307,481
15,Ridge High School,268 South Finley Avenue,Basking Ridge,7920,40.6943602,-74.5468722,480
16,Ramsey High School,256 E Main Street,Ramsey,7446,41.0568526,-74.1344231,478
17,West Morris Mendham High School,65 East Main Street,Mendham,7945,40.7761621,-74.5920761,477
18,Tenafly High School,19 Columbus Drive,Tenafly,7670,40.9332115,-73.9662898,475
19,Ramapo High School,331 George Street,Franklin Lakes,7417,40.9981332,-74.1926112,474
20,Science Park High School,260 Norfolk Street,Newark,7102,40.739939,-74.1854638,473
21,Chatham High School,255 Lafayette Avenue,Chatham,7928,40.7315069,-74.4006307,471
22,Kinnelon High School,121 Kinnelon Road,Kinnelon,7405,40.9963753,-74.377956,470
23,James Caldwell High School,265 Westville Ave,West Caldwell,7006,40.8421379,-74.2963789,468
24,Glen Ridge High School,200 Ridgewood Ave,Glen Ridge,7028,40.7993268,-74.2064682,467
25,Livingston High School,30 Robert Harp Drive,Livingston,7039,40.7839726,-74.3209948,465
26,Cresskill High School,1 Lincoln Dr,Cresskill,7626,40.9482849,-73.9640858,464
27,North Hunterdon High School,1445 State Route 31,Annandale,8801,40.6280379,-74.8834779,462
28,Holmdel High School,36 Crawfords Corner Road,Holmdel,7733,40.3813183,-74.1787577,461
29,Pascack Valley High School,200 Piermont Avenue,Hillsdale,7642,41.0090971,-74.0290024,460
30,Glen Rock High School,400 Hamilton Avenue,Glen Rock,7452,40.955201,-74.1226189,458
31,Northern Highlands Regional High School,298 Hillside Ave,Allendale,7401,41.0357203,-74.1437679,457
32,Rumson-Fair Haven Regional High School,74 Ridge Road,Rumson,7760,40.3692353,-74.0019122,455
33,Governor Livingston High School,175 Watchung Boulevard,Berkeley Heights,7922,40.6871612,-74.3868788,454
34,New Providence High School,35 Pioneer Dr,New Providence,7974,40.7006081,-74.4087203,452
35,University High School,55 Clinton Pl,Newark,7108,40.7213685,-74.2112375,451
36,Northern Valley Regional High School At Demarest,150 Knickerbocker Road,Demarest,7627,40.9625641,-73.9740798,449
37,Ridgewood High School,627 East Ridgewood Ave,Ridgewood,7451,40.977754,-74.105593,448
38,Westfield Senior High School,550 Dorian Road,Westfield,7090,40.644764,-74.3492799,447
39,Mahwah High School,50 Ridge Road,Mahwah,7430,41.0921068,-74.1581842,445
40,Marlboro High School,95 North Main Street,Marlboro,7746,40.329545,-74.2470946,444
41,Mountain Lakes High School,96 Powerville Rd.,Mountain Lakes,7046,40.8952526,-74.4271898,442
42,Northern Valley Regional High School at Old Tappan,140 Central Avenue,Old Tappan,7675,41.009123,-73.97879,441
43,West Windsor-Plainsboro High School South,346 Clarksville Road,West Windsor,8550,40.305586,-74.618714,439
44,West Morris Central High School,259 Bartley Road,Chester,7930,40.8122949,-74.7292699,438
45,West Windsor-Plainsboro High School North,90 Grovers Mill Road,Plainsboro,8536,40.3224272,-74.6006964,436
46,Madison High School,170 Ridgedale Avenue,Madison,7940,40.76975,-74.4087761,435
47,Cherry Hill High School East,1750 Kresson Rd.,Cherry Hill,8003,39.8766671,-74.9641666,434
48,Shawnee High School,600 Tabernacle Road,Medford,8055,39.855589,-74.7753636,432
49,Pequannock Township High School,85 Sunset Road,Pompton Plains,7444,40.9605569,-74.3056796,431
50,Hunterdon Central Regional High School District,84 Route 31,Flemington,8822,40.5171201,-74.851901,429
51,Hopewell Valley Central High School,259 Pennington Titusville Rd,Pennington,8534,40.327897,-74.8040552,428
52,Verona High School,151 Fairview Ave,Verona,7044,40.8412784,-74.2480376,426
53,Voorhees High School,256 County Route 513,Glen Gardner,8826,40.6957702,-74.8868766,425
54,Wayne Hills High School,272 Berdan Avenue,Wayne,7470,40.9683449,-74.2390272,423
55,Bergen County Technical High School - Teterboro,504 Route 46 West,Teterboro,7608,40.8604412,-74.0547977,422
56,Sparta High School,70 West Mountain Road,Sparta,7871,41.0542749,-74.624737,421
57,Summit High School,125 Kent Place Blvd,Summit,7901,40.720822,-74.370617,419
58,Wayne Valley High School,551 Valley Road,Wayne,7470,40.9306949,-74.23068,418
59,Delaware Valley Regional High School,19 Senator Stout Rd,Frenchtown,8825,40.5626984,-75.0057424,416
60,Randolph High School,511 Millbrook Avenue,Randolph,7869,40.8464632,-74.5666272,415
61,Colts Neck High School,59 Five Points Road,Colts Neck,7722,40.2762786,-74.2089446,413
62,Hanover Park High School,63 Mt Pleasant Avenue,East Hanover,7936,40.8041642,-74.3730725,412
63,John P. Stevens High School,855 Grove Avenue,Edison,8820,40.5802663,-74.3614965,410
64,Pascack Hills High School,225 West Grand Avenue,Montvale,7645,41.0495456,-74.0495917,409
65,Montville Township High School,100 Horseneck Road,Montville,7045,40.8933696,-74.3604198,408
66,High Point Regional High School District,299 Pidgeon Hill Road,Sussex,7461,41.1998479,-74.6461236,406
67,Washington Township High School,519 Hurffville Crosskeys Rd,Sewell,8080,39.7421989,-75.0767266,405
68,Moorestown High School,350 Bridgeboro Road,Moorestown,8057,39.9857575,-74.9446082,403
69,Fair Lawn High School,14 00 Berdan Avenue,Fair Lawn,7410,40.9325867,-74.1245849,402
70,Bernards High School,25 Olcott Avenue,Bernardsville,7924,40.7213623,-74.5671292,400
71,Whippany Park High School,165 Whippany Road,Whippany,7981,40.8142162,-74.4237087,399
72,East Brunswick High School,380 Cranbury Road,E Brunswick,8816,40.4328315,-74.3982401,397
73,Indian Hills High School,97 Yawpo Ave,Oakland,7436,41.022626,-74.23127,396
74,Highland Park High School,102 North Fifth Avenue,Highland Park,8904,40.5025008,-74.4255851,395
75,Kittatinny Regional High School,77 Halsey Road,Newton,7860,41.0879186,-74.7435225,393
76,Jefferson Township High School,1010 Weldon Rd Rd2,Oak Ridge,7438,41.016582,-74.5527361,392
77,Lenape High School,235 Hartford Road,Medford,8055,39.9208626,-74.854551,390
78,Cherokee High School,120 Tomlinson Mill Road,Marlton,8053,39.8738383,-74.8994508,389
79,Cedar Grove High School,90 Rugby Road,Cedar Grove,7009,40.8513707,-74.2233547,387
80,Watchung Hills Regional High School,108 Stirling Rd.,Warren,7059,40.6525753,-74.4754909,386
81,Point Pleasant Beach High School,700 Trenton Avenue,Point Pleasant Beach,8742,40.0888635,-74.0521586,384
82,Paramus High School,99 East Century Road,Paramus,7652,40.9283274,-74.0612748,383
83,Princeton High School,151 Moore Street,Princeton,8540,40.3572615,-74.6555009,382
84,Cinnaminson High School,1197 Riverton Road,Cinnaminson,8077,40.00753,-74.9963978,380
85,West Essex High School,65 West Greenbrook Rd,North Caldwell,7006,40.8745177,-74.2692037,379
86,Clearview Regional High School,625 Breakneck Rd,Mullica Hill,8062,39.7508447,-75.2064892,377
87,Metuchen High School,400 Grove Ave,Metuchen,8840,40.5536644,-74.3544671,376
88,Arthur L. Johnson High School,365 Westfield Avenue,Clark,7066,40.622651,-74.312659,374
89,Eastern Regional High School,1401 Laurel Oak Road,Voorhees,8043,39.849156,-74.966819,373
90,Hasbrouck Heights High School,365 Boulevard,Hasbrouck Heights,7604,40.8667137,-74.0738908,371
91,Manalapan High School,20 Church Lane,Englishtown,7726,40.290075,-74.3351859,370
92,Bridgewater-Raritan High School,600 Garretson Road,Bridgewater,8807,40.5928178,-74.633384,368
93,Vernon Township High School,1832 Route 565,Vernon,7462,41.1946438,-74.6252779,367
94,Fort Lee High School,3000 Lemoine Ave,Fort Lee,7024,40.858348,-73.964789,366
95,Middletown High School South,900 Nut Swamp Road,Middletown,7748,40.3632816,-74.1151895,364
96,Lakeland Regional High School,205 Conklintown Road,Wanaque,7465,41.059251,-74.282753,363
97,Parsippany Hills High School,20 Rita Drive,Morris Plains,7950,40.86156,-74.4564095,361
98,Rosa L. Parks School of Fine and Performing Arts,413 12th Avenue,Paterson,7514,40.9207407,-74.1464754,360
99,Somerville High School,222 Davenport St.,Somerville,8876,40.578621,-74.611487,358
100,Ocean Township High School,550 West Park Avenue,Oakhurst,7755,40.2671832,-74.0293352,357
101,Shore Regional High School,132 Monmouth Park Highway 36,West Long Branch,7764,40.2955204,-74.0225177,355
102,Haddon Township High School,406 Memorial Avenue,Westmont,8108,39.9042379,-75.0565516,354
103,Park Ridge High School,2 Park Ave,Park Ridge,7656,41.0346734,-74.0427237,353
104,River Dell Regional High School,55 Pyle Street,Oradell,7649,40.9443083,-74.0363466,351
105,Hillsborough High School,466 Raider Boulevard,Hillsborough,8844,40.4961069,-74.6559624,350
106,Cherry Hill High School West,2101 Chapel Ave.,Cherry Hill,8034,39.9296442,-75.0200399,348
107,Freehold Township High School,281 Elton Adelphia Road,Freehold,7728,40.2201507,-74.2826357,347
108,Dumont High School,101 New Milford Ave,Dumont,7628,40.9436379,-73.99797,345
109,Scotch Plains-Fanwood High School,667 Westfield Road,Scotch Plains,7076,40.6530424,-74.3850627,344
110,New Milford High School,330 River Road,New Milford,7646,40.941883,-74.021696,342
111,South Brunswick High School,750 Ridge Road,Monmouth Junction,8852,40.3738104,-74.5640925,341
112,Rutherford High School,56 Elliott Pl,Rutherford,7070,40.8288417,-74.1083965,340
113,Waldwick High School,155 Wyckoff Avenue,Waldwick,7463,41.0117019,-74.1334468,338
114,Woodstown High School,140 East Avenue,Woodstown,8098,39.6506458,-75.321535,337
115,Emerson Junior Senior High,131 Main Street,Emerson,7630,40.9726428,-74.0175265,335
116,Howell High School,405 Squankum Yellowbrook Road,Farmingdale,7727,40.1862284,-74.1790427,334
117,Morris Knolls High School,50 Knoll Drive,Denville,7834,40.8856444,-74.5085822,332
118,Monroe Township High School,200 Schoolhouse Road,Monroe Township,8831,40.3279448,-74.4358921,331
119,Allentown High School,27 High Street,Allentown,8501,40.1732018,-74.5868772,329
120,North Warren Regional School,10 Noe Rd,Blairstown,7825,40.981884,-74.9907997,328
121,Salem County Career and Technical High School,880 Route 45,Woodstown,8098,39.6287177,-75.3667787,327
122,Parsippany High School,309 Baldwin Rd,Parsippany,7054,40.8697257,-74.3919421,325
123,Manasquan High School,167 Broad Street,Manasquan,8736,40.1276872,-74.0491983,324
124,John F. Kennedy Memorial High School,200 Washington Avenue,Iselin,8830,40.5724891,-74.3036398,322
125,Nutley High School,300 Franklin Ave,Nutley,7110,40.8172969,-74.1601452,321
126,Westwood Junior/Senior High School,701 Ridgewood Road,Township Of Washington,7676,40.9796629,-74.0611312,319
127,Lenape Valley Regional High School,28 Sparta Road,Stanhope,7874,40.91974,-74.700322,318
128,Kingsway Regional High School,201 Kings Highway,Woolwich Twp,8085,39.761012,-75.2907417,316
129,Point Pleasant Borough High School,Laura Herbert Dr,Point Pleasant Beach,8742,40.079162,-74.0718299,315
130,Mainland Regional High School,1301 Oak Avenue,Linwood,8221,39.3467747,-74.5774348,314
131,Gateway Regional High School,775 Tanyard Rd,Woodbury Hts,8096,39.8174389,-75.1406849,312
132,Northern Burlington County Regional High School,160 Mansfield Road East,Columbus,8022,40.0882,-74.6855999,311
133,Roxbury High School,One Bryant Drive,Succasunna,7876,40.8619227,-74.6407752,309
134,Delran High School,50 Hartford Road,Delran,8075,40.0132905,-74.9440595,308
135,Jonathan Dayton High School,139 Mountain Ave.,Springfield,7081,40.7061943,-74.3142961,306
136,Mount Olive High School,18 Corey Road,Flanders,7836,40.858616,-74.713984,305
137,Hawthorne High School,160 Parmelee Avenue,Hawthorne,7506,40.9533911,-74.1596865,303
138,Warren Hills Regional High School,41 Jackson Valley Road,Washington,7882,40.7743941,-74.9838878,302
139,South Plainfield High School,200 Lake Street,South Plainfield,7080,40.5891604,-74.4124407,301
140,Ridgefield Memorial High School,555 Walnut St,Ridgefield,7657,40.8309951,-73.9998064,299
141,Newton High School,44 Ryerson Avenue,Newton,7860,41.0508407,-74.7604988,298
142,Bogota Junior/Senior High School,2 Henry C Luthin Place,Bogota,7603,40.8776442,-74.0233171,296
143,Pitman High School,225 Linden Avenue,Pitman,8071,39.7406336,-75.1270824,295
144,North Brunswick Township High School,98 Raider Road,North Brunswick,8902,40.45293,-74.4692317,293
145,Hamilton East - Steinert,2900 Klockner Road,Hamilton,8690,40.2162325,-74.6618173,292
146,Lawrence High School,2525 Princeton Pike,Lawrenceville,8648,40.2648678,-74.7297736,290
147,Midland Park Junior/Senior High School,250 Prospect St,Midland Park,7432,41.0001462,-74.1365664,289
148,Boonton High School,306 Lathrop Avenue,Boonton,7005,40.903221,-74.403031,288
149,West Deptford High School,1600 Old Crown Point Rd,West Deptford,8093,39.8548757,-75.1619512,286
150,Edison High School,50 Boulevard Of The Eagles,Edison,8817,40.5143871,-74.3863107,285
151,Saddle Brook Middle/High School,355 Mayhill Street,Saddle Brook,7663,40.9049018,-74.0908684,283
152,Cape May County Technical High SChool,188 Crest Haven Rd,Cape May Court House,8210,39.1045804,-74.7984624,282
153,Wall High School,1630 18th Ave,Wall,7719,40.1685461,-74.0610266,280
154,Hackettstown High School,599 Warren Street,Hackettstown,7840,40.843186,-74.830174,279
155,Lacey Township High School,73 Haines Street,Lanoka Harbor,8734,39.8606743,-74.1948641,277
156,Ocean City High School,501 Atlantic Avenue,Ocean City,8226,39.2798001,-74.5673819,276
157,Columbia High School,17 Parker Ave,Maplewood,7040,40.7354856,-74.2663475,275
158,Seneca High School,110 Carranza Road,Tabernacle,8088,39.8573385,-74.717795,273
159,Bergenfield High School,80 S Prospect Ave,Bergenfield,7621,40.9252031,-74.0074272,272
160,Toms River High School North,1245 Old Freehold Road,Toms River,8753,39.9823146,-74.1918678,270
161,Montclair High School,100 Chestnut St,Montclair,7042,40.8232208,-74.2128884,269
162,Matawan Regional High School,450 Atlantic Avenue,Aberdeen,7747,40.4112981,-74.2224919,267
163,Raritan High School,419 Middle Road,Hazlet,7730,40.4275234,-74.1513146,266
164,Piscataway Township High School,100 Behmer Road,Piscataway,8854,40.5457326,-74.4710634,264
165,Absegami High School,201 S Wrangleboro Road,Galloway,8205,39.4807236,-74.5161163,263
166,Brick Township Memorial High School,2001 Lanes Mill Rd,Brick,8724,40.104411,-74.1291093,262
167,Wallkill Valley Regional High School,10 Grumm Road,Hamburg,7419,41.154101,-74.590924,260
168,Monmouth Regional High School,One Norman J Field Way,Tinton Falls,7724,40.303775,-74.091048,259
169,Southern Regional High School,90 Cedar Bridge Road,Manahawkin,8050,39.7118241,-74.25388,257
170,Henry Hudson Regional School,1 Grand Tour,Highlands,7732,40.3923689,-73.9852986,256
171,Secaucus High School,11 Mill Ridge Road,Secaucus,7094,40.8033613,-74.0508855,254
172,County Prep High School,525 Montgomery Street,Jersey City,7306,40.7216797,-74.059479,253
173,Arts High School,550 M L King Blvd,Newark,7102,40.7340495,-74.1800976,251
174,West Milford High School,67 Highlander Drive,West Milford,7480,41.0791232,-74.3812895,250
175,Colonia High School,East Street,Colonia,7067,40.5964971,-74.319605,249
176,Wallington Junior Senior High School,234 Main Ave,Wallington,7057,40.8549136,-74.1068364,247
177,Jackson Memorial High School,101 Don Connor Boulevard,Jackson,8527,40.1071828,-74.3457318,246
178,Spotswood High School,105 Summerhill Road,Spotswood,8884,40.3985818,-74.3884155,244
179,Burlington Township High School,610 Fountain Avenue,Burlington,8016,40.0641382,-74.8353596,243
180,David Brearley Middle/High School,401 Monroe Avenue,Kenilworth,7033,40.6797075,-74.2955015,241
181,Pinelands Regional High School,565 Nugentown Road,Little Egg Harbor,8087,39.6098794,-74.3596761,240
182,Passaic Valley Regional High School,170 East Main Street,Little Falls,7424,40.879005,-74.21701,238
183,Old Bridge High School,4209 Route 516,Matawan,7747,40.4069153,-74.2720614,237
184,Haddon Heights Junior/Senior High School,301 Second Avenue,Haddon Heights,8035,39.88413,-75.0502024,236
185,Sayreville War Memorial High School,820 Washington Road,Parlin,8859,40.4630356,-74.3172733,234
186,Dr. Charles E. Brimm Medical Arts High School,1626 Copewood Street,Camden,8103,39.9236995,-75.0953337,233
187,Wood-Ridge Junior/Senior High School,258 Hackensack St,Wood Ridge,7075,40.8481199,-74.0802328,231
188,Morris Hills High School,520 West Main Street,Rockaway,7866,40.890836,-74.52918,230
189,Highland Regional High School,450 Erial Road,Blackwood,8012,39.801545,-75.049102,228
190,Middletown High School North,63 Tindall Road,Middletown,7748,40.4023311,-74.0975797,227
191,Toms River High School East,1225 Raider Way,Toms River,8753,39.9649789,-74.141908,225
192,Middle Township High School,300 East Atlantic Avenue,Cape May Court House,8210,39.0753845,-74.8193095,224
193,Butler High School,38 Bartholdi Avenue,Butler,7405,40.9977954,-74.3396392,223
194,Lyndhurst High School,400 Weart Avenue,Lyndhurst,7071,40.809043,-74.1272075,221
195,Timber Creek Regional High School,501 Jarvis Road,Erial,8081,39.7616794,-75.0178513,220
196,Hopatcong High School,2A Windsor Ave,Hopatcong,7843,40.9266352,-74.6708538,218
197,Red Bank Regional High School,101 Ridge Road,Little Silver,7739,40.3496858,-74.0388763,217
198,Audubon Junior/Senior High School,350 Edgewood Avenue,Audubon,8106,39.8844852,-75.0757598,215
199,Sterling High School,501 South Warwick Road,Somerdale,8083,39.8360706,-75.0258842,214
200,Pompton Lakes High School,44 Lakeside Avenue,Pompton Lakes,7442,41.0045131,-74.2886286,212
201,Triton Regional High School,250 Schubert Ave,Runnemede,8078,39.8493802,-75.0622801,211
202,Roselle Park High School,185 W Webster Ave,Roselle Park,7204,40.6660149,-74.2713821,210
203,Henry P. Becton Regional High School,120 Paterson Avenue,East Rutherford,7073,40.8322214,-74.0929792,208
204,West Orange High School,51 Conforti Ave,West Orange,7052,40.8066775,-74.2602068,207
205,Sussex County Technical School,105 North Church Road,Sparta,7871,41.0974433,-74.6521228,205
206,Leonia High School,100 Christie Heights Street,Leonia,7605,40.870303,-73.9889034,204
207,North Star Academy Charter School,10 Washington Place,Newark,7102,40.7423008,-74.1699335,202
208,Belvidere High School,809 Oxford Street,Belvidere,7823,40.8249316,-75.0666626,201
