,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
59,SOUTH HACKENSACK TWP,40.553803,-74.52976,13,"3,051,000","234,692"
60,TEANECK TWP,40.500254,-74.4257,536,"123,823,395","231,014"
61,TENAFLY BORO,40.500254,-74.4257,200,"91,844,415","459,222"
62,TETERBORO BORO,40.500254,-74.4257,0,0,N/A
63,UPPER SADDLE RIVER BORO,40.500254,-74.4257,137,"84,615,958","617,635"
64,WALDWICK BORO,40.500254,-74.4257,133,"32,286,000","242,752"
65,WALLINGTON BORO,40.500254,-74.4257,60,"11,880,093","198,002"
66,WASHINGTON TWP,40.500254,-74.4257,159,"50,886,384","320,040"
67,WESTWOOD BORO,40.500254,-74.4257,118,"29,604,550","250,886"
68,WOODCLIFF LAKE BORO,40.500254,-74.4257,80,"39,271,942","490,899"
69,WOOD-RIDGE BORO,40.500254,-74.4257,99,"18,571,600","187,592"
70,WYCKOFF TWP,40.500254,-74.4257,157,"68,200,706","434,399"
1,BASS RIVER TWP,40.578996,-74.27987,12,"1,086,900","90,575"
2,BEVERLY CITY,40.666552,-74.11768,35,"3,186,749","91,050"
3,BORDENTOWN CITY,40.912798,-74.41516,45,"5,615,680","124,793"
4,BORDENTOWN TWP,40.912798,-74.41516,125,"16,931,565","135,453"
5,BURLINGTON CITY,40.912798,-74.41516,100,"9,406,912","94,069"
6,BURLINGTON TWP,40.912798,-74.41516,206,"30,397,343","147,560"
7,CHESTERFIELD TWP,40.855854,-74.22898,23,"5,726,200","248,965"
8,CINNAMINSON TWP,40.855854,-74.22898,178,"27,968,162","157,125"
9,DELANCO TWP,40.656302,-74.30371,40,"5,300,900","132,523"
10,DELRAN TWP,40.656302,-74.30371,179,"23,687,612","132,333"
11,EASTAMPTON TWP,40.770933,-74.20589,97,"13,381,950","137,958"
12,EDGEWATER PARK TWP,40.830733,-73.97334,77,"8,168,399","106,083"
13,EVESHAM TWP,40.827499,-74.28091,809,"114,590,575","141,645"
14,FIELDSBORO BORO,40.641852,-74.38533,6,"510,400","85,067"
15,FLORENCE TWP,40.641852,-74.38533,159,"17,435,581","109,658"
16,HAINESPORT TWP,40.80495,-74.2047,44,"8,077,500","183,580"
17,LUMBERTON TWP,40.788599,-74.78295,135,"20,222,410","149,796"
18,MANSFIELD TWP,40.788599,-74.78295,57,"9,713,700","170,416"
19,MAPLE SHADE TWP,40.502477,-74.650023,60,"5,942,500","99,042"
20,MEDFORD TWP,40.502477,-74.650023,350,"72,188,384","206,253"
21,MEDFORD LAKES BORO,40.502477,-74.650023,80,"13,953,925","174,424"
22,MOORESTOWN TWP,40.389428,-74.54329,251,"68,207,843","271,744"
23,MOUNT HOLLY TWP,40.389428,-74.54329,108,"10,283,868","95,221"
24,MOUNT LAUREL TWP,40.389428,-74.54329,872,"116,081,080","133,121"
25,NEW HANOVER TWP,40.51057,-74.72472,8,"1,029,300","128,663"
26,NORTH HANOVER TWP,40.51057,-74.72472,18,"3,678,400","204,356"
27,PALMYRA BORO,40.681694,-74.73624,96,"9,967,050","103,823"
28,PEMBERTON BORO,40.461851,-74.30343,4,"370,300","92,575"
29,PEMBERTON TWP,40.461851,-74.30343,239,"22,666,376","94,838"
30,RIVERSIDE TWP,40.563654,-74.949409,89,"8,299,900","93,257"
31,RIVERTON BORO,40.563654,-74.949409,39,"5,889,000","151,000"
32,SHAMONG TWP,40.430006,-74.417344,58,"12,435,200","214,400"
33,SOUTHAMPTON TWP,40.445006,-74.38179,166,"20,564,608","123,883"
34,SPRINGFIELD TWP,40.39159,-74.39329,19,"4,283,400","225,442"
35,TABERNACLE TWP,40.500254,-74.4257,81,"15,350,620","189,514"
36,WASHINGTON TWP,40.500254,-74.4257,5,"442,350","88,470"
37,WESTAMPTON TWP,40.500254,-74.4257,136,"17,502,150","128,692"
38,WILLINGBORO TWP,40.500254,-74.4257,290,"27,358,981","94,341"
39,WOODLAND TWP,40.500254,-74.4257,12,"1,928,400","160,700"
40,WRIGHTSTOWN BORO,40.500254,-74.4257,3,"319,900","106,633"
1,AUDUBON BORO,39.8909,-75.073,91,"9,827,236","107,992"
2,AUDUBON PARK BORO,39.8965,-75.0877,0,0,N/A
3,BARRINGTON BORO,40.578996,-74.27987,72,"7,853,450","109,076"
4,BELLMAWR BORO,40.666552,-74.11768,99,"8,945,700","90,361"
5,BERLIN BORO,40.666552,-74.11768,70,"9,567,311","136,676"
6,BERLIN TWP,40.666552,-74.11768,45,"4,957,400","110,164"
7,BROOKLAWN BORO,40.912798,-74.41516,13,"880,900","67,762"
8,CAMDEN CITY,40.848999,-74.27917,464,"17,238,509","37,152"
9,CHERRY HILL TWP,40.855854,-74.22898,788,"113,729,382","144,327"
10,CHESILHURST BORO,40.855854,-74.22898,12,"1,025,300","85,442"
11,CLEMENTON BORO,40.855854,-74.22898,69,"5,236,400","75,890"
12,COLLINGSWOOD BORO,40.879699,-74.14263,172,"17,107,060","99,460"
13,GIBBSBORO BORO,40.650802,-74.32351,18,"3,156,950","175,386"
14,GLOUCESTER CITY,40.80495,-74.2047,89,"6,276,350","70,521"
15,GLOUCESTER TWP,40.80495,-74.2047,782,"84,531,788","108,097"
16,HADDON TWP,40.80495,-74.2047,193,"23,046,674","119,413"
17,HADDONFIELD BORO,40.80495,-74.2047,201,"49,179,529","244,674"
18,HADDON HEIGHTS BORO,40.80495,-74.2047,103,"14,757,150","143,273"
19,HI-NELLA BORO,40.745951,-74.15509,7,"754,300","107,757"
20,LAUREL SPRINGS BORO,40.744851,-74.03294,16,"1,801,050","112,566"
21,LAWNSIDE BORO,40.744851,-74.03294,19,"1,535,500","80,816"
22,LINDENWOLD BORO,41.007389,-74.04247,141,"10,590,656","75,111"
23,MAGNOLIA BORO,40.788599,-74.78295,50,"4,173,399","83,468"
24,MERCHANTVILLE BORO,40.502477,-74.650023,52,"6,118,900","117,671"
25,MOUNT EPHRAIN BORO ,40.389428,-74.54329,61,"5,390,000","88,361"
26,OAKLYN BORO,40.51057,-74.72472,58,"5,508,850","94,980"
27,PENNSAUKEN TWP,40.461851,-74.30343,487,"43,372,051","89,060"
28,PINE HILL BORO,40.689123,-75.17243,127,"10,544,486","83,027"
29,PINE VALLEY BORO,40.689123,-75.17243,0,0,N/A
30,RUNNEMEDE BORO,40.563654,-74.949409,87,"8,096,821","93,067"
31,SOMERDALE BORO,40.430006,-74.417344,58,"5,315,890","91,653"
32,STRATFORD BORO,40.500254,-74.4257,70,"6,899,105","98,559"
33,TAVISTOCK BORO,40.500254,-74.4257,0,0,N/A
34,VOORHEES TWP,40.500254,-74.4257,498,"82,216,532","165,093"
35,WATERFORD TWP,40.500254,-74.4257,122,"13,561,520","111,160"
36,WINSLOW TWP,40.500254,-74.4257,550,"56,518,727","102,761"
37,WOODLYNNE BORO,40.500254,-74.4257,21,"1,162,600","55,362"
1,AVALON BORO,39.1012,-74.7177,321,"171,176,655","533,261"
2,CAPE MAY CITY,40.848999,-74.27917,143,"31,406,549","219,626"
3,CAPE MAY POINT BORO,40.848999,-74.27917,20,"7,494,200","374,710"
4,DENNIS TWP,40.656302,-74.30371,80,"11,109,750","138,872"
5,LOWER TWP,40.788599,-74.78295,625,"68,910,305","110,256"
