2006 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
03,ELMER BORO,6,"885,400","147,567"
04,ELSINBORO TWP,24,"4,379,336","182,472"
05,LOWER ALLOWAYS CREEK TWP,12,"1,648,500","137,375"
06,MANNINGTON TWP,0,0,N/A
07,OLDSMAN TWP,18,"3,080,200","171,122"
08,PENNS GROVE TWP,82,"9,576,820","116,790"
09,PENNSVILLE TWP,206,"33,872,925","164,432"
10,PILESGROVE TWP,30,"7,987,750","266,258"
11,PITTSGROVE TWP,36,"7,415,880","205,997"
12,QUINTON TWP,7,"876,000","125,143"
13,SALEM CITY,91,"8,576,907","94,252"
14,UPPER PITTSGROVE TWP,13,"3,369,500","259,192"
15,WOODSTOWN BORO,58,"11,977,400","206,507"
,SALEM COUNTY,713,"112,163,727","157,312"
,,,,
18,SOMERSET COUNTY,,,
01,BEDMINSTER TWP,101,"38,767,244","383,834"
02,BERNARDS TWP,185,"123,041,287","665,088"
03,BERNARDSVILE BORO,46,"48,166,047","1,047,088"
04,BOUND BROOK BORO,139,"45,039,547","324,026"
05,BRANCHBURG TWP,71,"33,936,361","477,977"
06,BRIDGEWATER TWP,201,"94,017,965","467,751"
07,FAR HILLS BORO,8,"12,555,363","1,569,420"
08,FRANKLIN TWP,389,"136,754,966","351,555"
09,GREEN BROOK TWP,118,"61,205,239","518,688"
10,HILLSBOROUGH TWP,675,"253,115,066","374,985"
11,MANVILLE BORO,55,"18,118,396","329,425"
12,MILLSTONE BORO,0,0,N/A
13,MONTGOMERY TWP,291,"188,793,922","648,086"
14,NORTH PLAINFIELD BORO,350,"109,093,740","311,696"
15,PEAPACK-GLADSTONE BORO,6,"2,787,500","464,583"
16,RARITAN BORO,59,"22,411,797","379,861"
17,ROCKY HILL BORO,5,"2,891,500","578,300"
18,SOMERVILLE BORO,116,"39,555,701","340,997"
19,SOUTH BOUND BROOK BORO,65,"20,221,655","311,102"
20,WARREN TWP,51,"43,339,054","849,785"
21,WATCHUNG BORO,51,"42,292,900","829,273"
,SOMERSET COUNTY,"2,982","1,336,105,250","448,057"
,,,,
19,SUSSEX COUNTY,,,
01,ANDOVER BORO,9,"2,388,000","265,333"
02,ANDOVER TWP,104,"35,432,850","337,698"
03,BRANCHVILLE BORO,2,"542,000","271,000"
04,BYRAM TWP,137,"47,249,024","344,883"
05,FRANKFORD TWP,52,"17,443,735","335,456"
06,FRANKLIN BORO,77,"18,871,231","245,081"
07,FREDON TWP,36,"15,193,700","422,047"
08,GREEN TWP,44,"18,201,450","413,669"
09,HAMBURG BORO,130,"32,280,647","248,313"
10,HAMPTON BORO,85,"24,502,210","288,261"
11,HARDYSTON BORO,159,"55,033,593","342,554"
12,HOPATCONG BORO,360,"103,626,528","287,851"
13,LAFAYETTE BORO,5,"2,539,000","507,800"
14,MONTAGUE TWP,124,"20,646,421","166,503"
15,NEWTON TOWN,117,"34,195,319","292,268"
16,OGDENSBURG BORO,37,"10,867,022","293,703"
17,SANDYSTON BORO,32,"8,269,000","258,406"
18,SPARTA TWP,335,"159,529,491","476,207"
19,STANHOPE BORO,20,"5,847,200","292,360"
20,STILLWATER TWP,54,"15,972,785","295,792"
21,SUSSEX TWP,16,"3,126,400","195,400"
22,VERNON TWP,508,"129,403,179","254,731"
23,WALPACK TWP,0,0,N/A
24,WANTAGE TWP,52,"17,106,075","328,963"
,SUSSEX COUNTY,"2,495","778,266,860","311,931"
,,,,
20,UNION COUNTY,,,
01,BERKELEY HEIGHTS TWP,140,"86,011,648","614,369"
02,CLARK TWP,173,"78,762,950","455,277"
03,CRANFORD TWP,257,"116,194,778","452,120"
04,ELIZABETH CITY,"1,318","481,558,873","365,371"
05,FANWOOD BORO,103,"47,504,916","461,213"
06,GARWOOD BORO,50,"19,791,300","395,826"
07,HILLSIDE TWP,294,"93,356,785","317,540"
08,KENILWORTH BORO,81,"32,432,900","400,406"
09,LINDEN CITY,447,"151,460,434","338,838"
10,MOUNTAINSIDE BORO,80,"51,781,950","647,274"
11,NEW PROVIDENCE BORO,139,"84,005,101","604,353"
12,PLAINFIELD CITY,815,"249,736,267","306,425"
13,RAHWAY CITY,406,"128,608,243","316,769"
14,ROSELLE BORO,388,"106,622,406","274,800"
15,ROSELLE PARK BORO,151,"50,864,915","336,854"
16,SCOTCH PLAINS TWP,297,"155,306,702","522,918"
17,SPRINGFIELD TWP,260,"111,631,851","429,353"
18,SUMMIT CITY,299,"290,806,394","972,597"
19,UNION TWP,905,"326,196,254","360,438"
20,WESTFIELD TOWN,435,"315,574,644","725,459"
21,WINFIELD TWP,0,0,N/A
,UNION COUNTY,"7,038","2,978,209,311","423,161"
,,,,
21,WARREN COUNTY,,,
01,ALLAMUCHY TWP,145,"47,543,800","327,888"
02,ALPHA BORO,19,"4,708,800","247,832"
03,BELVIDERE TOWN,31,"8,082,650","260,731"
04,BLAIRSTOWN TWP,79,"29,797,218","377,180"
05,FRANKLIN TWP,35,"13,854,300","395,837"
06,FRELINGHUYSEN TWP,14,"3,825,500","273,250"
07,GREENWICH TWP,96,"42,719,989","445,000"
08,HACKETTSTOWN TOWN,117,"38,401,115","328,215"
09,HARDWICK TWP,15,"5,850,000","390,000"
10,HARMAONY TWP,29,"8,088,430","278,911"
11,HOPE TWP,27,"8,558,800","316,993"
12,INDEPENDENCE TWP,132,"42,154,324","320,636"
13,KNOWLTON TWP,34,"11,006,020","326,849"
14,LIBERTY TWP,46,"15,257,800","331,691"
15,LOPATCONG TWP,59,"17,874,888","302,964"
16,MANSFIELD TWP,97,"33,223,558","342,511"
17,OXFORD TWP,54,"14,536,030","269,186"
19,PHILLIPSBURG TOWN,278,"48,835,922","175,669"
20,POHATCONG TWP,41,"11,469,500","279,744"
21,WASHINGTON BORO,121,"29,922,757","247,296"
22,WASHINGTON TWP,101,"34,922,890","345,771"
23,WHITE TWP,40,"12,973,200","324,330"
,WARREN COUNTY,"1,610","483,607,491","300,377"
,,,,
,,,,
