2006 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
17,LUMBERTON TWP,176,"52,825,969","300,148"
18,MANSFIELD TWP,131,"45,452,683","346,967"
19,MAPLE SHADE TWP,60,"11,703,545","195,059"
20,MEDFORD TWP,335,"130,569,174","389,759"
21,MEDFORD LAKES BORO,75,"22,001,700","293,356"
22,MOORESTOWN TWP,270,"142,584,669","528,091"
23,MOUNT HOLLY TWP,170,"31,273,797","183,964"
24,MOUNT LAUREL TWP,"1,056","272,130,278","257,699"
25,NEW HANOVER TWP,6,"1,433,500","238,917"
26,NORTH HANOVER TWP,13,"5,061,900","389,377"
27,PALMYRA BORO,146,"28,655,628","196,271"
28,PEMBERTON BORO,15,"3,128,547","208,570"
29,PEMBERTON TWP,451,"84,254,750","186,818"
30,RIVERSIDE TWP,157,"27,992,722","178,298"
31,RIVERTON BORO,41,"11,232,683","273,968"
32,SHAMONG TWP,76,"30,075,455","395,730"
33,SOUTHAMPTON TWP,232,"54,052,361","232,984"
34,SPRINGFIELD TWP,27,"9,568,600","354,393"
35,TABERNACLE TWP,34,"12,346,390","363,129"
36,WASHINGTON TWP,9,"3,431,000","381,222"
37,WESTAMPTON TWP,174,"47,109,829","270,746"
38,WILLINGBORO TWP,322,"59,826,034","185,795"
39,WOODLAND TWP,23,"5,659,000","246,043"
40,WRIGHTSTOWN BORO,5,"982,888","196,578"
,BURLINGTON COUNTY,"6,844","1,858,628,717","271,571"
,,,,
04,CAMDEN COUNTY,,,
01,AUDUBON BORO,152,"31,309,610","205,984"
02,AUDUBON PARK BORO,0,0,N/A
03,BARRINGTON BORO,91,"19,299,038","212,077"
04,BELLMAWR BORO,184,"31,568,725","171,569"
05,BERLIN BORO,102,"26,691,771","261,684"
06,BERLIN TWP,61,"11,500,300","188,530"
07,BROOKLAWN BORO,48,"6,531,150","136,066"
08,CAMDEN CITY,554,"30,440,228","54,946"
09,CHERRY HILL TWP,"1,233","345,669,254","280,348"
10,CHESILHURST BORO,22,"3,225,150","146,598"
11,CLEMENTON BORO,97,"13,379,663","137,935"
12,COLLINGSWOOD BORO,247,"55,964,718","226,578"
