2018 Average Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
25,MOUNTAIN LAKES BORO,69 ,"60,812,285 ","881,337 "
26,MOUNT ARLINGTON BORO,80 ,"27,881,559 ","348,519 "
27,MOUNT OLIVE TWP,294 ,"107,966,705 ","367,234 "
28,NETCONG BORO,23 ,"5,785,000 ","251,522 "
29,PARSIPPANY TR HLS TWP,474 ,"193,401,097 ","408,019 "
30,LONG HILL TWP,42 ,"23,846,000 ","567,762 "
31,PEQUANNOCK TWP,133 ,"55,059,620 ","413,982 "
32,RANDOLPH TWP,278 ,"148,830,922 ","535,363 "
33,RIVERDALE BORO,44 ,"13,776,950 ","313,113 "
34,ROCKAWAY BORO,71 ,"23,161,676 ","326,221 "
35,ROCKAWAY TWP,137 ,"48,345,688 ","352,888 "
36,ROXBURY TWP,276 ,"95,531,846 ","346,130 "
37,VICTORY GARDENS BORO,11 ,"1,906,400 ","173,309 "
38,WASHINGTON TWP,211 ,"101,011,859 ","478,729 "
39,WHARTON BORO,21 ,"6,037,935 ","287,521 "
,MORRIS COUNTY,"4,773 ","2,490,054,650 ","521,696 "
,,,,
15,OCEAN COUNTY,,,
01,BARNEGAT TWP,308 ,"76,508,213 ","248,403 "
02,BARNEGAT LIGHT BORO,24 ,"19,176,100 ","799,004 "
03,BAY HEAD BORO,29 ,"38,874,650 ","1,340,505 "
04,BEACH HAVEN BORO,105 ,"86,621,991 ","824,971 "
05,BEACHWOOD BORO,114 ,"26,167,980 ","229,544 "
06,BERKELEY TWP,877 ,"190,963,367 ","217,746 "
07,BRICK TWP,"1,148 ","370,037,227 ","322,332 "
08,TOMS RIVER TWP,"1,596 ","585,454,034 ","366,826 "
09,EAGLESWOOD TWP,10 ,"2,090,500 ","209,050 "
10,HARVEY CEDARS BORO,43 ,"41,730,800 ","970,484 "
11,ISLAND HEIGHTS BORO,21 ,"8,293,500 ","394,929 "
12,JACKSON TWP,838 ,"304,676,383 ","363,576 "
13,LACEY TWP,436 ,"128,715,779 ","295,220 "
14,LAKEHURST BORO,8 ,"1,382,500 ","172,813 "
15,LAKEWOOD TWP,697 ,"206,163,410 ","295,787 "
16,LAVALLETTE BORO,64 ,"46,506,495 ","726,664 "
17,LITTLE EGG HARBOR TWP,415 ,"89,043,752 ","214,563 "
18,LONG BEACH TWP,274 ,"298,814,175 ","1,090,563 "
19,MANCHESTER TWP,611 ,"121,479,267 ","198,820 "
20,MANTOLOKING BORO,21 ,"51,422,500 ","2,448,690 "
21,OCEAN TWP,135 ,"40,895,350 ","302,929 "
22,OCEAN GATE BORO,25 ,"5,247,150 ","209,886 "
23,PINE BEACH BORO,31 ,"8,665,500 ","279,532 "
24,PLUMSTED TWP,100 ,"32,835,500 ","328,355 "
25,POINT PLEASANT BORO,244 ,"102,643,891 ","420,672 "
26,PT PLEASANT BEACH BORO,78 ,"48,055,100 ","616,091 "
27,SEASIDE HEIGHTS BORO,57 ,"13,564,400 ","237,972 "
28,SEASIDE PARK BORO,62 ,"31,502,699 ","508,108 "
29,SHIP BOTTOM BORO,66 ,"48,165,475 ","729,780 "
30,SOUTH TOMS RIVER BORO,11 ,"1,896,500 ","172,409 "
31,STAFFORD TWP,197 ,"60,890,376 ","309,088 "
32,SURF CITY BORO,68 ,"59,431,350 ","873,990 "
33,TUCKERTON BORO,50 ,"10,725,850 ","214,517 "
,OCEAN COUNTY,"8,763 ","3,158,641,764 ","360,452 "
,,,,
16,PASSAIC COUTNY,,,
01,BLOOMINGDALE BORO,77 ,"22,329,573 ","289,994 "
02,CLIFTON CITY,654 ,"231,089,250 ","353,347 "
03,HALEDON BORO,60 ,"17,885,100 ","298,085 "
04,HAWTHORNE BORO,174 ,"64,682,427 ","371,738 "
05,LITTLE FALLS TWP,88 ,"29,304,200 ","333,002 "
06,NORTH HALEDON BORO,86 ,"39,238,400 ","456,260 "
07,PASSAIC CITY,204 ,"63,752,390 ","312,512 "
08,PATERSON CITY,257 ,"63,137,179 ","245,670 "
09,POMPTON LAKES BORO,48 ,"13,620,225 ","283,755 "
10,PROSPECT PARK BORO,34 ,"9,598,989 ","282,323 "
11,RINGWOOD BORO,126 ,"45,103,155 ","357,962 "
12,TOTOWA BORO,106 ,"43,245,144 ","407,973 "
13,WANAQUE BORO,156 ,"48,436,903 ","310,493 "
14,WAYNE TWP,645 ,"293,771,325 ","455,459 "
15,WEST MILFORD TWP,339 ,"95,304,275 ","281,134 "
16,WOODLAND PARK BORO,97 ,"40,676,038 ","419,341 "
,PASSAIC COUTNY,"3,151 ","1,121,174,573 ","355,815 "
,,,,
17,SALEM COUNTY,,,
01,ALLOWAY TOWNSHIP,17 ,"3,625,080 ","213,240 "
02,CARNEYS POINT TOWNSHIP,52 ,"7,370,815 ","141,746 "
03,ELMER BORO,11 ,"2,355,500 ","214,136 "
04,ELSINBORO TWP,5 ,"894,000 ","178,800 "
05,LOWER ALLOWAY CREEK TWP,4 ,"735,000 ","183,750 "
06,MANNINGTON TWP,3 ,"639,000 ","213,000 "
07,OLDMANS TWP,10 ,"1,894,283 ","189,428 "
08,PENNS GROVE BORO,12 ,"1,154,792 ","96,233 "
09,PENNSVILLE TWP,101 ,"15,605,245 ","154,507 "
10,PILESGROVE TWP,32 ,"9,605,400 ","300,169 "
11,PITTSGROVE TWP,50 ,"11,892,700 ","237,854 "
12,QUINTON TWP,16 ,"2,331,551 ","145,722 "
13,SALEM CITY,9 ,"598,750 ","66,528 "
14,UPPER PITTSGROVE TWP,13 ,"3,084,600 ","237,277 "
15,WOODSTOWN BORO,26 ,"5,586,200 ","214,854 "
,SALEM COUNTY,361 ,"67,372,916 ","186,629 "
,,,,
18,SOMERSET COUNTY,,,
01,BEDMINSTER TWP,88 ,"32,066,713 ","364,394 "
02,BERNARDS TWP,168 ,"111,986,754 ","666,588 "
03,BERNARDSVILLE BORO,35 ,"26,317,270 ","751,922 "
04,BOUND BROOK BORO,26 ,"6,575,500 ","252,904 "
05,BRANCHBURG TWP,58 ,"25,724,949 ","443,534 "
06,BRIDGEWATER TWP,189 ,"86,996,555 ","460,299 "
07,FAR HILLS BORO,1 ,"715,000 ","715,000 "
08,FRANKLIN TWP,256 ,"86,978,864 ","339,761 "
09,GREEN BROOK TWP,67 ,"33,128,208 ","494,451 "
10,HILLSBOROUGH TWP,189 ,"72,702,207 ","384,668 "
11,MANVILLE BORO,30 ,"7,712,683 ","257,089 "
12,MILLSTONE BORO,2 ,"710,000 ","355,000 "
13,MONTGOMERY TWP,318 ,"198,829,768 ","625,251 "
14,NORTH PLAINFIELD BORO,191 ,"48,675,995 ","254,848 "
15,PEAPACK GLADSTONE BORO,8 ,"7,303,995 ","912,999 "
16,RARITAN BORO,46 ,"16,480,000 ","358,261 "
17,ROCKY HILL BORO,4 ,"2,235,000 ","558,750 "
18,SOMERVILLE BORO,81 ,"25,307,050 ","312,433 "
19,SO BOUND BROOK BORO,32 ,"8,512,300 ","266,009 "
20,WARREN TWP,47 ,"41,333,438 ","879,435 "
21,WATCHUNG BORO,23 ,"15,398,302 ","669,491 "
,SOMERSET COUNTY,"1,859 ","855,690,551 ","460,296 "
,,,,
19,SUSSEX COUNTY,,,
01,ANDOVER BORO,4 ,"915,000 ","228,750 "
02,ANDOVER TWP,85 ,"24,747,600 ","291,148 "
03,BRANCHVILLE BORO,3 ,"705,000 ","235,000 "
04,BYRAM TWP,90 ,"28,550,462 ","317,227 "
05,FRANKFORD TWP,54 ,"16,610,050 ","307,594 "
06,FRANKLIN BORO,43 ,"7,860,400 ","182,800 "
07,FREDON TWP,33 ,"11,968,895 ","362,694 "
08,GREEN TWP,38 ,"13,855,400 ","364,616 "
09,HAMBURG BORO,45 ,"7,941,150 ","176,470 "
10,HAMPTON TWP,45 ,"12,214,890 ","271,442 "
11,HARDYSTON TWP,152 ,"40,618,610 ","267,228 "
12,HOPATCONG BORO,243 ,"63,763,944 ","262,403 "
13,LAFAYETTE TWP,11 ,"3,374,700 ","306,791 "
14,MONTAGUE TWP,39 ,"6,598,101 ","169,182 "
15,NEWTON TOWN,80 ,"16,043,810 ","200,548 "
16,OGDENSBURG BORO,22 ,"4,880,000 ","221,818 "
17,SANDYSTON TWP,12 ,"3,426,800 ","285,567 "
18,SPARTA TWP,349 ,"145,539,281 ","417,018 "
19,STANHOPE BORO,62 ,"13,106,400 ","211,394 "
20,STILLWATER TWP,41 ,"10,593,650 ","258,382 "
21,SUSSEX BORO,11 ,"2,360,626 ","214,602 "
22,VERNON TWP,256 ,"55,402,148 ","216,415 "
23,WALPACK TWP,0 ,0 ,0 
24,WANTAGE TWP,78 ,"19,979,365 ","256,146 "
,SUSSEX COUNTY,"1,796 ","511,056,282 ","284,552 "
,,,,
20,UNION COUNTY,,,
01,BERKELEY HEIGHTS TWP,144 ,"86,552,546 ","601,059 "
02,CLARK TWP,155 ,"70,318,142 ","453,665 "
03,CRANFORD TWP,249 ,"120,300,882 ","483,136 "
04,ELIZABETH CITY,519 ,"143,419,563 ","276,338 "
05,FANWOOD BORO,99 ,"45,056,453 ","455,116 "
06,GARWOOD BORO,45 ,"18,393,000 ","408,733 "
07,HILLSIDE TWP,163 ,"41,596,249 ","255,192 "
08,KENILWORTH BORO,63 ,"22,190,914 ","352,237 "
09,LINDEN CITY,337 ,"93,999,563 ","278,930 "
10,MOUNTAINSIDE BORO,68 ,"42,472,062 ","624,589 "
11,NEW PROVIDENCE BORO,87 ,"56,335,588 ","647,535 "
12,PLAINFIELD CITY,233 ,"62,465,279 ","268,091 "
13,RAHWAY CITY,188 ,"50,359,832 ","267,871 "
14,ROSELLE BORO,153 ,"34,129,476 ","223,068 "
15,ROSELLE PARK BORO,109 ,"29,218,450 ","268,059 "
16,SCOTCH PLAINS TWP,286 ,"157,940,443 ","552,239 "
17,SPRINGFIELD TWP,169 ,"74,171,248 ","438,883 "
18,SUMMIT CITY,238 ,"265,203,713 ","1,114,301 "
19,UNION TWP,458 ,"147,745,385 ","322,588 "
20,WESTFIELD TOWN,369 ,"275,191,348 ","745,776 "
21,WINFIELD TWP,0 ,0 ,0 
,UNION COUNTY,"4,132 ","1,837,060,136 ","444,593 "
,,,,
21,WARREN COUNTY,,,
01,ALLAMUCHY TWP,102 ,"25,695,900 ","251,921 "
02,ALPHA BORO,20 ,"3,568,550 ","178,428 "
03,BELVIDERE TOWN,19 ,"3,879,192 ","204,168 "
04,BLAIRSTOWN TWP,55 ,"17,325,150 ","315,003 "
05,FRANKLIN TWP,21 ,"7,210,000 ","343,333 "
06,FRELINGHUYSEN TWP,17 ,"4,902,400 ","288,376 "
07,GREENWICH TWP,52 ,"18,024,450 ","346,624 "
08,HACKETTSTOWN TOWN,92 ,"25,251,700 ","274,475 "
09,HARDWICK TWP,8 ,"2,664,500 ","333,063 "
10,HARMONY TWP,22 ,"5,253,800 ","238,809 "
11,HOPE TWP,4 ,"1,063,000 ","265,750 "
12,INDEPENDENCE TWP,70 ,"19,157,429 ","273,678 "
13,KNOWLTON TWP,21 ,"5,317,000 ","253,190 "
14,LIBERTY TWP,24 ,"5,704,000 ","237,667 "
15,LOPATCONG TWP,103 ,"23,747,540 ","230,559 "
16,MANSFIELD TWP,36 ,"10,113,970 ","280,944 "
17,OXFORD TWP,16 ,"3,526,611 ","220,413 "
19,PHILLIPSBURG TOWN,73 ,"9,944,768 ","136,230 "
20,POHATCONG TWP,26 ,"5,114,050 ","196,694 "
21,WASHINGTON BORO,69 ,"13,722,300 ","198,874 "
22,WASHINGTON TWP,66 ,"18,669,599 ","282,873 "
23,WHITE TWP,48 ,"11,612,700 ","241,931 "
,WARREN COUNTY,964 ,"241,468,609 ","250,486 "
,,,,
,,,,
,STATE TOTAL:,"74,025 ","29,487,774,370 ","398,349 "
