2018 Average Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
,BERGEN COUNTY,"7,220 ","4,027,178,521 ","557,781 "
,,,,
03,BURLINGTON COUNTY,,,
01,BASS RIVER TWP,6 ,"1,388,000 ","231,333 "
02,BEVERLY CITY,14 ,"1,976,400 ","141,171 "
03,BORDENTOWN CITY,47 ,"10,097,650 ","214,844 "
04,BORDENTOWN TWP,112 ,"31,830,575 ","284,202 "
05,BURLINGTON CITY,96 ,"15,080,477 ","157,088 "
06,BURLINGTON TWP,219 ,"57,267,075 ","261,493 "
07,CHESTERFIELD TWP,66 ,"27,449,024 ","415,894 "
08,CINNAMINSON TWP,192 ,"51,446,763 ","267,952 "
09,DELANCO TWP,54 ,"10,807,500 ","200,139 "
10,DELRAN TWP,198 ,"49,369,366 ","249,340 "
11,EASTAMPTON TWP,34 ,"8,924,100 ","262,474 "
12,EDGEWATER PARK TWP,85 ,"13,876,131 ","163,249 "
13,EVESHAM TWP,553 ,"149,089,398 ","269,601 "
14,FIELDSBORO BORO,6 ,"1,413,900 ","235,650 "
15,FLORENCE TWP,153 ,"33,270,053 ","217,451 "
16,HAINESPORT TWP,64 ,"19,466,150 ","304,159 "
17,LUMBERTON TWP,121 ,"36,320,750 ","300,171 "
18,MANSFIELD TWP,146 ,"39,786,600 ","272,511 "
19,MAPLE SHADE TWP,136 ,"22,232,050 ","163,471 "
20,MEDFORD TWP,277 ,"100,243,158 ","361,889 "
21,MEDFORD LAKES BORO,53 ,"16,472,200 ","310,796 "
22,MOORESTOWN TWP,264 ,"141,693,615 ","536,718 "
23,MT HOLLY TWP,84 ,"15,468,700 ","184,151 "
24,MT LAUREL TWP,705 ,"186,869,614 ","265,063 "
25,NEW HANOVER TWP,2 ,"463,000 ","231,500 "
26,NO HANOVER TWP,18 ,"7,084,200 ","393,567 "
27,PALMYRA BORO,101 ,"16,553,000 ","163,891 "
28,PEMBERTON BORO,11 ,"2,391,000 ","217,364 "
29,PEMBERTON TWP,204 ,"35,200,594 ","172,552 "
30,RIVERSIDE TWP,58 ,"8,671,500 ","149,509 "
31,RIVERTON BORO,31 ,"8,076,100 ","260,519 "
32,SHAMONG TWP,50 ,"17,403,523 ","348,070 "
33,SOUTHAMPTON TWP,179 ,"36,257,886 ","202,558 "
34,SPRINGFIELD TWP,22 ,"8,386,500 ","381,205 "
35,TABERNACLE TWP,57 ,"18,298,335 ","321,023 "
36,WASHINGTON TWP,5 ,"1,598,500 ","319,700 "
37,WESTAMPTON TWP,113 ,"27,639,633 ","244,599 "
38,WILLINGBORO TWP,297 ,"49,047,607 ","165,143 "
39,WOODLAND TWP,10 ,"2,458,350 ","245,835 "
40,WRIGHTSTOWN BORO,7 ,"1,398,563 ","199,795 "
,BURLINGTON COUNTY,"4,850 ","1,282,767,540 ","264,488 "
,,,,
04,CAMDEN COUNTY,,,
01,AUDUBON BORO,107 ,"21,804,200 ","203,778 "
02,AUDUBON PARK BORO,0 ,0 ,0 
03,BARRINGTON BORO,75 ,"15,837,890 ","211,172 "
04,BELLMAWR BORO,103 ,"16,172,649 ","157,016 "
05,BERLIN BORO,78 ,"18,762,750 ","240,548 "
06,BERLIN TWP,39 ,"6,341,875 ","162,612 "
07,BROOKLAWN BORO,20 ,"2,317,099 ","115,855 "
08,CAMDEN CITY,140 ,"9,093,400 ","64,953 "
09,CHERRY HILL TWNSHP,736 ,"191,774,958 ","260,564 "
10,CHESILHURST BORO,8 ,"1,306,150 ","163,269 "
11,CLEMENTON BORO,13 ,"1,613,400 ","124,108 "
12,COLLINGSWOOD BORO,136 ,"29,723,724 ","218,557 "
13,GIBBSBORO BORO,14 ,"2,604,755 ","186,054 "
14,GLOUCESTER CITY,95 ,"11,776,350 ","123,962 "
15,GLOUCESTER TWP,640 ,"119,731,052 ","187,080 "
16,HADDON TWP,135 ,"32,664,202 ","241,957 "
17,HADDONFIELD BORO,174 ,"97,376,650 ","559,636 "
18,HADDON HEIGHTS BORO,71 ,"17,893,900 ","252,027 "
19,HI NELLA BORO,2 ,"290,000 ","145,000 "
20,LAUREL SPRINGS BORO,24 ,"4,258,750 ","177,448 "
21,LAWNSIDE BORO,11 ,"1,792,900 ","162,991 "
22,LINDENWOLD BORO,75 ,"7,991,475 ","106,553 "
23,MAGNOLIA BORO,41 ,"6,356,050 ","155,026 "
24,MERCHANTVILLE BORO,24 ,"5,008,318 ","208,680 "
25,MOUNT EPHRAIM BORO,29 ,"4,490,400 ","154,841 "
26,OAKLYN BORO,45 ,"8,236,200 ","183,027 "
27,PENNSAUKEN TWP,196 ,"28,951,078 ","147,710 "
28,PINE HILL BORO,67 ,"8,134,821 ","121,415 "
29,PINE VALLEY BORO,0 ,0 ,0 
30,RUNNEMEDE BORO,61 ,"9,732,056 ","159,542 "
31,SOMERDALE BORO,35 ,"4,794,200 ","136,977 "
32,STRATFORD BORO,59 ,"9,927,340 ","168,260 "
33,TAVISTOCK BORO,0 ,0 ,0 
34,VOORHEES TWP,329 ,"99,210,557 ","301,552 "
35,WATERFORD TWP,88 ,"17,341,900 ","197,067 "
36,WINSLOW TWP,318 ,"59,032,236 ","185,636 "
37,WOODLYNNE BORO,6 ,"359,900 ","59,983 "
,CAMDEN COUNTY,"3,994 ","872,703,185 ","218,504 "
,,,,
05,CAPE MAY COUNTY,,,
01,AVALON BORO,74 ,"109,162,899 ","1,475,174 "
02,CAPE MAY CITY,144 ,"99,900,704 ","693,755 "
03,CAPE MAY POINT BORO,29 ,"24,360,669 ","840,023 "
04,DENNIS TWP,62 ,"16,213,039 ","261,501 "
05,LOWER TWP,398 ,"111,281,692 ","279,602 "
06,MIDDLE TWP,192 ,"57,331,649 ","298,602 "
07,NORTH WILDWOOD CITY,338 ,"97,760,109 ","289,231 "
08,OCEAN CITY CITY,734 ,"453,875,397 ","618,359 "
09,SEA ISLE CITY CITY,277 ,"191,156,113 ","690,094 "
10,STONE HARBOR BORO,49 ,"67,366,875 ","1,374,834 "
11,UPPER TWP,124 ,"41,558,880 ","335,152 "
12,WEST CAPE MAY BORO,28 ,"14,763,625 ","527,272 "
13,WEST WILDWOOD BORO,18 ,"4,218,900 ","234,383 "
14,WILDWOOD CITY,237 ,"50,192,134 ","211,781 "
15,WILDWOOD CREST BORO,191 ,"63,499,915 ","332,460 "
16,WOODBINE BORO,1 ,"169,000 ","169,000 "
,CAPE MAY COUNTY,"2,896 ","1,402,811,600 ","484,396 "
,,,,
06,CUMBERLAND COUNTY,,,
01,BRIDGETON CITY,57 ,"5,279,700 ","92,626 "
02,COMMERCIAL TWP,23 ,"2,348,900 ","102,126 "
03,DEERFIELD TWP,13 ,"2,294,500 ","176,500 "
04,DOWNE TWP,13 ,"1,618,338 ","124,488 "
05,FAIRFIELD TWP,20 ,"2,902,800 ","145,140 "
