,City,Lat,Lon,# of Sales,Total Sales Price,Avg Sale Price
50,RIDGEFIELD PARK VILLAGE,40.563654,-74.949409,74,"$24,117,580.00 ","325,913"
51,RIDGEWOOD VILLAGE,40.563654,-74.949409,315,"$266,817,858.00 ","847,041"
52,RIVEREDGE BORO,40.563654,-74.949409,112,"$54,665,208.00 ","488,082"
53,RIVERVALE TWP,40.563654,-74.949409,102,"$59,760,784.00 ","585,890"
54,ROCHELLE PARK TWP,40.563654,-74.949409,61,"$20,873,949.00 ","342,196"
55,ROCKLEIGH BORO,40.563654,-74.949409,3,"$5,830,000.00 ","1,943,333"
56,RUTHERFORD BORO,40.563654,-74.949409,187,"$83,270,200.00 ","445,295"
57,SADDLE BROOK TWP,40.563654,-74.949409,32,"$13,034,766.00 ","407,336"
58,SADDLE RIVER BORO,40.563654,-74.949409,25,"$42,189,000.00 ","1,687,560"
59,SO HACKENSACK TWP,40.430006,-74.417344,2,1020000,"510,000"
60,TEANECK TWP,40.500254,-74.4257,317,"$131,291,708.00 ","414,169"
61,TENAFLY BORO,40.500254,-74.4257,178,"$166,559,365.00 ","935,727"
62,TETERBORO BORO,40.500254,-74.4257,0,0,0
63,UPPER SADDLE RIV BORO,40.500254,-74.4257,97,"$93,710,060.00 ","966,083"
64,WALDWICK BORO,40.500254,-74.4257,105,"$45,244,550.00 ","430,900"
65,WALLINGTON BORO,40.500254,-74.4257,66,"$24,107,500.00 ","365,265"
66,WASHINGTON TWP,40.500254,-74.4257,96,"$49,853,471.00 ","519,307"
67,WESTWOOD BORO,40.500254,-74.4257,36,"$16,042,764.00 ","445,632"
68,WOODCLIFF LAKE BORO,40.500254,-74.4257,17,"$12,253,325.00 ","720,784"
69,WOOD RIDGE BORO,40.500254,-74.4257,39,"$15,156,317.00 ","388,624"
70,WYCKOFF TWP,40.500254,-74.4257,173,"$140,524,917.00 ","812,283"
1,BASS RIVER TWP,40.578996,-74.27987,6,"$1,061,300.00 ","176,883"
2,BEVERLY CITY,40.666552,-74.11768,10,"$1,357,300.00 ","135,730"
3,BORDENTOWN CITY,40.912798,-74.41516,39,"$8,516,290.00 ","218,366"
4,BORDENTOWN TWP,40.912798,-74.41516,114,"$31,932,099.00 ","280,106"
5,BURLINGTON CITY,40.912798,-74.41516,73,"$10,194,252.00 ","139,647"
6,BURLINGTON TWP,40.912798,-74.41516,60,"$13,882,650.00 ","231,378"
7,CHESTERFIELD TWP,40.855854,-74.22898,69,"$29,262,837.00 ","424,099"
8,CINNAMINSON TWP,40.855854,-74.22898,157,"$40,330,972.00 ","256,885"
9,DELANCO TWP,40.656302,-74.30371,33,"$6,360,050.00 ","192,729"
10,DELRAN TWP,40.656302,-74.30371,163,"$39,170,276.00 ","240,308"
11,EASTAMPTON TWP,40.770933,-74.20589,37,"$9,150,018.00 ","247,298"
12,EDGEWATER PARK TWP,40.830733,-73.97334,49,"$6,880,999.00 ","140,429"
13,EVESHAM TWP,40.827499,-74.28091,519,"$137,608,124.00 ","265,141"
14,FIELDSBORO BORO,40.641852,-74.38533,6,"$1,107,000.00 ","184,500"
15,FLORENCE TWP,40.641852,-74.38533,122,"$28,437,906.00 ","233,098"
16,HAINESPORT TWP,40.80495,-74.2047,59,"$16,950,118.00 ","287,290"
17,LUMBERTON TWP,40.788599,-74.78295,110,"$33,239,113.00 ","302,174"
18,MANSFIELD TWP,40.788599,-74.78295,121,"$34,043,647.00 ","281,352"
19,MAPLE SHADE TWP,40.502477,-74.650023,111,"$17,270,885.00 ","155,594"
20,MEDFORD TWP,40.502477,-74.650023,290,"$108,343,278.00 ","373,598"
21,MEDFORD LAKES BORO,40.502477,-74.650023,61,"$18,435,799.00 ","302,226"
22,MOORESTOWN TWP,40.389428,-74.54329,217,"$112,519,456.00 ","518,523"
23,MT HOLLY TWP,40.389428,-74.54329,67,"$11,457,595.00 ","171,009"
