,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,141,"32,471,060","230,291"
2,ATLANTIC CITY CITY,39.3643,-74.4229,548,"141,634,221","258,457"
3,BRIGANTINE CITY,40.912798,-74.41516,206,"101,750,335","493,934"
4,BUENA BORO,40.912798,-74.41516,21,"3,969,300","189,014"
5,BUENA VISTA TWP,40.912798,-74.41516,19,"3,736,000","196,632"
6,CORBIN CITY CITY,40.879699,-74.14263,1,"115,000","115,000"
7,EGG HARBOR CITY,40.830733,-73.97334,49,"10,184,500","207,847"
8,EGG HARBOR TWP,40.830733,-73.97334,548,"150,726,985","275,049"
9,ESTELL MANOR CITY,40.827499,-74.28091,6,"1,797,500","299,583"
10,FOLSOM BORO,40.641852,-74.38533,19,"4,075,400","214,495"
11,GALLOWAY TWP,40.849879,-73.97501,657,"147,536,098","224,560"
12,HAMILTON TWP,40.80495,-74.2047,514,"110,174,563","214,347"
13,HAMMONTON TOWN,40.80495,-74.2047,117,"27,823,638","237,809"
14,LINWOOD CITY,41.007389,-74.04247,114,"45,334,375","397,670"
15,LONGPORT BORO,40.788599,-74.78295,43,"46,181,200","1,073,981"
16,MARGATE CITY CITY,40.502477,-74.650023,173,"102,533,393","592,679"
17,MULLICA TWP,40.389428,-74.54329,62,"13,803,627","222,639"
18,NORTHFIELD CITY,40.51057,-74.72472,98,"28,515,450","290,974"
19,PLEASANTVILLE CITY,40.583035,-74.96224,320,"57,795,891","180,612"
20,PORT REPUBLIC CITY,40.583035,-74.96224,9,"3,056,000","339,556"
21,SOMERS POINT CITY,40.430006,-74.417344,122,"37,111,700","304,194"
22,VENTNOR CITY,40.500254,-74.4257,226,"105,886,280","468,523"
23,WEYMOUTH TWP,40.500254,-74.4257,3,"733,000","244,333"
1,ALLENDALE BORO,41.0415,-74.129,92,"70,666,699","768,116"
2,ALPINE BORO,40.9559,-73.9312,15,"54,232,500","3,615,500"
3,BERGENFIELD BORO,40.666552,-74.11768,336,"141,003,394","419,653"
4,BOGOTA BORO,40.803,-74.18895,108,"43,230,649","400,284"
5,CARLSTADT BORO,40.848999,-74.27917,35,"17,203,900","491,540"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,231,"114,452,667","495,466"
7,CLOSTER BORO,40.879699,-74.14263,109,"88,491,100","811,845"
8,CRESSKILL BORO,40.656302,-74.30371,114,"88,984,300","780,564"
9,DEMAREST BORO,40.656302,-74.30371,32,"24,600,500","768,766"
10,DUMONT BORO,40.656302,-74.30371,177,"75,992,486","429,336"
11,ELMWOOD PARK BORO,40.830733,-73.97334,142,"60,237,789","424,210"
12,E RUTHERFORD BORO,40.770933,-74.20589,57,"21,807,000","382,579"
13,EDGEWATER BORO,40.830733,-73.97334,200,"116,546,665","582,733"
14,EMERSON BORO,40.830733,-73.97334,41,"23,801,698","580,529"
15,ENGLEWOOD CITY,40.830733,-73.97334,122,"62,767,450","514,487"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,49,"65,219,500","1,331,010"
17,FAIRLAWN BORO,40.827499,-74.28091,136,"59,236,180","435,560"
18,FAIRVIEW BORO,40.816737,-74.00082,95,"43,871,110","461,801"
19,FORT LEE BORO,40.849879,-73.97501,367,"197,292,873","537,583"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,34,"44,675,999","1,314,000"
21,GARFIELD CITY,40.879858,-74.10807,211,"87,636,671","415,340"
22,GLEN ROCK BORO,40.80495,-74.2047,59,"36,900,900","625,439"
23,HACKENSACK CITY,40.80495,-74.2047,220,"76,524,610","347,839"
24,HARRINGTON PARK BORO,40.80495,-74.2047,53,"34,894,013","658,378"
25,HASBROUCK HGHTS BORO,40.745951,-74.15509,101,"46,392,878","459,335"
26,HAWORTH BORO,40.745951,-74.15509,31,"23,824,500","768,532"
27,HILLSDALE BORO,40.745951,-74.15509,26,"14,019,500","539,212"
28,HOHOKUS BORO,40.744851,-74.03294,38,"32,316,000","850,421"
29,LEONIA BORO,41.007389,-74.04247,89,"47,867,788","537,840"
30,LITTLE FERRY BORO,40.850621,-74.04112,108,"40,746,323","377,281"
31,LODI BORO,40.877999,-74.08265,158,"66,388,150","420,178"
32,LYNDHURST TWP,40.788599,-74.78295,166,"72,412,120","436,218"
33,MAHWAH TWP,40.788599,-74.78295,383,"218,130,748","569,532"
34,MAYWOOD BORO,40.502477,-74.650023,81,"35,463,950","437,827"
35,MIDLAND PARK BORO,40.574552,-74.50187,95,"47,098,159","495,770"
36,MONTVALE BORO,40.389428,-74.54329,69,"46,763,499","677,732"
37,MOONACHIE BORO,40.389428,-74.54329,15,"7,149,600","476,640"
38,NEW MILFORD BORO,40.51057,-74.72472,122,"53,313,780","436,998"
39,NORTH ARLINGTON BORO,40.51057,-74.72472,85,"36,632,525","430,971"
40,NORTHVALE BORO,40.51057,-74.72472,24,"12,728,275","530,345"
41,NORWOOD BORO,40.51057,-74.72472,44,"37,065,000","842,386"
42,OAKLAND BORO,40.51057,-74.72472,159,"89,199,897","561,006"
43,OLD TAPPAN BORO,40.51057,-74.72472,65,"62,386,712","959,796"
44,ORADELL BORO,40.681694,-74.73624,93,"57,610,799","619,471"
45,PALISADES PARK BORO,40.681694,-74.73624,232,"130,966,400","564,510"
46,PARAMUS BORO,40.681694,-74.73624,225,"145,523,025","646,769"
47,PARK RIDGE BORO,40.681694,-74.73624,100,"65,846,399","658,464"
48,RAMSEY BORO,40.565493,-74.938931,173,"96,682,820","558,860"
49,RIDGEFIELD BORO,40.563654,-74.949409,89,"49,332,100","554,293"
50,RIDGEFIELD PARK VILLAGE,40.563654,-74.949409,143,"56,896,955","397,881"
51,RIDGEWOOD VILLAGE,40.563654,-74.949409,280,"231,399,323","826,426"
52,RIVEREDGE BORO,40.563654,-74.949409,99,"52,258,800","527,867"
53,RIVERVALE TWP,40.563654,-74.949409,111,"74,644,650","672,474"
54,ROCHELLE PARK TWP,40.563654,-74.949409,51,"21,131,400","414,341"
55,ROCKLEIGH BORO,40.563654,-74.949409,1,"2,400,000","2,400,000"
56,RUTHERFORD BORO,40.563654,-74.949409,154,"68,905,523","447,438"
57,SADDLE BROOK TWP,40.563654,-74.949409,137,"60,071,200","438,476"
58,SADDLE RIVER BORO,40.563654,-74.949409,48,"103,719,500","2,160,823"
59,SO HACKENSACK TWP,40.553803,-74.52976,11,"4,662,350","423,850"
60,TEANECK TWP,40.500254,-74.4257,163,"75,523,930","463,337"
61,TENAFLY BORO,40.500254,-74.4257,162,"153,565,028","947,932"
