2005 Residential Sales Price Per Municipality,,,,,,,
,,# of Sales,Total Sales Price,Avg Sale Price,,,
19,MANCHESTER TWP,646,"133,092,117","206,025",,,
20,MANTOLOKING BORO,18,"52,045,000","2,891,389",,,
21,OCEAN TWP,77,"21,106,777","274,114",,,
22,OCEAN GATE BORO,24,"5,706,600","237,775",,,
23,PINE BEACH BORO,11,"2,794,400","254,036",,,
24,PLUMSTED TWP,99,"32,191,225","325,164",,,
25,POINT PLEASANT BORO,400,"160,215,201","400,538",,,
26,POINT PLEASANT BEACH BORO,107,"60,295,255","563,507",,,
27,SEASIDE HEIGHTS BORO,151,"39,427,809","261,111",,,
28,SEASIDE PARK BORO,83,"47,497,214","572,256",,,
29,SHIP BOTTOM BORO,39,"21,474,999","550,641",,,
30,SOUTH TOMS RIVER BORO,63,"12,310,100","195,398",,,
31,STAFFORD BORO,246,"85,066,548","345,799",,,
32,SURF CITY BORO,28,"23,669,000","845,321",,,
33,TUCKERTON BORO,39,"9,234,000","236,769",,,
,OCEAN COUNTY,"11,078","3,554,125,562","320,827",,,
,,,,,,,
16,PASSAIC COUNTY,,,,,,
01,BLOOMINGDALE BORO,108,"37,536,699","347,562",,,
02,CLIFTON CITY,"1,121","397,346,755","354,457",,,
03,HALEDON BORO,122,"38,976,588","319,480",,,
04,HAWTHORNE BORO,263,"103,058,495","391,857",,,
05,LITTLE FALLS TWP,168,"59,386,649","353,492",,,
06,NORTH HALEDON BORO,94,"43,890,298","466,918",,,
07,PASSAIC CITY,604,"164,627,978","272,563",,,
08,PATERSON CITY,"1,757","485,034,301","276,058",,,
09,POMPTON LAKES BORO,226,"74,269,986","328,628",,,
10,PROSPECT PARK BORO,102,"31,742,288","311,199",,,
11,RINGWOOD BORO,188,"71,595,527","380,827",,,
12,TOTOWA BORO,110,"44,415,999","403,782",,,
13,WANAQUE BORO,181,"57,987,474","320,373",,,
14,WAYNE TWP,779,"363,910,976","467,151",,,
15,WEST MILFORD TWP,554,"170,404,073","307,589",,,
16,WEST PATERSON BORO,144,"58,004,300","402,808",,,
,PASSAIC COUNTY,"6,521","2,202,188,386","337,707",,,
,,,,,,,
17,SALEM COUNTY,,,,,,
01,ALLOWAY TWP,25,"4,510,760","180,430",,,
02,CARNEYS POINT TWP,102,"11,350,951","111,284",,,
03,ELMER BORO,23,"2,704,050","117,567",,,
04,ELSINBORO TWP,14,"1,685,000","120,357",,,
05,LOWER ALLOWAYS CREEK TWP,11,"1,529,400","139,036",,,
06,MANNINGTON TWP,12,"2,240,400","186,700",,,
07,OLDSMAN TWP,7,"1,105,500","157,929",,,
08,PENNS GROVE TWP,51,"5,010,311","98,241",,,
09,PENNSVILLE TWP,211,"29,151,230","138,157",,,
10,PILESGROVE TWP,51,"13,649,745","267,642",,,
11,PITTSGROVE TWP,70,"15,334,450","219,064",,,
12,QUINTON TWP,18,"2,409,782","133,877",,,
13,SALEM CITY,88,"6,245,500","70,972",,,
14,UPPER PITTSGROVE TWP,15,"2,911,668","194,111",,,
15,WOODSTOWN BORO,69,"11,387,405","165,035",,,
,SALEM COUNTY,767,"111,226,152","145,015",,,
,,,,,,,
18,SOMERSET COUNTY,,,,,,
01,BEDMINSTER TWP,155,"60,630,875","391,167",,,
02,BERNARDS TWP,219,"122,392,001","558,868",,,
03,BERNARDSVILE BORO,47,"46,213,766","983,272",,,
04,BOUND BROOK BORO,136,"39,228,780","288,447",,,
05,BRANCHBURG TWP,71,"30,305,201","426,834",,,
06,BRIDGEWATER TWP,231,"104,111,150","450,698",,,
07,FAR HILLS BORO,5,"7,432,100","1,486,420",,,
08,FRANKLIN TWP,433,"135,846,951","313,734",,,
09,GREEN BROOK TWP,39,"17,303,800","443,687",,,
10,HILLSBOROUGH TWP,784,"262,388,847","334,680",,,
11,MANVILLE BORO,162,"44,432,567","274,275",,,
12,MILLSTONE BORO,0,0,N/A,,,
13,MONTGOMERY TWP,103,"62,612,609","607,889",,,
14,NORTH PLAINFIELD BORO,369,"97,777,570","264,980",,,
15,PEAPACK-GLADSTONE BORO,11,"9,376,500","852,409",,,
16,RARITAN BORO,21,"7,292,900","347,281",,,
17,ROCKY HILL BORO,8,"3,198,800","399,850",,,
18,SOMERVILLE BORO,127,"38,102,923","300,023",,,
19,SOUTH BOUND BROOK BORO,56,"14,572,380","260,221",,,
20,WARREN TWP,56,"48,643,889","868,641",,,
21,WATCHUNG BORO,35,"24,845,912","709,883",,,
,SOMERSET COUNTY,"3,068","1,176,709,521","383,543",,,
,,,,,,,
19,SUSSEX COUNTY,,,,,,
01,ANDOVER BORO,7,"1,801,000 ","257,286",,,
02,ANDOVER TWP,121,"38,141,395 ","315,218",,,
03,BRANCHVILLE BORO,11,"3,090,000 ","280,909",,,
04,BYRAM TWP,147,"47,513,370 ","323,220",,,
05,FRANKFORD TWP,73,"21,177,076 ","290,097",,,
06,FRANKLIN BORO,70,"16,694,051 ","238,486",,,
07,FREDON TWP,44,"15,845,749 ","360,131",,,
08,GREEN TWP,20,"8,704,800 ","435,240",,,
09,HAMBURG BORO,106,"22,379,350 ","211,126",,,
10,HAMPTON BORO,92,"24,693,753 ","268,410",,,
11,HARDYSTON BORO,158,"49,414,205 ","312,748",,,
12,HOPATCONG BORO,404,"99,796,321 ","247,021",,,
13,LAFAYETTE BORO,23,"9,403,850 ","408,863",,,
14,MONTAGUE TWP,99,"18,688,290 ","188,771",,,
15,NEWTON TOWN,127,"31,511,577 ","248,123",,,
16,OGDENSBURG BORO,40,"9,827,526 ","245,688",,,
17,SANDYSTON BORO,25,"5,592,300 ","223,692",,,
18,SPARTA TWP,403,"184,062,653 ","456,731",,,
19,STANHOPE BORO,115,"27,322,532 ","237,587",,,
20,STILLWATER TWP,63,"16,700,120 ","265,081",,,
21,SUSSEX TWP,31,"6,685,697 ","215,668",,,
22,VERNON TWP,648,"154,288,580 ","238,100",,,
23,WALPACK TWP,0,0,N/A,,,
24,WANTAGE TWP,166,"45,744,076 ","275,567",,,
,SUSSEX COUNTY,"2,993","859,078,271","287,029",,,
,,,,,,,
20,UNION COUNTY,,,,,,
01,BERKELEY HEIGHTS TWP,165,"93,279,632","565,331",,,
02,CLARK TWP,214,"89,587,939","418,635",,,
03,CRANFORD TWP,289,"120,467,600","416,843",,,
04,ELIZABETH CITY,"1,143","353,236,796","309,044",,,
05,FANWOOD BORO,120,"48,638,665","405,322",,,
06,GARWOOD BORO,53,"19,150,671","361,333",,,
07,HILLSIDE TWP,295,"83,147,577","281,856",,,
08,KENILWORTH BORO,68,"24,360,831","358,248",,,
09,LINDEN CITY,463,"133,085,272","287,441",,,
10,MOUNTAINSIDE BORO,68,"42,600,350","626,476",,,
11,NEW PROVIDENCE BORO,138,"74,278,900","538,253",,,
12,PLAINFIELD CITY,811,"209,880,823","258,793",,,
13,RAHWAY CITY,442,"120,183,510","271,908",,,
14,ROSELLE BORO,386,"93,919,885","243,316",,,
15,ROSELLE PARK BORO,205,"55,546,984","270,961",,,
16,SCOTCH PLAINS TWP,337,"163,422,424","484,933",,,
17,SPRINGFIELD TWP,237,"93,140,986","393,000",,,
18,SUMMIT CITY,357,"306,917,760","859,714",,,
19,UNION TWP,935,"298,380,799","319,124",,,
20,WESTFIELD TOWN,418,"273,251,223","653,711",,,
21,WINFIELD TWP,0,0,N/A,,,
,UNION COUNTY,"7,144","2,696,478,627","377,447",,,
,,,,,,,
21,WARREN COUNTY,,,,,,
01,ALLAMUCHY TWP,149,"43,007,050","288,638",,,
02,ALPHA BORO,37,"7,708,550","208,339",,,
03,BELVIDERE TOWN,36,"7,926,190","220,172",,,
04,BLAIRSTOWN TWP,93,"34,046,250","366,089",,,
05,FRANKLIN TWP,34,"12,639,850","371,760",,,
06,FRELINGHUYSEN TWP,10,"4,232,400","423,240",,,
07,GREENWICH TWP,103,"42,460,062","412,234",,,
08,HACKETTSTOWN TOWN,124,"37,838,350","305,148",,,
09,HARDWICK TWP,17,"5,784,000","340,235",,,
10,HARMAONY TWP,30,"7,978,997","265,967",,,
11,HOPE TWP,29,"9,988,324","344,425",,,
12,INDEPENDENCE TWP,43,"12,513,700","291,016",,,
13,KNOWLTON TWP,35,"9,927,960","283,656",,,
14,LIBERTY TWP,45,"12,503,400","277,853",,,
15,LOPATCONG TWP,63,"17,319,075","274,906",,,
16,MANSFIELD TWP,109,"33,550,190","307,800",,,
17,OXFORD TWP,48,"12,044,884","250,935",,,
19,PHILLIPSBURG TOWN,306,"45,881,315","149,939",,,
20,POHATCONG TWP,47,"10,797,500","229,734",,,
21,WASHINGTON BORO,117,"26,707,007","228,265",,,
22,WASHINGTON TWP,101,"32,820,600","324,956",,,
23,WHITE TWP,50,"14,771,700","295,434",,,
,WARREN COUNTY,"1,626","442,447,354","272,108",,,
,,,,,,,
