2005 Residential Sales Price Per Municipality,,,,,,,
,,# of Sales,Total Sales Price,Avg Sale Price,,,
08,CINNAMINSON TWP,188,"49,139,710","261,381",,,
09,DELANCO TWP,59,"10,188,826","172,692",,,
10,DELRAN TWP,81,"20,471,605","252,736",,,
11,EASTAMPTON TWP,83,"18,414,760","221,865",,,
12,EDGEWATER PARK TWP,112,"19,207,054","171,492",,,
13,EVESHAM TWP,"1,034","259,629,574","251,092",,,
14,FIELDSBORO BORO,5,"1,002,300","200,460",,,
15,FLORENCE TWP,251,"46,662,772","185,907",,,
16,HAINESPORT TWP,89,"31,178,209","350,317",,,
17,LUMBERTON TWP,213,"57,379,638","269,388",,,
18,MANSFIELD TWP,159,"54,159,119","340,623",,,
19,MAPLE SHADE TWP,236,"37,571,410","159,201",,,
20,MEDFORD TWP,318,"113,398,540","356,599",,,
21,MEDFORD LAKES BORO,80,"21,703,200","271,290",,,
22,MOORESTOWN TWP,284,"131,165,287","461,850",,,
23,MOUNT HOLLY TWP,215,"32,887,544","152,965",,,
24,MOUNT LAUREL TWP,"1,157","263,456,861","227,707",,,
25,NEW HANOVER TWP,4,"1,084,900","271,225",,,
26,NORTH HANOVER TWP,16,"5,402,100","337,631",,,
27,PALMYRA BORO,190,"32,498,525","171,045",,,
28,PEMBERTON BORO,17,"3,359,850","197,638",,,
29,PEMBERTON TWP,503,"79,963,907","158,974",,,
30,RIVERSIDE TWP,36,"5,340,880","148,358",,,
31,RIVERTON BORO,29,"7,831,670","270,058",,,
32,SHAMONG TWP,57,"21,555,200","378,161",,,
33,SOUTHAMPTON TWP,225,"48,268,792","214,528",,,
34,SPRINGFIELD TWP,8,"3,074,388","384,299",,,
35,TABERNACLE TWP,92,"28,364,185","308,306",,,
36,WASHINGTON TWP,6,"1,621,000","270,167",,,
37,WESTAMPTON TWP,189,"45,356,547","239,982",,,
38,WILLINGBORO TWP,595,"97,948,808","164,620",,,
39,WOODLAND TWP,17,"3,906,200","229,776",,,
40,WRIGHTSTOWN BORO,0,0,N/A,,,
,BURLINGTON COUNTY,"7,256","1,716,440,083","236,555",,,
,,,,,,,
04,CAMDEN COUNTY,,,,,,
01,AUDUBON BORO,149,"27,543,796","184,858",,,
02,AUDUBON PARK BORO,0,0,N/A,,,
03,BARRINGTON BORO,92,"18,759,300","203,905",,,
04,BELLMAWR BORO,138,"20,582,613","149,149",,,
05,BERLIN BORO,121,"27,384,878","226,321",,,
06,BERLIN TWP,58,"9,577,476","165,129",,,
07,BROOKLAWN BORO,49,"5,868,990","119,775",,,
08,CAMDEN CITY,442,"20,187,496","45,673",,,
09,CHERRY HILL TWP,"1,215","308,377,490","253,809",,,
10,CHESILHURST BORO,12,"1,404,400","117,033",,,
11,CLEMENTON BORO,93,"10,871,076","116,893",,,
12,COLLINGSWOOD BORO,236,"45,752,893","193,868",,,
13,GIBBSBORO BORO,30,"6,706,625","223,554",,,
14,GLOUCESTER CITY,229,"20,447,766","89,292",,,
15,GLOUCESTER TWP,"1,174","207,113,713","176,417",,,
16,HADDON TWP,209,"44,409,866","212,487",,,
17,HADDONFIELD BORO,191,"78,012,220","408,441",,,
18,HADDON HEIGHTS BORO,127,"35,248,501","277,547",,,
19,HI-NELLA BORO,10,"1,475,600","147,560",,,
20,LAUREL SPRINGS BORO,27,"4,535,650","167,987",,,
21,LAWNSIDE BORO,28,"3,577,500","127,768",,,
22,LINDENWOLD BORO,275,"29,638,925","107,778",,,
23,MAGNOLIA BORO,89,"13,106,999","147,270",,,
24,MERCHANTVILLE BORO,57,"10,843,342","190,234",,,
25,MOUNT EPHRAIN BORO ,88,"12,859,071","146,126",,,
26,OAKLYN BORO,90,"14,445,835","160,509",,,
27,PENNSAUKEN TWP,588,"82,134,995","139,685",,,
28,PINE HILL BORO,179,"24,040,902","134,307",,,
29,PINE VALLEY BORO,0,0,N/A,,,
30,RUNNEMEDE BORO,134,"19,810,243","147,838",,,
31,SOMERDALE BORO,103,"14,355,446","139,373",,,
32,STRATFORD BORO,90,"14,077,250","156,414",,,
33,TAVISTOCK BORO,0,0,N/A,,,
34,VOORHEES TWP,619,"167,421,022","270,470",,,
35,WATERFORD TWP,181,"31,572,199","174,432",,,
36,WINSLOW TWP,839,"135,331,464","161,301",,,
37,WOODLYNNE BORO,74,"6,366,180","86,029",,,
,CAMDEN COUNTY,"8,036","1,473,841,722","183,405",,,
,,,,,,,
05,CAPE MAY COUNTY,,,,,,
01,AVALON BORO,324,"430,296,614","1,328,076",,,
02,CAPE MAY CITY,62,"35,976,184","580,261",,,
03,CAPE MAY POINT BORO,12,"8,403,000","700,250",,,
04,DENNIS TWP,81,"21,161,899","261,258",,,
05,LOWER TWP,605,"155,400,908","256,861",,,
06,MIDDLE TWP,302,"85,028,615","281,552",,,
07,NORTH WILDWOOD CITY,406,"136,573,087","336,387",,,
08,OCEAN CITY CITY,"1,011","653,783,752","646,670",,,
09,SEA ISLE CITY CITY,254,"190,607,825","750,425",,,
10,STONE HARBOR BORO,59,"89,465,800","1,516,369",,,
11,UPPER TWP,190,"59,022,045","310,642",,,
12,WEST CAPE MAY BORO,30,"15,716,000","523,867",,,
13,WEST WILDWOOD BORO,42,"13,153,900","313,188",,,
14,WILDWOOD CITY,172,"50,079,456","291,160",,,
15,WILDWOOD CREST BORO,212,"78,019,870","368,018",,,
16,WOODBINE BORO ,9,"1,598,000","177,556",,,
,CAPE MAY COUNTY,"3,771","2,024,286,955","536,804",,,
,,,,,,,
06,CUMBERLAND COUNTY,,,,,,
01,BRIDGETON CITY,140,"10,733,670","76,669",,,
02,COMMERCIAL TWP,72,"5,430,225","75,420",,,
03,DEERFIELD TWP,9,"1,541,470","171,274",,,
04,DOWNE TWP,29,"4,029,000","138,931",,,
05,FAIRFIELD TWP,20,"2,853,900","142,695",,,
06,GREENWICH TWP,7,"923,500","131,929",,,
07,HOPEWELL TWP,40,"6,252,800","156,320",,,
08,LAWRENCE TWP,24,"2,132,400","88,850",,,
09,MAURICE RIVER TWP,31,"3,705,600","119,535",,,
10,MILLVILLE CITY,181,"21,805,673","120,473",,,
11,SHILOH BORO,4,"593,900","148,475",,,
12,STOW CREEK TWP,2,"270,000","135,000",,,
13,UPPER DEERFIELD TWP,61,"9,409,011","154,246",,,
14,VINELAND CITY,573,"89,056,205","155,421",,,
,CUMBERLAND COUNTY,"1,193","158,737,354","133,057",,,
,,,,,,,
07,ESSEX COUNTY,,,,,,
01,BELLEVILLE TWP,555,"158,171,977","284,995",,,
02,BLOOMFIELD TWP,593,"192,105,508","323,955",,,
03,CALDWELL TWP,29,"11,997,200","413,697",,,
04,CEDAR GROOVE TWP,141,"70,811,300","502,208",,,
05,EAST ORANGE CITY,817,"161,435,190","197,595",,,
06,ESSEX FELLS TWP,27,"31,615,650","1,170,950",,,
07,FAIRFIELD TWP,91,"44,631,900","490,460",,,
08,GLEN RIDGE TWP,104,"60,130,104","578,174",,,
09,IRVINGTON TWP,767,"149,402,111","194,788",,,
10,LIVINGSTON TWP,373,"218,188,686","584,956",,,
11,MAPLEWOOD TWP,447,"196,084,130","438,667",,,
12,MILLBURN TWP,329,"332,674,132","1,011,168",,,
13,MONTCLAIR TWP,535,"314,552,796","587,949",,,
14,NEWARK CITY,"2,517","631,620,563","250,942",,,
15,NORTH CALDWELL TWP,116,"78,256,353","674,624",,,
16,NUTLEY TWP,388,"141,382,612","364,388",,,
17,ORANGE CITY TWP,331,"68,101,535","205,745",,,
18,ROSELAND BORO,80,"41,711,576","521,395",,,
19,SOUTH ORANGE VILLAGE TWP,279,"149,567,458","536,084",,,
20,VERONA BORO TWP,278,"111,543,612","401,236",,,
21,WEST CALDWELL TWP,140,"63,127,227","450,909",,,
22,WEST ORANGE TWP,896,"352,855,720","393,812",,,
