2003 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
01,ATLANTIC COUNTY,,,
01,ABSECON CITY,149,"20,668,746","138,716"
02,ATLANTIC CITY CITY,620,"71,934,779","116,024"
03,BRIGANTINE CITY,483,"134,457,081","278,379"
04,BUEN/A BORO,39,"4,180,050","107,181"
05,BUEN/A VISTA TWP,28,"3,761,900","134,354"
06,CORBIN CITY CITY,3,"262,900","87,633"
07,EGG HARBOR CITY,51,"5,877,789","115,251"
08,EGG HARBOR TWP,588,"85,312,968","145,090"
09,ESTELL MANOR CITY,13,"2,079,600","159,969"
10,FOLSOM BORO,20,"2,596,800","129,840"
11,GALLOWAY TWP,864,"111,448,435","128,991"
12,HAMILTON TWP,495,"54,655,648","110,415"
13,HAMMONTON TOWN,148,"18,709,655","126,417"
14,LINWOOD CITY,49,"12,667,750","258,526"
15,LONGPORT BORO,64,"55,330,400","864,538"
16,MARGATE CITY CITY,347,"110,411,383","318,188"
17,MULLICA TWP,44,"6,459,200","146,800"
18,NORTHFIELD CITY,151,"26,589,850","176,092"
19,PLEASANTVILLE CITY,251,"22,468,507","89,516"
20,PORT REPUBLIC CITY,13,"2,668,800","205,292"
21,SOMERS POINT CITY,190,"33,216,599","174,824"
22,VENTNOR CITY,198,"41,975,882","211,999"
23,WEYMOUTH TWP,8,"937,000","117,125"
,ATLANTIC COUNTY,"4,816","828,671,722","172,066"
,,,,
02,BERGEN COUNTY,,,
01,ALLENDALE BORO,101,"58,688,910","581,078"
02,ALPINE BORO,23,"42,420,000","1,844,348"
03,BERGENFIELD BORO,404,"113,641,166","281,290"
04,BOGOTA BORO,109,"29,978,450","275,032"
05,CARLSTADT BORO,37,"10,435,600","282,043"
06,CLIFFSIDE PARK BORO,305,"109,903,270","360,339"
07,CLOSTER BORO,116,"65,325,919","563,154"
08,CRESSKILL BORO,131,"81,972,700","625,746"
09,DEMAREST BORO,16,"9,958,000","622,375"
10,DUMONT BORO,196,"59,064,916","301,352"
11,ELMWOOD PARK BORO,191,"54,905,860","287,465"
12,E RUTHERFORD BORO,71,"17,461,625","245,938"
13,EDGEWATER BORO,264,"88,652,500","335,805"
14,EMERSON BORO,82,"30,331,294","369,894"
15,ENGLEWOOD CITY,418,"143,944,574","344,365"
16,ENGLEWOOD CLIFFS BORO,80,"61,302,917","766,286"
17,FAIRLAWN BORO,356,"112,580,750","316,238"
18,FAIRVIEW BORO,96,"28,249,300","294,264"
19,FORT LEE BORO,448,"178,255,400","397,892"
20,FRANKLIN LAKES BORO,152,"137,034,950","901,546"
21,GARFIELD CITY,234,"61,273,170","261,851"
22,GLEN ROCK BORO,44,"18,997,800","431,768"
23,HACKENSACK CITY,662,"138,667,189","209,467"
24,HARRINGTON PARK BORO,70,"32,896,887","469,956"
25,HASBROUCK HGHTS BORO,113,"37,923,300","335,604"
26,HAWORTH BORO,45,"23,627,900","525,064"
27,HILLSDALE BORO,129,"53,969,800","418,371"
28,HOHOKUS BORO,54,"33,933,587","628,400"
29,LEONIA BORO,128,"48,566,400","379,425"
30,LITTLE FERRY BORO,114,"28,836,480","252,952"
31,LODI BORO,161,"43,225,759","268,483"
32,LYNDHURST TWP,169,"47,469,391","280,884"
33,MAHWAH TWP,591,"252,969,415","428,036"
34,MAYWOOD BORO,112,"34,697,100","309,796"
35,MIDLAND PARK BORO,95,"33,928,400","357,141"
36,MONTVALE BORO,99,"47,735,700","482,179"
37,MOON/ACHIE BORO,17,"5,481,650","322,450"
38,NEW MILFORD BORO,162,"52,973,910","326,999"
39,NORTH ARLINGTON BORO,131,"35,825,700","273,479"
40,NORTHVALE BORO,53,"19,533,300","368,553"
41,NORWOOD BORO,84,"45,324,408","539,576"
42,OAKLAND BORO,187,"73,286,284","391,905"
43,OLD TAPPAN BORO,76,"49,597,400","652,597"
44,ORADELL BORO,93,"42,491,425","456,897"
45,PALISADES PARK BORO,247,"94,809,700","383,845"
46,PARAMUS BORO,274,"123,965,549","452,429"
47,PARK RIDGE BORO,113,"48,537,800","429,538"
48,RAMSEY BORO,127,"49,809,015","392,197"
49,RIDGEFIELD BORO,106,"40,944,833","386,272"
50,RIDGEFIELD PARK VILLAGE,148,"40,451,517","273,321"
51,RIDGEWOOD VILLAGE,382,"235,966,675","617,714"
52,RIVEREDGE BORO,117,"44,524,550","380,552"
53,RIVERVALE TWP,115,"53,574,899","465,869"
54,ROCHELLE PARK TWP,49,"14,234,863","290,507"
55,ROCKLEIGH BORO,1,"1,400,000","1,400,000"
56,RUTHERFORD BORO,194,"58,842,312","303,311"
57,SADDLE BROOK TWP,139,"40,150,121","288,850"
58,SADDLE RIVER BORO,59,"86,261,200","1,462,054"
59,SO HACKENSACK TWP,4,"1,163,000","290,750"
60,TEANECK TWP,589,"191,051,112","324,365"
61,TEN/AFLY BORO,76,"47,200,460","621,059"
62,TETERBORO BORO,0,0,N/A
63,UPPER SADDLE RIV BORO,127,"100,035,988","787,685"
64,WALDWICK BORO,144,"48,315,950","335,527"
65,WALLINGTON BORO,62,"17,742,300","286,166"
66,WASHINGTON TWP,106,"44,955,950","424,113"
67,WESTWOOD BORO,130,"47,014,620","361,651"
68,WOODCLIFF LAKE BORO,18,"12,818,500","712,139"
69,WOOD RIDGE BORO,100,"28,040,050","280,401"
70,WYCKOFF TWP,228,"128,492,227","563,562"
,BERGEN COUNTY,"10,874","4,297,643,647","395,222"
,,,,
03,BURLINGTON COUNTY,,,
01,BASS RIVER TWP,9,"1,448,000","160,889"
02,BEVERLY CITY,35,"3,469,800","99,137"
03,BORDENTOWN CITY,59,"8,565,420","145,177"
04,BORDENTOWN TWP,125,"24,633,500","197,068"
05,BURLINGTON CITY,138,"16,399,833","118,839"
06,BURLINGTON TWP,343,"73,330,780","213,792"
07,CHESTERFIELD TWP,18,"5,401,200","300,067"
08,CINN/AMINSON TWP,168,"33,545,171","199,674"
09,DELANCO TWP,54,"7,385,366","136,766"
10,DELRAN TWP,199,"38,055,347","191,233"
11,EASTAMPTON TWP,76,"14,233,136","187,278"
12,EDGEWATER PARK TWP,106,"14,416,625","136,006"
13,EVESHAM TWP,979,"183,463,653","187,399"
14,FIELDSBORO BORO,11,"1,365,400","124,127"
15,FLORENCE TWP,184,"25,000,751","135,874"
16,HAINESPORT TWP,60,"12,283,637","204,727"
17,LUMBERTON TWP,174,"36,116,277","207,565"
18,MANSFIELD TWP,82,"20,612,134","251,367"
19,MAPLE SHADE TWP,182,"21,107,002","115,973"
20,MEDFORD TWP,395,"110,664,611","280,164"
21,MEDFORD LAKES BORO,73,"15,425,138","211,303"
22,MOORESTOWN TWP,297,"107,177,341","360,866"
23,MT HOLLY TWP,150,"17,833,392","118,889"
24,MT LAUREL TWP,"1,182","207,062,858","175,180"
25,NEW HANOVER TWP,1,"159,900","159,900"
26,NO HANOVER TWP,15,"3,443,400","229,560"
27,PALMYRA BORO,184,"23,221,912","126,206"
28,PEMBERTON BORO,14,"1,669,600","119,257"
29,PEMBERTON TWP,332,"38,445,141","115,799"
30,RIVERSIDE TWP,89,"9,458,459","106,275"
31,RIVERTON BORO,40,"8,525,801","213,145"
32,SHAMONG TWP,64,"17,713,060","276,767"
33,SOUTHAMPTON TWP,65,"12,202,450","187,730"
34,SPRINGFIELD TWP,29,"8,259,600","284,814"
35,TABERN/ACLE TWP,97,"23,661,100","243,929"
36,WASHINGTON TWP,4,"690,500","172,625"
37,WESTAMPTON TWP,160,"27,089,732","169,311"
38,WILLINGBORO TWP,396,"48,250,156","121,844"
39,WOODLAND TWP,14,"2,849,900","203,564"
40,WRIGHTSTOWN BORO,2,"227,500","113,750"
,BURLINGTON COUNTY,"6,605","1,224,864,583","185,445"
,,,,
04,CAMDEN COUNTY,,,
01,AUDUBON BORO,124,"15,969,773","128,788"
02,AUDUBON PARK BORO,0,0,N/A
03,BARRINGTON BORO,85,"11,921,490","140,253"
04,BELLMAWR BORO,130,"14,758,196","113,525"
05,BERLIN BORO,89,"14,733,645","165,547"
06,BERLIN TWP,63,"8,033,127","127,510"
07,BROOKLAWN BORO,31,"2,583,200","83,329"
08,CAMDEN CITY,465,"19,574,408","42,096"
09,CHERRY HILL TWNSHP,"1,145","225,415,093","196,869"
10,CHESILHURST BORO,8,"916,640","114,580"
11,CLEMENTON BORO,72,"6,268,011","87,056"
12,COLLINGSWOOD BORO,259,"33,583,608","129,666"
13,GIBBSBORO BORO,6,"1,249,900","208,317"
14,GLOUCESTER CITY,152,"10,826,033","71,224"
15,GLOUCESTER TWP,"1,031","142,939,820","138,642"
16,HADDON TWP,208,"33,947,650","163,210"
17,HADDONFIELD BORO,194,"63,558,535","327,621"
18,HADDON HEIGHTS BORO,108,"20,873,950","193,277"
19,HI NELLA BORO,12,"1,437,350","119,779"
20,LAUREL SPRINGS BORO,30,"4,045,200","134,840"
21,LAWNSIDE BORO,16,"1,502,700","93,919"
22,LINDENWOLD BORO,256,"20,710,421","80,900"
23,MAGNOLIA BORO,48,"5,156,499","107,427"
24,MERCHANTVILLE BORO,69,"9,681,760","140,315"
25,MOUNT EPHRAIM BORO,60,"6,238,950","103,983"
26,OAKLYN BORO,62,"7,351,960","118,580"
27,PENNSAUKEN TWP,497,"54,855,445","110,373"
28,PINE HILL BORO,165,"17,256,769","104,586"
29,PINE VALLEY BORO,0,0,N/A
30,RUNNEMEDE BORO,81,"9,284,186","114,620"
31,SOMERDALE BORO,58,"5,748,900","99,119"
32,STRATFORD BORO,91,"11,339,200","124,607"
33,TAVISTOCK BORO,0,0,N/A
