,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,66,"$13,270,550.00 ","201,069"
2,ATLANTIC CITY CITY,39.3643,-74.4229,159,"$19,522,575.00 ","122,783"
3,BRIGANTINE CITY,40.912798,-74.41516,239,"$84,171,911.00 ","352,184"
4,BUENA BORO,40.912798,-74.41516,31,"$5,255,805.00 ","169,542"
5,BUENA VISTA TWP,40.912798,-74.41516,24,"$4,559,900.00 ","189,996"
6,CORBIN CITY CITY,40.879699,-74.14263,1,"$272,000.00 ","272,000"
7,EGG HARBOR CITY,40.830733,-73.97334,16,"$2,072,050.00 ","129,503"
8,EGG HARBOR TWP,40.830733,-73.97334,259,"$53,528,268.00 ","206,673"
9,ESTELL MANOR CITY,40.830733,-73.97334,14,"$3,507,400.00 ","250,529"
10,FOLSOM BORO,40.816737,-74.00082,7,"$1,227,500.00 ","175,357"
11,GALLOWAY TWP,40.849879,-73.97501,273,"$47,871,776.00 ","175,354"
12,HAMILTON TWP,40.80495,-74.2047,153,"$27,592,934.00 ","180,346"
13,HAMMONTON TOWN,40.80495,-74.2047,90,"$18,172,151.00 ","201,913"
14,LINWOOD CITY,41.007389,-74.04247,81,"$18,904,450.00 ","233,388"
15,LONGPORT BORO,41.007389,-74.04247,44,"$49,546,200.00 ","1,126,050"
16,MARGATE CITY CITY,41.007389,-74.04247,223,"$133,570,830.00 ","598,972"
17,MULLICA TWP,40.389428,-74.54329,22,"$5,285,300.00 ","240,241"
18,NORTHFIELD CITY,40.51057,-74.72472,65,"$15,066,948.00 ","231,799"
19,PLEASANTVILLE CITY,40.583035,-74.96224,71,"$6,664,893.00 ","93,872"
20,PORT REPUBLIC CITY,40.583035,-74.96224,6,"$2,132,300.00 ","355,383"
21,SOMERS POINT CITY,40.430006,-74.417344,108,"$24,514,150.00 ","226,983"
22,VENTNOR CITY,40.500254,-74.4257,188,"$56,120,627.00 ","298,514"
23,WEYMOUTH TWP,40.500254,-74.4257,6,"$1,267,500.00 ","211,250"
1,ALLENDALE BORO,39.4285,-74.4957,76,"$51,054,138.00 ","671,765"
2,ALPINE BORO,39.4285,-74.4957,19,"$62,075,000.00 ","3,267,105"
3,BERGENFIELD BORO,39.3643,-74.4229,206,"$71,090,578.00 ","345,100"
4,BOGOTA BORO,39.3643,-74.4229,34,"$10,921,140.00 ","321,210"
5,CARLSTADT BORO,40.912798,-74.41516,41,"$16,292,760.00 ","397,384"
6,CLIFFSIDE PARK BORO,40.912798,-74.41516,189,"$78,359,388.00 ","414,600"
7,CLOSTER BORO,40.912798,-74.41516,91,"$66,553,644.00 ","731,359"
8,CRESSKILL BORO,40.656302,-74.30371,86,"$62,659,894.00 ","728,603"
9,DEMAREST BORO,40.656302,-74.30371,59,"$60,754,000.00 ","1,029,729"
10,DUMONT BORO,40.656302,-74.30371,133,"$47,416,550.00 ","356,515"
11,ELMWOOD PARK BORO,40.830733,-73.97334,98,"$31,518,100.00 ","321,613"
12,E RUTHERFORD BORO,40.656302,-74.30371,53,"$17,754,200.00 ","334,985"
13,EDGEWATER BORO,40.830733,-73.97334,186,"$113,221,900.00 ","608,720"
14,EMERSON BORO,40.830733,-73.97334,75,"$36,193,755.00 ","482,583"
15,ENGLEWOOD CITY,40.830733,-73.97334,176,"$86,835,565.00 ","493,384"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,57,"$72,349,063.00 ","1,269,282"
17,FAIRLAWN BORO,40.827499,-74.28091,277,"$109,323,431.00 ","394,669"
18,FAIRVIEW BORO,40.816737,-74.00082,61,"$21,671,900.00 ","355,277"
19,FORT LEE BORO,40.849879,-73.97501,310,"$159,162,253.00 ","513,427"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,94,"$107,297,739.00 ","1,141,465"
21,GARFIELD CITY,40.879858,-74.10807,121,"$40,079,682.00 ","331,237"
22,GLEN ROCK BORO,40.80495,-74.2047,131,"$80,129,609.00 ","611,676"
23,HACKENSACK CITY,40.80495,-74.2047,104,"$27,794,425.00 ","267,254"
24,HARRINGTON PARK BORO,40.80495,-74.2047,56,"$33,136,900.00 ","591,730"
25,HASBROUCK HGHTS BORO,40.745951,-74.15509,88,"$35,982,200.00 ","408,889"
26,HAWORTH BORO,40.745951,-74.15509,35,"$24,569,250.00 ","701,979"
27,HILLSDALE BORO,40.745951,-74.15509,103,"$53,063,201.00 ","515,177"
28,HOHOKUS BORO,40.745951,-74.15509,59,"$50,794,500.00 ","860,924"
29,LEONIA BORO,40.744851,-74.03294,61,"$30,135,100.00 ","494,018"
30,LITTLE FERRY BORO,41.007389,-74.04247,24,"$6,573,180.00 ","273,883"
31,LODI BORO,41.007389,-74.04247,111,"$34,221,601.00 ","308,303"
32,LYNDHURST TWP,41.007389,-74.04247,113,"$39,911,700.00 ","353,201"
33,MAHWAH TWP,41.007389,-74.04247,355,"$172,641,781.00 ","486,315"
34,MAYWOOD BORO,41.007389,-74.04247,73,"$26,653,400.00 ","365,115"
35,MIDLAND PARK BORO,41.007389,-74.04247,86,"$39,188,801.00 ","455,684"
36,MONTVALE BORO,41.007389,-74.04247,91,"$57,995,600.00 ","637,314"
37,MOONACHIE BORO,41.007389,-74.04247,5,"$1,821,900.00 ","364,380"
38,NEW MILFORD BORO,40.389428,-74.54329,90,"$35,359,241.00 ","392,880"
39,NORTH ARLINGTON BORO,40.51057,-74.72472,106,"$35,308,300.00 ","333,097"
40,NORTHVALE BORO,40.51057,-74.72472,42,"$19,651,700.00 ","467,898"
41,NORWOOD BORO,40.51057,-74.72472,47,"$31,440,500.00 ","668,947"
42,OAKLAND BORO,40.51057,-74.72472,125,"$58,728,854.00 ","469,831"
43,OLD TAPPAN BORO,40.51057,-74.72472,66,"$56,869,900.00 ","861,665"
44,ORADELL BORO,40.51057,-74.72472,88,"$51,397,099.00 ","584,058"
45,PALISADES PARK BORO,40.51057,-74.72472,153,"$84,444,575.00 ","551,925"
46,PARAMUS BORO,40.51057,-74.72472,197,"$123,309,552.00 ","625,937"
47,PARK RIDGE BORO,40.51057,-74.72472,99,"$52,398,450.00 ","529,277"
48,RAMSEY BORO,40.565493,-74.938931,68,"$34,040,899.00 ","500,601"
49,RIDGEFIELD BORO,40.565493,-74.938931,69,"$32,458,149.00 ","470,408"
50,RIDGEFIELD PARK VILLAGE,40.565493,-74.938931,65,"$20,818,899.00 ","320,291"
51,RIDGEWOOD VILLAGE,40.565493,-74.938931,301,"$250,206,180.00 ","831,250"
52,RIVEREDGE BORO,40.565493,-74.938931,105,"$47,402,890.00 ","451,456"
53,RIVERVALE TWP,40.565493,-74.938931,97,"$55,511,415.00 ","572,283"
54,ROCHELLE PARK TWP,40.565493,-74.938931,54,"$17,701,300.00 ","327,802"
55,ROCKLEIGH BORO,40.565493,-74.938931,1,"$575,000.00 ","575,000"
56,RUTHERFORD BORO,40.563654,-74.949409,185,"$79,195,763.00 ","428,085"
57,SADDLE BROOK TWP,40.563654,-74.949409,122,"$43,088,300.00 ","353,183"
58,SADDLE RIVER BORO,40.563654,-74.949409,34,"$55,986,000.00 ","1,646,647"
59,SO HACKENSACK TWP,40.430006,-74.417344,0,0,0
60,TEANECK TWP,40.500254,-74.4257,304,"$133,618,280.00 ","439,534"
61,TENAFLY BORO,40.500254,-74.4257,182,"$161,254,536.00 ","886,014"
62,TETERBORO BORO,40.500254,-74.4257,0,0,0
63,UPPER SADDLE RIV BORO,40.500254,-74.4257,94,"$91,036,382.00 ","968,472"
64,WALDWICK BORO,40.500254,-74.4257,115,"$49,702,940.00 ","432,199"
65,WALLINGTON BORO,40.500254,-74.4257,38,"$11,065,400.00 ","291,195"
66,WASHINGTON TWP,40.500254,-74.4257,102,"$50,365,175.00 ","493,776"
67,WESTWOOD BORO,40.500254,-74.4257,99,"$42,900,550.00 ","433,339"
68,WOODCLIFF LAKE BORO,40.500254,-74.4257,24,"$15,006,975.00 ","625,291"
69,WOOD RIDGE BORO,40.500254,-74.4257,69,"$24,212,625.00 ","350,908"
70,WYCKOFF TWP,40.500254,-74.4257,162,"$123,128,245.00 ","760,051"
1,BASS RIVER TWP,39.3643,-74.4229,6,"$1,726,500.00 ","287,750"
2,BEVERLY CITY,39.3643,-74.4229,8,"$1,130,286.00 ","141,286"
3,BORDENTOWN CITY,39.3643,-74.4229,32,"$6,561,700.00 ","205,053"
4,BORDENTOWN TWP,39.3643,-74.4229,104,"$27,482,999.00 ","264,260"
5,BURLINGTON CITY,40.912798,-74.41516,67,"$10,664,421.00 ","159,170"
6,BURLINGTON TWP,40.912798,-74.41516,153,"$38,524,815.00 ","251,796"
7,CHESTERFIELD TWP,40.912798,-74.41516,56,"$23,062,400.00 ","411,829"
8,CINNAMINSON TWP,40.912798,-74.41516,151,"$37,418,344.00 ","247,804"
9,DELANCO TWP,40.656302,-74.30371,32,"$7,432,250.00 ","232,258"
10,DELRAN TWP,40.656302,-74.30371,136,"$32,648,485.00 ","240,062"
11,EASTAMPTON TWP,40.770933,-74.20589,39,"$9,298,200.00 ","238,415"
12,EDGEWATER PARK TWP,40.830733,-73.97334,41,"$6,365,325.00 ","155,252"
13,EVESHAM TWP,40.830733,-73.97334,447,"$120,396,343.00 ","269,343"
14,FIELDSBORO BORO,40.816737,-74.00082,5,"$830,900.00 ","166,180"
15,FLORENCE TWP,40.816737,-74.00082,114,"$25,238,280.00 ","221,388"
16,HAINESPORT TWP,40.80495,-74.2047,59,"$17,987,230.00 ","304,868"
17,LUMBERTON TWP,41.007389,-74.04247,85,"$26,346,471.00 ","309,958"
18,MANSFIELD TWP,41.007389,-74.04247,109,"$31,634,138.00 ","290,221"
19,MAPLE SHADE TWP,41.007389,-74.04247,95,"$14,228,774.00 ","149,777"
20,MEDFORD TWP,41.007389,-74.04247,254,"$91,661,501.00 ","360,872"
21,MEDFORD LAKES BORO,41.007389,-74.04247,44,"$12,891,928.00 ","292,998"
22,MOORESTOWN TWP,41.007389,-74.04247,189,"$104,584,760.00 ","553,359"
23,MT HOLLY TWP,40.389428,-74.54329,76,"$12,704,000.00 ","167,158"
24,MT LAUREL TWP,40.389428,-74.54329,665,"$163,748,918.00 ","246,239"
25,NEW HANOVER TWP,40.389428,-74.54329,9,"$2,314,872.00 ","257,208"
26,NO HANOVER TWP,40.51057,-74.72472,17,"$5,760,250.00 ","338,838"
27,PALMYRA BORO,40.51057,-74.72472,89,"$12,928,150.00 ","145,260"
28,PEMBERTON BORO,40.51057,-74.72472,3,"$955,000.00 ","318,333"
29,PEMBERTON TWP,40.51057,-74.72472,138,"$23,138,446.00 ","167,670"
30,RIVERSIDE TWP,40.565493,-74.938931,57,"$8,197,480.00 ","143,815"
31,RIVERTON BORO,40.565493,-74.938931,27,"$7,730,400.00 ","286,311"
32,SHAMONG TWP,40.430006,-74.417344,47,"$16,100,795.00 ","342,570"
33,SOUTHAMPTON TWP,40.430006,-74.417344,138,"$29,455,237.00 ","213,444"
34,SPRINGFIELD TWP,40.39159,-74.39329,33,"$11,037,900.00 ","334,482"
35,TABERNACLE TWP,40.500254,-74.4257,48,"$15,569,700.00 ","324,369"
36,WASHINGTON TWP,40.500254,-74.4257,5,"$1,261,900.00 ","252,380"
37,WESTAMPTON TWP,40.500254,-74.4257,94,"$22,446,437.00 ","238,792"
38,WILLINGBORO TWP,40.500254,-74.4257,219,"$33,048,414.00 ","150,906"
39,WOODLAND TWP,40.500254,-74.4257,9,"$2,572,500.00 ","285,833"
40,WRIGHTSTOWN BORO,40.500254,-74.4257,2,"$465,000.00 ","232,500"
1,AUDUBON BORO,39.3643,-74.4229,89,"$17,599,627.00 ","197,749"
2,AUDUBON PARK BORO,39.3643,-74.4229,0,0,0
3,BARRINGTON BORO,39.3643,-74.4229,57,"$11,893,400.00 ","208,656"
4,BELLMAWR BORO,39.3643,-74.4229,55,"$8,397,889.00 ","152,689"
5,BERLIN BORO,39.3643,-74.4229,82,"$18,608,067.00 ","226,928"
6,BERLIN TWP,39.3643,-74.4229,9,"$1,775,300.00 ","197,256"
7,BROOKLAWN BORO,40.912798,-74.41516,15,"$1,700,300.00 ","113,353"
8,CAMDEN CITY,40.912798,-74.41516,126,"$8,511,869.00 ","67,555"
9,CHERRY HILL TWNSHP,40.912798,-74.41516,763,"$185,994,457.00 ","243,767"
10,CHESILHURST BORO,40.912798,-74.41516,3,"$387,553.00 ","129,184"
11,CLEMENTON BORO,40.912798,-74.41516,24,"$2,920,150.00 ","121,673"
12,COLLINGSWOOD BORO,40.912798,-74.41516,154,"$34,967,630.00 ","227,063"
13,GIBBSBORO BORO,40.879858,-74.10807,21,"$5,111,700.00 ","243,414"
14,GLOUCESTER CITY,40.80495,-74.2047,58,"$7,057,999.00 ","121,690"
15,GLOUCESTER TWP,40.80495,-74.2047,540,"$100,130,237.00 ","185,426"
16,HADDON TWP,40.80495,-74.2047,161,"$39,554,086.00 ","245,678"
17,HADDONFIELD BORO,40.80495,-74.2047,189,"$93,176,342.00 ","492,997"
18,HADDON HEIGHTS BORO,40.80495,-74.2047,102,"$27,670,800.00 ","271,282"
19,HI NELLA BORO,40.745951,-74.15509,1,"$160,000.00 ","160,000"
20,LAUREL SPRINGS BORO,40.744851,-74.03294,16,"$2,356,944.00 ","147,309"
21,LAWNSIDE BORO,40.744851,-74.03294,10,"$1,395,700.00 ","139,570"
22,LINDENWOLD BORO,41.007389,-74.04247,71,"$7,850,414.00 ","110,569"
23,MAGNOLIA BORO,41.007389,-74.04247,38,"$5,866,867.00 ","154,391"
24,MERCHANTVILLE BORO,41.007389,-74.04247,22,"$4,617,327.00 ","209,879"
25,MOUNT EPHRAIM BORO,41.007389,-74.04247,31,"$4,564,794.00 ","147,251"
26,OAKLYN BORO,40.51057,-74.72472,41,"$6,973,880.00 ","170,095"
27,PENNSAUKEN TWP,40.51057,-74.72472,181,"$25,757,850.00 ","142,309"
28,PINE HILL BORO,40.51057,-74.72472,70,"$9,941,125.00 ","142,016"
29,PINE VALLEY BORO,40.51057,-74.72472,0,0,0
30,RUNNEMEDE BORO,40.563654,-74.949409,58,"$8,978,750.00 ","154,806"
31,SOMERDALE BORO,40.430006,-74.417344,52,"$7,699,199.00 ","148,062"
32,STRATFORD BORO,40.39159,-74.39329,47,"$7,259,000.00 ","154,447"
33,TAVISTOCK BORO,40.500254,-74.4257,0,0,0
34,VOORHEES TWP,40.500254,-74.4257,288,"$82,503,729.00 ","286,471"
35,WATERFORD TWP,40.500254,-74.4257,75,"$14,454,700.00 ","192,729"
36,WINSLOW TWP,40.500254,-74.4257,252,"$48,500,056.00 ","192,461"
37,WOODLYNNE BORO,40.500254,-74.4257,4,"$243,661.00 ","60,915"
1,AVALON BORO,39.3643,-74.4229,192,"$244,270,024.00 ","1,272,240"
2,CAPE MAY CITY,40.912798,-74.41516,145,"$76,237,590.00 ","525,776"
3,CAPE MAY POINT BORO,40.912798,-74.41516,8,"$5,729,525.00 ","716,191"
4,DENNIS TWP,40.656302,-74.30371,49,"$12,004,000.00 ","244,980"
5,LOWER TWP,41.007389,-74.04247,391,"$107,966,195.00 ","276,128"
6,MIDDLE TWP,41.007389,-74.04247,192,"$51,474,724.00 ","268,098"
7,NORTH WILDWOOD CITY,40.51057,-74.72472,127,"$35,318,950.00 ","278,102"
8,OCEAN CITY CITY,40.51057,-74.72472,629,"$362,573,975.00 ","576,429"
9,SEA ISLE CITY CITY,40.430006,-74.417344,115,"$74,990,982.00 ","652,095"
10,STONE HARBOR BORO,40.39159,-74.39329,96,"$125,871,850.00 ","1,311,165"
11,UPPER TWP,40.500254,-74.4257,120,"$44,044,909.00 ","367,041"
12,WEST CAPE MAY BORO,40.500254,-74.4257,24,"$11,524,750.00 ","480,198"
13,WEST WILDWOOD BORO,40.500254,-74.4257,8,"$2,018,000.00 ","252,250"
14,WILDWOOD CITY,40.500254,-74.4257,181,"$38,011,396.00 ","210,008"
15,WILDWOOD CREST BORO,40.500254,-74.4257,188,"$64,789,211.00 ","344,623"
16,WOODBINE BORO,40.500254,-74.4257,2,"$495,000.00 ","247,500"
1,BRIDGETON CITY,39.3643,-74.4229,49,"$3,850,150.00 ","78,574"
2,COMMERCIAL TWP,40.912798,-74.41516,13,"$1,592,500.00 ","122,500"
3,DEERFIELD TWP,40.656302,-74.30371,10,"$1,577,000.00 ","157,700"
4,DOWNE TWP,40.656302,-74.30371,2,"$400,500.00 ","200,250"
5,FAIRFIELD TWP,40.830733,-73.97334,9,"$1,495,900.00 ","166,211"
6,GREENWICH TWP,40.80495,-74.2047,8,"$1,634,000.00 ","204,250"
7,HOPEWELL TWP,40.745951,-74.15509,25,"$4,404,950.00 ","176,198"
8,LAWRENCE TWP,40.744851,-74.03294,18,"$3,278,700.00 ","182,150"
9,MAURICE RIVER TWP,41.007389,-74.04247,11,"$1,849,000.00 ","168,091"
10,MILLVILLE CITY,41.007389,-74.04247,166,"$24,424,627.00 ","147,136"
11,SHILOH BORO,40.430006,-74.417344,3,"$448,600.00 ","149,533"
12,STOW CREEK TWP,40.39159,-74.39329,8,"$1,371,000.00 ","171,375"
13,UPPER DEERFIELD TWP,40.500254,-74.4257,46,"$7,563,300.00 ","164,420"
14,VINELAND CITY,40.500254,-74.4257,336,"$58,594,440.00 ","174,388"
1,BELLEVILLE TWP,39.3643,-74.4229,171,"$43,632,946.00 ","255,163"
2,BLOOMFIELD TWP,39.3643,-74.4229,327,"$97,609,419.00 ","298,500"
3,CALDWELL BORO TWP,40.912798,-74.41516,90,"$38,254,200.00 ","425,047"
4,CEDAR GROVE TWP,40.912798,-74.41516,120,"$54,171,455.00 ","451,429"
5,EAST ORANGE CITY,40.656302,-74.30371,121,"$20,466,160.00 ","169,142"
6,ESSEX FELLS TWP,40.830733,-73.97334,42,"$35,812,636.00 ","852,682"
7,FAIRFIELD TWP,40.830733,-73.97334,57,"$27,695,800.00 ","485,891"
8,GLEN RIDGE BORO,40.879858,-74.10807,84,"$57,473,250.00 ","684,205"
9,IRVINGTON TWP,40.745951,-74.15509,58,"$8,591,100.00 ","148,122"
10,LIVINGSTON TWP,41.007389,-74.04247,378,"$253,617,833.00 ","670,947"
11,MAPLEWOOD TWP,41.007389,-74.04247,240,"$142,000,974.00 ","591,671"
12,MILLBURN TWP,41.007389,-74.04247,298,"$393,291,882.00 ","1,319,771"
13,MONTCLAIR TWP,41.007389,-74.04247,354,"$227,974,161.00 ","643,995"
14,NEWARK CITY,40.51057,-74.72472,791,"$172,816,850.00 ","218,479"
15,NORTH CALDWELL TWP,40.51057,-74.72472,68,"$45,172,553.00 ","664,302"
16,NUTLEY TWP,40.51057,-74.72472,202,"$74,482,745.00 ","368,726"
17,ORANGE CITY TWP,40.51057,-74.72472,30,"$7,447,007.00 ","248,234"
18,ROSELAND BORO,40.565493,-74.938931,46,"$24,277,325.00 ","527,768"
19,SOUTH ORANGE VILLAGE TW,40.430006,-74.417344,239,"$150,099,350.00 ","628,031"
20,VERONA TWP,40.500254,-74.4257,169,"$72,389,140.00 ","428,338"
21,WEST CALDWELL TWP,40.500254,-74.4257,100,"$47,021,600.00 ","470,216"
22,WEST ORANGE TWP,40.500254,-74.4257,457,"$179,739,235.00 ","393,302"
1,CLAYTON BORO,40.912798,-74.41516,65,"$10,906,430.00 ","167,791"
2,DEPTFORD TWP,40.656302,-74.30371,235,"$45,683,694.00 ","194,399"
3,EAST GREENWICH TWP,40.656302,-74.30371,116,"$36,263,217.00 ","312,614"
4,ELK TWP,40.830733,-73.97334,25,"$6,750,814.00 ","270,033"
5,FRANKLIN TWP,40.849879,-73.97501,90,"$19,144,562.00 ","212,717"
6,GLASSBORO BORO,40.879858,-74.10807,152,"$26,983,242.00 ","177,521"
7,GREENWICH TWP,40.80495,-74.2047,36,"$6,354,942.00 ","176,526"
8,HARRISON TWP,40.80495,-74.2047,138,"$46,001,538.00 ","333,344"
9,LOGAN TWP,41.007389,-74.04247,67,"$14,860,799.00 ","221,803"
10,MANTUA TWP,41.007389,-74.04247,152,"$33,262,971.00 ","218,835"
11,MONROE TWP,41.007389,-74.04247,261,"$54,522,190.00 ","208,897"
12,NATIONAL PARK BORO,40.389428,-74.54329,29,"$4,326,101.00 ","149,176"
13,NEWFIELD BORO,40.51057,-74.72472,18,"$3,023,980.00 ","167,999"
14,PAULSBORO BORO,40.51057,-74.72472,17,"$2,105,750.00 ","123,868"
15,PITMAN BORO,40.51057,-74.72472,84,"$15,155,380.00 ","180,421"
16,SO HARRISON TWP,40.430006,-74.417344,19,"$6,881,450.00 ","362,182"
17,SWEDESBORO BORO,40.500254,-74.4257,21,"$3,879,300.00 ","184,729"
18,WASHINGTON TWP,40.500254,-74.4257,475,"$107,643,789.00 ","226,619"
19,WENONAH BORO,40.500254,-74.4257,20,"$4,802,300.00 ","240,115"
20,WEST DEPTFORD TWP,40.500254,-74.4257,188,"$38,086,317.00 ","202,587"
21,WESTVILLE BORO,40.500254,-74.4257,21,"$2,567,200.00 ","122,248"
22,WOODBURY CITY,40.500254,-74.4257,57,"$8,723,300.00 ","153,040"
23,WOODBURY HEIGHTS BORO,40.500254,-74.4257,28,"$5,745,700.00 ","205,204"
24,WOOLWICH TWP,40.500254,-74.4257,105,"$34,022,490.00 ","324,024"
1,BAYONNE CITY,39.3643,-74.4229,353,"$105,907,272.00 ","300,021"
2,EAST NEWARK BORO,40.656302,-74.30371,9,"$2,077,900.00 ","230,878"
3,GUTTENBERG TOWN,40.80495,-74.2047,123,"$38,702,350.00 ","314,653"
4,HARRISON TOWN,40.80495,-74.2047,70,"$24,638,318.00 ","351,976"
5,HOBOKEN CITY,40.745951,-74.15509,"1,013","$743,286,005.00 ","733,747"
6,JERSEY CITY CITY,40.745951,-74.15509,"1,811","$704,436,347.00 ","388,976"
7,KEARNY TOWN,40.745951,-74.15509,120,"$37,186,899.00 ","309,891"
8,NORTH BERGEN TWP,40.51057,-74.72472,353,"$118,730,677.00 ","336,348"
9,SECAUCUS TOWN,40.430006,-74.417344,168,"$67,819,498.00 ","403,687"
10,UNION CITY CITY,40.500254,-74.4257,218,"$65,991,039.00 ","302,711"
11,WEEHAWKEN TWP,40.500254,-74.4257,150,"$132,318,010.00 ","882,120"
12,WEST NEW YORK TOWN,40.500254,-74.4257,138,"$45,752,289.00 ","331,538"
1,ALEXANDRIA TWP,39.4285,-74.4957,32,"$14,516,650.00 ","453,645"
2,BETHLEHEM TWP,39.3643,-74.4229,34,"$12,825,400.00 ","377,218"
3,BLOOMSBURY BORO,39.3643,-74.4229,1,"$200,000.00 ","200,000"
4,CALIFON BORO,40.912798,-74.41516,13,"$4,212,500.00 ","324,038"
5,CLINTON TOWN,40.912798,-74.41516,5,"$1,821,900.00 ","364,380"
6,CLINTON TWP,40.912798,-74.41516,138,"$56,689,432.00 ","410,793"
7,DELAWARE TWP,40.656302,-74.30371,22,"$8,655,600.00 ","393,436"
