,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,180,"30,983,367","172,130"
2,ATLANTIC CITY CITY,39.3643,-74.4229,685,"91,854,102","134,094"
3,BRIGANTINE CITY,40.912798,-74.41516,556,"183,922,550","330,796"
4,BUENA BORO,40.912798,-74.41516,45,"5,148,125","114,403"
5,BUENA VISTA TWP,40.912798,-74.41516,33,"5,109,183","154,824"
6,CORBIN CITY CITY,40.879699,-74.14263,0,0,N/A
7,EGG HARBOR CITY,40.830733,-73.97334,70,"9,079,102","129,701"
8,EGG HARBOR TWP,40.830733,-73.97334,697,"126,730,667","181,823"
9,ESTELL MANOR CITY,40.827499,-74.28091,17,"3,291,277","193,605"
10,FOLSOM BORO,40.641852,-74.38533,21,"3,378,300","160,871"
11,GALLOWAY TWP,40.849879,-73.97501,881,"135,539,257","153,847"
12,HAMILTON TWP,40.80495,-74.2047,519,"72,935,743","140,531"
13,HAMMONTON TOWN,40.80495,-74.2047,129,"19,034,550","147,555"
14,LINWOOD CITY,41.007389,-74.04247,152,"43,929,900","289,013"
15,LONGPORT BORO,40.788599,-74.78295,82,"53,541,850","652,949"
16,MARGATE CITY CITY,40.502477,-74.650023,359,"123,624,035","344,357"
17,MULLICA TWP,40.389428,-74.54329,68,"9,928,700","146,010"
18,NORTHFIELD CITY,40.51057,-74.72472,154,"31,095,450","201,919"
19,PLEASANTVILLE CITY,40.583035,-74.96224,334,"35,785,443","107,142"
20,PORT REPUBLIC CITY,40.583035,-74.96224,15,"3,918,500","261,233"
21,SOMERS POINT CITY,40.430006,-74.417344,220,"47,475,701","215,799"
22,VENTNOR CITY,40.500254,-74.4257,474,"127,274,700","268,512"
23,WEYMOUTH TWP,40.500254,-74.4257,6,"685,980","114,330"
1,ALLENDALE BORO,41.0415,-74.129,90,"55,272,102","614,134"
2,ALPINE BORO,40.9559,-73.9312,17,"32,170,000","1,892,353"
3,BERGENFIELD BORO,40.666552,-74.11768,420,"135,019,340","321,475"
4,BOGOTA BORO,40.803,-74.18895,141,"44,046,724","312,388"
5,CARLSTADT BORO,40.848999,-74.27917,33,"11,216,500","339,894"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,135,"55,459,170","410,809"
7,CLOSTER BORO,40.879699,-74.14263,143,"88,362,800","617,922"
8,CRESSKILL BORO,40.656302,-74.30371,32,"21,528,400","672,763"
9,DEMAREST BORO,40.656302,-74.30371,70,"45,321,400","647,449"
10,DUMONT BORO,40.656302,-74.30371,218,"71,913,449","329,878"
11,ELMWOOD PARK BORO,40.830733,-73.97334,210,"69,128,240","329,182"
12,E RUTHERFORD BORO,40.770933,-74.20589,73,"21,225,800","290,764"
13,EDGEWATER BORO,40.830733,-73.97334,293,"117,730,613","401,811"
14,EMERSON BORO,40.830733,-73.97334,80,"32,721,587","409,020"
15,ENGLEWOOD CITY,40.830733,-73.97334,406,"167,407,601","412,334"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,86,"78,409,900","911,743"
17,FAIRLAWN BORO,40.827499,-74.28091,398,"137,997,070","346,726"
18,FAIRVIEW BORO,40.816737,-74.00082,133,"44,897,100","337,572"
19,FORT LEE BORO,40.849879,-73.97501,235,"98,539,500","419,317"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,157,"142,398,575","906,997"
21,GARFIELD CITY,40.879858,-74.10807,272,"80,318,332","295,288"
22,GLEN ROCK BORO,40.80495,-74.2047,166,"86,124,100","518,820"
23,HACKENSACK CITY,40.80495,-74.2047,654,"159,057,087","243,207"
24,HARRINGTON PARK BORO,40.80495,-74.2047,65,"34,734,877","534,383"
25,HASBROUCK HGHTS BORO,40.745951,-74.15509,119,"43,129,226","362,430"
26,HAWORTH BORO,40.745951,-74.15509,15,"9,575,000","638,333"
27,HILLSDALE BORO,40.745951,-74.15509,133,"60,764,623","456,877"
28,HOHOKUS BORO,40.744851,-74.03294,62,"46,958,425","757,394"
29,LEONIA BORO,41.007389,-74.04247,153,"65,850,990","430,399"
30,LITTLE FERRY BORO,40.850621,-74.04112,140,"42,188,157","301,344"
31,LODI BORO,40.877999,-74.08265,65,"20,976,970","322,723"
32,LYNDHURST TWP,40.788599,-74.78295,179,"58,599,500","327,372"
33,MAHWAH TWP,40.788599,-74.78295,587,"269,042,691","458,335"
34,MAYWOOD BORO,40.502477,-74.650023,120,"41,539,800","346,165"
35,MIDLAND PARK BORO,40.574552,-74.50187,118,"46,660,515","395,428"
36,MONTVALE BORO,40.389428,-74.54329,96,"49,077,099","511,220"
37,MOONACHIE BORO,40.389428,-74.54329,17,"5,403,610","317,859"
38,NEW MILFORD BORO,40.51057,-74.72472,179,"65,025,770","363,272"
39,NORTH ARLINGTON BORO,40.51057,-74.72472,132,"41,573,858","314,953"
40,NORTHVALE BORO,40.51057,-74.72472,56,"24,059,375","429,632"
41,NORWOOD BORO,40.51057,-74.72472,77,"47,439,400","616,096"
42,OAKLAND BORO,40.51057,-74.72472,216,"97,581,978","451,768"
43,OLD TAPPAN BORO,40.51057,-74.72472,102,"76,837,900","753,313"
44,ORADELL BORO,40.681694,-74.73624,109,"55,132,475","505,803"
45,PALISADES PARK BORO,40.681694,-74.73624,300,"129,411,855","431,373"
46,PARAMUS BORO,40.681694,-74.73624,98,"50,563,600","515,955"
47,PARK RIDGE BORO,40.681694,-74.73624,39,"21,293,525","545,988"
48,RAMSEY BORO,40.565493,-74.938931,282,"127,211,688","451,105"
49,RIDGEFIELD BORO,40.563654,-74.949409,117,"50,426,900","430,999"
50,RIDGEFIELD PARK VILLAGE,40.563654,-74.949409,147,"45,479,700","309,386"
51,RIDGEWOOD VILLAGE,40.563654,-74.949409,409,"270,657,801","661,755"
52,RIVEREDGE BORO,40.563654,-74.949409,143,"57,595,204","402,764"
53,RIVERVALE TWP,40.563654,-74.949409,118,"62,391,151","528,739"
54,ROCHELLE PARK TWP,40.563654,-74.949409,52,"16,887,150","324,753"
55,ROCKLEIGH BORO,40.563654,-74.949409,1,"2,300,000","2,300,000"
56,RUTHERFORD BORO,40.563654,-74.949409,206,"71,741,900","348,262"
57,SADDLE BROOK TWP,40.563654,-74.949409,133,"44,555,876","335,007"
58,SADDLE RIVER BORO,40.563654,-74.949409,62,"101,792,381","1,641,813"
59,SO HACKENSACK TWP,40.553803,-74.52976,15,"5,287,690","352,513"
60,TEANECK TWP,40.500254,-74.4257,566,"196,826,896","347,751"
61,TENAFLY BORO,40.500254,-74.4257,189,"123,563,150","653,773"
62,TETERBORO BORO,40.500254,-74.4257,0,0,N/A
63,UPPER SADDLE RIV BORO,40.500254,-74.4257,111,"97,824,350","881,300"
