2002 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
01,ATLANTIC COUNTY,,,
01,ABSECON CITY,133,"17,455,450","131,244"
02,ATLANTIC CITY CITY,496,"49,255,155","99,305"
03,BRIGANTINE CITY,526,"110,576,337","210,221"
04,BUENA BORO,28,"2,928,383","104,585"
05,BUENA VISTA TWP,31,"3,127,100","100,874"
06,CORBIN CITY CITY,3,"199,900","66,633"
07,EGG HARBOR CITY,52,"4,924,080","94,694"
08,EGG HARBOR TWP,496,"63,276,419","127,573"
09,ESTELL MANOR CITY,16,"2,219,950","138,747"
10,FOLSOM BORO,15,"1,697,400","113,160"
11,GALLOWAY TWP,735,"77,466,942","105,397"
12,HAMILTON TWP,416,"40,842,625","98,179"
13,HAMMONTON TOWN,125,"14,448,714","115,590"
14,LINWOOD CITY,148,"35,156,750","237,546"
15,LONGPORT BORO,35,"17,617,750","503,364"
16,MARGATE CITY CITY,314,"75,770,425","241,307"
17,MULLICA TWP,60,"7,899,730","131,662"
18,NORTHFIELD CITY,113,"16,757,700","148,298"
19,PLEASANTVILLE CITY,202,"16,530,009","81,832"
20,PORT REPUBLIC CITY,13,"1,973,400","151,800"
21,SOMERS POINT CITY,208,"34,538,120","166,049"
22,VENTNOR CITY,449,"76,744,412","170,923"
23,WEYMOUTH TWP,23,"3,209,200","139,530"
,ATLANTIC COUNTY,"4,637","674,615,951","145,485"
,,,,
02,BERGEN COUNTY,,,
01,ALLENDALE BORO,27,"13,082,900","484,552"
02,ALPINE BORO,29,"49,340,500","1,701,397"
03,BERGENFIELD BORO,375,"92,782,750","247,421"
04,BOGOTA BORO,43,"10,348,000","240,651"
05,CARLSTADT BORO,49,"12,916,749","263,607"
06,CLIFFSIDE PARK BORO,362,"107,227,705","296,209"
07,CLOSTER BORO,127,"60,370,200","475,356"
08,CRESSKILL BORO,125,"62,974,912","503,799"
09,DEMAREST BORO,61,"32,275,400","529,105"
10,DUMONT BORO,202,"52,926,800","262,014"
11,ELMWOOD PARK BORO,201,"49,873,327","248,126"
12,E RUTHERFORD BORO,81,"17,670,300","218,152"
13,EDGEWATER BORO,259,"78,641,440","303,635"
14,EMERSON BORO,111,"36,332,100","327,316"
15,ENGLEWOOD CITY,378,"122,400,550","323,811"
16,ENGLEWOOD CLIFFS BORO,26,"18,380,000","706,923"
17,FAIRLAWN BORO,370,"99,989,244","270,241"
18,FAIRVIEW BORO,133,"33,127,160","249,076"
19,FORT LEE BORO,497,"164,429,378","330,844"
20,FRANKLIN LAKES BORO,167,"134,279,350","804,068"
21,GARFIELD CITY,262,"54,283,173","207,188"
22,GLEN ROCK BORO,179,"72,118,800","402,898"
23,HACKENSACK CITY,610,"113,149,022","185,490"
24,HARRINGTON PARK BORO,52,"23,020,062","442,694"
25,HASBROUCK HGHTS BORO,116,"31,630,918","272,680"
26,HAWORTH BORO,52,"24,418,800","469,592"
27,HILLSDALE BORO,140,"48,728,400","348,060"
28,HOHOKUS BORO,75,"44,574,500","594,327"
29,LEONIA BORO,144,"50,681,301","351,953"
30,LITTLE FERRY BORO,128,"27,261,700","212,982"
31,LODI BORO,204,"44,747,990","219,353"
32,LYNDHURST TWP,194,"45,558,305","234,837"
33,MAHWAH TWP,598,"219,553,031","367,146"
34,MAYWOOD BORO,101,"26,652,297","263,884"
35,MIDLAND PARK BORO,32,"11,034,400","344,825"
36,MONTVALE BORO,105,"44,116,055","420,153"
37,MOONACHIE BORO,25,"6,668,300","266,732"
38,NEW MILFORD BORO,167,"46,581,775","278,933"
39,NORTH ARLINGTON BORO,147,"36,445,570","247,929"
40,NORTHVALE BORO,64,"21,715,100","339,298"
41,NORWOOD BORO,79,"43,655,308","552,599"
42,OAKLAND BORO,179,"60,437,968","337,642"
43,OLD TAPPAN BORO,21,"13,804,130","657,340"
44,ORADELL BORO,99,"39,525,650","399,249"
45,PALISADES PARK BORO,250,"85,885,981","343,544"
46,PARAMUS BORO,245,"95,558,750","390,036"
47,PARK RIDGE BORO,133,"53,998,177","406,001"
48,RAMSEY BORO,291,"109,230,457","375,362"
49,RIDGEFIELD BORO,122,"38,545,061","315,943"
50,RIDGEFIELD PARK VILLAGE,49,"11,204,430","228,662"
51,RIDGEWOOD VILLAGE,395,"215,739,348","546,176"
52,RIVEREDGE BORO,133,"43,164,550","324,545"
53,RIVERVALE TWP,134,"58,623,750","437,491"
54,ROCHELLE PARK TWP,27,"7,297,800","270,289"
55,ROCKLEIGH BORO,5,"8,645,000","1,729,000"
56,RUTHERFORD BORO,239,"61,058,028","255,473"
57,SADDLE BROOK TWP,156,"40,652,590","260,594"
58,SADDLE RIVER BORO,27,"38,370,000","1,421,111"
59,SO HACKENSACK TWP,20,"6,102,200","305,110"
60,TEANECK TWP,522,"146,390,132","280,441"
61,TENAFLY BORO,192,"104,336,337","543,418"
62,TETERBORO BORO,0,0,N/A
63,UPPER SADDLE RIV BORO,38,"28,235,100","743,029"
64,WALDWICK BORO,141,"41,523,140","294,490"
65,WALLINGTON BORO,62,"14,274,973","230,242"
66,WASHINGTON TWP,149,"58,483,800","392,509"
67,WESTWOOD BORO,142,"45,174,750","318,132"
68,WOODCLIFF LAKE BORO,65,"36,691,775","564,489"
69,WOOD RIDGE BORO,47,"11,685,550","248,629"
70,WYCKOFF TWP,236,"122,700,950","519,919"
,BERGEN COUNTY,"11,216","3,883,303,949","346,229"
,,,,
03,BURLINGTON COUNTY,,,
01,BASS RIVER TWP,10,"1,097,500","109,750"
02,BEVERLY CITY,36,"3,548,333","98,565"
03,BORDENTOWN CITY,44,"4,620,254","105,006"
04,BORDENTOWN TWP,138,"24,077,050","174,471"
05,BURLINGTON CITY,110,"11,292,712","102,661"
06,BURLINGTON TWP,296,"54,169,702","183,006"
07,CHESTERFIELD TWP,28,"7,133,100","254,754"
08,CINNAMINSON TWP,176,"31,023,265","176,269"
09,DELANCO TWP,54,"6,500,970","120,388"
10,DELRAN TWP,194,"30,077,639","155,039"
11,EASTAMPTON TWP,64,"10,411,600","162,681"
12,EDGEWATER PARK TWP,107,"12,350,246","115,423"
13,EVESHAM TWP,874,"144,656,696","165,511"
14,FIELDSBORO BORO,16,"1,971,300","123,206"
15,FLORENCE TWP,220,"28,733,105","130,605"
16,HAINESPORT TWP,51,"8,990,127","176,277"
17,LUMBERTON TWP,153,"24,557,525","160,507"
18,MANSFIELD TWP,78,"16,251,571","208,353"
19,MAPLE SHADE TWP,216,"22,578,234","104,529"
20,MEDFORD TWP,425,"98,670,345","232,166"
21,MEDFORD LAKES BORO,89,"17,266,550","194,006"
22,MOORESTOWN TWP,320,"106,029,355","331,342"
23,MT HOLLY TWP,151,"16,111,249","106,697"
24,MT LAUREL TWP,"1,094","169,785,238","155,197"
25,NEW HANOVER TWP,12,"1,762,100","146,842"
26,NO HANOVER TWP,8,"1,210,400","151,300"
27,PALMYRA BORO,144,"16,576,890","115,117"
28,PEMBERTON BORO,6,"660,100","110,017"
29,PEMBERTON TWP,271,"27,797,490","102,574"
30,RIVERSIDE TWP,94,"9,992,649","106,305"
31,RIVERTON BORO,42,"6,929,900","164,998"
32,SHAMONG TWP,94,"22,026,109","234,320"
33,SOUTHAMPTON TWP,204,"26,930,421","132,012"
34,SPRINGFIELD TWP,25,"5,537,650","221,506"
35,TABERNACLE TWP,102,"21,894,451","214,651"
36,WASHINGTON TWP,8,"1,239,000","154,875"
37,WESTAMPTON TWP,145,"21,243,582","146,507"
38,WILLINGBORO TWP,389,"43,110,119","110,823"
39,WOODLAND TWP,7,"1,230,700","175,814"
40,WRIGHTSTOWN BORO,3,"262,900","87,633"
,BURLINGTON COUNTY,"6,498","1,060,308,127","163,175"
,,,,
04,CAMDEN COUNTY,,,
01,AUDUBON BORO,125,"14,901,075","119,209"
02,AUDUBON PARK BORO,0,0,N/A
03,BARRINGTON BORO,77,"9,767,699","126,853"
04,BELLMAWR BORO,95,"9,564,739","100,681"
05,BERLIN BORO,87,"12,350,900","141,964"
06,BERLIN TWP,46,"5,033,800","109,430"
07,BROOKLAWN BORO,25,"1,984,635","79,385"
08,CAMDEN CITY,396,"15,539,528","39,241"
09,CHERRY HILL TWNSHP,890,"150,227,531","168,795"
10,CHESILHURST BORO,9,"839,150","93,239"
11,CLEMENTON BORO,69,"5,730,426","83,050"
12,COLLINGSWOOD BORO,213,"23,385,286","109,790"
13,GIBBSBORO BORO,16,"2,292,300","143,269"
14,GLOUCESTER CITY,119,"8,265,850","69,461"
15,GLOUCESTER TWP,853,"107,803,340","126,381"
16,HADDON TWP,200,"26,983,715","134,919"
17,HADDONFIELD BORO,198,"58,693,062","296,430"
18,HADDON HEIGHTS BORO,102,"16,276,220","159,571"
19,HI NELLA BORO,6,"716,000","119,333"
20,LAUREL SPRINGS BORO,25,"2,921,400","116,856"
21,LAWNSIDE BORO,12,"1,235,900","102,992"
22,LINDENWOLD BORO,189,"15,065,676","79,713"
23,MAGNOLIA BORO,52,"4,872,999","93,712"
24,MERCHANTVILLE BORO,61,"7,371,500","120,844"
25,MOUNT EPHRAIM BORO,61,"5,957,499","97,664"
26,OAKLYN BORO,73,"7,884,200","108,003"
27,PENNSAUKEN TWP,481,"47,565,921","98,890"
28,PINE HILL BORO,137,"13,121,682","95,779"
29,PINE VALLEY BORO,0,0,N/A
30,RUNNEMEDE BORO,82,"8,830,223","107,686"
31,SOMERDALE BORO,65,"6,458,368","99,360"
32,STRATFORD BORO,64,"7,432,450","116,132"
33,TAVISTOCK BORO,0,0,N/A
34,VOORHEES TWP,494,"94,651,021","191,601"
35,WATERFORD TWP,137,"17,165,820","125,298"
36,WINSLOW TWP,595,"71,847,122","120,751"
37,WOODLYNNE BORO,36,"2,192,520","60,903"
,CAMDEN COUNTY,"6,090","784,929,557","128,888"
,,,,
05,CAPE MAY COUNTY,,,
01,AVALON BORO,271,"179,241,426","661,407"
02,CAPE MAY CITY,120,"43,858,700","365,489"
03,CAPE MAY POINT BORO,8,"5,373,500","671,688"
04,DENNIS TWP,76,"12,648,111","166,423"
05,LOWER TWP,647,"85,630,678","132,350"
06,MIDDLE TWP,238,"32,723,030","137,492"
07,NORTH WILDWOOD CITY,343,"50,131,913","146,157"
08,OCEAN CITY CITY,"1,039","356,802,626","343,410"
09,SEA ISLE CITY CITY,277,"102,503,650","370,049"
10,STONE HARBOR BORO,112,"75,736,523","676,219"
11,UPPER TWP,163,"30,316,735","185,992"
12,WEST CAPE MAY BORO,24,"5,719,406","238,309"
13,WEST WILDWOOD BORO,35,"4,168,848","119,110"
14,WILDWOOD CITY,256,"27,127,868","105,968"
15,WILDWOOD CREST BORO,189,"31,325,926","165,746"
16,WOODBINE BORO,6,"791,200","131,867"
,CAPE MAY COUNTY,"3,804","1,044,100,140","274,474"
,,,,
06,CUMBERLAND COUNTY,,,
01,BRIDGETON CITY,92,"6,814,350","74,069"
02,COMMERCIAL TWP,40,"2,204,170","55,104"
03,DEERFIELD TWP,14,"1,307,500","93,393"
04,DOWNE TWP,30,"2,170,570","72,352"
05,FAIRFIELD TWP,16,"1,356,350","84,772"
06,GREENWICH TWP,7,"571,000","81,571"
07,HOPEWELL TWP,28,"3,284,600","117,307"
08,LAWRENCE TWP,13,"1,297,600","99,815"
09,MAURICE RIVER TWP,19,"1,740,800","91,621"
10,MILLVILLE CITY,239,"21,967,867","91,916"
11,SHILOH BORO,1,"80,000","80,000"
12,STOW CREEK TWP,4,"436,000","109,000"
13,UPPER DEERFIELD TWP,55,"6,621,330","120,388"
14,VINELAND CITY,493,"52,696,404","106,889"
,CUMBERLAND COUNTY,"1,051","102,548,541","97,572"
,,,,
07,ESSEX COUNTY,,,
01,BELLEVILLE TWP,519,"90,680,516","174,722"
02,BLOOMFIELD TWP,620,"125,295,599","202,090"
03,CALDWELL BORO TWP,115,"33,674,776","292,824"
04,CEDAR GROVE TWP,137,"48,079,150","350,943"
05,EAST ORANGE CITY,341,"43,221,453","126,749"
06,ESSEX FELLS TWP,46,"29,962,000","651,348"
07,FAIRFIELD TWP,94,"33,825,350","359,844"
08,GLEN RIDGE BORO,138,"56,777,574","411,432"
09,IRVINGTON TWP,397,"50,590,216","127,431"
10,LIVINGSTON TWP,361,"151,789,310","420,469"
11,MAPLEWOOD TWP,444,"146,720,880","330,452"
12,MILLBURN TWP,106,"82,560,928","778,877"
13,MONTCLAIR TWP,434,"173,841,622","400,557"
14,NEWARK CITY,"1,379","211,621,424","153,460"
15,NORTH CALDWELL TWP,105,"52,856,500","503,395"
16,NUTLEY TWP,329,"80,693,274","245,268"
17,ORANGE CITY TWP,223,"28,936,230","129,759"
18,ROSELAND BORO,82,"30,528,023","372,293"
19,SOUTH ORANGE VILLAGE TW,249,"90,691,800","364,224"
20,VERONA TWP,264,"74,051,402","280,498"
21,WEST CALDWELL TWP,128,"40,457,332","316,073"
22,WEST ORANGE TWP,784,"217,509,398","277,435"
 ,ESSEX COUNTY,"7,295","1,894,364,757","259,680"
,,,,
08,GLOUCESTER COUNTY,,,
01,CLAYTON BORO,65,"7,236,300","111,328"
02,DEPTFORD TWP,244,"28,349,373","116,186"
03,EAST GREENWICH TWP,63,"10,617,050","168,525"
04,ELK TWP,18,"2,299,400","127,744"
05,FRANKLIN TWP,116,"14,829,257","127,838"
06,GLASSBORO BORO,203,"24,597,790","121,171"
07,GREENWICH TWP,62,"7,186,750","115,915"
08,HARRISON TWP,115,"22,254,238","193,515"
09,LOGAN TWP,122,"15,921,350","130,503"
10,MANTUA TWP,245,"31,450,075","128,368"
11,MONROE TWP,311,"42,553,197","136,827"
12,NATIONAL PARK BORO,31,"3,084,740","99,508"
13,NEWFIELD BORO,14,"1,583,800","113,129"
14,PAULSBORO BORO,41,"3,012,500","73,476"
15,PITMAN BORO,124,"14,194,800","114,474"
16,SO HARRISON TWP,28,"7,401,300","264,332"
17,SWEDESBORO BORO,35,"3,756,800","107,337"
18,WASHINGTON TWP,761,"110,050,191","144,613"
19,WENONAH BORO,47,"8,457,950","179,956"
20,WEST DEPTFORD TWP,248,"31,386,940","126,560"
21,WESTVILLE BORO,47,"3,872,299","82,389"
22,WOODBURY CITY,144,"15,877,125","110,258"
23,WOODBURY HEIGHTS BORO,24,"3,059,000","127,458"
24,WOOLWICH TWP,37,"8,283,655","223,883"
,GLOUCESTER COUNTY,"3,145","421,315,880","133,964"
,,,,
09,HUDSON COUNTY,,,
01,BAYONNE CITY,430,"89,235,550","207,525"
02,EAST NEWARK BORO,15,"2,716,800","181,120"
03,GUTTENBERG TOWN,152,"37,820,480","248,819"
04,HARRISON TOWN,103,"19,142,745","185,852"
05,HOBOKEN CITY,678,"218,707,853","322,578"
06,JERSEY CITY CITY,"1,907","338,281,390","177,389"
07,KEARNY TOWN,301,"60,633,380","201,440"
08,NORTH BERGEN TWP,588,"117,565,917","199,942"
09,SECAUCUS TOWN,235,"54,035,421","229,938"
10,UNION CITY CITY,290,"52,800,593","182,071"
11,WEEHAWKEN TWP,93,"32,324,100","347,571"
12,WEST NEW YORK TOWN,217,"41,018,540","189,026"
,HUDSON COUNTY,"5,009","1,064,282,769","212,474"
,,,,
10,HUNTERDON COUNTY,,,
01,ALEXANDRIA TWP,47,"15,715,050","334,363"
02,BETHLEHEM TWP,38,"12,881,850","338,996"
03,BLOOMSBURY BORO,22,"4,943,800","224,718"
04,CALIFON BORO,19,"5,299,300","278,911"
05,CLINTON TOWN,20,"5,618,753","280,938"
06,CLINTON TWP,98,"31,018,350","316,514"
07,DELAWARE TWP,10,"5,544,000","554,400"
08,EAST AMWELL TWP,45,"13,984,900","310,776"
09,FLEMINGTON BORO,23,"5,093,800","221,470"
10,FRANKLIN TWP,35,"11,706,350","334,467"
11,FRENCHTOWN BORO,24,"6,025,700","251,071"
12,GLEN GARDNER BORO,39,"5,601,100","143,618"
13,HAMPTON BORO,16,"2,806,500","175,406"
14,HIGH BRIDGE BORO,34,"7,232,850","212,731"
15,HOLLAND TWP,38,"9,974,034","262,475"
16,KINGWOOD TWP,34,"10,066,200","296,065"
17,LAMBERTVILLE CITY,79,"18,956,100","239,951"
18,LEBANON BORO,32,"6,941,000","216,906"
19,LEBANON TWP,23,"6,817,825","296,427"
20,MILFORD BORO,18,"3,344,500","185,806"
21,RARITAN TWP,473,"128,537,615","271,750"
22,READINGTON TWP,273,"86,185,173","315,697"
23,STOCKTON BORO,8,"2,381,500","297,688"
24,TEWKSBURY TWP,38,"24,694,000","649,842"
25,UNION TWP,56,"12,587,900","224,784"
26,WEST AMWELL TWP,12,"2,783,400","231,950"
,HUNTERDON COUNTY,"1,554","446,741,550","287,478"
,,,,
11,MERCER COUNTY,,,
01,EAST WINDSOR TWP,465,"76,525,451","164,571"
02,EWING TWP,420,"66,935,918","159,371"
03,HAMILTON TWP,"1,130","170,231,285","150,647"
04,HIGHTSTOWN BORO,96,"15,891,650","165,538"
05,HOPEWELL BORO,33,"8,410,805","254,873"
06,HOPEWELL TWP,254,"92,496,037","364,158"
07,LAWRENCE TWP,502,"102,883,944","204,948"
08,PENNINGTON BORO,48,"18,061,825","376,288"
