Num,Municipality Name,Municipality Code,County,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15,LONGPORT BOROUGH,115,Atlantic,39.31,-74.52,"$397,455.23 ","$435,522.00 ","$503,364.00 ","$864,538.00 ","$652,949.00 ","$937,706.00 ","$1,467,132.00 ","$1,073,981.00 ","$1,291,153.00 ","$1,735,962.00 ","$1,067,000.00 ","$1,243,303.00 ","$947,190.00 ","$912,344.00 ","$1,041,333.00 ","$912,191.00 ","$1,126,050.00 ","$1,255,442.00 ","$1,063,222.00 ","$1,276,881 "
16,MARGATE CITY,116,Atlantic,39.33,-74.51,"$185,365.18 ","$200,653.00 ","$241,307.00 ","$318,188.00 ","$344,357.00 ","$504,152.00 ","$568,316.00 ","$592,679.00 ","$583,279.00 ","$525,905.00 ","$488,351.00 ","$539,076.00 ","$475,367.00 ","$486,392.00 ","$535,593.00 ","$521,120.00 ","$598,972.00 ","$532,776.00 ","$604,470.00 ","$591,374 "
17,MULLICA,117,Atlantic,39.73,-75.22,"$120,994.23 ","$148,495.00 ","$131,662.00 ","$146,800.00 ","$146,010.00 ","$193,588.00 ","$263,728.00 ","$222,639.00 ","$274,042.00 ","$263,491.00 ","$223,497.00 ","$235,694.00 ","$200,492.00 ","$191,911.00 ","$208,578.00 ","$189,788.00 ","$240,241.00 ","$209,568.00 ","$206,461.00 ","$210,000 "
18,NORTHFIELD CITY,118,Atlantic,39.37,-74.56,"$131,684.88 ","$137,622.00 ","$148,298.00 ","$176,092.00 ","$201,919.00 ","$254,398.00 ","$294,174.00 ","$290,974.00 ","$280,086.00 ","$263,612.00 ","$271,722.00 ","$228,774.00 ","$218,311.00 ","$239,689.00 ","$228,260.00 ","$222,698.00 ","$231,799.00 ","$197,580.00 ","$209,607.00 ","$204,642 "
19,PLEASANTVILLE CITY,119,Atlantic,39.39,-74.52,"$67,423.66 ","$74,157.00 ","$81,832.00 ","$89,516.00 ","$107,142.00 ","$129,519.00 ","$165,334.00 ","$180,612.00 ","$164,951.00 ","$151,781.00 ","$150,262.00 ","$128,117.00 ","$115,122.00 ","$108,567.00 ","$100,700.00 ","$91,850.00 ","$93,872.00 ","$109,851.00 ","$99,475.00 ","$110,355 "
20,PORT REPUBLIC CITY,120,Atlantic,39.53,-74.49,"$166,600.45 ","$143,400.00 ","$151,800.00 ","$205,292.00 ","$261,233.00 ","$270,710.00 ","$298,329.00 ","$339,556.00 ","$316,889.00 ","$309,375.00 ","$253,711.00 ","$312,143.00 ","$324,500.00 ","$336,738.00 ","$205,098.00 ","$254,805.00 ","$355,383.00 ", N/A ,"$263,570.00 ","$263,250 "
21,SOMERS POINT CITY,121,Atlantic,39.32,-74.61,"$129,169.09 ","$135,707.00 ","$166,049.00 ","$174,824.00 ","$215,799.00 ","$274,602.00 ","$319,076.00 ","$304,194.00 ","$302,215.00 ","$275,676.00 ","$236,301.00 ","$245,047.00 ","$222,523.00 ","$217,970.00 ","$267,746.00 ","$223,586.00 ","$226,983.00 ","$231,478.00 ","$221,645.00 ","$229,952 "
22,VENTNOR CITY,122,Atlantic,39.34,-74.48,"$147,098.53 ","$149,566.00 ","$170,923.00 ","$211,999.00 ","$268,512.00 ","$347,285.00 ","$440,005.00 ","$468,523.00 ","$481,770.00 ","$381,026.00 ","$389,190.00 ","$402,833.00 ","$336,054.00 ","$362,052.00 ","$368,185.00 ","$345,435.00 ","$298,514.00 ","$281,528.00 ","$330,548.00 ","$338,424 "
23,WEYMOUTH,123,Atlantic,39.39,-74.82,"$106,568.42 ","$150,565.00 ","$139,530.00 ","$117,125.00 ","$114,330.00 ","$124,000.00 ", N/A ,"$244,333.00 ","$339,264.00 ","$194,650.00 ","$238,650.00 ","$231,375.00 ","$171,833.00 ","$246,125.00 ","$197,100.00 ","$315,125.00 ","$211,250.00 ","$216,717.00 ","$246,170.00 ","$203,065 "
24,ALLENDALE BOROUGH,201,Bergen,41.03,-74.13,"$426,185.78 ","$454,154.00 ","$484,552.00 ","$581,078.00 ","$614,134.00 ","$664,865.00 ","$744,039.00 ","$768,116.00 ","$759,598.00 ","$812,323.00 ","$667,081.00 ","$794,403.00 ","$597,868.00 ","$657,437.00 ","$769,651.00 ","$823,101.00 ","$671,765.00 ","$717,885.00 ","$644,036.00 ","$673,469 "
25,ALPINE BOROUGH,202,Bergen,40.96,-73.92,"$1,138,887.10 ","$1,435,692.00 ","$1,701,397.00 ","$1,844,348.00 ","$1,892,353.00 ","$1,750,867.00 ","$2,574,096.00 ","$3,615,500.00 ","$2,661,731.00 ","$2,721,439.00 ","$2,243,750.00 ","$1,978,944.00 ","$2,801,111.00 ","$3,126,744.00 ","$3,130,750.00 ","$2,456,545.00 ","$3,267,105.00 ","$2,886,818.00 ","$2,917,850.00 ","$1,997,111 "
26,BERGENFIELD BOROUGH,203,Bergen,40.92,-74,"$190,125.99 ","$208,788.00 ","$247,421.00 ","$281,290.00 ","$321,475.00 ","$380,609.00 ","$412,033.00 ","$419,653.00 ","$401,633.00 ","$343,570.00 ","$322,336.00 ","$319,882.00 ","$311,389.00 ","$306,990.00 ","$350,948.00 ","$336,371.00 ","$345,100.00 ","$353,811.00 ","$424,637.00 ","$392,001 "
27,BOGOTA BOROUGH,204,Bergen,40.88,-74.03,"$180,532.28 ","$206,314.00 ","$240,651.00 ","$275,032.00 ","$312,388.00 ","$347,645.00 ","$412,394.00 ","$400,284.00 ","$391,772.00 ","$342,613.00 ","$327,209.00 ","$300,190.00 ","$282,685.00 ","$283,150.00 ","$287,825.00 ","$278,743.00 ","$321,210.00 ","$314,460.00 ","$343,721.00 ","$349,426 "
28,CARLSTADT BOROUGH,205,Bergen,40.82,-74.06,"$194,755.56 ","$216,106.00 ","$263,607.00 ","$282,043.00 ","$339,894.00 ","$408,981.00 ","$454,382.00 ","$491,540.00 ","$420,347.00 ","$372,074.00 ","$386,848.00 ","$384,971.00 ","$329,696.00 ","$363,036.00 ","$321,373.00 ","$366,532.00 ","$397,384.00 ","$366,625.00 ","$396,118.00 ","$351,183 "
29,CLIFFSIDE PARK BOROUGH,206,Bergen,40.82,-73.99,"$245,758.84 ","$259,131.00 ","$296,209.00 ","$360,339.00 ","$410,809.00 ","$452,462.00 ","$525,537.00 ","$495,466.00 ","$452,721.00 ","$413,419.00 ","$410,617.00 ","$417,163.00 ","$401,773.00 ","$384,277.00 ","$409,718.00 ","$400,382.00 ","$414,600.00 ","$403,449.00 ","$462,079.00 ","$477,333 "
30,CLOSTER BOROUGH,207,Bergen,40.97,-73.96,"$382,138.30 ","$434,763.00 ","$475,356.00 ","$563,154.00 ","$617,922.00 ","$676,693.00 ","$919,364.00 ","$811,845.00 ","$778,544.00 ","$836,847.00 ","$692,535.00 ","$690,496.00 ","$690,450.00 ","$648,622.00 ","$693,256.00 ","$692,097.00 ","$731,359.00 ","$777,757.00 ","$788,291.00 ","$753,810 "
31,CRESSKILL BOROUGH,208,Bergen,40.94,-73.96,"$452,086.84 ","$480,352.00 ","$503,799.00 ","$625,746.00 ","$672,763.00 ","$837,262.00 ","$901,088.00 ","$780,564.00 ","$907,567.00 ","$654,758.00 ","$721,735.00 ","$727,522.00 ","$557,583.00 ","$753,314.00 ","$706,397.00 ","$852,789.00 ","$728,603.00 ","$812,580.00 ","$898,009.00 ","$808,596 "
32,DEMAREST BOROUGH,209,Bergen,40.95,-73.96,"$513,208.55 ","$485,082.00 ","$529,105.00 ","$622,375.00 ","$647,449.00 ","$809,426.00 ","$869,145.00 ","$768,766.00 ","$810,793.00 ","$846,087.00 ","$697,560.00 ","$719,500.00 ","$1,049,393.00 ","$873,949.00 ","$842,133.00 ","$887,524.00 ","$1,029,729.00 ","$856,568.00 ","$959,092.00 ","$1,013,502 "
33,DUMONT BOROUGH,210,Bergen,40.95,-73.99,"$208,610.43 ","$232,420.00 ","$262,014.00 ","$301,352.00 ","$329,878.00 ","$397,959.00 ","$427,031.00 ","$429,336.00 ","$416,819.00 ","$379,852.00 ","$359,543.00 ","$346,674.00 ","$319,482.00 ","$316,955.00 ","$329,682.00 ","$342,687.00 ","$356,515.00 ","$378,465.00 ","$383,940.00 ","$403,472 "
34,ELMWOOD PARK BOROUGH,211,Bergen,40.9,-74.12,"$206,349.11 ","$223,807.00 ","$248,126.00 ","$287,465.00 ","$329,182.00 ","$376,243.00 ","$436,534.00 ","$424,210.00 ","$391,977.00 ","$356,174.00 ","$341,834.00 ","$312,691.00 ","$308,618.00 ","$310,488.00 ","$318,656.00 ","$328,087.00 ","$321,613.00 ","$353,496.00 ","$356,962.00 ","$360,925 "
