,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,6,"1,110,000","185,000"
2,ATLANTIC CITY CITY,39.3643,-74.4229,107,"23,366,383","218,377"
3,BRIGANTINE CITY,40.912798,-74.41516,146,"62,486,650","427,991"
4,BUENA BORO,40.912798,-74.41516,19,"3,399,300","178,911"
5,BUENA VISTA TWP,40.912798,-74.41516,12,"2,692,900","224,408"
6,CORBIN CITY CITY,40.879699,-74.14263,1,"274,000","274,000"
7,EGG HARBOR CITY,40.830733,-73.97334,17,"2,460,800","144,753"
8,EGG HARBOR TWP,40.830733,-73.97334,226,"54,863,448","242,759"
9,ESTELL MANOR CITY,40.827499,-74.28091,5,"1,129,000","225,800"
10,FOLSOM BORO,40.641852,-74.38533,11,"2,102,538","191,140"
11,GALLOWAY TWP,40.849879,-73.97501,227,"47,678,172","210,036"
12,HAMILTON TWP,40.80495,-74.2047,48,"9,303,500","193,823"
13,HAMMONTON TOWN,40.80495,-74.2047,60,"13,240,568","220,676"
14,LINWOOD CITY,41.007389,-74.04247,34,"12,934,000","380,412"
15,LONGPORT BORO,40.788599,-74.78295,33,"41,029,000","1,243,303"
16,MARGATE CITY CITY,40.502477,-74.650023,161,"86,791,300","539,076"
17,MULLICA TWP,40.389428,-74.54329,31,"7,306,500","235,694"
18,NORTHFIELD CITY,40.51057,-74.72472,41,"9,379,750","228,774"
19,PLEASANTVILLE CITY,40.583035,-74.96224,24,"3,074,800","128,117"
20,PORT REPUBLIC CITY,40.583035,-74.96224,7,"2,185,000","312,143"
21,SOMERS POINT CITY,40.430006,-74.417344,68,"16,663,200","245,047"
22,VENTNOR CITY,40.500254,-74.4257,129,"51,965,500","402,833"
23,WEYMOUTH TWP,40.500254,-74.4257,4,"925,500","231,375"
1,ALLENDALE BORO,41.0415,-74.129,58,"46,075,359","794,403"
2,ALPINE BORO,40.9559,-73.9312,18,"35,621,000","1,978,944"
3,BERGENFIELD BORO,40.666552,-74.11768,92,"29,429,164","319,882"
4,BOGOTA BORO,40.803,-74.18895,21,"6,304,000","300,190"
5,CARLSTADT BORO,40.848999,-74.27917,17,"6,544,500","384,971"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,52,"21,692,499","417,163"
7,CLOSTER BORO,40.879699,-74.14263,54,"37,286,800","690,496"
8,CRESSKILL BORO,40.656302,-74.30371,63,"45,833,900","727,522"
9,DEMAREST BORO,40.656302,-74.30371,35,"25,182,515","719,500"
10,DUMONT BORO,40.656302,-74.30371,74,"25,653,875","346,674"
11,ELMWOOD PARK BORO,40.830733,-73.97334,72,"22,513,786","312,691"
12,E RUTHERFORD BORO,40.770933,-74.20589,28,"8,914,100","318,361"
13,EDGEWATER BORO,40.830733,-73.97334,67,"33,768,300","504,004"
14,EMERSON BORO,40.830733,-73.97334,11,"4,420,500","401,864"
15,ENGLEWOOD CITY,40.830733,-73.97334,30,"23,487,000","782,900"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,36,"39,270,000","1,090,833"
17,FAIRLAWN BORO,40.827499,-74.28091,172,"65,555,002","381,134"
18,FAIRVIEW BORO,40.816737,-74.00082,17,"5,556,100","326,829"
19,FORT LEE BORO,40.849879,-73.97501,166,"83,270,142","501,627"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,28,"27,223,012","972,250"
21,GARFIELD CITY,40.879858,-74.10807,34,"9,060,400","266,482"
22,GLEN ROCK BORO,40.80495,-74.2047,98,"55,529,125","566,624"
23,HACKENSACK CITY,40.80495,-74.2047,53,"13,743,495","259,311"
24,HARRINGTON PARK BORO,40.80495,-74.2047,30,"17,055,396","568,513"
25,HASBROUCK HGHTS BORO,40.745951,-74.15509,50,"19,867,350","397,347"
