2012 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
01,ATLANTIC COUNTY,,,
01,ABSECON CITY,27,"5,051,100 ","187,078"
02,ATLANTIC CITY CITY,106,"19,815,182 ","186,936"
03,BRIGANTINE CITY,141,"54,731,600 ","388,167"
04,BUENA BORO,11,"1,782,300 ","162,027"
05,BUENA VISTA TWP,3,"427,000 ","142,333"
06,CORBIN CITY CITY,2,"645,000 ","322,500"
07,EGG HARBOR CITY,4,"587,000 ","146,750"
08,EGG HARBOR TWP,258,"55,944,034 ","216,837"
09,ESTELL MANOR CITY,8,"1,326,900 ","165,863"
10,FOLSOM BORO,6,"1,101,500 ","183,583"
11,GALLOWAY TWP,209,"41,767,217 ","199,843"
12,HAMILTON TWP,114,"22,475,370 ","197,152"
13,HAMMONTON TOWN,54,"12,240,750 ","226,681"
14,LINWOOD CITY,64,"18,274,600 ","285,541"
15,LONGPORT BORO,25,"23,679,750 ","947,190"
16,MARGATE CITY CITY,175,"83,189,250 ","475,367"
17,MULLICA TWP,33,"6,616,250 ","200,492"
18,NORTHFIELD CITY,40,"8,732,435 ","218,311"
19,PLEASANTVILLE CITY,27,"3,108,300 ","115,122"
20,PORT REPUBLIC CITY,5,"1,622,500 ","324,500"
21,SOMERS POINT CITY,94,"20,917,200 ","222,523"
22,VENTNOR CITY,129,"43,351,000 ","336,054"
23,WEYMOUTH TWP,3,"515,500 ","171,833"
,ATLANTIC COUNTY,1538,"427,901,738 ","278,220"
,,,,
02,BERGEN COUNTY,,,
01,ALLENDALE BORO,27,"16,142,425 ","597,868"
02,ALPINE BORO,18,"50,420,000 ","2,801,111"
03,BERGENFIELD BORO,105,"32,695,810 ","311,389"
04,BOGOTA BORO,20,"5,653,700 ","282,685"
05,CARLSTADT BORO,23,"7,583,000 ","329,696"
06,CLIFFSIDE PARK BORO,124,"49,819,835 ","401,773"
07,CLOSTER BORO,55,"37,974,740 ","690,450"
08,CRESSKILL BORO,30,"16,727,500 ","557,583"
09,DEMAREST BORO,35,"36,728,760 ","1,049,393"
10,DUMONT BORO,39,"12,459,800 ","319,482"
11,ELMWOOD PARK BORO,68,"20,986,050 ","308,618"
12,E RUTHERFORD BORO,30,"9,121,060 ","304,035"
13,EDGEWATER BORO,110,"53,002,499 ","481,841"
14,EMERSON BORO,44,"18,578,327 ","422,235"
15,ENGLEWOOD CITY,110,"65,790,915 ","598,099"
16,ENGLEWOOD CLIFFS BORO,40,"50,674,000 ","1,266,850"
17,FAIRLAWN BORO,60,"19,273,280 ","321,221"
