2015 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
01,ATLANTIC COUNTY,,,
01,ABSECON CITY,51,"$9,632,800.00","188,878 "
02,ATLANTIC CITY CITY,185,"$23,611,299.00","127,629 "
03,BRIGANTINE CITY,159,"$64,609,710.00","406,350 "
04,BUENA BORO,29,"$4,496,250.00","155,043 "
05,BUENA VISTA TWP,13,"$2,673,500.00","205,654 "
06,CORBIN CITY CITY,6,"$1,312,500.00","218,750 "
07,EGG HARBOR CITY,18,"$2,408,750.00","133,819 "
08,EGG HARBOR TWP,229,"$56,032,950.00","244,685 "
09,ESTELL MANOR CITY,7,"$1,630,000.00","232,857 "
10,FOLSOM BORO,12,"$2,333,400.00","194,450 "
11,GALLOWAY TWP,302,"$53,692,392.00","177,789 "
12,HAMILTON TWP,165,"$28,233,550.00","171,112 "
13,HAMMONTON TOWN,85,"$17,462,620.00","205,443 "
14,LINWOOD CITY,76,"$17,790,235.00","234,082 "
15,LONGPORT BORO,34,"$31,014,500.00","912,191 "
16,MARGATE CITY CITY,208,"$108,392,950.00","521,120 "
17,MULLICA TWP,28,"$5,314,052.00","189,788 "
18,NORTHFIELD CITY,48,"$10,689,500.00","222,698 "
19,PLEASANTVILLE CITY,42,"$3,857,694.00","91,850 "
20,PORT REPUBLIC CITY,10,"$2,548,050.00","254,805 "
21,SOMERS POINT CITY,80,"$17,886,900.00","223,586 "
22,VENTNOR CITY,109,"$37,652,450.00","345,435 "
23,WEYMOUTH TWP,8,"$2,521,000.00","315,125 "
,ATLANTIC COUNTY,"1,904 ","505,797,052","265,650 "
,,,,
02,BERGEN COUNTY,,,
01,ALLENDALE BORO,63,"$51,855,367.00","823,101 "
02,ALPINE BORO,11,"$27,022,000.00","2,456,545 "
03,BERGENFIELD BORO,145,"$48,773,790.00","336,371 "
04,BOGOTA BORO,40,"$11,149,701.00","278,743 "
05,CARLSTADT BORO,36,"$13,195,138.00","366,532 "
06,CLIFFSIDE PARK BORO,219,"$87,683,739.00","400,382 "
07,CLOSTER BORO,88,"$60,904,499.00","692,097 "
08,CRESSKILL BORO,107,"$91,248,400.00","852,789 "
09,DEMAREST BORO,55,"$48,813,819.00","887,524 "
10,DUMONT BORO,138,"$47,290,750.00","342,687 "
11,ELMWOOD PARK BORO,107,"$35,105,300.00","328,087 "
12,E RUTHERFORD BORO,25,"$7,528,180.00","301,127 "
13,EDGEWATER BORO,173,"$100,301,213.00","579,776 "
14,EMERSON BORO,48,"$22,526,950.00","469,311 "
15,ENGLEWOOD CITY,165,"$80,699,250.00","489,086 "
16,ENGLEWOOD CLIFFS BORO,63,"$84,633,000.00","1,343,381 "
17,FAIRLAWN BORO,190,"$70,630,699.00","371,741 "
18,FAIRVIEW BORO,38,"$14,353,600.00","377,726 "
19,FORT LEE BORO,223,"$123,283,399.00","552,840 "
20,FRANKLIN LAKES BORO,82,"$91,894,899.00","1,120,670 "
21,GARFIELD CITY,113,"$34,439,585.00","304,775 "
22,GLEN ROCK BORO,122,"$72,773,500.00","596,504 "
23,HACKENSACK CITY,251,"$59,804,884.00","238,266 "
24,HARRINGTON PARK BORO,75,"$43,375,466.00","578,340 "
25,HASBROUCK HGHTS BORO,64,"$25,962,977.00","405,672 "
26,HAWORTH BORO,28,"$20,386,538.00","728,091 "
27,HILLSDALE BORO,97,"$49,491,613.00","510,223 "
28,HOHOKUS BORO,42,"$37,816,678.00","900,397 "
