,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,23,"4,938,700","214,726"
2,ATLANTIC CITY CITY,39.3643,-74.4229,88,"18,320,699","208,190"
3,BRIGANTINE CITY,40.912798,-74.41516,145,"55,702,480","384,155"
4,BUENA BORO,40.912798,-74.41516,25,"4,041,500","161,660"
5,BUENA VISTA TWP,40.912798,-74.41516,16,"3,821,500","238,844"
6,CORBIN CITY CITY,40.879699,-74.14263,4,"585,100","146,275"
7,EGG HARBOR CITY,40.830733,-73.97334,16,"2,317,500","144,844"
8,EGG HARBOR TWP,40.830733,-73.97334,107,"24,605,258","229,956"
9,ESTELL MANOR CITY,40.830733,-73.97334,7,"1,459,300","208,471"
10,FOLSOM BORO,40.816737,-74.00082,7,"1,454,700","207,814"
11,GALLOWAY TWP,40.849879,-73.97501,266,"53,455,251","200,960"
12,HAMILTON TWP,40.80495,-74.2047,132,"25,651,210","194,327"
13,HAMMONTON TOWN,40.80495,-74.2047,70,"16,122,590","230,323"
14,LINWOOD CITY,41.007389,-74.04247,61,"18,877,300","309,464"
15,LONGPORT BORO,41.007389,-74.04247,38,"34,669,083","912,344"
16,MARGATE CITY CITY,41.007389,-74.04247,163,"79,281,950","486,392"
17,MULLICA TWP,40.389428,-74.54329,27,"5,181,600","191,911"
18,NORTHFIELD CITY,40.51057,-74.72472,66,"15,819,449","239,689"
19,PLEASANTVILLE CITY,40.583035,-74.96224,26,"2,822,750","108,567"
20,PORT REPUBLIC CITY,40.583035,-74.96224,5,"1,683,688","336,738"
21,SOMERS POINT CITY,40.430006,-74.417344,76,"16,565,725","217,970"
22,VENTNOR CITY,40.500254,-74.4257,127,"45,980,543","362,052"
23,WEYMOUTH TWP,40.500254,-74.4257,8,"1,969,000","246,125"
1,ALLENDALE BORO,39.4285,-74.4957,76,"49,965,227","657,437"
2,ALPINE BORO,39.4285,-74.4957,18,"56,281,400","3,126,744"
3,BERGENFIELD BORO,39.3643,-74.4229,143,"43,899,550","306,990"
4,BOGOTA BORO,39.3643,-74.4229,20,"5,663,000","283,150"
5,CARLSTADT BORO,40.912798,-74.41516,11,"3,993,400","363,036"
6,CLIFFSIDE PARK BORO,40.912798,-74.41516,200,"76,855,334","384,277"
7,CLOSTER BORO,40.912798,-74.41516,69,"44,754,949","648,622"
8,CRESSKILL BORO,40.656302,-74.30371,85,"64,031,715","753,314"
9,DEMAREST BORO,40.656302,-74.30371,47,"41,075,599","873,949"
10,DUMONT BORO,40.656302,-74.30371,122,"38,668,465","316,955"
11,ELMWOOD PARK BORO,40.830733,-73.97334,95,"29,496,342","310,488"
12,E RUTHERFORD BORO,40.656302,-74.30371,43,"12,916,750","300,390"
13,EDGEWATER BORO,40.830733,-73.97334,138,"69,794,760","505,759"
14,EMERSON BORO,40.830733,-73.97334,55,"23,929,421","435,080"
15,ENGLEWOOD CITY,40.830733,-73.97334,136,"77,242,445","567,959"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,64,"71,136,138","1,111,502"
17,FAIRLAWN BORO,40.827499,-74.28091,174,"60,808,251","349,473"
18,FAIRVIEW BORO,40.816737,-74.00082,29,"7,830,250","270,009"
19,FORT LEE BORO,40.849879,-73.97501,237,"123,678,483","521,850"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,85,"85,149,935","1,001,764"
21,GARFIELD CITY,40.879858,-74.10807,85,"23,721,139","279,072"
22,GLEN ROCK BORO,40.80495,-74.2047,132,"78,465,869","594,438"
23,HACKENSACK CITY,40.80495,-74.2047,185,"42,794,303","231,321"
24,HARRINGTON PARK BORO,40.80495,-74.2047,21,"11,681,500","556,262"
25,HASBROUCK HGHTS BORO,40.745951,-74.15509,53,"19,746,750","372,580"
26,HAWORTH BORO,40.745951,-74.15509,32,"22,244,000","695,125"
27,HILLSDALE BORO,40.745951,-74.15509,29,"13,855,500","477,776"
28,HOHOKUS BORO,40.745951,-74.15509,49,"36,253,600","739,869"
29,LEONIA BORO,40.744851,-74.03294,59,"24,934,568","422,620"
30,LITTLE FERRY BORO,41.007389,-74.04247,22,"5,358,925","243,588"
31,LODI BORO,41.007389,-74.04247,63,"17,814,415","282,768"
32,LYNDHURST TWP,41.007389,-74.04247,82,"26,140,800","318,790"
33,MAHWAH TWP,41.007389,-74.04247,299,"152,944,164","511,519"
34,MAYWOOD BORO,41.007389,-74.04247,48,"16,357,000","340,771"
35,MIDLAND PARK BORO,41.007389,-74.04247,55,"20,710,300","376,551"
36,MONTVALE BORO,41.007389,-74.04247,37,"20,870,299","564,062"
37,MOONACHIE BORO,41.007389,-74.04247,8,"2,470,000","308,750"
