2010 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
01,ATLANTIC COUNTY,,,
01,ABSECON CITY,50,"11,330,800","226,616"
02,ATLANTIC CITY CITY,160,"38,413,207","240,083"
03,BRIGANTINE CITY,104,"45,728,271","439,695"
04,BUENA BORO,20,"3,472,900","173,645"
05,BUENA VISTA TWP,8,"1,761,500","220,188"
06,CORBIN CITY CITY,1,"238,000","238,000"
07,EGG HARBOR CITY,14,"2,373,850","169,561"
08,EGG HARBOR TWP,332,"82,458,435","248,369"
09,ESTELL MANOR CITY,7,"1,637,200","233,886"
10,FOLSOM BORO,9,"1,519,300","168,811"
11,GALLOWAY TWP,302,"61,496,320","203,630"
12,HAMILTON TWP,239,"43,973,096","183,988"
13,HAMMONTON TOWN,61,"13,729,150","225,068"
14,LINWOOD CITY,67,"24,442,200","364,809"
15,LONGPORT BORO,36,"38,411,995","1,067,000"
16,MARGATE CITY CITY,141,"68,857,500","488,351"
17,MULLICA TWP,35,"7,822,400","223,497"
18,NORTHFIELD CITY,25,"6,793,050","271,722"
19,PLEASANTVILLE CITY,40,"6,010,493","150,262"
20,PORT REPUBLIC CITY,9,"2,283,400","253,711"
21,SOMERS POINT CITY,86,"20,321,900","236,301"
22,VENTNOR CITY,144,"56,043,301","389,190"
23,WEYMOUTH TWP,10,"2,386,500","238,650"
,ATLANTIC COUNTY,"1,900","541,504,768","285,003"
,,,,
02,BERGEN COUNTY,,,
01,ALLENDALE BORO,71,"47,362,750","667,081"
02,ALPINE BORO,8,"17,950,000","2,243,750"
03,BERGENFIELD BORO,129,"41,581,297","322,336"
04,BOGOTA BORO,43,"14,069,975","327,209"
05,CARLSTADT BORO,29,"11,218,600","386,848"
06,CLIFFSIDE PARK BORO,137,"56,254,505","410,617"
07,CLOSTER BORO,54,"37,396,900","692,535"
08,CRESSKILL BORO,79,"57,017,050","721,735"
09,DEMAREST BORO,48,"33,482,888","697,560"
10,DUMONT BORO,101,"36,313,845","359,543"
11,ELMWOOD PARK BORO,80,"27,346,750","341,834"
12,E RUTHERFORD BORO,39,"12,850,000","329,487"
13,EDGEWATER BORO,168,"79,044,325","470,502"
14,EMERSON BORO,54,"22,395,100","414,724"
15,ENGLEWOOD CITY,102,"50,809,213","498,130"
16,ENGLEWOOD CLIFFS BORO,26,"30,640,500","1,178,481"
17,FAIRLAWN BORO,186,"73,757,650","396,547"
18,FAIRVIEW BORO,26,"8,376,301","322,165"
19,FORT LEE BORO,204,"102,856,500","504,199"
20,FRANKLIN LAKES BORO,79,"93,428,599","1,182,640"
21,GARFIELD CITY,102,"30,700,059","300,981"
22,GLEN ROCK BORO,109,"61,370,354","563,031"
23,HACKENSACK CITY,228,"60,921,595","267,200"
24,HARRINGTON PARK BORO,29,"16,746,000","577,448"
25,HASBROUCK HGHTS BORO,68,"25,887,500","380,699"
26,HAWORTH BORO,22,"16,880,000","767,273"
27,HILLSDALE BORO,64,"33,559,600","524,369"
28,HOHOKUS BORO,30,"25,265,598","842,187"
29,LEONIA BORO,41,"17,903,000","436,659"
30,LITTLE FERRY BORO,50,"14,326,000","286,520"
31,LODI BORO,64,"19,163,900","299,436"
32,LYNDHURST TWP,79,"27,859,100","352,647"
33,MAHWAH TWP,278,"138,138,160","496,900"
34,MAYWOOD BORO,57,"21,437,900","376,104"
35,MIDLAND PARK BORO,61,"26,586,400","435,843"
36,MONTVALE BORO,64,"36,282,900","566,920"
37,MOONACHIE BORO,11,"4,366,000","396,909"
38,NEW MILFORD BORO,72,"29,471,700","409,329"
39,NORTH ARLINGTON BORO,100,"32,371,760","323,718"
40,NORTHVALE BORO,25,"11,717,000","468,680"
41,NORWOOD BORO,33,"18,004,597","545,594"
42,OAKLAND BORO,99,"48,812,350","493,054"
43,OLD TAPPAN BORO,31,"25,818,980","832,870"
44,ORADELL BORO,64,"35,399,750","553,121"
45,PALISADES PARK BORO,46,"21,297,287","462,985"
46,PARAMUS BORO,148,"82,196,809","555,384"
47,PARK RIDGE BORO,68,"35,535,412","522,580"
48,RAMSEY BORO,149,"76,790,498","515,372"
49,RIDGEFIELD BORO,32,"13,579,000","424,344"
50,RIDGEFIELD PARK VILLAGE,58,"18,318,000","315,828"
51,RIDGEWOOD VILLAGE,223,"162,590,831","729,107"
52,RIVEREDGE BORO,114,"55,134,861","483,639"
53,RIVERVALE TWP,76,"43,113,050","567,277"
54,ROCHELLE PARK TWP,19,"6,572,600","345,926"
55,ROCKLEIGH BORO,1,"613,000","613,000"
56,RUTHERFORD BORO,106,"43,920,518","414,345"
57,SADDLE BROOK TWP,88,"32,922,845","374,123"
58,SADDLE RIVER BORO,29,"48,522,149","1,673,178"
59,SO HACKENSACK TWP,3,"1,270,000","423,333"
60,TEANECK TWP,209,"86,296,150","412,900"
61,TENAFLY BORO,150,"112,464,570","749,764"
62,TETERBORO BORO,0,0,N/A
63,UPPER SADDLE RIV BORO,65,"67,760,899","1,042,475"
64,WALDWICK BORO,70,"28,404,771","405,782"
65,WALLINGTON BORO,26,"8,534,054","328,233"
66,WASHINGTON TWP,79,"38,170,927","483,176"
67,WESTWOOD BORO,70,"33,986,750","485,525"
68,WOODCLIFF LAKE BORO,52,"39,635,712","762,225"
69,WOOD RIDGE BORO,59,"21,153,200","358,529"
70,WYCKOFF TWP,121,"89,294,538","737,971"
,BERGEN COUNTY,"5,505","2,801,221,382","508,850"
,,,,
03,BURLINGTON COUNTY,,,
01,BASS RIVER TWP,6,"1,748,000","291,333"
02,BEVERLY CITY,13,"1,968,799","151,446"
03,BORDENTOWN CITY,26,"5,654,560","217,483"
04,BORDENTOWN TWP,102,"29,933,063","293,461"
05,BURLINGTON CITY,61,"10,255,175","168,118"
06,BURLINGTON TWP,137,"37,247,625","271,880"
07,CHESTERFIELD TWP,20,"8,856,900","442,845"
08,CINNAMINSON TWP,111,"28,272,751","254,709"
09,DELANCO TWP,28,"6,279,200","224,257"
10,DELRAN TWP,111,"27,511,100","247,848"
11,EASTAMPTON TWP,34,"8,694,790","255,729"
12,EDGEWATER PARK TWP,38,"6,637,600","174,674"
13,EVESHAM TWP,376,"93,947,925","249,862"
14,FIELDSBORO BORO,4,"721,500","180,375"
15,FLORENCE TWP,25,"5,613,940","224,558"
16,HAINESPORT TWP,43,"13,455,549","312,920"
17,LUMBERTON TWP,86,"24,892,149","289,444"
18,MANSFIELD TWP,35,"10,433,025","298,086"
19,MAPLE SHADE TWP,101,"17,441,150","172,685"
20,MEDFORD TWP,182,"62,727,954","344,659"
21,MEDFORD LAKES BORO,7,"2,464,000","352,000"
22,MOORESTOWN TWP,143,"80,705,216","564,372"
23,MT HOLLY TWP,62,"10,234,910","165,079"
24,MT LAUREL TWP,502,"124,825,372","248,656"
25,NEW HANOVER TWP,8,"2,371,200","296,400"
26,NO HANOVER TWP,12,"3,866,000","322,167"
27,PALMYRA BORO,58,"10,407,900","179,447"
28,PEMBERTON BORO,8,"1,721,900","215,238"
29,PEMBERTON TWP,189,"32,800,774","173,549"
30,RIVERSIDE TWP,66,"10,797,100","163,592"
31,RIVERTON BORO,13,"4,218,265","324,482"
32,SHAMONG TWP,35,"13,207,950","377,370"
33,SOUTHAMPTON TWP,115,"24,489,150","212,949"
34,SPRINGFIELD TWP,14,"4,999,900","357,136"
35,TABERNACLE TWP,49,"14,927,000","304,633"
36,WASHINGTON TWP,3,"850,000","283,333"
