,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,153,"18,954,388","123,885"
2,ATLANTIC CITY CITY,39.3643,-74.4229,411,"42,221,986","102,730"
3,BRIGANTINE CITY,40.912798,-74.41516,559,"94,094,884","168,327"
4,BUENA BORO,40.912798,-74.41516,32,"2,907,700","90,866"
5,BUENA VISTA TWP,40.912798,-74.41516,43,"4,350,615","101,177"
6,CORBIN CITY CITY,40.879699,-74.14263,3,"173,700","57,900"
7,EGG HARBOR CITY,40.830733,-73.97334,44,"4,115,760","93,540"
8,EGG HARBOR TWP,40.830733,-73.97334,385,"45,949,133","119,348"
9,ESTELL MANOR CITY,40.827499,-74.28091,17,"2,090,500","122,971"
10,FOLSOM BORO,40.641852,-74.38533,5,"479,300","95,860"
11,GALLOWAY TWP,40.849879,-73.97501,693,"69,780,258","100,693"
12,HAMILTON TWP,40.80495,-74.2047,364,"32,486,278","89,248"
13,HAMMONTON TOWN,40.80495,-74.2047,87,"9,707,022","111,575"
14,LINWOOD CITY,41.007389,-74.04247,127,"25,143,214","197,978"
15,LONGPORT BORO,40.788599,-74.78295,63,"27,437,900","435,522"
16,MARGATE CITY CITY,40.502477,-74.650023,312,"62,603,700","200,653"
17,MULLICA TWP,40.389428,-74.54329,38,"5,642,800","148,495"
18,NORTHFIELD CITY,40.51057,-74.72472,112,"15,413,651","137,622"
19,PLEASANTVILLE CITY,40.583035,-74.96224,200,"14,831,464","74,157"
20,PORT REPUBLIC CITY,40.583035,-74.96224,10,"1,434,000","143,400"
21,SOMERS POINT CITY,40.430006,-74.417344,203,"27,548,589","135,707"
22,VENTNOR CITY,40.500254,-74.4257,383,"57,283,692","149,566"
23,WEYMOUTH TWP,40.500254,-74.4257,20,"3,011,300","150,565"
1,ALLENDALE BORO,41.0415,-74.129,94,"42,690,450","454,154"
2,ALPINE BORO,40.9559,-73.9312,26,"37,328,000","1,435,692"
3,BERGENFIELD BORO,40.666552,-74.11768,327,"68,273,820","208,788"
4,BOGOTA BORO,40.803,-74.18895,91,"18,774,600","206,314"
5,CARLSTADT BORO,40.848999,-74.27917,36,"7,779,800","216,106"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,279,"72,297,448","259,131"
7,CLOSTER BORO,40.879699,-74.14263,108,"46,954,352","434,763"
8,CRESSKILL BORO,40.656302,-74.30371,97,"46,594,136","480,352"
9,DEMAREST BORO,40.656302,-74.30371,76,"36,866,200","485,082"
10,DUMONT BORO,40.656302,-74.30371,157,"36,489,900","232,420"
