,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,39,"9,692,400","248,523"
2,ATLANTIC CITY CITY,39.3643,-74.4229,108,"30,087,800","278,591"
3,BRIGANTINE CITY,40.912798,-74.41516,245,"116,035,626","473,615"
4,BUENA BORO,40.912798,-74.41516,34,"5,869,400","172,629"
5,BUENA VISTA TWP,40.912798,-74.41516,4,"819,800","204,950"
6,CORBIN CITY CITY,40.879699,-74.14263,1,"45,000","45,000"
7,EGG HARBOR CITY,40.830733,-73.97334,33,"6,631,613","200,958"
8,EGG HARBOR TWP,40.830733,-73.97334,383,"101,669,491","265,456"
9,ESTELL MANOR CITY,40.827499,-74.28091,13,"3,027,500","232,885"
10,FOLSOM BORO,40.641852,-74.38533,18,"3,739,050","207,725"
11,GALLOWAY TWP,40.849879,-73.97501,416,"89,631,144","215,459"
12,HAMILTON TWP,40.80495,-74.2047,286,"62,014,638","216,834"
13,HAMMONTON TOWN,40.80495,-74.2047,78,"17,281,990","221,564"
14,LINWOOD CITY,41.007389,-74.04247,96,"40,602,850","422,946"
15,LONGPORT BORO,40.788599,-74.78295,36,"46,481,500","1,291,153"
16,MARGATE CITY CITY,40.502477,-74.650023,173,"100,907,195","583,279"
17,MULLICA TWP,40.389428,-74.54329,42,"11,509,775","274,042"
18,NORTHFIELD CITY,40.51057,-74.72472,101,"28,288,641","280,086"
19,PLEASANTVILLE CITY,40.583035,-74.96224,164,"27,051,899","164,951"
20,PORT REPUBLIC CITY,40.583035,-74.96224,9,"2,852,000","316,889"
21,SOMERS POINT CITY,40.430006,-74.417344,115,"34,754,700","302,215"
22,VENTNOR CITY,40.500254,-74.4257,191,"92,018,038","481,770"
23,WEYMOUTH TWP,40.500254,-74.4257,7,"2,374,850","339,264"
1,ALLENDALE BORO,41.0415,-74.129,63,"47,854,650","759,598"
2,ALPINE BORO,40.9559,-73.9312,13,"34,602,500","2,661,731"
3,BERGENFIELD BORO,40.666552,-74.11768,230,"92,375,586","401,633"
4,BOGOTA BORO,40.803,-74.18895,46,"18,021,500","391,772"
5,CARLSTADT BORO,40.848999,-74.27917,36,"15,132,500","420,347"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,168,"76,057,169","452,721"
7,CLOSTER BORO,40.879699,-74.14263,80,"62,283,518","778,544"
8,CRESSKILL BORO,40.656302,-74.30371,83,"75,328,023","907,567"
9,DEMAREST BORO,40.656302,-74.30371,36,"29,188,564","810,793"
10,DUMONT BORO,40.656302,-74.30371,124,"51,685,500","416,819"
11,ELMWOOD BORO,40.830733,-73.97334,90,"35,277,906","391,977"
12,EAST RUTHERFORD BORO,40.770933,-74.20589,39,"14,371,820","368,508"
13,EDGEWATER BORO,40.830733,-73.97334,74,"43,757,609","591,319"
14,EMERSON BORO,40.830733,-73.97334,65,"32,947,245","506,881"
15,ENGLEWOOD CITY,40.830733,-73.97334,210,"117,006,699","557,175"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,24,"36,353,000","1,514,708"
17,FAIRLAWN BORO,40.827499,-74.28091,245,"104,714,904","427,408"
18,FAIRVIEW BORO,40.816737,-74.00082,50,"21,218,395","424,368"
19,FORT LEE BORO,40.849879,-73.97501,280,"155,769,368","556,319"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,85,"125,690,325","1,478,710"
21,GARFIELD CITY,40.879858,-74.10807,128,"48,060,346","375,471"
22,GLEN ROCK BORO,40.80495,-74.2047,98,"62,394,300","636,677"
23,HACKENSACK CITY,40.80495,-74.2047,300,"95,458,070","318,194"
24,HARRINGTON PARK BORO,40.80495,-74.2047,33,"21,824,949","661,362"
25,HASBROUCK HEIGHTS BORO,40.745951,-74.15509,64,"28,850,000","450,781"
26,HAWORTH BORO,40.745951,-74.15509,15,"10,421,500","694,767"
27,HILLSDALE BORO,40.745951,-74.15509,72,"39,657,202","550,794"
28,HO-HO-KUS BORO,40.744851,-74.03294,36,"30,601,600","850,044"
29,LEONIA BORO,41.007389,-74.04247,73,"40,146,179","549,948"
30,LITTLE FERRY BORO,40.850621,-74.04112,66,"23,164,090","350,971"
31,LODI BORO,40.877999,-74.08265,84,"32,595,527","388,042"
32,LYNDHURST TWP,40.788599,-74.78295,116,"45,285,160","390,389"
33,MAHWAH TWP,40.788599,-74.78295,346,"196,204,199","567,064"
34,MAYWOOD BORO,40.502477,-74.650023,26,"10,371,800","398,915"
35,MIDLAND PARK BORO,40.574552,-74.50187,52,"25,201,075","484,636"
36,MONTVALE BORO,40.389428,-74.54329,61,"37,195,700","609,766"
37,MOONACHIE BORO,40.389428,-74.54329,9,"3,629,000","403,222"
38,NEW MILFORD BORO,40.51057,-74.72472,106,"47,821,350","451,145"
39,NORTH ARLINGTON BORO,40.51057,-74.72472,76,"30,304,299","398,741"
40,NORTHVALE BORO,40.51057,-74.72472,38,"18,006,500","473,855"
41,NORWOOD BORO,40.51057,-74.72472,15,"10,240,222","682,681"
