,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,55,"12,376,150","225,021"
2,ATLANTIC CITY CITY,39.3643,-74.4229,151,"39,978,217","264,756"
3,BRIGANTINE CITY,40.912798,-74.41516,153,"64,914,500","424,278"
4,BUENA BORO,40.912798,-74.41516,13,"2,172,943","167,149"
5,BUENA VISTA TWP,40.912798,-74.41516,16,"3,055,559","190,972"
6,CORBIN CITY CITY,40.879699,-74.14263,4,"408,750","102,188"
7,EGG HARBOR CITY,40.830733,-73.97334,12,"2,031,000","169,250"
8,EGG HARBOR TWP,40.830733,-73.97334,237,"59,954,486","252,973"
9,ESTELL MANOR CITY,40.827499,-74.28091,6,"1,838,000","306,333"
10,FOLSOM BORO,40.641852,-74.38533,10,"1,880,400","188,040"
11,GALLOWAY TWP,40.849879,-73.97501,86,"18,001,737","209,323"
12,HAMILTON TWP,40.80495,-74.2047,197,"39,915,740","202,618"
13,HAMMONTON TOWN,40.80495,-74.2047,80,"17,386,650","217,333"
14,LINWOOD CITY,41.007389,-74.04247,54,"20,987,326","388,654"
15,LONGPORT BORO,40.788599,-74.78295,26,"45,135,000","1,735,962"
16,MARGATE CITY CITY,40.502477,-74.650023,142,"74,678,525","525,905"
17,MULLICA TWP,40.389428,-74.54329,29,"7,641,225","263,491"
18,NORTHFIELD CITY,40.51057,-74.72472,58,"15,289,500","263,612"
19,PLEASANTVILLE CITY,40.583035,-74.96224,64,"9,714,005","151,781"
20,PORT REPUBLIC CITY,40.583035,-74.96224,4,"1,237,500","309,375"
21,SOMERS POINT CITY,40.430006,-74.417344,80,"22,054,110","275,676"
22,VENTNOR CITY,40.500254,-74.4257,106,"40,388,790","381,026"
23,WEYMOUTH TWP,40.500254,-74.4257,6,"1,167,900","194,650"
1,ALLENDALE BORO,41.0415,-74.129,40,"32,492,925","812,323"
2,ALPINE BORO,40.9559,-73.9312,11,"29,935,828","2,721,439"
3,BERGENFIELD BORO,40.666552,-74.11768,56,"19,239,934","343,570"
4,BOGOTA BORO,40.803,-74.18895,10,"3,426,126","342,613"
5,CARLSTADT BORO,40.848999,-74.27917,17,"6,325,250","372,074"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,119,"49,196,875","413,419"
7,CLOSTER BORO,40.879699,-74.14263,15,"12,552,700","836,847"
8,CRESSKILL BORO,40.656302,-74.30371,64,"41,904,500","654,758"
9,DEMAREST BORO,40.656302,-74.30371,33,"27,920,875","846,087"
10,DUMONT BORO,40.656302,-74.30371,73,"27,729,177","379,852"
11,ELMWOOD PARK BORO,40.830733,-73.97334,69,"24,576,015","356,174"
12,E RUTHERFORD BORO,40.770933,-74.20589,33,"10,559,849","319,995"
13,EDGEWATER BORO,40.830733,-73.97334,116,"56,189,140","484,389"
14,EMERSON BORO,40.830733,-73.97334,58,"27,751,805","478,479"
15,ENGLEWOOD CITY,40.830733,-73.97334,130,"68,728,900","528,684"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,23,"30,996,300","1,347,665"
17,FAIRLAWN BORO,40.827499,-74.28091,161,"62,689,970","389,379"
18,FAIRVIEW BORO,40.816737,-74.00082,42,"16,599,700","395,231"
19,FORT LEE BORO,40.849879,-73.97501,163,"85,531,088","524,731"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,51,"60,039,990","1,177,255"
21,GARFIELD CITY,40.879858,-74.10807,63,"21,278,300","337,751"
22,GLEN ROCK BORO,40.80495,-74.2047,80,"49,747,024","621,838"
23,HACKENSACK CITY,40.80495,-74.2047,185,"54,057,598","292,203"
24,HARRINGTON PARK BORO,40.80495,-74.2047,34,"20,737,428","609,924"
25,HASBROUCK HGHTS BORO,40.745951,-74.15509,47,"19,478,050","414,427"
26,HAWORTH BORO,40.745951,-74.15509,14,"13,227,000","944,786"
27,HILLSDALE BORO,40.745951,-74.15509,54,"30,060,266","556,672"
28,HOHOKUS BORO,40.744851,-74.03294,22,"20,052,300","911,468"
29,LEONIA BORO,41.007389,-74.04247,21,"9,627,500","458,452"
30,LITTLE FERRY BORO,40.850621,-74.04112,40,"13,724,300","343,108"
31,LODI BORO,40.877999,-74.08265,70,"23,650,247","337,861"
32,LYNDHURST TWP,40.788599,-74.78295,75,"27,644,400","368,592"
33,MAHWAH TWP,40.788599,-74.78295,223,"110,565,340","495,809"
34,MAYWOOD BORO,40.502477,-74.650023,48,"17,008,600","354,346"
35,MIDLAND PARK BORO,40.574552,-74.50187,35,"16,461,525","470,329"
36,MONTVALE BORO,40.389428,-74.54329,66,"44,413,086","672,926"
37,MOONACHIE BORO,40.389428,-74.54329,7,"2,249,000","321,286"
38,NEW MILFORD BORO,40.51057,-74.72472,76,"29,056,788","382,326"
