MUNICIPALITY_NAME_COMMON,MUNICIPALITY_NAME_NJ-1040,MUNICIPALITY_CODE_NJ-1040,Num_Rail_Stops,Num_Bus_Stops,Total_Transit,Transit_Score_1,Xscore
Old Bridge Township,Old Bridge Township,1215,0,117,117,250,127
Perth Amboy,Perth Amboy City,1216,1,106,107,500,283
Piscataway Township,Piscataway Township,1217,0,18,18,250,19
Plainsboro Township,Plainsboro Township,1218,0,43,43,250,47
Sayreville Borough,Sayreville Borough,1219,0,39,39,250,42
South Amboy,South Amboy City,1220,1,23,24,500,257
South Brunswick Township,South Brunswick Township,1221,0,0,0,0,0
South Plainfield Borough,South Plainfield Borough,1222,0,64,64,250,69
South River Borough,South River Borough,1223,0,12,12,250,13
Spotswood Borough,Spotswood Borough,1224,0,10,10,250,11
Woodbridge Township,Woodbridge Township,1225,3,169,172,500,302
Aberdeen Township,Aberdeen Township,1301,0,21,21,250,23
Allenhurst Borough,Allenhurst Borough,1302,1,2,3,500,251
Allentown Borough,Allentown Borough,1303,0,0,0,0,0
Asbury Park,Asbury Park City,1304,1,42,43,500,263
Atlantic Highlands Borough,Atlantic Highlands Borough,1305,0,12,12,250,13
Avon-by-the-Sea Borough,Avon-by-the-Sea Borough,1306,0,6,6,250,6
Belmar Borough,Belmar Borough,1307,1,12,13,500,254
Bradley Beach Borough,Bradley Beach Borough,1308,1,6,7,500,252
Brielle Borough,Brielle Borough,1309,0,7,7,250,8
Colts Neck Township,Colts Neck Township,1310,0,20,20,250,22
Deal Borough,Deal Borough,1311,0,11,11,250,12
Eatontown Borough,Eatontown Borough,1312,0,21,21,250,23
Englishtown Borough,Englishtown Borough,1313,0,0,0,0,0
Fair Haven Borough,Fair Haven Borough,1314,0,16,16,250,17
Farmingdale Borough,Farmingdale Borough,1315,0,0,0,0,0
Freehold Borough,Freehold Borough,1316,0,25,25,250,27
Freehold Township,Freehold Township,1317,0,41,41,250,44
Hazlet Township,Hazlet Township,1318,1,6,7,500,252
Highlands Borough,Highlands Borough,1319,0,12,12,250,13
Holmdel Township,Holmdel Township,1320,0,0,0,0,0
Howell Township,Howell Township,1321,0,42,42,250,45
Interlaken Borough,Interlaken Borough,1322,0,0,0,0,0
Keansburg Borough,Keansburg Borough,1323,0,26,26,250,28
Keyport Borough,Keyport Borough,1324,0,12,12,250,13
Little Silver Borough,Little Silver Borough,1325,1,0,1,250,1
