,stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,City,County,Municipality,Muni Code
146,6957,30767,NORFOLK STREET LIGHT RAIL STATION,40.745319,-74.183033,336,Newark,Essex County,Newark,714
147,6966,30765,PARK AVENUE NEWARK LIGHT RAIL STATION,40.75856,-74.184941,336,Newark,Essex County,Newark,714
149,6995,30768,WARREN STREET LIGHT RAIL STATION,40.742439,-74.181183,336,Newark,Essex County,Newark,714
150,6997,30769,WASHINGTON STREET LIGHT RAIL STATION,40.738347,-74.174081,336,Newark,Essex County,Newark,714
151,14984,30764,BLOOMFIELD AVENUE LIGHT RAIL STATION,40.76546,-74.179863,336,Newark,Essex County,Newark,714
152,14986,30766,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951,336,Newark,Essex County,Newark,714
153,26316,30762,BRANCH BROOK PARK LIGHT RAIL STATION,40.779638,-74.174752,336,Newark,Essex County,Newark,714
154,26326,30771,PENN STATION LIGHT RAIL DEPARTURE,40.73481,-74.163603,336,Newark,Essex County,Newark,714
155,37953,95164,NEWARK AIRPORT RAILROAD STATION,40.704415,-74.190717,1345,Newark,Essex County,Newark,714
156,39130,30775,BROAD STREET LIGHT RAIL STATION,40.747209,-74.17151,336,Newark,Essex County,Newark,714
157,39131,30774,RIVERFRONT STADIUM LIGHT RAIL STATION,40.74559,-74.169202,336,Newark,Essex County,Newark,714
158,39132,30776,WASHINGTON PARK LIGHT RAIL STATION,40.743938,-74.169853,336,Newark,Essex County,Newark,714
159,39133,30773,ATLANTIC STREET LIGHT RAIL STATION,40.74416,-74.168491,336,Newark,Essex County,Newark,714
160,39134,30772,NJPAC/CENTRE STREET LIGHT RAIL STATION,40.739498,-74.16558,336,Newark,Essex County,Newark,714
161,42545,31061,PENN STATION LIGHT RAIL ARRIVAL,40.73481,-74.163603,0,Newark,Essex County,Newark,714
162,38579,30823,TONNELLE AVENUE LIGHT RAIL STATION,40.78733,-74.031263,336,North Bergen,Hudson County,North Bergen Township,908
163,111,95111,ORADELL,40.953478,-74.029983,1869,Oradell,Bergen County,Oradell Borough,244
221,158,95158,WOODBRIDGE,40.55661,-74.277751,2637,Woodbridge Township,Middlesex County,Woodbridge Township,1225
106,48,95048,GILLETTE,40.678253,-74.468317,3149,Long Hill,Morris County,Long Hill Township,1430
166,38304,30868,PALMYRA LIGHT RAIL STATION,40.004659,-75.020391,336,Palmyra,Burlington County,Palmyra Borough,327
167,115,95115,PASSAIC,40.849413,-74.13393,1101,Passaic,Passaic County,Passaic,1607
168,116,95116,PATERSON,40.914887,-74.16733,1613,Paterson,Passaic County,Paterson,1608
169,117,95117,PEAPACK,40.708794,-74.658469,4685,Peapack,Somerset County,Peapack-Gladstone Borough,1815
107,143,95143,STIRLING,40.674581,-74.493723,3661,Long Hill,Morris County,Long Hill Township,1430
130,30,95030,CONVENT,40.77904,-74.443435,3149,Morris Township,Morris County,Montville Township,1421
132,93,95093,MOUNT OLIVE,40.907376,-74.730653,4941,Mount Olive Township,Morris County,Mount Olive Township,1427
174,119,95119,PERTH AMBOY,40.509398,-74.273752,3149,Perth Amboy,Middlesex County,Perth Amboy,1216
175,102,95102,NETHERWOOD,40.629148,-74.403455,2637,Plainfield,Union County,Plainfield,2012
176,120,95120,PLAINFIELD,40.618425,-74.420163,2893,Plainfield,Union County,Plainfield,2012
177,122,95122,POINT PLEASANT,40.092718,-74.048191,5965,Point Pleasant Beach,Ocean County,Point Pleasant Beach Borough,1526
191,67,95067,LAKE HOPATCONG,40.904219,-74.665697,4941,Roxbury Township,Morris County,Roxbury Township,1436
179,124,95124,PRINCETON,40.342088,-74.65887,25421,Princeton,Mercer County,Princeton,1114
180,127,95127,RAHWAY,40.606338,-74.276692,2125,Rahway,Union County,Rahway,2013
181,128,95128,RAMSEY,41.056422,-74.141877,3149,Ramsey,Bergen County,Ramsey Borough,248
182,38417,95170,RAMSEY ROUTE 17 STATION,41.07513,-74.145485,3149,Ramsey,Bergen County,Ramsey Borough,248
183,129,95129,RARITAN,40.571007,-74.634364,4429,Raritan,Somerset County,Raritan Borough,1816
184,130,95130,RED BANK,40.348284,-74.074538,4685,Red Bank,Monmouth County,Red Bank Borough,1339
185,131,95131,RIDGEWOOD,40.980629,-74.120592,2381,Ridgewood,Bergen County,Ridgewood Village,251
186,110,95110,NEW BRIDGE LANDING,40.910856,-74.035044,1613,River Edge,Bergen County,River Edge Borough,252
187,132,95132,RIVER EDGE,40.935146,-74.02914,1613,River Edge,Bergen County,River Edge Borough,252
188,38301,30865,RIVERSIDE LIGHT RAIL STATION,40.039219,-74.958842,336,Riverside,Burlington County,Riverside Township,330
189,38303,30867,RIVERTON LIGHT RAIL STATION,40.008939,-75.013082,336,Riverton,Burlington County,Riverton Borough,331
190,31,95031,ROSELLE PARK,40.667152,-74.26632,1613,Roselle Park,Union County,Roselle Park Borough,2015
192,39472,95171,MOUNT ARLINGTON,40.89659,-74.632731,4941,Roxbury Township,Morris County,Roxbury Township,1436
194,38174,95167,FRANK R LAUTENBERG SECAUCUS LOWER LEVEL,40.761188,-74.075821,333,Secaucus,Hudson County,Secaucus,909
195,38187,95168,FRANK R LAUTENBERG SECAUCUS UPPER LEVEL,40.761188,-74.075821,329,Secaucus,Hudson County,Secaucus,909
196,136,95136,SHORT HILLS,40.725249,-74.323754,1869,Short Hills,Essex County,Millburn Township,712
197,138,95138,SOMERVILLE,40.566075,-74.61397,4429,Somerville,Somerset County,Somerville Borough,1818
198,139,95139,SOUTH AMBOY,40.484308,-74.28014,3405,South Amboy,Middlesex County,South Amboy,1220
199,97,95097,MOUNTAIN STATION,40.755367,-74.253024,1357,South Orange,Essex County,South Orange Village Township,719
200,140,95140,SOUTH ORANGE,40.745952,-74.260538,1357,South Orange,Essex County,South Orange Village Township,719
201,141,95141,SPRING LAKE,40.150557,-74.035481,5709,Spring Lake,Monmouth County,Spring Lake Borough,1347
202,104,95104,NEW PROVIDENCE,40.712022,-74.386501,2381,Summit,Union County,Summit,2018
203,145,95145,SUMMIT,40.716549,-74.357807,2381,Summit,Union County,Summit,2018
204,13,95013,BAY HEAD,40.077178,-74.046183,5965,Toms River,Ocean County,Toms River Township,1508
205,148,95148,TRENTON TRANSIT CENTER,40.218515,-74.753926,5709,Trenton,Mercer County,Trenton,1111
206,38291,30855,TRENTON TRANSIT CENTER LIGHT RAIL STA,40.218348,-74.755194,336,Trenton,Mercer County,Trenton,1111
207,38292,30856,HAMILTON AVENUE LIGHT RAIL STATION,40.211928,-74.755882,336,Trenton,Mercer County,Trenton,1111
208,38293,30857,CASS STREET LIGHT RAIL STATION,40.205409,-74.754313,336,Trenton,Mercer County,Trenton,1111
209,38105,95166,UNION,40.683663,-74.238605,1357,Union,Union County,Union Township,2019
210,38578,30824,BERGENLINE AVE,40.782225,-74.022271,336,Union City,Hudson County,Union City,910
211,151,95151,WALDWICK,41.012734,-74.123412,2637,Waldwick,Bergen County,Waldwick Borough,264
212,69,95069,LINCOLN PARK,40.924138,-74.301826,2637,Wayne,Morris County,Wayne Township,1614
213,98,95098,MOUNTAIN VIEW,40.914402,-74.268158,2381,Wayne,Passaic County,Wayne Township,1614
214,39635,95172,WAYNE/ROUTE 23 TRANSIT CENTER [RR],40.900254,-74.256971,2381,Wayne,Passaic County,Wayne Township,1614
215,9878,30825,PORT IMPERIAL HBLR STATION,40.775919,-74.012921,336,Weehawken,Hudson County,Weehawken Township,911
216,17699,30826,LINCOLN HARBOR LIGHT RAIL STATION,40.761399,-74.024,336,Weehawken,Hudson County,Weehawken Township,911
218,155,95155,WESTFIELD,40.649448,-74.347629,2125,Westfield,Union County,Westfield,2020
219,156,95156,WESTWOOD,40.990817,-74.032696,2381,Westwood,Bergen County,Westwood Borough,267
222,159,95159,WOODCLIFF LAKE,41.021078,-74.040775,2637,Woodcliff Lake,Bergen County,Woodcliff Lake Borough,268
26,108,95108,NORTH BRANCH,40.59202,-74.683802,4685,Branchburg,Somerset County,Branchburg Township,1805
27,24,95024,BRIDGEWATER,40.559906,-74.551741,3917,Bridgewater Township,Somerset County,Bridgewater Township,1806
