,stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,City
0,1,95001,30TH ST. PHL.,39.956565000000005,-75.182327,5961,University City
1,2,95002,ABSECON,39.424333000000004,-74.502094,333,Ohio Avenue
2,3,95003,ALLENDALE,41.030902000000005,-74.130957,2893,Allendale
3,4,95004,ALLENHURST,40.237659,-74.00676899999999,5453,Allenhurst
4,5,95005,ANDERSON STREET,40.894458,-74.04378100000001,1357,District of Freedom#8573311~!#
5,6,95006,ANNANDALE,40.645173,-74.878569,5197,Annandale
6,8,95008,ASBURY PARK,40.215359,-74.014786,5453,Memorial Drive
7,9,95009,ATCO,39.783547,-74.907588,4429,Raritan Avenue
8,10,95010,ATLANTIC CITY,39.363299,-74.441486,77,Atlantic City
9,11,95011,AVENEL,40.57762,-74.27753,2381,Avenel
10,12,95012,BASKING RIDGE,40.711378,-74.55527,4173,Basking Ridge
11,13,95013,BAY HEAD,40.077178,-74.046183,5965,South Main Street
12,14,95014,BAY STREET,40.808178000000005,-74.208681,1357,Montclair
13,15,95015,BELMAR,40.18059,-74.027301,5709,Belmar
14,17,95017,BERKELEY HEIGHTS,40.682345,-74.442649,2893,Berkeley Heights
15,18,95018,BERNARDSVILLE,40.716845,-74.571023,4173,Bernardsville
16,19,95019,BLOOMFIELD,40.792709,-74.20004300000001,1101,Bloomfield
17,20,95020,BOONTON,40.903378000000004,-74.407736,3661,Main Street
18,21,95021,BOUND BROOK,40.560928999999994,-74.530617,3661,Bound Brook
19,22,95022,BRADLEY BEACH,40.203751000000004,-74.018891,5453,Bradley Beach
20,23,95023,BRICK CHURCH,40.765134,-74.218612,1101,Freeway Drive West
21,24,95024,BRIDGEWATER,40.559906,-74.551741,3917,Bridgewater Township
22,25,95025,BROADWAY,40.922505,-74.115236,1613,Fair Lawn
23,26,95026,CAMPBELL HALL,41.450917,-74.266554,5709,Campbell Hall
24,27,95027,CHATHAM,40.740137,-74.384812,2637,42
25,28,95028,CHERRY HILL,39.928447,-75.041661,5197,3
26,29,95029,CLIFTON,40.867998,-74.153203,1357,Clifton
27,30,95030,CONVENT,40.77904,-74.443435,3149,1
28,31,95031,ROSELLE PARK,40.667152,-74.26632,1613,Roselle Park
29,32,95032,CRANFORD,40.655522999999995,-74.303226,1869,Cranford
30,33,95033,DELAWANNA,40.831369,-74.13126199999999,845,Delawanna Avenue
31,34,95034,DENVILLE,40.8839,-74.481513,4173,Denville
32,35,95035,DOVER,40.883415,-74.555887,4429,East Dickerson Street
33,36,95036,DUNELLEN,40.590869,-74.463043,3149,Dunellen
34,37,95037,EAST ORANGE,40.760977000000004,-74.210464,1101,65
35,38,95038,EDISON STATION,40.519148,-74.410972,3405,Edison
36,39,95039,EGG HARBOR,39.526441,-74.648028,1613,Egg Harbor City
37,40,95040,ELBERON,40.265291999999995,-73.99762,5197,Long Branch
38,41,95041,ELIZABETH,40.667857,-74.215174,1357,North Broad Street
39,42,95042,EMERSON,40.975035999999996,-74.02747099999999,2125,Emerson
40,43,95043,ESSEX STREET,40.878972999999995,-74.051893,1357,Essex Street
41,44,95044,FANWOOD,40.641059999999996,-74.385003,2381,Fanwood
42,45,95045,FAR HILLS,40.685712,-74.63373399999999,4429,Far Hills
43,46,95046,GARFIELD,40.866669,-74.10556,1101,Garfield
44,47,95047,GARWOOD,40.652569,-74.324794,2125,Center Street
45,48,95048,GILLETTE,40.678253000000005,-74.468317,3149,Long Hill
46,49,95049,GLADSTONE,40.720284,-74.666371,4685,Gladstone
47,50,95050,GLEN RIDGE,40.80059,-74.204655,1101,224
48,51,95051,GLEN ROCK BORO HALL,40.96137,-74.1293,2125,Glen Rock
49,52,95052,GLEN ROCK MAIN LINE,40.962206,-74.133485,2125,Glen Rock
50,54,95054,HACKETTSTOWN,40.851444,-74.835352,4941,West Stiger Street
51,55,95055,HAMMONTON,39.631673,-74.79946,2893,Hammonton
52,57,95057,HARRIMAN,41.293354,-74.13987,5197,New York 17
53,58,95058,HAWTHORNE,40.942539000000004,-74.152411,1869,Hawthorne
54,59,95059,HAZLET,40.415385,-74.190393,4173,County Route 4
55,60,95060,HIGH BRIDGE,40.666884,-74.895863,5453,High Bridge
56,61,95061,HIGHLAND AVENUE,40.766863,-74.243741,1357,City of Orange
57,62,95062,HILLSDALE,41.002414,-74.041033,2381,Prospect Place
58,63,95063,HOBOKEN,40.734843,-74.028046,336,1
59,64,95064,HOHOKUS,40.997369,-74.11352099999999,2637,Ho-Ho-Kus
60,66,95066,KINGSLAND,40.810121,-74.117334,589,Lyndhurst
61,67,95067,LAKE HOPATCONG,40.904219,-74.665697,4941,Landing
62,68,95068,LEBANON,40.636905,-74.835766,5197,Lebanon
63,69,95069,LINCOLN PARK,40.924138,-74.301826,2637,East Main Street
64,70,95070,LINDEN,40.629484999999995,-74.251772,1869,Penn Place
65,71,95071,LINDENWOLD,39.833809,-75.000314,4941,901
